id,archetype_id,archetype_name
1,9,Hispanic On-Campus Transitioner
2,1,Latina Commuter Caretaker
3,4,Asian First-Gen Navigator
4,3,Asian High-Pressure Achiever
5,1,Latina Commuter Caretaker
6,10,Continuing-Gen Cruiser
7,1,Latina Commuter Caretaker
8,11,White Rural First-Gen
9,9,Hispanic On-Campus Transitioner
10,1,Latina Commuter Caretaker
11,3,Asian High-Pressure Achiever
12,1,Latina Commuter Caretaker
13,9,Hispanic On-Campus Transitioner
14,9,Hispanic On-Campus Transitioner
15,1,Latina Commuter Caretaker
16,1,Latina Commuter Caretaker
17,1,Latina Commuter Caretaker
18,9,Hispanic On-Campus Transitioner
19,8,Multiracial Bridge-Builder
20,4,Asian First-Gen Navigator
21,9,Hispanic On-Campus Transitioner
22,5,Black Campus Connector
23,1,Latina Commuter Caretaker
24,7,White Off-Campus Working
25,3,Asian High-Pressure Achiever
26,9,Hispanic On-Campus Transitioner
27,1,Latina Commuter Caretaker
28,1,Latina Commuter Caretaker
29,1,Latina Commuter Caretaker
30,1,Latina Commuter Caretaker
31,2,Latino Off-Campus Working
32,3,Asian High-Pressure Achiever
33,11,White Rural First-Gen
34,9,Hispanic On-Campus Transitioner
35,1,Latina Commuter Caretaker
36,2,Latino Off-Campus Working
37,2,Latino Off-Campus Working
38,10,Continuing-Gen Cruiser
39,2,Latino Off-Campus Working
40,1,Latina Commuter Caretaker
41,8,Multiracial Bridge-Builder
42,6,White Residential Traditional
43,9,Hispanic On-Campus Transitioner
44,5,Black Campus Connector
45,2,Latino Off-Campus Working
46,1,Latina Commuter Caretaker
47,8,Multiracial Bridge-Builder
48,9,Hispanic On-Campus Transitioner
49,3,Asian High-Pressure Achiever
50,1,Latina Commuter Caretaker
51,3,Asian High-Pressure Achiever
52,1,Latina Commuter Caretaker
53,7,White Off-Campus Working
54,1,Latina Commuter Caretaker
55,1,Latina Commuter Caretaker
56,9,Hispanic On-Campus Transitioner
57,1,Latina Commuter Caretaker
58,3,Asian High-Pressure Achiever
59,9,Hispanic On-Campus Transitioner
60,9,Hispanic On-Campus Transitioner
61,3,Asian High-Pressure Achiever
62,3,Asian High-Pressure Achiever
63,9,Hispanic On-Campus Transitioner
64,1,Latina Commuter Caretaker
65,1,Latina Commuter Caretaker
66,11,White Rural First-Gen
67,6,White Residential Traditional
68,1,Latina Commuter Caretaker
69,1,Latina Commuter Caretaker
70,2,Latino Off-Campus Working
71,3,Asian High-Pressure Achiever
72,4,Asian First-Gen Navigator
73,3,Asian High-Pressure Achiever
74,2,Latino Off-Campus Working
75,9,Hispanic On-Campus Transitioner
76,8,Multiracial Bridge-Builder
77,1,Latina Commuter Caretaker
78,1,Latina Commuter Caretaker
79,13,White Working-Class Striver
80,10,Continuing-Gen Cruiser
81,10,Continuing-Gen Cruiser
82,9,Hispanic On-Campus Transitioner
83,2,Latino Off-Campus Working
84,2,Latino Off-Campus Working
85,8,Multiracial Bridge-Builder
86,3,Asian High-Pressure Achiever
87,1,Latina Commuter Caretaker
88,13,White Working-Class Striver
89,9,Hispanic On-Campus Transitioner
90,9,Hispanic On-Campus Transitioner
91,5,Black Campus Connector
92,1,Latina Commuter Caretaker
93,3,Asian High-Pressure Achiever
94,1,Latina Commuter Caretaker
95,2,Latino Off-Campus Working
96,4,Asian First-Gen Navigator
97,1,Latina Commuter Caretaker
98,5,Black Campus Connector
99,6,White Residential Traditional
100,8,Multiracial Bridge-Builder
101,3,Asian High-Pressure Achiever
102,2,Latino Off-Campus Working
103,1,Latina Commuter Caretaker
104,3,Asian High-Pressure Achiever
105,1,Latina Commuter Caretaker
106,3,Asian High-Pressure Achiever
107,1,Latina Commuter Caretaker
108,1,Latina Commuter Caretaker
109,11,White Rural First-Gen
110,1,Latina Commuter Caretaker
111,3,Asian High-Pressure Achiever
112,5,Black Campus Connector
113,10,Continuing-Gen Cruiser
114,9,Hispanic On-Campus Transitioner
115,9,Hispanic On-Campus Transitioner
116,12,Black Male Striver
117,6,White Residential Traditional
118,4,Asian First-Gen Navigator
119,1,Latina Commuter Caretaker
120,1,Latina Commuter Caretaker
121,4,Asian First-Gen Navigator
122,5,Black Campus Connector
123,1,Latina Commuter Caretaker
124,1,Latina Commuter Caretaker
125,7,White Off-Campus Working
126,11,White Rural First-Gen
127,13,White Working-Class Striver
128,1,Latina Commuter Caretaker
129,1,Latina Commuter Caretaker
130,9,Hispanic On-Campus Transitioner
131,8,Multiracial Bridge-Builder
132,6,White Residential Traditional
133,10,Continuing-Gen Cruiser
134,9,Hispanic On-Campus Transitioner
135,2,Latino Off-Campus Working
136,1,Latina Commuter Caretaker
137,13,White Working-Class Striver
138,1,Latina Commuter Caretaker
139,4,Asian First-Gen Navigator
140,8,Multiracial Bridge-Builder
141,10,Continuing-Gen Cruiser
142,8,Multiracial Bridge-Builder
143,1,Latina Commuter Caretaker
144,1,Latina Commuter Caretaker
145,9,Hispanic On-Campus Transitioner
146,10,Continuing-Gen Cruiser
147,8,Multiracial Bridge-Builder
148,9,Hispanic On-Campus Transitioner
149,1,Latina Commuter Caretaker
150,1,Latina Commuter Caretaker
151,9,Hispanic On-Campus Transitioner
152,9,Hispanic On-Campus Transitioner
153,9,Hispanic On-Campus Transitioner
154,9,Hispanic On-Campus Transitioner
155,4,Asian First-Gen Navigator
156,1,Latina Commuter Caretaker
157,1,Latina Commuter Caretaker
158,8,Multiracial Bridge-Builder
159,1,Latina Commuter Caretaker
160,8,Multiracial Bridge-Builder
161,4,Asian First-Gen Navigator
162,1,Latina Commuter Caretaker
163,2,Latino Off-Campus Working
164,6,White Residential Traditional
165,9,Hispanic On-Campus Transitioner
166,2,Latino Off-Campus Working
167,1,Latina Commuter Caretaker
168,13,White Working-Class Striver
169,8,Multiracial Bridge-Builder
170,9,Hispanic On-Campus Transitioner
171,9,Hispanic On-Campus Transitioner
172,2,Latino Off-Campus Working
173,9,Hispanic On-Campus Transitioner
174,9,Hispanic On-Campus Transitioner
175,6,White Residential Traditional
176,3,Asian High-Pressure Achiever
177,12,Black Male Striver
178,9,Hispanic On-Campus Transitioner
179,9,Hispanic On-Campus Transitioner
180,3,Asian High-Pressure Achiever
181,3,Asian High-Pressure Achiever
182,13,White Working-Class Striver
183,9,Hispanic On-Campus Transitioner
184,10,Continuing-Gen Cruiser
185,9,Hispanic On-Campus Transitioner
186,9,Hispanic On-Campus Transitioner
187,1,Latina Commuter Caretaker
188,9,Hispanic On-Campus Transitioner
189,10,Continuing-Gen Cruiser
190,8,Multiracial Bridge-Builder
191,11,White Rural First-Gen
192,4,Asian First-Gen Navigator
193,11,White Rural First-Gen
194,2,Latino Off-Campus Working
195,2,Latino Off-Campus Working
196,1,Latina Commuter Caretaker
197,1,Latina Commuter Caretaker
198,9,Hispanic On-Campus Transitioner
199,9,Hispanic On-Campus Transitioner
200,2,Latino Off-Campus Working
201,5,Black Campus Connector
202,9,Hispanic On-Campus Transitioner
203,3,Asian High-Pressure Achiever
204,1,Latina Commuter Caretaker
205,3,Asian High-Pressure Achiever
206,9,Hispanic On-Campus Transitioner
207,1,Latina Commuter Caretaker
208,10,Continuing-Gen Cruiser
209,3,Asian High-Pressure Achiever
210,3,Asian High-Pressure Achiever
211,2,Latino Off-Campus Working
212,1,Latina Commuter Caretaker
213,1,Latina Commuter Caretaker
214,8,Multiracial Bridge-Builder
215,9,Hispanic On-Campus Transitioner
216,3,Asian High-Pressure Achiever
217,8,Multiracial Bridge-Builder
218,1,Latina Commuter Caretaker
219,3,Asian High-Pressure Achiever
220,11,White Rural First-Gen
221,13,White Working-Class Striver
222,1,Latina Commuter Caretaker
223,1,Latina Commuter Caretaker
224,9,Hispanic On-Campus Transitioner
225,10,Continuing-Gen Cruiser
226,9,Hispanic On-Campus Transitioner
227,2,Latino Off-Campus Working
228,13,White Working-Class Striver
229,10,Continuing-Gen Cruiser
230,9,Hispanic On-Campus Transitioner
231,9,Hispanic On-Campus Transitioner
232,1,Latina Commuter Caretaker
233,9,Hispanic On-Campus Transitioner
234,4,Asian First-Gen Navigator
235,3,Asian High-Pressure Achiever
236,2,Latino Off-Campus Working
237,11,White Rural First-Gen
238,9,Hispanic On-Campus Transitioner
239,3,Asian High-Pressure Achiever
240,1,Latina Commuter Caretaker
241,5,Black Campus Connector
242,2,Latino Off-Campus Working
243,1,Latina Commuter Caretaker
244,2,Latino Off-Campus Working
245,9,Hispanic On-Campus Transitioner
246,1,Latina Commuter Caretaker
247,3,Asian High-Pressure Achiever
248,1,Latina Commuter Caretaker
249,8,Multiracial Bridge-Builder
250,13,White Working-Class Striver
251,7,White Off-Campus Working
252,1,Latina Commuter Caretaker
