cohort,hgrades,hgrades_c,Cgrades,bparented,bparented_c,pell,hapcl,hapcl_c,hprecalc13,hprecalc13_c,hchallenge,hchallenge_c,cSFcareer,cSFcareer_c,hacadpr13,hacadpr13_c,tcare,tcare_c,firstgen,re_all,living18,sex,StemMaj,StemMaj_c,trnsfr_cr,x_FASt,credit_dose,credit_dose_c,XZ_c,r,r_minus,r_plus,sbmyself,sbvalued,sbcommunity,pgthink,pganalyze,pgwork,pgvalues,pgprobsolve,SEwellness,SEnonacad,SEactivities,SEacademic,SEdiverse,evalexp,sameinst,MHWdacad,MHWdlonely,MHWdmental,MHWdexhaust,MHWdsleep,MHWdfinancial,QIstudent,QIadvisor,QIfaculty,QIstaff,QIadmin,id,DE_group_temp,hdc17,DC_student
0,6,-0.5270000000000001,7,6,-0.044800000000000395,0,0,-0.2468,0,-0.3436,7,2.5119999999999996,2,-0.30100000000000016,18,8.2376,0,-2.9496,1,Hispanic/Latino,On-campus (residence hall),Female,0,-0.2482,3,0,0.0,-0.5745506169396439,-0.0,24,1.9,2.9,3,2,2,3,3,3,3,3,2,2,2,2,2,3,3,5.0,4.0,4.0,4.0,3.0,4.0,4.0,4.0,4.0,,4.0,1,1,3,1
0,7,0.47299999999999986,7,5,-1.0448000000000004,1,0,-0.2468,0,-0.3436,7,2.5119999999999996,2,-0.30100000000000016,3,-6.7623999999999995,3,0.05039999999999978,1,Hispanic/Latino,With family (commuting),Female,0,-0.2482,5,0,0.0,-0.5745506169396439,-0.0,33,2.8,3.8,2,2,1,3,2,3,2,3,2,3,3,2,2,3,3,4.0,5.0,4.0,5.0,5.0,4.0,4.0,,,5.0,5.0,2,1,2,1
0,5,-1.5270000000000001,6,7,0.9551999999999996,1,0,-0.2468,0,-0.3436,4,-0.48800000000000043,2,-0.30100000000000016,13,3.2376000000000005,23,20.0504,1,Asian,Off-campus (rent/apartment),Male,0,-0.2482,9,0,0.0,-0.5745506169396439,-0.0,30,2.5,3.5,2,2,2,3,3,3,3,3,2,3,2,3,3,2,2,6.0,,6.0,5.0,5.0,5.0,4.0,3.0,4.0,4.0,4.0,3,1,1,0
1,7,0.47299999999999986,7,7,0.9551999999999996,0,0,-0.2468,0,-0.3436,5,0.5119999999999996,3,0.6989999999999998,8,-1.7623999999999995,0,-2.9496,0,Asian,With family (commuting),Male,1,0.7518,32,1,2.075086455897407,1.5005358389577632,1.5005358389577632,31,2.6,3.6,2,2,2,3,3,3,3,3,3,4,4,4,3,3,3,2.0,2.0,2.0,2.0,3.0,2.0,4.0,5.0,4.0,4.0,6.0,4,2,6,1
1,8,1.4729999999999999,7,5,-1.0448000000000004,1,0,-0.2468,0,-0.3436,6,1.5119999999999996,3,0.6989999999999998,3,-6.7623999999999995,3,0.05039999999999978,0,Hispanic/Latino,With family (commuting),Female,0,-0.2482,10,0,0.0,-0.5745506169396439,-0.0,33,2.8,3.8,2,3,2,3,2,2,2,3,2,3,3,3,2,3,3,5.0,5.0,5.0,5.0,5.0,6.0,5.0,5.0,5.0,5.0,5.0,5,1,1,0
0,6,-0.5270000000000001,7,6,-0.044800000000000395,1,1,0.7532,1,0.6564,5,0.5119999999999996,2,-0.30100000000000016,13,3.2376000000000005,0,-2.9496,0,White,With family (commuting),Female,1,0.7518,8,0,0.0,-0.5745506169396439,-0.0,24,1.9,2.9,4,4,4,4,4,4,4,3,3,3,2,3,3,3,4,2.0,2.0,3.0,3.0,3.0,3.0,7.0,7.0,7.0,7.0,7.0,6,1,2,1
1,6,-0.5270000000000001,6,5,-1.0448000000000004,1,0,-0.2468,0,-0.3436,5,0.5119999999999996,3,0.6989999999999998,23,13.2376,0,-2.9496,0,Hispanic/Latino,With family (commuting),Female,0,-0.2482,18,1,0.688298023728046,0.11374740678840212,0.11374740678840212,34,2.9,3.9,2,2,2,3,2,3,3,3,2,3,1,2,3,3,3,5.0,5.0,,5.0,5.0,6.0,3.0,3.0,4.0,4.0,4.0,7,2,4,1
0,5,-1.5270000000000001,7,6,-0.044800000000000395,1,0,-0.2468,0,-0.3436,4,-0.48800000000000043,3,0.6989999999999998,18,8.2376,0,-2.9496,1,White,With family (commuting),Female,0,-0.2482,10,0,0.0,-0.5745506169396439,-0.0,13,0.8,1.8,2,1,1,3,3,4,3,3,3,4,4,4,4,3,3,4.0,4.0,4.0,4.0,4.0,5.0,6.0,6.0,6.0,6.0,6.0,8,1,3,1
0,6,-0.5270000000000001,7,6,-0.044800000000000395,1,0,-0.2468,1,0.6564,4,-0.48800000000000043,2,-0.30100000000000016,3,-6.7623999999999995,0,-2.9496,1,Hispanic/Latino,On-campus (residence hall),Male,1,0.7518,18,1,0.621397265845944,0.04684664890630008,0.04684664890630008,18,1.3,2.3,2,3,3,2,2,2,2,2,3,3,4,3,3,3,3,4.0,4.0,4.0,5.0,4.0,4.0,5.0,6.0,,6.0,6.0,9,2,7,1
1,7,0.47299999999999986,7,6,-0.044800000000000395,0,0,-0.2468,0,-0.3436,4,-0.48800000000000043,4,1.6989999999999998,3,-6.7623999999999995,0,-2.9496,1,Hispanic/Latino,With family (commuting),Female,0,-0.2482,9,0,0.0,-0.5745506169396439,-0.0,-8,-1.3,-0.30000000000000004,3,2,2,3,4,3,3,4,3,3,4,4,3,2,3,5.0,,5.0,6.0,5.0,5.0,5.0,5.0,4.0,5.0,5.0,10,1,2,1
1,6,-0.5270000000000001,7,6,-0.044800000000000395,0,0,-0.2468,0,-0.3436,3,-1.4880000000000004,4,1.6989999999999998,18,8.2376,0,-2.9496,0,Asian,With family (commuting),Female,0,-0.2482,9,0,0.0,-0.5745506169396439,-0.0,23,1.7999999999999998,2.8,2,3,2,4,4,4,4,4,3,3,3,3,3,3,4,5.0,4.0,4.0,4.0,,4.0,5.0,5.0,5.0,5.0,5.0,11,1,2,1
0,6,-0.5270000000000001,7,5,-1.0448000000000004,0,0,-0.2468,1,0.6564,3,-1.4880000000000004,3,0.6989999999999998,3,-6.7623999999999995,0,-2.9496,0,Hispanic/Latino,With family (commuting),Female,1,0.7518,38,1,2.6672592485910998,2.0927086316514556,2.0927086316514556,32,2.7,3.7,3,3,3,3,3,3,2,3,3,4,4,3,4,3,3,5.0,5.0,4.0,4.0,4.0,5.0,4.0,3.0,3.0,,3.0,12,2,7,1
0,8,1.4729999999999999,7,7,0.9551999999999996,1,0,-0.2468,1,0.6564,4,-0.48800000000000043,1,-1.3010000000000002,8,-1.7623999999999995,0,-2.9496,1,Hispanic/Latino,On-campus (residence hall),Female,0,-0.2482,19,1,0.797147191916751,0.22259657497710705,0.22259657497710705,3,-0.2,0.8,3,3,3,4,4,3,4,4,2,3,2,2,2,2,3,5.0,4.0,4.0,4.0,4.0,5.0,4.0,3.0,3.0,4.0,3.0,13,2,5,1
1,8,1.4729999999999999,7,6,-0.044800000000000395,1,1,0.7532,0,-0.3436,3,-1.4880000000000004,2,-0.30100000000000016,3,-6.7623999999999995,3,0.05039999999999978,0,Hispanic/Latino,On-campus (residence hall),Male,0,-0.2482,7,0,0.0,-0.5745506169396439,-0.0,5,0.0,1.0,3,3,3,4,3,3,4,4,2,3,3,3,3,3,3,3.0,3.0,3.0,3.0,3.0,3.0,5.0,4.0,5.0,5.0,5.0,14,1,1,0
0,6,-0.5270000000000001,7,5,-1.0448000000000004,1,0,-0.2468,0,-0.3436,2,-2.4880000000000004,3,0.6989999999999998,8,-1.7623999999999995,0,-2.9496,1,Hispanic/Latino,With family (commuting),Female,0,-0.2482,13,1,0.11041270684887046,-0.4641379100907735,-0.4641379100907735,27,2.2,3.2,3,2,3,3,4,4,4,4,2,2,2,3,2,3,3,4.0,,5.0,5.0,4.0,5.0,4.0,4.0,5.0,4.0,,15,2,7,1
1,6,-0.5270000000000001,6,7,0.9551999999999996,1,0,-0.2468,0,-0.3436,4,-0.48800000000000043,2,-0.30100000000000016,8,-1.7623999999999995,3,0.05039999999999978,0,Hispanic/Latino,With family (commuting),Female,0,-0.2482,18,1,0.692111336613635,0.11756071967399107,0.11756071967399107,4,-0.09999999999999998,0.9,3,3,3,2,2,2,2,2,3,4,4,4,4,3,2,5.0,5.0,5.0,4.0,5.0,4.0,5.0,5.0,5.0,,5.0,16,2,5,1
1,7,0.47299999999999986,7,6,-0.044800000000000395,0,0,-0.2468,0,-0.3436,4,-0.48800000000000043,1,-1.3010000000000002,8,-1.7623999999999995,0,-2.9496,1,Hispanic/Latino,With family (commuting),Female,1,0.7518,9,0,0.0,-0.5745506169396439,-0.0,-3,-0.8,0.2,3,3,3,4,4,4,4,4,3,3,3,2,3,3,3,4.0,5.0,5.0,5.0,5.0,5.0,4.0,4.0,4.0,4.0,3.0,17,1,2,1
0,6,-0.5270000000000001,7,5,-1.0448000000000004,0,0,-0.2468,0,-0.3436,4,-0.48800000000000043,1,-1.3010000000000002,8,-1.7623999999999995,3,0.05039999999999978,0,Hispanic/Latino,On-campus (residence hall),Male,0,-0.2482,9,0,0.0,-0.5745506169396439,-0.0,2,-0.3,0.7,3,3,3,3,4,4,4,4,3,3,3,3,3,3,3,4.0,3.0,3.0,3.0,,,4.0,4.0,4.0,4.0,4.0,18,1,2,1
