lhs	op	rhs	label	est.std	se	z	pvalue	ci.lower	ci.upper
Belong	=~	sbvalued		0.698913718814163	0.0137093993704278	50.9806228507554	0	0.672043789798448	0.725783647829877
Belong	=~	sbmyself		0.703415068945986	0.0134273280998463	52.3868236268122	0	0.677097989461685	0.729732148430287
Belong	=~	sbcommunity		0.740106655447755	0.0131594970556425	56.2412569658516	0	0.714314515164035	0.765898795731476
Gains	=~	pganalyze		0.633329424014263	0.016877735514995	37.5245496323593	0	0.60024967026428	0.666409177764246
Gains	=~	pgthink		0.466356670159447	0.0185628425283938	25.1231280686731	0	0.429974167353107	0.502739172965788
Gains	=~	pgwork		0.526089091928746	0.0179385668561551	29.3272643320574	0	0.490930146956418	0.561248036901073
Gains	=~	pgvalues		0.523712365486006	0.0183838657509256	28.4876082420063	0	0.487680650717572	0.55974408025444
Gains	=~	pgprobsolve		0.589606549116591	0.0163613306929827	36.0365889658029	0	0.557538930219196	0.621674168013987
SupportEnv	=~	SEacademic		0.55630838106254	0.0156932099848925	35.44898600083	0	0.525550254690327	0.587066507434754
SupportEnv	=~	SEwellness		0.618747427055018	0.015157488714363	40.8212362031121	0	0.589039295078795	0.648455559031242
SupportEnv	=~	SEnonacad		0.619686384586265	0.0151958323159874	40.7800225548881	0	0.58990310053182	0.64946966864071
SupportEnv	=~	SEactivities		0.668065644624698	0.0139982273157306	47.7250175723288	0	0.640629623238461	0.695501666010934
SupportEnv	=~	SEdiverse		0.558870942827076	0.0164697011497315	33.933277704689	0	0.526590921737464	0.591150963916688
Satisf	=~	sameinst		0.691467113836614	0.0259698680361095	26.6257461483891	0	0.640567107802582	0.742367119870647
Satisf	=~	evalexp		0.753386090683093	0.0274046507222167	27.4911765276515	0	0.699673962258648	0.807098219107537
DevAdj	=~	Belong		0.458654294952606	0.0278977856597618	16.4405268771616	0	0.403975639811055	0.513332950094157
DevAdj	=~	Gains		0.618425925133049	0.0329298829620955	18.780082694035	0	0.553884540512223	0.682967309753876
DevAdj	=~	SupportEnv		0.3912303887864	0.0290610450629345	13.4623647545762	0	0.334271787109953	0.448188990462847
DevAdj	=~	Satisf		0.585225217653562	0.0295061696315578	19.8339948885688	0	0.527394187853979	0.643056247453144
EmoDiss	=~	MHWdacad		0.53757670565832	0.0158838531809277	33.8442252981668	0	0.50644492548798	0.56870848582866
EmoDiss	=~	MHWdlonely		0.497700102470898	0.0165493327210761	30.0737262860792	0	0.465264006369419	0.530136198572378
EmoDiss	=~	MHWdmental		0.627478258930208	0.0146760786391317	42.7551714840997	0	0.598713673363233	0.656242844497184
EmoDiss	=~	MHWdexhaust		0.55818311993327	0.0159220114630111	35.0573243355591	0	0.526976550904334	0.589389688962205
EmoDiss	=~	MHWdsleep		0.58650734457262	0.0149562621665468	39.2148344313247	0	0.55719360938285	0.615821079762391
EmoDiss	=~	MHWdfinancial		0.581055331983099	0.015346007195338	37.8636165477374	0	0.550977710573744	0.611132953392454
QualEngag	=~	QIadmin		0.734197618841007	0.0110179488531153	66.6365063614734	0	0.712602835905397	0.755792401776618
QualEngag	=~	QIstudent		0.684486641119822	0.0118862420752551	57.5864631383197	0	0.661190034740797	0.707783247498847
QualEngag	=~	QIadvisor		0.714438126126234	0.0111594031458009	64.021177189487	0	0.692566097871502	0.736310154380967
QualEngag	=~	QIfaculty		0.691912399800205	0.0115750642673991	59.7761173343081	0	0.669225690717367	0.714599108883044
QualEngag	=~	QIstaff		0.695773121084641	0.0112762729141812	61.702401704878	0	0.673672032293001	0.71787420987628
DevAdj	~	x_FASt	c_total	-0.179136086726909	0.0245882124431914	-7.28544570455397	3.20632409511745e-13	-0.227328097559784	-0.130944075894034
sbvalued	~~	sbvalued		0.511519613653357	0.0191633746283846	26.6925645181355	0	0.473960089559475	0.54907913774724
sbmyself	~~	sbmyself		0.505207240779714	0.0188899695238792	26.7447356196669	0	0.468183580843851	0.542230900715576
sbcommunity	~~	sbcommunity		0.452242138561937	0.0194788627916896	23.217070903897	0	0.414064269030429	0.490420008093446
pganalyze	~~	pganalyze		0.598893840677761	0.021378332724759	28.0140574285365	0	0.55699307848772	0.640794602867803
pgthink	~~	pgthink		0.782511456197792	0.0173138109841162	45.1957952478327	0	0.74857701023379	0.816445902161794
pgwork	~~	pgwork		0.723230267353588	0.0188745687678703	38.3177107910791	0	0.686236792344838	0.760223742362338
pgvalues	~~	pgvalues		0.725725358237052	0.0192557157682884	37.6888279288078	0	0.687984848834667	0.763465867639437
pgprobsolve	~~	pgprobsolve		0.652364117238824	0.0192934953849228	33.8126453617433	0	0.614549561148486	0.690178673329163
SEacademic	~~	SEacademic		0.690520985159575	0.0174605289083608	39.5475411302647	0	0.656298977348168	0.724742992970983
SEwellness	~~	SEwellness		0.617151621512795	0.0187573136160982	32.9019194402728	0	0.580387962378519	0.65391528064707
SEnonacad	~~	SEnonacad		0.615988784758404	0.0188333005064696	32.7074261118916	0	0.579076194055703	0.652901375461104
SEactivities	~~	SEactivities		0.553688294472187	0.0187034695432317	29.6035071563795	0	0.517030167781511	0.590346421162863
SEdiverse	~~	SEdiverse		0.687663269263575	0.0184088748192346	37.354986440837	0	0.651582537621969	0.723744000905181
sameinst	~~	sameinst		0.521873230482462	0.0359146190253608	14.5309415676649	0	0.451481870674278	0.592264590290646
evalexp	~~	evalexp		0.432409398365247	0.041292565557443	10.4718462640378	0	0.3514774570434	0.513341339687094
MHWdacad	~~	MHWdacad		0.711011285533548	0.0170775789984949	41.6341968376321	0	0.67753984575336	0.744482725313735
MHWdlonely	~~	MHWdlonely		0.752294608000457	0.0164732093229108	45.6677623196455	0	0.720007711017763	0.784581504983152
MHWdmental	~~	MHWdmental		0.606271034569914	0.018417840609868	32.9175959012852	0	0.570172730301574	0.642369338838255
MHWdexhaust	~~	MHWdexhaust		0.688431604621561	0.017774796097298	38.7307736670021	0	0.653593644438314	0.723269564804808
MHWdsleep	~~	MHWdsleep		0.656009134762374	0.0175439153110337	37.3924020454999	0	0.621623692604927	0.69039457691982
MHWdfinancial	~~	MHWdfinancial		0.66237470117401	0.0178337582791938	37.1416215698509	0	0.627421177237797	0.697328225110223
QIadmin	~~	QIadmin		0.460953856488195	0.016178703750347	28.4913960723404	0	0.429244179820972	0.492663533155418
QIstudent	~~	QIstudent		0.531478038128504	0.0162719477699049	32.6622261602559	0	0.499585606541174	0.563370469715834
QIadvisor	~~	QIadvisor		0.489578163937235	0.0159454061539108	30.7033987853084	0	0.458325742156706	0.520830585717763
QIfaculty	~~	QIfaculty		0.521257231002721	0.016017860855609	32.5422499109917	0	0.489862800616353	0.552651661389088
QIstaff	~~	QIstaff		0.515899763976138	0.015691455383332	32.8777510672556	0	0.48514507655979	0.546654451392486
Belong	~~	Belong		0.789636237721528	0.0255908793815057	30.8561587880482	0	0.739479035801068	0.839793439641987
Gains	~~	Gains		0.617549375123332	0.0407293876799888	15.1622553222608	0	0.537721242158185	0.69737750808848
SupportEnv	~~	SupportEnv		0.846938782890042	0.0227391280610635	37.2458777054107	0	0.802370910850514	0.891506654929571
Satisf	~~	Satisf		0.657511444622341	0.03453550902611	19.038707207855	0	0.589823090743408	0.725199798501275
DevAdj	~~	DevAdj		0.967910262432169	0.0088092716482609	109.874039657212	0	0.950644407271548	0.98517611759279
EmoDiss	~~	EmoDiss		1	0	NA	NA	1	1
QualEngag	~~	QualEngag		1	0	NA	NA	1	1
EmoDiss	~~	QualEngag		-0.274868189079045	0.0208118423058691	-13.2072973184853	0	-0.315658650450475	-0.234077727707614
x_FASt	~~	x_FASt		1	0	NA	NA	1	1
sbvalued	~1			3.81482891738685	0.0468811217313232	81.3723899195442	0	3.72294360723862	3.90671422753508
sbmyself	~1			4.08568052852467	0.0495919904221689	82.3858952573572	0	3.98848201337556	4.18287904367378
sbcommunity	~1			3.22649620999837	0.0393790866788975	81.9342570412478	0	3.14931461836365	3.30367780163309
pganalyze	~1			4.55248921261629	0.0665186685369999	68.4392714518037	0	4.42211501798421	4.68286340724836
pgthink	~1			4.86735975174975	0.0646199000329896	75.3229229581735	0	4.74070707500051	4.99401242849899
pgwork	~1			4.74127813511922	0.0635192049687031	74.6432222735679	0	4.61678278105394	4.8657734891845
pgvalues	~1			4.79799819124667	0.0597805423485887	80.2601984316045	0	4.68083048126716	4.91516590122617
pgprobsolve	~1			4.71263717259718	0.0644231997780464	73.1512434780229	0	4.58637002126338	4.83890432393098
SEacademic	~1			5.29682810213392	0.0674235170174295	78.5605429150877	0	5.16468043706873	5.4289757671991
SEwellness	~1			4.40776711675757	0.0549857828802433	80.1619416123892	0	4.29999696265056	4.51553727086459
SEnonacad	~1			4.19943518729729	0.0515602739749417	81.4471076964837	0	4.09837890727338	4.30049146732119
SEactivities	~1			4.02039434515529	0.0527778495263133	76.1757892987068	0	3.91695166090225	4.12383702940834
SEdiverse	~1			4.63301236323763	0.0603558296311299	76.7616382966269	0	4.51471711090358	4.75130761557168
sameinst	~1			5.03615928487201	0.0743674750187663	67.7199176602562	0	4.89040171221405	5.18191685752997
evalexp	~1			4.63744731765037	0.0683505855028445	67.8479530721411	0	4.50348263174257	4.77141200355817
MHWdacad	~1			2.73584411629118	0.0343924919739432	79.5477140290948	0	2.66843607068366	2.80325216189869
MHWdlonely	~1			2.3758632311435	0.0275879040817466	86.1197437871144	0	2.32179193273433	2.42993452955267
