lhs	op	rhs	label	est.std	se	z	pvalue	ci.lower	ci.upper
Belong	=~	sbvalued		0.699553263627758	0.0135013688781047	51.8135064632024	0	0.673091066884683	0.726015460370833
Belong	=~	sbmyself		0.705398288131308	0.0132144503675222	53.3808269366238	0	0.679498441335472	0.731298134927143
Belong	=~	sbcommunity		0.737651637484825	0.0128975661740446	57.1930880237929	0	0.712372872295475	0.762930402674174
Gains	=~	pganalyze		0.632899413029234	0.0167177165938946	37.8580058750591	0	0.600133290601453	0.665665535457015
Gains	=~	pgthink		0.460642601458178	0.0184085023737879	25.0233610591861	0	0.424562599796233	0.496722603120122
Gains	=~	pgwork		0.523355517698281	0.017817994935088	29.3723014068024	0	0.488432889348792	0.558278146047771
Gains	=~	pgvalues		0.521975062706553	0.0181617836836832	28.7402973076649	0	0.486378620791527	0.557571504621579
Gains	=~	pgprobsolve		0.598240206282315	0.0161177892058554	37.11676574508	0	0.56664991992843	0.6298304926362
SupportEnv	=~	SEacademic		0.556344956279093	0.0157542437810406	35.3139740638408	0	0.525467205864589	0.587222706693596
SupportEnv	=~	SEwellness		0.619698009518167	0.0150973148467707	41.0469024331648	0	0.590107816155235	0.6492882028811
SupportEnv	=~	SEnonacad		0.616221863398036	0.015139208478796	40.703704177211	0	0.586549560025152	0.645894166770919
SupportEnv	=~	SEactivities		0.668934801262519	0.0140033427205531	47.7696514761939	0	0.641488753867064	0.696380848657974
SupportEnv	=~	SEdiverse		0.560630595069038	0.0163989109053937	34.1870626838179	0	0.528489320308785	0.592771869829291
Satisf	=~	sameinst		0.70480985586528	0.0243370763683441	28.9603338214465	0	0.657110062694325	0.752509649036236
Satisf	=~	evalexp		0.739123225370676	0.0247059777549694	29.9167769315265	0	0.690700398768088	0.787546051973263
DevAdj	=~	Belong		0.505919867871546	0.0245726992769787	20.5886973249832	0	0.457758262285735	0.554081473457358
DevAdj	=~	Gains		0.592482824450834	0.0272218654412969	21.7649604406614	0	0.539128948593897	0.645836700307772
DevAdj	=~	SupportEnv		0.397309320848749	0.0271030213849528	14.6592261875766	0	0.344188375062023	0.450430266635475
DevAdj	=~	Satisf		0.55739436717883	0.0268976771721028	20.7227696136132	0	0.504675888653723	0.610112845703937
EmoDiss	=~	MHWdacad		0.53725258257933	0.0154619742440358	34.7467001367283	0	0.506947669931134	0.567557495227526
EmoDiss	=~	MHWdlonely		0.492303767930694	0.0166131075412708	29.6334545904611	0	0.459742675478513	0.524864860382876
EmoDiss	=~	MHWdmental		0.621554121579204	0.0142248688968932	43.6948928024885	0	0.593673890856489	0.649434352301918
EmoDiss	=~	MHWdexhaust		0.5640787225761	0.0152321424584276	37.0321328149087	0	0.534224271950198	0.593933173202001
EmoDiss	=~	MHWdsleep		0.585160469896684	0.0146387077311343	39.9735059025831	0	0.556469129963452	0.613851809829915
EmoDiss	=~	MHWdfinancial		0.587932667264778	0.0148587934093704	39.5679952649458	0	0.55880996732869	0.617055367200865
QualEngag	=~	QIadmin		0.734646007978602	0.0109917211005674	66.8363035467373	0	0.713102630493381	0.756189385463823
QualEngag	=~	QIstudent		0.68391016868715	0.0119105475169997	57.420548275469	0	0.660565924517677	0.707254412856622
QualEngag	=~	QIadvisor		0.717071700942594	0.0109432602960645	65.5263314170159	0	0.695623304888861	0.738520096996328
QualEngag	=~	QIfaculty		0.694221806650647	0.0112993158755385	61.4392777666782	0	0.67207555448465	0.716368058816644
QualEngag	=~	QIstaff		0.690657460510207	0.0114012637163985	60.5772726331055	0	0.668311394247822	0.713003526772591
EmoDiss	~	x_FASt	a1	0.132124751035712	0.0262795642175375	5.02766141561584	4.96497513546856e-07	0.0806177516399308	0.183631750431493
EmoDiss	~	XZ_c	a1z	0.274695106196812	0.0259596135440644	10.5816331098512	0	0.223815198597867	0.325575013795756
EmoDiss	~	cohort	g1	0.00839437841374969	0.0191860999176181	0.437523960043665	0.661731403592521	-0.0292096864285686	0.045998443256068
EmoDiss	~	hgrades_c		0.0197440377713757	0.0195260640099317	1.01116322067433	0.311938315834719	-0.0185263444479141	0.0580144199906656
EmoDiss	~	bparented_c		-0.0906999353862796	0.0191818219210229	-4.72843172873345	2.26260679014878e-06	-0.128295615509345	-0.0531042552632138
EmoDiss	~	pell		0.11057747183436	0.0192332950609168	5.74927340760553	8.96277829731673e-09	0.0728809062109307	0.148274037457789
EmoDiss	~	hapcl		-0.0029186401977015	0.0192396601635486	-0.151699155436807	0.879424223327221	-0.0406276811930468	0.0347904007976438
EmoDiss	~	hprecalc13		-0.0277217424666854	0.0194006028569567	-1.42891139368615	0.153029702246215	-0.0657462253446854	0.0103027404113146
EmoDiss	~	hchallenge_c		0.0400053079468443	0.0190481428153576	2.10022091574145	0.0357094122954453	0.00267163405636801	0.0773389818373206
EmoDiss	~	cSFcareer_c		0.0291481592530931	0.0191934923928411	1.51864802176205	0.128851116619073	-0.00847039457441889	0.0667667130806052
QualEngag	~	x_FASt	a2	0.0411916623420559	0.0250632495514822	1.64350844679755	0.100277779146602	-0.00793140411438887	0.0903147287985006
QualEngag	~	XZ_c	a2z	-0.27859335861832	0.0243438130125329	-11.4441134786442	0	-0.326306355369262	-0.230880361867378
QualEngag	~	EmoDiss	d	-0.176200076221004	0.022866129699443	-7.70572364177993	1.31006316905768e-14	-0.221016866897734	-0.131383285544274
QualEngag	~	cohort	g2	0.0201315713337451	0.0184375368683353	1.09187965168596	0.27488600272286	-0.0160053368918216	0.0562684795593117
QualEngag	~	hgrades_c		0.0288438773451214	0.0185404768295251	1.5557246779753	0.119773575739999	-0.0074947894969471	0.06518254418719
QualEngag	~	bparented_c		0.0284620345127203	0.0181728393340797	1.56618533788197	0.117305234224053	-0.00715607607890873	0.0640801451043493
QualEngag	~	pell		-0.0364600441026689	0.0186150518656499	-1.95863242100056	0.0501558498833508	-0.0729448753296879	2.47871243500078e-05
QualEngag	~	hapcl		0.00417199087381987	0.018466564044732	0.225921338897369	0.82126260081624	-0.0320218095720571	0.0403657913196968
QualEngag	~	hprecalc13		0.0573745221081957	0.0185200510172293	3.09796782173116	0.00194852584514305	0.0210758891225819	0.0936731550938094
QualEngag	~	hchallenge_c		-0.00998504478863256	0.0179949104572993	-0.554881604569604	0.57897564505401	-0.0452544211899623	0.0252843316126972
QualEngag	~	cSFcareer_c		-0.015990012291572	0.0182076875903064	-0.87820115609216	0.379834564741079	-0.0516764242103295	0.0196963996271855
DevAdj	~	x_FASt	c	-0.0346213175235061	0.0317063106990824	-1.09193774867374	0.274860464145168	-0.0967645445763446	0.0275219095293323
DevAdj	~	XZ_c	cz	0.110134688784952	0.0409347060830307	2.69049663045237	0.00713457555331165	0.0299041391444793	0.190365238425425
DevAdj	~	EmoDiss	b1	-0.447061202365851	0.0303932465982494	-14.7092282794034	0	-0.506630871071664	-0.387491533660037
DevAdj	~	QualEngag	b2	0.415496513079482	0.0275132591094453	15.1016828441397	0	0.36157151612765	0.469421510031313
DevAdj	~	cohort	g3	-0.0392348330618874	0.0237543641440625	-1.65168946741495	0.0985978708950321	-0.0857925312598996	0.00732286513612477
DevAdj	~	hgrades_c		0.132230312023568	0.0217575913565517	6.07743338206189	1.22121379675377e-09	0.089586216574387	0.174874407472749
DevAdj	~	bparented_c		0.0027851321400706	0.0238826383493499	0.116617439804192	0.907163217059013	-0.0440239788804504	0.0495942431605916
DevAdj	~	pell		0.00332947826556003	0.0247255286184196	0.134657516000677	0.892882664486166	-0.0451316673252568	0.0517906238563768
DevAdj	~	hapcl		0.0591791559933718	0.0238684968633733	2.47938344555679	0.0131609735950806	0.012397761776053	0.105960550210691
DevAdj	~	hprecalc13		-0.00249097703305881	0.023681865318646	-0.105185001246398	0.916229011968466	-0.0489065801443331	0.0439246260782155
DevAdj	~	hchallenge_c		0.0621414894053224	0.0254481452782208	2.44188677508474	0.0146107281914261	0.0122640411866667	0.112018937623978
DevAdj	~	cSFcareer_c		0.0118090139969399	0.0229098942570969	0.515454757862174	0.606235276609849	-0.033093553636591	0.0567115816304708
sbvalued	~~	sbvalued		0.510625231347753	0.0188898535231565	27.0317200036407	0	0.473601798769129	0.547648663926377
