lhs	op	rhs	label	est.std	se	z	pvalue	ci.lower	ci.upper
Belong	=~	sbvalued		0.879551445442041	0.00537732861489446	163.566616145758	0	0.869012075023812	0.890090815860271
Belong	=~	sbmyself		0.858503647653725	0.00562367656472651	152.658787853934	0	0.84748144412616	0.869525851181291
Belong	=~	sbcommunity		0.901486606338158	0.00499878453489128	180.341160945391	0	0.891689168683296	0.911284043993021
Gains	=~	pganalyze		0.71421303939878	0.00931441965214407	76.6782114261275	0	0.695957112343686	0.732468966453875
Gains	=~	pgthink		0.785883472069134	0.00796526854855737	98.6637760269199	0	0.770271832586772	0.801495111551496
Gains	=~	pgwork		0.748955925034376	0.00884152343896192	84.7089226426697	0	0.731626857525543	0.766284992543208
Gains	=~	pgvalues		0.712671768402596	0.00936819504012015	76.0735408849318	0	0.694310443523813	0.731033093281378
Gains	=~	pgprobsolve		0.767421394158855	0.00824561039992768	93.0702952161778	0	0.751260294744448	0.783582493573262
SupportEnv	=~	SEacademic		0.854927393352948	0.00578079870293581	147.890877590802	0	0.843597236093318	0.866257550612578
SupportEnv	=~	SEwellness		0.831067657054398	0.00623708963015403	133.246066087698	0	0.818843186010947	0.843292128097848
SupportEnv	=~	SEnonacad		0.774950253876137	0.00738325988819852	104.960446416741	0	0.760479330406769	0.789421177345505
SupportEnv	=~	SEactivities		0.742394295842681	0.00789125551859295	94.0780962032583	0	0.726927719233436	0.757860872451926
SupportEnv	=~	SEdiverse		0.798154552410215	0.00695914791874375	114.691419370533	0	0.784514873126391	0.81179423169404
Satisf	=~	sameinst		0.891956442679758	0.0121758673836798	73.2560904757645	0	0.868092181127209	0.915820704232306
Satisf	=~	evalexp		0.874147008555603	0.0121237840823325	72.1018291499817	0	0.850384828397891	0.897909188713315
DevAdj	=~	Belong		0.503529507066057	0.0194759121037806	25.8539628019944	0	0.465357420776579	0.541701593355534
DevAdj	=~	Gains		0.277876712860135	0.0213564149140301	13.011393250165	0	0.236018908789742	0.319734516930528
DevAdj	=~	SupportEnv		0.576188445040434	0.0213605031508269	26.9744790640912	0	0.534322628173159	0.618054261907709
DevAdj	=~	Satisf		0.663192441784594	0.0224245596534942	29.5743796994139	0	0.619241112494576	0.707143771074613
EmoDiss	=~	MHWdacad		0.928979464547037	0.00241944524823067	383.963830231909	0	0.924237438997938	0.933721490096136
EmoDiss	=~	MHWdlonely		0.941644890206393	0.00212093988398974	443.975285350873	0	0.937487924420399	0.945801855992388
EmoDiss	=~	MHWdmental		0.956596202134146	0.00162899129261574	587.23223780902	0	0.95340343786949	0.959788966398802
EmoDiss	=~	MHWdexhaust		0.948436332446468	0.00184883050211775	512.992581721298	0	0.944812691248798	0.952059973644138
EmoDiss	=~	MHWdsleep		0.936772718320122	0.00223625516518176	418.902427999079	0	0.932389738736124	0.94115569790412
EmoDiss	=~	MHWdfinancial		0.8890114777099	0.00347443617970774	255.87215643854	0	0.88220170793109	0.895821247488711
QualEngag	=~	QIadmin		0.897689438160507	0.00355559023229044	252.472692158971	0	0.890720609361435	0.904658266959578
QualEngag	=~	QIstudent		0.910836319236597	0.00323330278675846	281.70461577765	0	0.904499162223437	0.917173476249756
QualEngag	=~	QIadvisor		0.929268024776586	0.00271144979328235	342.719982158202	0	0.923953680835864	0.934582368717308
QualEngag	=~	QIfaculty		0.933645844480706	0.00263910737386954	353.773345383733	0	0.928473289076588	0.938818399884825
QualEngag	=~	QIstaff		0.923421640668073	0.00287891048755738	320.753856244955	0	0.917779079797745	0.9290642015384
DevAdj	~	x_FASt	c_total	-0.0364017348001963	0.0206343870706153	-1.76412968680009	0.0777101473726876	-0.0768443903016613	0.00404092070126857
sbvalued	~~	sbvalued		0.226389254820816	0.00945927449319641	23.9330463434216	0	0.207849417494273	0.244929092147359
sbmyself	~~	sbmyself		0.262971486965248	0.00965589371257783	27.2342980145587	0	0.244046283050049	0.281896690880447
sbcommunity	~~	sbcommunity		0.18732189859291	0.00901267463659265	20.7842739415399	0	0.169657380900811	0.20498641628501
pganalyze	~~	pganalyze		0.489899734352756	0.0133049600235223	36.8208347478419	0	0.463822491890907	0.515976976814605
pgthink	~~	pgthink		0.382387168328563	0.0125195461002755	30.5432134093222	0	0.357849308869234	0.406925027787892
pgwork	~~	pgwork		0.439065022355903	0.0132438225462493	33.1524392464959	0	0.413107607147614	0.465022437564191
pgvalues	~~	pgvalues		0.492098950521917	0.0133528960920312	36.8533497999429	0	0.46592775509223	0.518270145951604
