lhs	op	rhs	label	est	se	z	pvalue	ci.lower	ci.upper	std.lv	std.all	std.nox
Belong	=~	sbvalued		1	0	NA	NA	1	1	0.697093117053014	0.879442592843145	0.879442592843145
Belong	=~	sbmyself		0.996930659144325	0.0138470980513046	71.9956380355375	0	0.969790845673373	1.02407047261528	0.694953500668633	0.858636986020023	0.858636986020023
Belong	=~	sbcommunity		1.01964639072335	0.0128377383224271	79.4257029637424	0	0.994484885968438	1.04480789547825	0.710788480801192	0.9014750665829	0.9014750665829
Gains	=~	pganalyze		1	0	NA	NA	1	1	0.503819689476041	0.714054321584337	0.714054321584337
Gains	=~	pgthink		1.02385623079466	0.0220659197217463	46.3998892276234	0	0.980607822854284	1.06710463873503	0.515838928267076	0.785619717767606	0.785619717767606
Gains	=~	pgwork		1.0375343130861	0.0233967147409115	44.3452990975638	0	0.991677594837355	1.08339103133484	0.522730215439776	0.750075572198001	0.750075572198001
Gains	=~	pgvalues		1.04278685610239	0.0241763566533333	43.1325063182595	0	0.995402067784464	1.09017164442032	0.525376550031205	0.712771793181044	0.712771793181044
Gains	=~	pgprobsolve		1.02687505366811	0.0231790167462857	44.3019246635065	0	0.981445015648334	1.07230509168788	0.517359870669758	0.766690739420566	0.766690739420566
SupportEnv	=~	SEacademic		1	0	NA	NA	1	1	0.655422469925121	0.855970549767101	0.855970549767101
SupportEnv	=~	SEwellness		0.969118130757432	0.0143681692124808	67.4489641947992	0	0.940957036577193	0.997279224937672	0.635181798910252	0.830811985750247	0.830811985750247
SupportEnv	=~	SEnonacad		0.942856878656409	0.0156367679581264	60.2974272676604	0	0.912209376623872	0.973504380688947	0.617969584194874	0.774254327862975	0.774254327862975
SupportEnv	=~	SEactivities		0.928233790922928	0.0163045784201244	56.9308673309348	0	0.896277404436375	0.96019017740948	0.608385283914663	0.742998726450464	0.742998726450464
SupportEnv	=~	SEdiverse		0.946375457289382	0.0145127608804349	65.20988425884	0	0.917930968647487	0.974819945931276	0.620275739693122	0.797270135321961	0.797270135321961
Satisf	=~	sameinst		1	0	NA	NA	1	1	0.62908342532999	0.89534779435385	0.89534779435385
Satisf	=~	evalexp		0.979605166761237	0.0200002367093611	48.9796786406399	0	0.940405423128613	1.01880491039386	0.616253373777116	0.870836171637992	0.870836171637992
DevAdj	=~	Belong		1	0	NA	NA	1	1	0.552853136111017	0.552853136111017	0.552853136111017
DevAdj	=~	Gains		0.382356330343858	0.0270642056578092	14.1277499579424	0	0.329311461984367	0.43540119870335	0.292478348015346	0.292478348015346	0.292478348015346
DevAdj	=~	SupportEnv		0.953256093923017	0.0407138020413994	23.4135857160603	0	0.873458508248181	1.03305367959785	0.560517060979581	0.560517060979581	0.560517060979581
DevAdj	=~	Satisf		1.01380585288163	0.0400886711672284	25.2890860026908	0	0.935233501205793	1.09237820455747	0.621079398112732	0.621079398112732	0.621079398112732
EmoDiss	=~	MHWdacad		1	0	NA	NA	1	1	1.15551500068767	0.928878963664073	0.928878963664073
EmoDiss	=~	MHWdlonely		1.00050931791826	0.00871865433299403	114.755016050129	0	0.983421069431937	1.01759756640458	1.15610352518234	0.941537303417043	0.941537303417043
EmoDiss	=~	MHWdmental		1.01065503609526	0.00828826425285951	121.938080792558	0	0.9944103366653	1.02689973552521	1.16782705472861	0.956575420803557	0.956575420803557
EmoDiss	=~	MHWdexhaust		1.01109933539132	0.00853567432750042	118.455706789766	0	0.99436972112566	1.02782894965699	1.16834044923001	0.948397444290651	0.948397444290651
EmoDiss	=~	MHWdsleep		1.00178486925529	0.00907519542897589	110.387140100225	0	0.983997813061831	1.01957192544874	1.15757744388642	0.936867434941064	0.936867434941064
EmoDiss	=~	MHWdfinancial		0.991124962040566	0.0104316519332709	95.0113144476621	0	0.970679299952098	1.01157062412903	1.14525976119387	0.889166537595674	0.889166537595674
QualEngag	=~	QIadmin		1	0	NA	NA	1	1	1.0155151506382	0.897641204370683	0.897641204370683
QualEngag	=~	QIstudent		1.0303499243882	0.0106797663936593	96.4768222832971	0	1.00941796689332	1.05128188188307	1.04633595867513	0.910910437827163	0.910910437827163
QualEngag	=~	QIadvisor		1.0193482143681	0.0102441856364714	99.5050510153783	0	0.999269979469669	1.03942644926652	1.03516355546679	0.929194138988819	0.929194138988819
QualEngag	=~	QIfaculty		1.00968700236012	0.0100262072031967	100.704781169712	0	0.990035997340315	1.02933800737992	1.02535244829916	0.933713716811583	0.933713716811583
