lhs	op	rhs	label	est.std	se	z	pvalue	ci.lower	ci.upper
Belong	=~	sbvalued		0.879442592843145	0.0052790839010768	166.590001091622	0	0.86909577852567	0.889789407160621
Belong	=~	sbmyself		0.858636986020023	0.00554570325730433	154.829233765636	0	0.84776760736676	0.869506364673286
Belong	=~	sbcommunity		0.9014750665829	0.00488082187469856	184.697391079976	0	0.891908831493535	0.911041301672264
Gains	=~	pganalyze		0.714054321584337	0.00933991262789773	76.4519273393953	0	0.695748429214907	0.732360213953768
Gains	=~	pgthink		0.785619717767606	0.00792535149911136	99.1274289671183	0	0.770086314264527	0.801153121270685
Gains	=~	pgwork		0.750075572198001	0.00880086434259077	85.2274893692085	0	0.7328261950537	0.767324949342302
Gains	=~	pgvalues		0.712771793181044	0.00935490015464353	76.192346406524	0	0.694436525798975	0.731107060563114
Gains	=~	pgprobsolve		0.766690739420566	0.0082491691610582	92.9415707753792	0	0.750522664962514	0.782858813878619
SupportEnv	=~	SEacademic		0.855970549767101	0.00569410864844043	150.325644032371	0	0.8448103018921	0.867130797642102
SupportEnv	=~	SEwellness		0.830811985750247	0.0062113859664584	133.756296941882	0	0.818637892961911	0.842986078538582
SupportEnv	=~	SEnonacad		0.774254327862975	0.00736430484027757	105.136105125408	0	0.759820555604857	0.788688100121093
SupportEnv	=~	SEactivities		0.742998726450464	0.0078913461273229	94.1536101018195	0	0.727531972251371	0.758465480649556
SupportEnv	=~	SEdiverse		0.797270135321961	0.00697175646232807	114.357140790849	0	0.783605743746814	0.810934526897109
Satisf	=~	sameinst		0.89534779435385	0.00868926654327301	103.040664007137	0	0.878317144876966	0.912378443830733
Satisf	=~	evalexp		0.870836171637992	0.00896155412188266	97.174681957402	0	0.853271848313595	0.888400494962388
DevAdj	=~	Belong		0.552853136111017	0.0132426708386715	41.7478575769298	0	0.526897978208103	0.578808294013932
DevAdj	=~	Gains		0.292478348015346	0.0170779181717728	17.1261125081843	0	0.259006243467749	0.325950452562943
DevAdj	=~	SupportEnv		0.560517060979581	0.0143055646654423	39.1817501851997	0	0.532478669456805	0.588555452502357
DevAdj	=~	Satisf		0.621079398112732	0.0143337813165029	43.3297665423195	0	0.592985702970114	0.649173093255351
EmoDiss	=~	MHWdacad		0.928878963664073	0.00240992304322331	385.439263828808	0	0.924155601293842	0.933602326034304
EmoDiss	=~	MHWdlonely		0.941537303417043	0.00212184220340017	443.735779177294	0	0.937378569117501	0.945696037716584
EmoDiss	=~	MHWdmental		0.956575420803557	0.00162063980603965	590.245542062267	0	0.953399025151808	0.959751816455307
EmoDiss	=~	MHWdexhaust		0.948397444290651	0.00183893737183928	515.73123631833	0	0.944793193272021	0.95200169530928
EmoDiss	=~	MHWdsleep		0.936867434941064	0.00221930228297844	422.145032754947	0	0.932517682395619	0.941217187486509
EmoDiss	=~	MHWdfinancial		0.889166537595674	0.00346185880282256	256.846563721984	0	0.882381419022579	0.89595165616877
QualEngag	=~	QIadmin		0.897641204370683	0.0035424882988679	253.392849500039	0	0.890698054889247	0.904584353852118
QualEngag	=~	QIstudent		0.910910437827163	0.00322495699930845	282.456615087425	0	0.904589638256828	0.917231237397498
QualEngag	=~	QIadvisor		0.929194138988819	0.00269909556584894	344.261296541593	0	0.923904008888923	0.934484269088715
QualEngag	=~	QIfaculty		0.933713716811583	0.00262675375396187	355.462979886594	0	0.928565374057562	0.938862059565604
QualEngag	=~	QIstaff		0.923394945406858	0.00287366340584401	321.330237747748	0	0.917762668627713	0.929027222186003
EmoDiss	~	x_FASt	a1	0.0709714720108855	0.0171104937110242	4.1478330905881	3.35636942982998e-05	0.0374355205795791	0.104507423442192
EmoDiss	~	XZ_c	a1z	0.00666581023634785	0.0181396498775062	0.367471824503827	0.713267104776184	-0.0288872502157308	0.0422188706884265
EmoDiss	~	cohort	g1	0.00277807191109147	0.0140670260969472	0.197488217619385	0.84344550085727	-0.0247927926085101	0.030348936430693
EmoDiss	~	hgrades_c		-0.0551399914446697	0.0155407165808713	-3.5480983877243	0.000388023247571478	-0.085599236237122	-0.0246807466522175
EmoDiss	~	bparented_c		-0.191839158095659	0.0185047510848882	-10.3670218105405	0	-0.228107803764918	-0.1555705124264
EmoDiss	~	pell		0.27626768759176	0.017858414292659	15.4698890430224	0	0.241265838757153	0.311269536426367
