"cohort","hgrades","hgrades_c","Cgrades","bparented","bparented_c","pell","hapcl","hprecalc13","hchallenge","hchallenge_c","cSFcareer","cSFcareer_c","firstgen","re_all","living18","sex","StemMaj","trnsfr_cr","x_FASt","credit_dose","credit_dose_c","XZ_c","r","r_minus","r_plus","sbmyself","sbvalued","sbcommunity","pgthink","pganalyze","pgwork","pgvalues","pgprobsolve","SEwellness","SEnonacad","SEactivities","SEacademic","SEdiverse","evalexp","sameinst","MHWdacad","MHWdlonely","MHWdmental","MHWdexhaust","MHWdsleep","MHWdfinancial","QIstudent","QIadvisor","QIfaculty","QIstaff","QIadmin","SFcareer","SFotherwork","SFdiscuss","SFperform","id","DE_group_temp","hdc17","DC_student","archetype_id","archetype_name","credit_band","psw"
1,7,0.7084,7,7,2.7846,0,0,0,5,0.5182,2,-0.293,0,"White","With family (commuting)","Male",1,54,1,4.2,3.67222,3.67222,0,-0.5,0.5,3,3,3,3,3,3,3,4,3,3,3,3,4,3,3,4,4,4,4,3,4,6,7,7,6,6,2,1,3,3,1,2,5,1,10,"Continuing-Gen Cruiser","FASt_12plus",1.00929833880821
1,5,-1.2916,6,7,2.7846,0,0,0,4,-0.4818,3,0.707,0,"Other/Multiracial/Unknown","Off-campus (rent/apartment)","Female",1,2,0,-1,-1.52778,0,32,2.7,3.7,2,3,2,3,3,3,2,3,3,3,3,3,3,3,3,5,5,5,5,5,5,4,4,5,5,NA,3,1,3,1,2,1,2,1,8,"Multiracial Bridge-Builder","non_FASt_1_11",1.09336347768037
1,6,-0.2916,7,2,-2.2154,1,0,0,3,-1.4818,2,-0.293,1,"Hispanic/Latino","With family (commuting)","Male",0,27,1,1.5,0.972219999999996,0.972219999999996,-8,-1.3,-0.3,2,2,2,1,2,2,1,1,2,2,3,2,2,3,3,4,4,4,4,4,3,4,4,4,4,4,2,1,3,2,3,2,5,1,2,"Latino First-Gen Striver","FASt_12plus",1.96590098393654
1,5,-1.2916,7,3,-1.2154,1,0,0,4,-0.4818,2,-0.293,1,"Hispanic/Latino","With family (commuting)","Male",0,9,0,-0.3,-0.827780000000004,0,-3,-0.8,0.2,3,3,2,3,2,3,2,2,3,2,3,2,2,2,2,4,5,5,5,5,5,5,5,5,5,4,2,2,1,2,4,1,1,0,2,"Latino First-Gen Striver","non_FASt_1_11",0.501903705628507
1,4,-2.2916,7,3,-1.2154,0,0,0,4,-0.4818,2,-0.293,1,"Hispanic/Latino","On-campus (residence hall)","Male",0,8,0,-0.4,-0.927780000000004,0,-13,-1.8,-0.8,2,2,2,4,4,4,4,4,3,3,3,3,3,3,3,2,3,3,2,3,2,5,5,5,5,5,2,1,3,2,5,1,2,1,9,"Hispanic On-Campus Transitioner","non_FASt_1_11",0.390043935000145
1,7,0.7084,7,4,-0.2154,1,0,0,4,-0.4818,3,0.707,1,"Hispanic/Latino","With family (commuting)","Female",1,4,0,-0.8,-1.32778,0,24,1.9,2.9,3,3,3,3,3,3,3,4,2,2,1,1,1,3,3,6,NA,6,5,6,5,4,5,5,5,4,3,2,3,2,6,1,2,1,1,"Latina Commuter Caretaker","non_FASt_1_11",0.941805296537573
0,7,0.7084,7,4,-0.2154,1,0,1,4,-0.4818,2,-0.293,1,"Hispanic/Latino","With family (commuting)","Male",1,7,0,-0.5,-1.02778,0,32,2.7,3.7,3,3,3,3,4,3,3,3,2,1,2,2,2,4,4,3,4,4,4,NA,3,5,4,4,5,5,2,2,2,4,7,1,1,0,2,"Latino First-Gen Striver","non_FASt_1_11",1.00522256748033
1,5,-1.2916,7,2,-2.2154,0,0,0,6,1.5182,2,-0.293,1,"White","Off-campus (rent/apartment)","Female",1,0,0,-1.2,-1.72778,0,7,0.2,1.2,1,2,2,3,3,2,3,3,2,2,3,2,3,3,3,5,5,NA,4,5,5,5,6,5,5,5,2,2,2,3,8,0,2,1,7,"White Commuter Working","non_DE",0.383667003232541
0,6,-0.2916,7,2,-2.2154,1,0,0,6,1.5182,2,-0.293,1,"Hispanic/Latino","With family (commuting)","Male",1,50,1,3.8,3.27222,3.27222,16,1.1,2.1,3,3,4,2,3,3,2,2,3,3,2,2,2,2,3,4,4,4,4,4,5,4,4,5,5,5,2,3,3,2,9,2,4,1,2,"Latino First-Gen Striver","FASt_12plus",1.98934554631928
1,5,-1.2916,7,3,-1.2154,1,1,0,4,-0.4818,3,0.707,1,"Hispanic/Latino","With family (commuting)","Female",0,23,1,1.1,0.572219999999996,0.572219999999996,24,1.9,2.9,2,2,2,2,1,2,2,2,3,3,3,2,3,3,3,5,5,5,6,5,5,2,3,3,3,3,3,1,3,3,10,2,6,1,1,"Latina Commuter Caretaker","FASt_12plus",1.78371087060405
0,7,0.7084,7,6,1.7846,1,1,0,3,-1.4818,2,-0.293,0,"Other/Multiracial/Unknown","With family (commuting)","Male",0,30,1,1.8,1.27222,1.27222,26,2.1,3.1,2,2,2,3,2,2,3,3,3,3,4,3,3,3,4,5,5,5,5,5,4,NA,5,5,5,5,2,2,1,3,11,2,4,1,8,"Multiracial Bridge-Builder","FASt_12plus",0.888880116367801
0,8,1.7084,7,7,2.7846,0,0,1,4,-0.4818,4,1.707,0,"White","On-campus (residence hall)","Male",1,6,0,-0.6,-1.12778,0,8,0.3,1.3,3,3,3,2,3,3,3,3,3,3,4,4,4,2,2,2,3,NA,3,2,2,5,5,5,5,5,4,3,2,2,12,1,3,1,6,"White Residential Traditional","non_FASt_1_11",1.6827656130655
0,8,1.7084,7,6,1.7846,0,0,1,5,0.5182,2,-0.293,0,"Asian","With family (commuting)","Female",0,30,1,1.8,1.27222,1.27222,9,0.4,1.4,1,2,2,3,3,3,3,3,4,4,4,4,3,3,3,4,4,4,4,4,5,6,5,6,6,6,2,2,4,2,13,2,4,1,3,"Asian High-Pressure Achiever","FASt_12plus",0.948428747180966
1,6,-0.2916,7,7,2.7846,0,1,1,4,-0.4818,3,0.707,1,"Other/Multiracial/Unknown","Off-campus (rent/apartment)","Male",1,53,1,4.1,3.57222,3.57222,32,2.7,3.7,3,3,3,3,3,3,4,3,3,3,3,3,3,2,2,4,4,4,4,4,3,3,3,3,2,3,3,3,3,1,14,2,7,1,8,"Multiracial Bridge-Builder","FASt_12plus",0.872592359313056
1,6,-0.2916,7,1,-3.2154,1,0,1,5,0.5182,1,-1.293,1,"Hispanic/Latino","With family (commuting)","Male",1,6,0,-0.6,-1.12778,0,9,0.4,1.4,3,3,3,3,4,4,3,3,4,4,4,4,4,3,2,3,3,3,4,3,4,3,3,4,4,3,1,1,3,2,15,1,3,1,2,"Latino First-Gen Striver","non_FASt_1_11",0.433427309380462
0,4,-2.2916,6,3,-1.2154,1,0,0,4,-0.4818,1,-1.293,1,"Black/African American","On-campus (residence hall)","Female",0,4,0,-0.8,-1.32778,0,-9,-1.4,-0.4,4,3,4,3,3,3,3,3,3,3,2,2,3,3,3,2,2,2,2,3,2,4,5,5,4,5,1,2,3,3,16,1,2,1,5,"Black Campus Connector","non_FASt_1_11",0.3969311103681
0,6,-0.2916,7,5,0.7846,0,0,1,3,-1.4818,1,-1.293,0,"Asian","On-campus (residence hall)","Male",0,26,1,1.4,0.872219999999996,0.872219999999996,34,2.9,3.9,3,4,4,3,3,3,4,3,4,2,4,4,3,4,3,4,3,3,3,3,3,5,5,5,6,6,1,2,2,3,17,2,4,1,10,"Continuing-Gen Cruiser","FASt_12plus",1.46354869486342
1,8,1.7084,7,6,1.7846,0,0,1,5,0.5182,2,-0.293,0,"White","On-campus (residence hall)","Female",0,4,0,-0.8,-1.32778,0,10,0.5,1.5,4,4,4,3,4,4,4,4,4,4,4,4,4,4,4,2,2,2,2,2,1,7,6,6,6,6,2,3,2,2,18,1,3,1,6,"White Residential Traditional","non_FASt_1_11",1.53539286828332
1,7,0.7084,7,5,0.7846,0,1,1,7,2.5182,3,0.707,0,"Asian","With family (commuting)","Male",0,61,1,4.9,4.37222,4.37222,19,1.4,2.4,2,2,2,4,4,4,4,4,3,3,3,3,3,4,3,4,4,NA,NA,4,4,4,4,4,4,4,3,1,1,2,19,2,7,1,3,"Asian High-Pressure Achiever","FASt_12plus",1.06548366820715
1,7,0.7084,7,5,0.7846,0,1,1,4,-0.4818,2,-0.293,0,"Asian","Off-campus (rent/apartment)","Male",0,38,1,2.6,2.07222,2.07222,34,2.9,3.9,4,4,3,3,3,4,3,4,3,4,3,4,3,4,4,2,3,2,2,2,3,6,6,6,6,6,2,3,3,2,20,2,5,1,10,"Continuing-Gen Cruiser","FASt_12plus",1.01768025472148
1,7,0.7084,7,3,-1.2154,0,0,1,4,-0.4818,2,-0.293,1,"White","Off-campus (rent/apartment)","Female",0,9,0,-0.3,-0.827780000000004,0,26,2.1,3.1,1,1,1,3,3,3,3,2,3,2,1,2,2,3,2,4,3,3,3,3,3,4,4,4,4,4,2,1,2,4,21,1,3,1,7,"White Commuter Working","non_FASt_1_11",0.839117039869792
