lhs	op	rhs	label	est	se	z	pvalue	ci.lower	ci.upper	std.lv	std.all	std.nox
Belong	=~	sbvalued		1	0	NA	NA	1	1	0.690553316018189	0.877553182294525	0.877553182294525
Belong	=~	sbmyself		0.996930674903832	0.013847152083734	71.9953582422849	0	0.969790755531264	1.0240705942764	0.688433783395093	0.8564988772243	0.8564988772243
Belong	=~	sbcommunity		1.01964431111906	0.012837687528348	79.4258552303515	0	0.994482905918715	1.0448057163194	0.704118760202347	0.899871051182217	0.899871051182217
Gains	=~	pganalyze		1	0	NA	NA	1	1	0.502501406099918	0.713136756855427	0.713136756855427
Gains	=~	pgthink		1.02385599426908	0.0220659364624969	46.3998433064112	0	0.98060755351744	1.06710443502073	0.514489076764044	0.784830949035934	0.784830949035934
Gains	=~	pgwork		1.03753402584876	0.0233967035273916	44.3453080744502	0	0.991677329578109	1.08339072211941	0.52136230686551	0.749214848351682	0.749214848351682
Gains	=~	pgvalues		1.04278665759419	0.0241763515383167	43.1325072330079	0	0.995401879301507	1.09017143588687	0.524001761703313	0.711852331679517	0.711852331679517
Gains	=~	pgprobsolve		1.02687506423947	0.0231790034155259	44.3019505986026	0	0.981445052347505	1.07230507613143	0.516006163669276	0.765861946996317	0.765861946996317
SupportEnv	=~	SEacademic		1	0	NA	NA	1	1	0.649099441244431	0.853738910085717	0.853738910085717
SupportEnv	=~	SEwellness		0.969119486513721	0.0143682124463251	67.4488555994027	0	0.940958307596704	0.997280665430738	0.629054917195146	0.828305153917649	0.828305153917649
SupportEnv	=~	SEnonacad		0.942858028919725	0.015636748122602	60.2975773176829	0	0.912210565764101	0.97350549207535	0.612008619744619	0.771236863685386	0.771236863685386
SupportEnv	=~	SEactivities		0.928234939927386	0.0163046167691166	56.9308038987829	0	0.896278478278189	0.960191401576582	0.602516780850424	0.739762297709036	0.739762297709036
SupportEnv	=~	SEdiverse		0.946377116516887	0.0145127804403063	65.2099106997111	0	0.917932589538349	0.974821643495425	0.614292857537627	0.794442599504575	0.794442599504575
Satisf	=~	sameinst		1	0	NA	NA	1	1	0.621623594880243	0.893210037537774	0.893210037537774
Satisf	=~	evalexp		0.979608762088139	0.0200007086908794	48.9787025664173	0	0.940408093388738	1.01880943078754	0.608947920265414	0.868308775982207	0.868308775982207
DevAdj	=~	Belong		1	0	NA	NA	1	1	0.540767447625403	0.540767447625403	0.540767447625403
DevAdj	=~	Gains		0.382339333868159	0.0270634398676503	14.1275216948744	0	0.329295966429799	0.435382701306519	0.284131545457727	0.284131545457727	0.284131545457727
DevAdj	=~	SupportEnv		0.953258696453555	0.0407144815408357	23.4132588793365	0	0.873459778984296	1.03305761392281	0.54841243849963	0.54841243849963	0.54841243849963
DevAdj	=~	Satisf		1.01381946632435	0.0400874284963761	25.2902095332953	0	0.935249550238624	1.09238938241007	0.609033092313527	0.609033092313527	0.609033092313527
EmoDiss	=~	MHWdacad		1	0	NA	NA	1	1	1.15553550582829	0.928909775239021	0.928909775239021
EmoDiss	=~	MHWdlonely		1.0005183032492	0.00871736502373379	114.77301920078	0	0.983432581762596	1.01760402473581	1.15613442363553	0.941531027304212	0.941531027304212
EmoDiss	=~	MHWdmental		1.0106794115104	0.00828922407904721	121.926901947929	0	0.994432830855688	1.02692599216512	1.16787594500991	0.956599611113195	0.956599611113195
