lhs	op	rhs	label	est.std	se	z	pvalue	ci.lower	ci.upper
Belong	=~	sbvalued		0.877553182294525	0.00533072137180424	164.621844040876	0	0.867105160394171	0.888001204194879
Belong	=~	sbmyself		0.8564988772243	0.00559516025031813	153.078524815371	0	0.845532564645947	0.867465189802654
Belong	=~	sbcommunity		0.899871051182217	0.00494011339677793	182.15595046242	0	0.890188606844988	0.909553495519446
Gains	=~	pganalyze		0.713136756855427	0.00934019462952768	76.351380794673	0	0.694830311772959	0.731443201937896
Gains	=~	pgthink		0.784830949035934	0.00794016868264336	98.843107798392	0	0.76926850438678	0.800393393685088
Gains	=~	pgwork		0.749214848351682	0.00880226666966897	85.1161270691039	0	0.731962722696813	0.76646697400655
Gains	=~	pgvalues		0.711852331679517	0.00935833372667016	76.0661408826254	0	0.693510334619937	0.730194328739097
Gains	=~	pgprobsolve		0.765861946996317	0.00826180697166874	92.6990850334073	0	0.749669102884625	0.78205479110801
SupportEnv	=~	SEacademic		0.853738910085717	0.00574608826504376	148.577409657875	0	0.842476784034243	0.865001036137191
SupportEnv	=~	SEwellness		0.828305153917649	0.00625934805068444	132.330898874856	0	0.816037057171606	0.840573250663691
SupportEnv	=~	SEnonacad		0.771236863685386	0.00741288555341809	104.040033820537	0	0.756707874979169	0.785765852391603
SupportEnv	=~	SEactivities		0.739762297709036	0.0079151641465988	93.4613968842222	0	0.724248861049979	0.755275734368092
SupportEnv	=~	SEdiverse		0.794442599504575	0.00702112665471173	113.150301735611	0	0.780681444130446	0.808203754878704
Satisf	=~	sameinst		0.893210037537774	0.00884426024239687	100.993188017691	0	0.875875605992776	0.910544469082771
Satisf	=~	evalexp		0.868308775982207	0.00908499115357846	95.5761828827089	0	0.850502520521328	0.886115031443086
DevAdj	=~	Belong		0.540767447625403	0.0132119664848029	40.9301255984431	0	0.514872469150239	0.566662426100567
DevAdj	=~	Gains		0.284131545457727	0.0167011644166682	17.012678779101	0	0.251397864701176	0.316865226214279
DevAdj	=~	SupportEnv		0.54841243849963	0.0144142089168902	38.0466553288967	0	0.520161108156889	0.576663768842371
DevAdj	=~	Satisf		0.609033092313527	0.0146052778322662	41.6995211804902	0	0.580407273778084	0.63765891084897
EmoDiss	=~	MHWdacad		0.928909775239021	0.00241003407887278	385.434290486668	0	0.924186195242916	0.933633355235125
