"cohort","hgrades","hgrades_c","Cgrades","bparented","bparented_c","pell","hapcl","hprecalc13","hchallenge","hchallenge_c","cSFcareer","cSFcareer_c","firstgen","re_all","living18","sex","StemMaj","trnsfr_cr","x_FASt","credit_dose","credit_dose_c","XZ_c","r","r_minus","r_plus","sbmyself","sbvalued","sbcommunity","pgthink","pganalyze","pgwork","pgvalues","pgprobsolve","SEwellness","SEnonacad","SEactivities","SEacademic","SEdiverse","evalexp","sameinst","MHWdacad","MHWdlonely","MHWdmental","MHWdexhaust","MHWdsleep","MHWdfinancial","QIstudent","QIadvisor","QIfaculty","QIstaff","QIadmin","SFcareer","SFotherwork","SFdiscuss","SFperform","id","DE_group_temp","hdc17","DC_student","archetype_id","archetype_name","credit_band"
1,7,0.7084,7,7,2.7846,0,0,0,5,0.5182,2,-0.293,0,"White","With family (commuting)","Male",1,54,1,4.2,3.67222,3.67222,0,-0.5,0.5,3,3,3,3,3,3,3,4,3,3,3,3,4,3,3,4,4,4,4,3,4,6,7,7,6,6,2,1,3,3,1,2,5,1,10,"Continuing-Gen Cruiser","FASt_12plus"
1,5,-1.2916,6,7,2.7846,0,0,0,4,-0.4818,3,0.707,0,"Other/Multiracial/Unknown","Off-campus (rent/apartment)","Female",1,2,0,-1,-1.52778,0,32,2.7,3.7,2,3,2,3,3,3,2,3,3,3,3,3,3,3,3,5,5,5,5,5,5,4,4,5,5,NA,3,1,3,1,2,1,2,1,8,"Multiracial Bridge-Builder","non_FASt_1_11"
1,6,-0.2916,7,2,-2.2154,1,0,0,3,-1.4818,2,-0.293,1,"Hispanic/Latino","With family (commuting)","Male",0,27,1,1.5,0.972219999999996,0.972219999999996,-8,-1.3,-0.3,2,2,2,1,2,2,1,1,2,2,3,2,2,3,3,4,4,4,4,4,3,4,4,4,4,4,2,1,3,2,3,2,5,1,2,"Latino First-Gen Striver","FASt_12plus"
1,5,-1.2916,7,3,-1.2154,1,0,0,4,-0.4818,2,-0.293,1,"Hispanic/Latino","With family (commuting)","Male",0,9,0,-0.3,-0.827780000000004,0,-3,-0.8,0.2,3,3,2,3,2,3,2,2,3,2,3,2,2,2,2,4,5,5,5,5,5,5,5,5,5,4,2,2,1,2,4,1,1,0,2,"Latino First-Gen Striver","non_FASt_1_11"
1,4,-2.2916,7,3,-1.2154,0,0,0,4,-0.4818,2,-0.293,1,"Hispanic/Latino","On-campus (residence hall)","Male",0,8,0,-0.4,-0.927780000000004,0,-13,-1.8,-0.8,2,2,2,4,4,4,4,4,3,3,3,3,3,3,3,2,3,3,2,3,2,5,5,5,5,5,2,1,3,2,5,1,2,1,9,"Hispanic On-Campus Transitioner","non_FASt_1_11"
1,7,0.7084,7,4,-0.2154,1,0,0,4,-0.4818,3,0.707,1,"Hispanic/Latino","With family (commuting)","Female",1,4,0,-0.8,-1.32778,0,24,1.9,2.9,3,3,3,3,3,3,3,4,2,2,1,1,1,3,3,6,NA,6,5,6,5,4,5,5,5,4,3,2,3,2,6,1,2,1,1,"Latina Commuter Caretaker","non_FASt_1_11"
0,7,0.7084,7,4,-0.2154,1,0,1,4,-0.4818,2,-0.293,1,"Hispanic/Latino","With family (commuting)","Male",1,7,0,-0.5,-1.02778,0,32,2.7,3.7,3,3,3,3,4,3,3,3,2,1,2,2,2,4,4,3,4,4,4,NA,3,5,4,4,5,5,2,2,2,4,7,1,1,0,2,"Latino First-Gen Striver","non_FASt_1_11"
1,5,-1.2916,7,2,-2.2154,0,0,0,6,1.5182,2,-0.293,1,"White","Off-campus (rent/apartment)","Female",1,0,0,-1.2,-1.72778,0,7,0.2,1.2,1,2,2,3,3,2,3,3,2,2,3,2,3,3,3,5,5,NA,4,5,5,5,6,5,5,5,2,2,2,3,8,0,2,1,7,"White Commuter Working","non_DE"
0,6,-0.2916,7,2,-2.2154,1,0,0,6,1.5182,2,-0.293,1,"Hispanic/Latino","With family (commuting)","Male",1,50,1,3.8,3.27222,3.27222,16,1.1,2.1,3,3,4,2,3,3,2,2,3,3,2,2,2,2,3,4,4,4,4,4,5,4,4,5,5,5,2,3,3,2,9,2,4,1,2,"Latino First-Gen Striver","FASt_12plus"
1,5,-1.2916,7,3,-1.2154,1,1,0,4,-0.4818,3,0.707,1,"Hispanic/Latino","With family (commuting)","Female",0,23,1,1.1,0.572219999999996,0.572219999999996,24,1.9,2.9,2,2,2,2,1,2,2,2,3,3,3,2,3,3,3,5,5,5,6,5,5,2,3,3,3,3,3,1,3,3,10,2,6,1,1,"Latina Commuter Caretaker","FASt_12plus"
0,7,0.7084,7,6,1.7846,1,1,0,3,-1.4818,2,-0.293,0,"Other/Multiracial/Unknown","With family (commuting)","Male",0,30,1,1.8,1.27222,1.27222,26,2.1,3.1,2,2,2,3,2,2,3,3,3,3,4,3,3,3,4,5,5,5,5,5,4,NA,5,5,5,5,2,2,1,3,11,2,4,1,8,"Multiracial Bridge-Builder","FASt_12plus"
