lhs	op	rhs	label	est	se	z	pvalue	ci.lower	ci.upper	std.lv	std.all	std.nox
Belong	=~	sbvalued		1	0	NA	NA	1	1	0.697179309641575	0.879551444655569	0.879551444655569
Belong	=~	sbmyself		0.996652101928417	0.0139793280677821	71.2947072345619	0	0.969253122387494	1.02405108146934	0.694845224375279	0.858503645211436	0.858503645211436
Belong	=~	sbcommunity		1.01953338959712	0.0130263666556871	78.2669040834965	0	0.994002180102559	1.04506459909168	0.710797584715855	0.901486605429026	0.901486605429026
Gains	=~	pganalyze		1	0	NA	NA	1	1	0.503931549179463	0.71421304003748	0.71421304003748
Gains	=~	pgthink		1.02397273798353	0.0220729986770417	46.3902867465202	0	0.980710455545724	1.06723502042133	0.516012168169574	0.785883471455929	0.785883471455929
Gains	=~	pgwork		1.03575588957579	0.0233580182006279	44.342627044787	0	0.989975015152329	1.08153676399925	0.521950070005681	0.748955924935195	0.748955924935195
Gains	=~	pgvalues		1.04240932029776	0.0241574206616387	43.1506879355328	0	0.995061645841568	1.08975699475396	0.525302943656763	0.712671767400105	0.712671767400105
Gains	=~	pgprobsolve		1.02762538364791	0.0231535878843447	44.3829867224482	0	0.982245185281711	1.07300558201411	0.517852851557831	0.767421394491901	0.767421394491901
SupportEnv	=~	SEacademic		1	0	NA	NA	1	1	0.654623826931098	0.854927394495484	0.854927394495484
SupportEnv	=~	SEwellness		0.970599210438622	0.014423485123239	67.2929740728753	0	0.942329699065525	0.99886872181172	0.635377369553633	0.831067656325704	0.831067656325704
SupportEnv	=~	SEnonacad		0.944855850919175	0.0156903245747393	60.219012450536	0	0.914103379846943	0.975608321991408	0.61852515302695	0.774950253193017	0.774950253193017
SupportEnv	=~	SEactivities		0.928610509045049	0.0163493752258727	56.7979201783523	0	0.896566322432607	0.960654695657491	0.607890565159505	0.742394295559531	0.742394295559531
SupportEnv	=~	SEdiverse		0.948581267638125	0.0146011839467646	64.9660514583352	0	0.919963472970822	0.977199062305428	0.620963899576421	0.798154552352597	0.798154552352597
Satisf	=~	sameinst		1	0	NA	NA	1	1	0.626700532941145	0.891956444773393	0.891956444773393
Satisf	=~	evalexp		0.987068003689243	0.0276352497700045	35.717716029497	0	0.932903909436265	1.04123209794222	0.6185960439612	0.874147006141667	0.874147006141667
DevAdj	=~	Belong		1	0	NA	NA	1	1	0.503529512088184	0.503529512088184	0.503529512088184
DevAdj	=~	Gains		0.398891038140795	0.0368074834020924	10.837226598277	0	0.326749696311138	0.471032379970451	0.277876711270539	0.277876711270539	0.277876711270539
DevAdj	=~	SupportEnv		1.07445181065291	0.0663715424656822	16.1884411712815	0	0.944365977821798	1.20453764348401	0.576188456422918	0.576188456422918	0.576188456422918
DevAdj	=~	Satisf		1.18394138731536	0.073145423362827	16.1861307636788	0	1.04057899189029	1.32730378274044	0.663192426963102	0.663192426963102	0.663192426963102
EmoDiss	=~	MHWdacad		1	0	NA	NA	1	1	1.15566715968186	0.928979465131741	0.928979465131741
EmoDiss	=~	MHWdlonely		1.00052152782018	0.00870464461826919	114.941111521118	0	0.98346073787015	1.01758231777021	1.1562698722565	0.941644890533489	0.941644890533489
EmoDiss	=~	MHWdmental		1.01064923606386	0.00828648941650357	121.963498082918	0	0.994408015249236	1.02689045687847	1.16797413207656	0.956596202663537	0.956596202663537
EmoDiss	=~	MHWdexhaust		1.01116053421533	0.00853145506604421	118.521462797105	0	0.994439189550163	1.0278818788805	1.16856502255902	0.948436333067055	0.948436333067055
EmoDiss	=~	MHWdsleep		1.00172703848795	0.00907495579697375	110.383682400083	0	0.983940451964585	1.01951362501131	1.15766304134588	0.936772718698442	0.936772718698442
EmoDiss	=~	MHWdfinancial		0.990862742561313	0.0104098939657613	95.1847104130275	0	0.97045972530554	1.01126575981709	1.14510753133041	0.889011477789179	0.889011477789179
QualEngag	=~	QIadmin		1	0	NA	NA	1	1	1.015559085537	0.897689438281253	0.897689438281253
QualEngag	=~	QIstudent		1.03016728180915	0.0106895336224636	96.3715834752883	0	1.00921618089759	1.05111838272071	1.04619574266423	0.9108363187083	0.9108363187083
QualEngag	=~	QIadvisor		1.01937789184852	0.0102454226106375	99.4959339978941	0	0.999297232525275	1.03945855117176	1.03523847966231	0.929268024195959	0.929268024195959
QualEngag	=~	QIfaculty		1.00962352244448	0.0100386950882209	100.573183423924	0	0.989948041619792	1.02929900326918	1.02533234119036	0.933645844042784	0.933645844042784
QualEngag	=~	QIstaff		1.00667518434789	0.0102248004362849	98.4542623223716	0	0.986634943743662	1.02671542495212	1.02233812964913	0.923421640995737	0.923421640995737
DevAdj	~	x_FASt	c_total	-0.0255576841492306	0.0145543114329714	-1.75602152440768	0.0790847333553544	-0.0540836103776341	0.00296824207917284	-0.0728034699134674	-0.0364017349567337	-0.0728034699134674
sbvalued	~~	sbvalued		0.142240182227295	0.00548206747924092	25.9464486283541	0	0.131495527407165	0.152984837047426	0.142240182227295	0.226389256204301	0.226389256204301
sbmyself	~~	sbmyself		0.172266383323953	0.00581911514109274	29.6035357863024	0	0.16086112722552	0.183671639422386	0.172266383323953	0.262971491158677	0.262971491158677
sbcommunity	~~	sbcommunity		0.116456004311304	0.00514600478064113	22.6303723520434	0	0.106370020276976	0.126541988345632	0.116456004311304	0.187321900232052	0.187321900232052
pganalyze	~~	pganalyze		0.243890424745463	0.0064643133750345	37.7287440437803	0	0.231220603345614	0.256560246145311	0.243890424745463	0.489899733440421	0.489899733440421
pgthink	~~	pgthink		0.164856808323515	0.00502212401855045	32.8261125600594	0	0.155013626121263	0.174699990525768	0.164856808323515	0.382387169292379	0.382387169292379
pgwork	~~	pgwork		0.213242732902945	0.00591951556288741	36.0236797483694	0	0.201640695593761	0.224844770212129	0.213242732902945	0.439065022504467	0.439065022504467
pgvalues	~~	pgvalues		0.267357886903584	0.00711370766661381	37.5834795908684	0	0.253415276080475	0.281300497726694	0.267357886903584	0.492098951950811	0.492098951950811
pgprobsolve	~~	pgprobsolve		0.187178002862151	0.00528460438785074	35.4194920044482	0	0.176820368589421	0.197535637134881	0.187178002862151	0.411064403276106	0.411064403276106
SEacademic	~~	SEacademic		0.157774741270521	0.00528296675836198	29.864799171941	0	0.147420316692609	0.168129165848433	0.157774741270521	0.269099150141164	0.269099150141164
SEwellness	~~	SEwellness		0.18080395325239	0.00547728001390442	33.0098064720824	0	0.170068681691896	0.191539224812883	0.18080395325239	0.309326550609302	0.309326550609302
SEnonacad	~~	SEnonacad		0.254467191139673	0.0067144858502074	37.8982392422218	0	0.241307040698563	0.267627341580784	0.254467191139673	0.399452105076079	0.399452105076079
SEactivities	~~	SEactivities		0.300942462210482	0.0076025797624964	39.5842558199829	0	0.286041679686396	0.315843244734568	0.300942462210482	0.448850709920667	0.448850709920667
SEdiverse	~~	SEdiverse		0.219687168394987	0.00615446254088614	35.695589490639	0	0.207624643470649	0.231749693319324	0.219687168394987	0.362949310558825	0.362949310558825
sameinst	~~	sameinst		0.100912004500668	0.0105604676441465	9.5556378657721	0	0.08021386825824	0.121610140743096	0.100912004500668	0.20441370062721	0.20441370062721
evalexp	~~	evalexp		0.118117033810569	0.0103894735706442	11.3689142195147	0	0.0977540397937759	0.138480027827363	0.118117033810569	0.23586701165356	0.23586701165356
MHWdacad	~~	MHWdacad		0.212014155971896	0.00582290374448787	36.4103830795065	0	0.200601474347256	0.223426837596536	0.212014155971896	0.136997153363545	0.136997153363545
MHWdlonely	~~	MHWdlonely		0.170841274847209	0.00510622392089607	33.4574584847484	0	0.160833259865256	0.180849289829162	0.170841274847209	0.113304900132173	0.113304900132173
MHWdmental	~~	MHWdmental		0.126601274198972	0.00394457285586851	32.0950528295154	0	0.118870053467076	0.134332494930869	0.126601274198972	0.0849237050497016	0.0849237050497016
MHWdexhaust	~~	MHWdexhaust		0.152517407378289	0.00459433444957986	33.1968447338954	0	0.143512677324181	0.161522137432398	0.152517407378289	0.100468522118318	0.100468522118318
MHWdsleep	~~	MHWdsleep		0.18701611691047	0.00546465706587954	34.2228459454792	0	0.176305585873484	0.197726647947456	0.18701611691047	0.12245687350233	0.12245687350233
