lhs	op	rhs	label	est.std	se	z	pvalue	ci.lower	ci.upper
Belong	=~	sbvalued		0.879551444655569	0.00537732872512477	163.566612646535	0	0.869012074021292	0.890090815289846
Belong	=~	sbmyself		0.858503645211436	0.0056236766800068	152.65878429028	0	0.847481441457925	0.869525848964947
Belong	=~	sbcommunity		0.901486605429026	0.00499878468373737	180.3411553936	0	0.89168916748243	0.911284043375622
Gains	=~	pganalyze		0.71421304003748	0.00931441975267053	76.6782106671443	0	0.695957112785358	0.732468967289603
Gains	=~	pgthink		0.785883471455929	0.00796526865504403	98.6637746309117	0	0.770271831764857	0.801495111147001
Gains	=~	pgwork		0.748955924935195	0.00884152353407845	84.708921720159	0	0.731626857239938	0.766284992630452
Gains	=~	pgvalues		0.712671767400105	0.00936819493480143	76.0735416331525	0	0.694310442727743	0.731033092072466
Gains	=~	pgprobsolve		0.767421394491901	0.00824561034507637	93.0702958756891	0	0.751260295185	0.783582493798801
SupportEnv	=~	SEacademic		0.854927394495484	0.00578079852770156	147.890882271485	0	0.843597237579306	0.866257551411661
SupportEnv	=~	SEwellness		0.831067656325704	0.00623708984423729	133.246061397298	0	0.818843184862658	0.84329212778875
SupportEnv	=~	SEnonacad		0.774950253193017	0.00738326005514843	104.960443950858	0	0.760479329396433	0.789421176989601
SupportEnv	=~	SEactivities		0.742394295559531	0.00789125558996901	94.0780953164446	0	0.726927718810392	0.757860872308671
SupportEnv	=~	SEdiverse		0.798154552352597	0.00695914795186266	114.691418816432	0	0.784514873003861	0.811794231701334
Satisf	=~	sameinst		0.891956444773393	0.0121758675380642	73.2560897188608	0	0.868092182918257	0.915820706628529
Satisf	=~	evalexp		0.874147006141667	0.0121237840310338	72.1018292559545	0	0.850384826084499	0.897909186198835
DevAdj	=~	Belong		0.503529512088184	0.0194759121267816	25.8539630293245	0	0.465357425753626	0.541701598422743
DevAdj	=~	Gains		0.277876711270539	0.0213564146446613	13.0113933398462	0	0.236018907728099	0.319734514812979
DevAdj	=~	SupportEnv		0.576188456422918	0.0213605034365134	26.9744792361957	0	0.534322638995707	0.618054273850128
DevAdj	=~	Satisf		0.663192426963102	0.0224245592125793	29.5743796199605	0	0.619241098537261	0.707143755388943
EmoDiss	=~	MHWdacad		0.928979465131741	0.00241944525099834	383.96383003435	0	0.924237439577217	0.933721490686264
EmoDiss	=~	MHWdlonely		0.941644890533489	0.00212093988518498	443.975285254897	0	0.937487924745152	0.945801856321826
EmoDiss	=~	MHWdmental		0.956596202663537	0.00162899111236629	587.232303111818	0	0.953403438752163	0.959788966574911
EmoDiss	=~	MHWdexhaust		0.948436333067055	0.00184883066391456	512.992537163417	0	0.944812691552269	0.952059974581841
EmoDiss	=~	MHWdsleep		0.936772718698442	0.00223625531106274	418.902400841368	0	0.932389738828522	0.941155698568361
EmoDiss	=~	MHWdfinancial		0.889011477789179	0.00347443619802222	255.872155112601	0	0.882201707974473	0.895821247603885
QualEngag	=~	QIadmin		0.897689438281253	0.00355559006731944	252.472703907068	0	0.890720609805519	0.904658266756988
QualEngag	=~	QIstudent		0.9108363187083	0.00323330239436164	281.704649802212	0	0.904499162464224	0.917173474952376
QualEngag	=~	QIadvisor		0.929268024195959	0.00271144963380521	342.720002101546	0	0.923953680567806	0.934582367824111
QualEngag	=~	QIfaculty		0.933645844042784	0.00263910714731598	353.773375587391	0	0.928473289082703	0.938818399002866
QualEngag	=~	QIstaff		0.923421640995737	0.00287891048732003	320.753856385215	0	0.917779080125875	0.929064201865599
DevAdj	~	x_FASt	c_total	-0.0364017349567337	0.0206343871316283	-1.76412968917004	0.0777101469737687	-0.0768443905777818	0.00404092066431445
sbvalued	~~	sbvalued		0.226389256204301	0.00945927448814226	23.9330465024663	0	0.207849418887664	0.244929093520939
sbmyself	~~	sbmyself		0.262971491158677	0.0096558938273756	27.2342981250603	0	0.244046287018478	0.281896695298875
sbcommunity	~~	sbcommunity		0.187321900232052	0.00901267472946333	20.7842739092401	0	0.169657382357929	0.204986418106174
pganalyze	~~	pganalyze		0.489899733440421	0.0133049600806719	36.8208345211119	0	0.463822490866561	0.515976976014281
pgthink	~~	pgthink		0.382387169292379	0.0125195460151955	30.543213693872	0	0.357849309999804	0.406925028584954
pgwork	~~	pgwork		0.439065022504467	0.0132438225574705	33.1524392296243	0	0.413107607274186	0.465022437734748
pgvalues	~~	pgvalues		0.492098951950811	0.0133528961591645	36.8533497216684	0	0.465927756389545	0.518270147512077
pgprobsolve	~~	pgprobsolve		0.411064403276106	0.0126557155774002	32.4805342504819	0	0.386259656545819	0.435869150006393
SEacademic	~~	SEacademic		0.269099150141164	0.00988432623118126	27.224834940419	0	0.249726226716604	0.288472073565724
SEwellness	~~	SEwellness		0.309326550609302	0.0103668869746256	29.8379399106427	0	0.289007825507238	0.329645275711365
SEnonacad	~~	SEnonacad		0.399452105076079	0.0114433182975565	34.9070168887442	0	0.37702361334924	0.421880596802918
SEactivities	~~	SEactivities		0.448850709920667	0.0117168463431787	38.3081502286646	0	0.425886113075647	0.471815306765687
SEdiverse	~~	SEdiverse		0.362949310558825	0.0111089510139871	32.6717896317879	0	0.34117616666539	0.384722454452259
sameinst	~~	sameinst		0.20441370062721	0.0217206869732117	9.41101452635059	0	0.161841936440246	0.246985464814173
evalexp	~~	evalexp		0.23586701165356	0.0211959389517426	11.1279340910806	0	0.194323734689635	0.277410288617485
MHWdacad	~~	MHWdacad		0.136997153363545	0.00449522991625498	30.4761171098627	0	0.128186664625458	0.145807642101632
MHWdlonely	~~	MHWdlonely		0.113304900132173	0.0039943444799091	28.3663316226426	0	0.105476128809705	0.121133671454641
MHWdmental	~~	MHWdmental		0.0849237050497016	0.00311657333958924	27.2490635695724	0	0.078815333548929	0.0910320765504742
MHWdexhaust	~~	MHWdexhaust		0.100468522118318	0.00350699609386616	28.6480279501994	0	0.0935949360804173	0.107342108156218
MHWdsleep	~~	MHWdsleep		0.12245687350233	0.00418972588007514	29.2278962890368	0	0.114245161672287	0.130668585332372
