lhs	op	rhs	label	est	se	z	pvalue	ci.lower	ci.upper	std.lv	std.all	std.nox
Belong	=~	sbvalued		1	0	NA	NA	1	1	0.697093122424422	0.879442594392845	0.879442594392845
Belong	=~	sbmyself		0.996930659391503	0.013847097982855	71.9956384092804	0	0.96979084605471	1.0240704727283	0.69495350619586	0.858636988216597	0.858636988216597
Belong	=~	sbcommunity		1.01964638857782	0.012837738257287	79.4257031996302	0	0.994484883950582	1.04480789320505	0.710788484782495	0.901475067651527	0.901475067651527
Gains	=~	pganalyze		1	0	NA	NA	1	1	0.503819686008946	0.714054318993099	0.714054318993099
Gains	=~	pgthink		1.02385624148417	0.0220659206148267	46.3998878341024	0	0.980607831793388	1.06710465117495	0.515838930102854	0.78561971926628	0.78561971926628
Gains	=~	pgwork		1.03753432429015	0.0233967155640763	44.3452980162393	0	0.991677604428029	1.08339104415226	0.522730217487366	0.750075575229201	0.750075575229201
Gains	=~	pgvalues		1.04278686685783	0.0241763574009765	43.1325054292798	0	0.995402077074543	1.09017165664111	0.525376551834562	0.712771794680406	0.712771794680406
Gains	=~	pgprobsolve		1.02687506469731	0.0231790176007495	44.301923506202	0	0.981445025002825	1.0723051043918	0.517359872666217	0.766690742475479	0.766690742475479
SupportEnv	=~	SEacademic		1	0	NA	NA	1	1	0.655422469173485	0.855970548883177	0.855970548883177
SupportEnv	=~	SEwellness		0.969118128886013	0.0143681692345048	67.4489639611637	0	0.940957034662608	0.997279223109419	0.635181796955258	0.830811983272383	0.830811983272383
SupportEnv	=~	SEnonacad		0.94285688012278	0.0156367680556226	60.2974269854794	0	0.912209377899153	0.973504382346406	0.61796958444728	0.774254327333162	0.774254327333162
SupportEnv	=~	SEactivities		0.928233794080239	0.0163045785708796	56.9308669981873	0	0.896277407298212	0.960190180862267	0.608385285286342	0.742998728039473	0.742998728039473
SupportEnv	=~	SEdiverse		0.946375462392349	0.014512761050259	65.2098838473925	0	0.917930973417605	0.974819951367092	0.620275742326391	0.797270138285336	0.797270138285336
Satisf	=~	sameinst		1	0	NA	NA	1	1	0.629083420368492	0.895347793477091	0.895347793477091
Satisf	=~	evalexp		0.979605165574634	0.0200002365916226	48.9796788696468	0	0.940405422172774	1.01880490897649	0.616253368170333	0.870836167428266	0.870836167428266
DevAdj	=~	Belong		1	0	NA	NA	1	1	0.552853135975136	0.552853135975136	0.552853135975136
DevAdj	=~	Gains		0.382356317889125	0.0270642049582173	14.1277498629434	0	0.329311450900809	0.435401184877441	0.292478342682777	0.292478342682777	0.292478342682777
DevAdj	=~	SupportEnv		0.953256077967909	0.0407137999669282	23.4135865171573	0	0.873458496358961	1.03305365957686	0.560517056421999	0.560517056421999	0.560517056421999
DevAdj	=~	Satisf		1.01380582159545	0.040088666823265	25.2890879625634	0	0.935233478433621	1.09237816475727	0.62107938847755	0.62107938847755	0.62107938847755
EmoDiss	=~	MHWdacad		1	0	NA	NA	1	1	1.1555149986058	0.928878963663498	0.928878963663498
EmoDiss	=~	MHWdlonely		1.00050931822057	0.00871865432897298	114.755016137728	0	0.983421069742127	1.01759756669901	1.15610352344873	0.941537303090392	0.941537303090392
EmoDiss	=~	MHWdmental		1.0106550383724	0.00828826427727485	121.9380807081	0	0.99441033889459	1.02689973785021	1.16782705525582	0.956575421285553	0.956575421285553
EmoDiss	=~	MHWdexhaust		1.01109933624427	0.00853567431074811	118.455707122177	0	0.994369722011437	1.0278289504771	1.16834044811062	0.948397444093911	0.948397444093911
EmoDiss	=~	MHWdsleep		1.00178486936763	0.00907519540261401	110.38714043326	0	0.983997813225844	1.01957192550942	1.15757744193065	0.936867433886093	0.936867433886093
EmoDiss	=~	MHWdfinancial		0.991124960682978	0.0104316519017225	95.0113146048638	0	0.970679298656343	1.01157062270961	1.14525975756176	0.889166537691767	0.889166537691767
QualEngag	=~	QIadmin		1	0	NA	NA	1	1	1.0155151468558	0.897641203561294	0.897641203561294
QualEngag	=~	QIstudent		1.03034992335133	0.0106797663605584	96.4768224852309	0	1.00941796592133	1.05128188078133	1.04633595372499	0.910910436894042	0.910910436894042
QualEngag	=~	QIadvisor		1.01934821452441	0.0102441856122789	99.5050512656274	0	0.999269979673401	1.03942644937542	1.03516355176995	0.929194138451021	0.929194138451021
QualEngag	=~	QIfaculty		1.00968700253229	0.010026207188259	100.704781336921	0	0.990035997541763	1.02933800752281	1.02535244465497	0.933713716070222	0.933713716070222
QualEngag	=~	QIstaff		1.00669632048027	0.0102254316114967	98.4502521486155	0	0.986654842795358	1.02673779816518	1.02231536173171	0.923394945419877	0.923394945419877
EmoDiss	~	x_FASt	a1	0.164017201505667	0.0397950724491244	4.12154549323545	3.7633913219759e-05	0.0860202927432208	0.242014110268113	0.141942944664123	0.0709714723320616	0.141942944664123
EmoDiss	~	XZ_c	a1z	0.00536820152360446	0.0146085972289972	0.367468651469758	0.713269471199603	-0.0232641229098817	0.0340005259570907	0.00464572206339299	0.00666581224499031	0.00464572206339299
EmoDiss	~	cohort	g1	0.00642027256796914	0.0325082563285864	0.197496676015914	0.843438882371327	-0.0572947390362566	0.0701352841721948	0.00555620011485408	0.00277807317289367	0.00555620011485408
EmoDiss	~	hgrades_c		-0.0592808248060798	0.0167214922435176	-3.54518747147469	0.000392333937093703	-0.0920543473711401	-0.0265073022410195	-0.0513025143573263	-0.0551399923693528	-0.0513025143573263
EmoDiss	~	bparented_c		-0.112451864586123	0.011013586530925	-10.2102856567541	0	-0.134038097527352	-0.090865631644895	-0.0973175291725368	-0.191839163526211	-0.0973175291725368
EmoDiss	~	pell		0.655877188422953	0.0435759694904777	15.0513504597133	0	0.5704698576302	0.741284519215705	0.567605949913512	0.27626768856409	0.567605949913512
EmoDiss	~	hapcl		0.0077944938861567	0.0362658623472062	0.214926473043241	0.829824644667108	-0.0632852901826547	0.0788742779549681	0.00674547184204555	0.00317201314986747	0.00674547184204555
EmoDiss	~	hprecalc13		-0.056249834742959	0.0338559846081507	-1.6614443618756	0.0966242344612545	-0.122606345236077	0.0101066757501588	-0.0486794501246873	-0.0240278534798249	-0.0486794501246873
EmoDiss	~	hchallenge_c		-0.00285634113568884	0.0137478357301588	-0.207766603540573	0.83541121008021	-0.029801604032173	0.0240889217607954	-0.00247192043299758	-0.00294442899379286	-0.00247192043299758
EmoDiss	~	cSFcareer_c		-0.023908431496658	0.0206962244358906	-1.15520739402095	0.248005507553657	-0.0644722860069613	0.0166554230136454	-0.0206907149846649	-0.0167668774962031	-0.0206907149846649
QualEngag	~	x_FASt	a2	0.035046215874377	0.0372770339539278	0.940155697947752	0.347137702413186	-0.0380154281257981	0.108107859874552	0.0345107761148476	0.0172553880574238	0.0345107761148476
QualEngag	~	XZ_c	a2z	-0.0164150061505576	0.0139431634726674	-1.17727990371308	0.239083805317699	-0.0437431043875401	0.0109130920864249	-0.0161642159660357	-0.0231928701818153	-0.0161642159660357
QualEngag	~	EmoDiss	d	-0.177125219644418	0.0145916279546833	-12.1388250985092	0	-0.205724284911405	-0.148526154377431	-0.20154386526303	-0.20154386526303	-0.20154386526303
QualEngag	~	cohort	g2	0.00844152687969758	0.0297794824516769	0.283467884084139	0.776818197222515	-0.0499251862038316	0.0668082399632268	0.00831255634722331	0.00415623795202245	0.00831255634722331
QualEngag	~	hgrades_c		0.0474773164130658	0.0158744229659961	2.99080580848606	0.0027824237367704	0.0163640191243579	0.0785906137017737	0.0467519529965292	0.0502490445892311	0.0467519529965292
QualEngag	~	bparented_c		0.06934929782016	0.0107598267460502	6.4452058064613	1.15443654635783e-10	0.048260424918011	0.0904381707223092	0.0682897719791545	0.134617605330384	0.0682897719791545
QualEngag	~	pell		-0.30498593645052	0.043907200859935	-6.94614847854757	3.75388609086258e-12	-0.391042468797959	-0.218929404103081	-0.300326329346053	-0.146176164707248	-0.300326329346053
QualEngag	~	hapcl		0.0829500794261717	0.0318133247044725	2.60740052153399	0.00912325755920462	0.0205971087769273	0.145303050075416	0.0816827594182113	0.0384107728946439	0.0816827594182113
QualEngag	~	hprecalc13		0.00533645710733319	0.0308124849546227	0.173191390281964	0.862500990938736	-0.0550549036779095	0.0657278178925759	0.00525492615630179	0.00259379667205577	0.00525492615630179
QualEngag	~	hchallenge_c		0.0212901717300881	0.0126043981653711	1.68910656825964	0.0911990093613293	-0.00341399472084193	0.0459943381810181	0.0209648982548473	0.0249723467832793	0.0209648982548473
QualEngag	~	cSFcareer_c		-0.0321079937206416	0.0185960684079413	-1.72660118344854	0.0842393132575623	-0.0685556180542497	0.00433963061296652	-0.0316174444271493	-0.0256214354045246	-0.0316174444271493
DevAdj	~	x_FASt	c	-0.0115074226430052	0.0139216317418301	-0.826585766410487	0.40847188763029	-0.0387933194630219	0.0157784741770114	-0.0298591533142179	-0.014929576657109	-0.0298591533142179
DevAdj	~	XZ_c	cz	0.00538954478417297	0.00492377159487438	1.09459683097068	0.273693304570127	-0.00426087020988216	0.0150399597782281	0.0139846470401679	0.0200655635895137	0.0139846470401679
DevAdj	~	EmoDiss	b1	-0.197407027229178	0.00830580289771938	-23.7673623682284	0	-0.213686101771396	-0.18112795268696	-0.591885390067415	-0.591885390067415	-0.591885390067415
DevAdj	~	QualEngag	b2	0.132640977101619	0.00704210125439376	18.8354260056771	0	0.118838712267523	0.146443241935715	0.34951316800804	0.34951316800804	0.34951316800804
DevAdj	~	cohort	g3	0.00972559259640711	0.011283721433835	0.861913567561518	0.388735082345043	-0.0123900950254922	0.0318412802183064	0.0252357082395215	0.0126177320128844	0.0252357082395215
DevAdj	~	hgrades_c		0.01813357801464	0.00635586362333377	2.85304705847804	0.00433022086525869	0.00567631422225758	0.0305908418070225	0.0470525245202139	0.0505720991554651	0.0470525245202139
DevAdj	~	bparented_c		0.0221603044059083	0.00443722694148616	4.99417872877293	5.90866604532891e-07	0.0134634994093647	0.030857109402452	0.0575009667475768	0.113349953051588	0.0575009667475768
DevAdj	~	pell		-0.0869299658258507	0.0184300582661084	-4.71674937597506	2.39642590127431e-06	-0.123052216260398	-0.0508077153913036	-0.225563556472966	-0.109787295888243	-0.225563556472966
DevAdj	~	hapcl		0.0256654951322354	0.0122895662179222	2.08839715553236	0.0367620238669346	0.00157838795948767	0.0497526023049831	0.0665961421434846	0.0313163917300582	0.0665961421434846
DevAdj	~	hprecalc13		0.0268214317656123	0.0116571904630841	2.30084872084317	0.0214001834547644	0.0039737582970436	0.049669105234181	0.0695955356852264	0.034351894485482	0.0695955356852264
DevAdj	~	hchallenge_c		-0.00741060780741311	0.00478545241109202	-1.54856995134595	0.121485133993811	-0.0167899221828838	0.00196870656805761	-0.0192288474611289	-0.0229044491990829	-0.0192288474611289
DevAdj	~	cSFcareer_c		-0.00274976115390244	0.00694690187990694	-0.395825535100155	0.692233737829704	-0.0163654386426536	0.0108659163348488	-0.00713500689242185	-0.00578190684026474	-0.00713500689242185
sbvalued	~~	sbvalued		0.142360518868131	0.00536440438757373	26.5379916543762	0	0.131846479469978	0.152874558266284	0.142360518868131	0.226580723167581	0.226580723167581
sbmyself	~~	sbmyself		0.172116568836472	0.00573528026341309	30.0101409053103	0	0.160875626078939	0.183357511594005	0.172116568836472	0.262742522466332	0.262742522466332
sbcommunity	~~	sbcommunity		0.116468935907998	0.00500634096378237	23.2642835856717	0	0.106656687924657	0.126281183891339	0.116468935907998	0.187342702402674	0.187342702402674
pganalyze	~~	pganalyze		0.244003405152309	0.00647656467519489	37.6748195052907	0	0.231309571645383	0.256697238659235	0.244003405152309	0.490126429527302	0.490126429527302
