lhs	op	rhs	label	est.std	se	z	pvalue	ci.lower	ci.upper
Belong	=~	sbvalued		0.879442594392845	0.00527908375227016	166.59000608101	0	0.869095780367025	0.889789408418665
Belong	=~	sbmyself		0.858636988216597	0.00554570313761523	154.829237503295	0	0.84776760979792	0.869506366635274
Belong	=~	sbcommunity		0.901475067651527	0.00488082181581921	184.697393527	0	0.891908832677564	0.91104130262549
Gains	=~	pganalyze		0.714054318993099	0.00933991304307068	76.4519236635568	0	0.695748425809944	0.732360212176253
Gains	=~	pgthink		0.78561971926628	0.00792535159159129	99.1274279995116	0	0.770086315581944	0.801153122950616
Gains	=~	pgwork		0.750075575229201	0.00880086425630032	85.2274905492651	0	0.732826198254027	0.767324952204376
Gains	=~	pgvalues		0.712771794680406	0.00935490000653403	76.1923477730989	0	0.694436527588626	0.731107061772187
Gains	=~	pgprobsolve		0.766690742475479	0.00824916888181629	92.9415742918661	0	0.75052266856473	0.782858816386227
SupportEnv	=~	SEacademic		0.855970548883177	0.0056941086103423	150.325644882935	0	0.844810301082847	0.867130796683507
SupportEnv	=~	SEwellness		0.830811983272383	0.00621138592694208	133.756297393905	0	0.818637890561497	0.842986075983268
SupportEnv	=~	SEnonacad		0.774254327333162	0.00736430508808888	105.1361015156	0	0.759820554589343	0.788688100076981
SupportEnv	=~	SEactivities		0.742998728039473	0.00789134600362951	94.1536117789971	0	0.727531974082815	0.758465481996131
SupportEnv	=~	SEdiverse		0.797270138285336	0.0069717564744517	114.35714101704	0	0.783605746686426	0.810934529884245
Satisf	=~	sameinst		0.895347793477091	0.00868926657983998	103.04066347261	0	0.878317143928537	0.912378443025645
Satisf	=~	evalexp		0.870836167428266	0.00896155427630914	97.1746798131233	0	0.853271843801199	0.888400491055333
DevAdj	=~	Belong		0.552853135975136	0.0132426700995254	41.7478598968458	0	0.526897979520921	0.578808292429351
DevAdj	=~	Gains		0.292478342682777	0.017077917923165	17.1261124452443	0	0.259006238622443	0.325950446743112
DevAdj	=~	SupportEnv		0.560517056421999	0.0143055647533125	39.1817496259425	0	0.532478664727001	0.588555448116998
DevAdj	=~	Satisf		0.62107938847755	0.0143337817205478	43.3297646487263	0	0.592985692543018	0.649173084412082
EmoDiss	=~	MHWdacad		0.928878963663498	0.00240992296895034	385.439275707671	0	0.92415560143884	0.933602325888157
EmoDiss	=~	MHWdlonely		0.941537303090392	0.00212184186426453	443.735849945983	0	0.937378569455544	0.94569603672524
EmoDiss	=~	MHWdmental		0.956575421285553	0.00162063964798133	590.245599925353	0	0.953399025943592	0.959751816627514
EmoDiss	=~	MHWdexhaust		0.948397444093911	0.00183893726730047	515.731265529325	0	0.944793193280173	0.952001694907648
EmoDiss	=~	MHWdsleep		0.936867433886093	0.00221930205861833	422.145074956295	0	0.932517681780385	0.9412171859918
EmoDiss	=~	MHWdfinancial		0.889166537691767	0.00346185860268334	256.846578598722	0	0.882381419510938	0.895951655872597
QualEngag	=~	QIadmin		0.897641203561294	0.00354248835963583	253.392844924852	0	0.890698053960755	0.904584353161832
QualEngag	=~	QIstudent		0.910910436894042	0.00322495718295625	282.45659871336	0	0.904589636963764	0.91723123682432
QualEngag	=~	QIadvisor		0.929194138451021	0.00269909555244954	344.261298051393	0	0.923904008377388	0.934484268524654
QualEngag	=~	QIfaculty		0.933713716070222	0.00262675376643443	355.462977916522	0	0.928565373291755	0.938862058848688
QualEngag	=~	QIstaff		0.923394945419877	0.00287366317071479	321.3302640442	0	0.917762669101577	0.929027221738177
EmoDiss	~	x_FASt	a1	0.0709714723320616	0.017110493718362	4.14783310758	3.35636918078475e-05	0.0374355208863732	0.10450742377775
