lhs	op	rhs	block	group	est	se	z	pvalue	ci.lower	ci.upper	std.lv	std.all
Belong	=~	sbvalued	1	1	1	0	NA	NA	1	1	0.676378193976832	0.879422448525839
Belong	=~	sbmyself	1	1	0.981358085794135	0.0188980842268658	51.9289719536237	0	0.944318521332674	1.0183976502556	0.663769209713998	0.848277530570805
Belong	=~	sbcommunity	1	1	1.00965213240452	0.0179467479745662	56.2582220375178	0	0.974477152734752	1.04482711207429	0.682906685860626	0.898726899333453
Gains	=~	pganalyze	1	1	1	0	NA	NA	1	1	0.470217400954525	0.696484325405581
Gains	=~	pgthink	1	1	1.04340373185745	0.0322018567473752	32.4019742104621	0	0.980289252397272	1.10651821131762	0.49062659094026	0.771302358638301
Gains	=~	pgwork	1	1	1.05940851787113	0.0353154539645993	29.9984397463244	0	0.990191500002829	1.12862553573942	0.498152319822446	0.739745039179227
Gains	=~	pgvalues	1	1	1.05283501261582	0.0342377208148808	30.750733038229	0	0.985730312905911	1.11993971232572	0.495061343266133	0.698410400977014
Gains	=~	pgprobsolve	1	1	1.06083242590932	0.0330284838207403	32.1187140065801	0	0.996097787156703	1.12556706466193	0.498821866159363	0.758218988437645
SupportEnv	=~	SEacademic	1	1	1	0	NA	NA	1	1	0.588804178096004	0.834736015350056
SupportEnv	=~	SEwellness	1	1	0.964707674185848	0.021768803468267	44.3160633790521	0	0.922041603401514	1.00737374497018	0.568023909201906	0.807921823408492
SupportEnv	=~	SEnonacad	1	1	0.924120849703771	0.0240753000807242	38.38460358148	0	0.876934128628558	0.971307570778985	0.54412621737121	0.738640435763752
SupportEnv	=~	SEactivities	1	1	0.930939030459909	0.0258260663623185	36.0464895195265	0	0.880320870527423	0.981557190392394	0.548140790687437	0.711056311178339
SupportEnv	=~	SEdiverse	1	1	0.924692174549986	0.0229526616295752	40.2869257375577	0	0.879705784406684	0.969678564693288	0.544462615827711	0.761413354028302
Satisf	=~	sameinst	1	1	1	0	NA	NA	1	1	0.550674286620217	0.867095988051958
Satisf	=~	evalexp	1	1	0.967046738640095	0.0385187964643316	25.1058399380568	0	0.891551284842177	1.04254219243801	0.532527772929042	0.840025121128096
DevAdj	=~	Belong	1	1	1	0	NA	NA	1	1	0.549021329165198	0.549021329165198
DevAdj	=~	Gains	1	1	0.143406793563046	0.0330305523809964	4.34164079089253	1.41422610409059e-05	0.0786681005068296	0.208145486619263	0.113253033495918	0.113253033495918
DevAdj	=~	SupportEnv	1	1	0.702249673201259	0.0465971274664391	15.0706644676122	0	0.610920981584017	0.793578364818502	0.442893674200184	0.442893674200184
DevAdj	=~	Satisf	1	1	0.764712020237031	0.0448213178582461	17.0613461803052	0	0.676863851495246	0.852560188978815	0.515681953713043	0.515681953713043
EmoDiss	=~	MHWdacad	1	1	1	0	NA	NA	1	1	1.09633004129823	0.923845022248276
EmoDiss	=~	MHWdlonely	1	1	0.996499830028369	0.0122777847411325	81.1628360521695	0	0.972435814125813	1.02056384593092	1.09249269980868	0.939780659781577
EmoDiss	=~	MHWdmental	1	1	1.00539329634106	0.0117981448819442	85.2162188548565	0	0.982269357288063	1.02851723539405	1.10224287409856	0.951004886825777
EmoDiss	=~	MHWdexhaust	1	1	0.999324809423246	0.0124194449947477	80.4645304074274	0	0.974983144525565	1.02366647432093	1.09558980958534	0.942719117803871
EmoDiss	=~	MHWdsleep	1	1	1.00571847677192	0.0131169940345579	76.6729384889761	0	0.980009640878763	1.03142731266508	1.10259937917376	0.92915932799036
EmoDiss	=~	MHWdfinancial	1	1	0.997141638624158	0.0145718114769924	68.42949074647	0	0.968581412939745	1.02570186430857	1.09319633385301	0.880806555514338
QualEngag	=~	QIadmin	1	1	1	0	NA	NA	1	1	0.896729632177225	0.877078655485354
QualEngag	=~	QIstudent	1	1	0.997279472147084	0.0159385435094363	62.5703014555031	0	0.966040500902564	1.0285184433916	0.894290054236352	0.889654917292006
QualEngag	=~	QIadvisor	1	1	1.00572085999206	0.0146699660245397	68.5564546168485	0	0.976968254929538	1.03447346505459	0.901859696853644	0.913588247670041
QualEngag	=~	QIfaculty	1	1	0.990538724610009	0.0152121174373854	65.1151116001545	0	0.96072352230414	1.02035392691588	0.888245426176832	0.917952520508915
QualEngag	=~	QIstaff	1	1	0.986219353201172	0.0156719631289892	62.9288969788931	0	0.955502869901313	1.01693583650103	0.884372117842148	0.90291098880231
sbvalued	~~	sbvalued	1	1	0.134052516493644	0.0071986166749463	18.6219828818214	0	0.11994348707224	0.148161545915049	0.134052516493644	0.226616157028819
sbmyself	~~	sbmyself	1	1	0.171702004567653	0.00789017099828868	21.7615061327434	0	0.156237553579145	0.187166455556161	0.171702004567653	0.280425231128697
sbcommunity	~~	sbcommunity	1	1	0.111025786454008	0.00673090889820451	16.4949174224635	0	0.0978334474303072	0.124218125477709	0.111025786454008	0.192289960414478
pganalyze	~~	pganalyze	1	1	0.23469599320729	0.00844856572222119	27.7793889429064	0	0.218137108670716	0.251254877743863	0.23469599320729	0.514909584464333
pgthink	~~	pgthink	1	1	0.163910672596357	0.00678538608778471	24.156425364127	0	0.1506115602431	0.177209784949615	0.163910672596357	0.405092671558993
pgwork	~~	pgwork	1	1	0.20532641039684	0.00812609940203384	25.2675238436598	0	0.189399548234061	0.221253272559619	0.20532641039684	0.452777277009724
