lhs	op	rhs	block	group	label	est	se	z	pvalue	ci.lower	ci.upper	std.lv	std.all
Belong	=~	sbvalued	1	1		1	0	NA	NA	1	1	0.658211415043295	0.872139414402377
Belong	=~	sbmyself	1	1	.p2.	0.998605950262383	0.0151755467896389	65.8036223738692	0	0.968862425108988	1.02834947541578	0.657293835592857	0.846428075843745
Belong	=~	sbcommunity	1	1	.p3.	1.026287246758	0.0142996914772652	71.7698873706247	0	0.998260366472528	1.05431412704348	0.675513980929472	0.897979861612803
Gains	=~	pganalyze	1	1		1	0	NA	NA	1	1	0.48361712029548	0.707316069344845
Gains	=~	pgthink	1	1	.p5.	1.032461286001	0.023019282483744	44.8520185948507	0	0.987344321382912	1.0775782506191	0.499315953952373	0.777065273910826
Gains	=~	pgwork	1	1	.p6.	1.04451026573977	0.0243106424624378	42.9651444775118	0	0.996862282072366	1.09215824940718	0.505143046836136	0.744595423383017
Gains	=~	pgvalues	1	1	.p7.	1.04372002194673	0.0248078030141588	42.0722472421698	0	0.995097621503418	1.09234242239005	0.504760871408614	0.70558545901501
Gains	=~	pgprobsolve	1	1	.p8.	1.02768214191042	0.02377207801806	43.2306397921828	0	0.981089725157345	1.07427455866349	0.497004678049807	0.755320032717826
SupportEnv	=~	SEacademic	1	1		1	0	NA	NA	1	1	0.584238168118164	0.830942263939652
SupportEnv	=~	SEwellness	1	1	.p10.	0.975326578083873	0.016321457021446	59.757322940122	0	0.94333711014662	1.00731604602113	0.569823013296679	0.808444373430169
SupportEnv	=~	SEnonacad	1	1	.p11.	0.949025381957326	0.017828124654739	53.2319242958097	0	0.914082899722147	0.983967864192505	0.554456850652389	0.745775567570752
SupportEnv	=~	SEactivities	1	1	.p12.	0.945121517135085	0.0185026099979694	51.0804430963419	0	0.908857067919074	0.981385966351096	0.552176063820062	0.713837758463732
SupportEnv	=~	SEdiverse	1	1	.p13.	0.951651021163858	0.0165171652152806	57.6158807374193	0	0.919277972215211	0.984024070112506	0.555990849292553	0.769155375406828
Satisf	=~	sameinst	1	1		1	0	NA	NA	1	1	0.548343627819355	0.864031697628908
Satisf	=~	evalexp	1	1	.p15.	0.975466916495432	0.0306224560015282	31.8546270895696	0	0.915448005614275	1.03548582737659	0.534891067808865	0.84307711118489
DevAdj	=~	Belong	1	1		1	0	NA	NA	1	1	0.516432612751897	0.516432612751897
DevAdj	=~	Gains	1	1	.p17.	0.278519892011501	0.033145594241068	8.40292347712415	0	0.21355572105283	0.343484062970173	0.195764356600947	0.195764356600947
DevAdj	=~	SupportEnv	1	1	.p18.	0.781474589548395	0.0439605023363784	17.7767438499379	0	0.695313588226805	0.867635590869986	0.454678067138668	0.454678067138668
DevAdj	=~	Satisf	1	1		0.827255402909427	0.0502603198256414	16.4594138234549	0	0.728746986199706	0.925763819619149	0.512821094499675	0.512821094499675
EmoDiss	=~	MHWdacad	1	1		1	0	NA	NA	1	1	1.09121681688594	0.923090066662007
EmoDiss	=~	MHWdlonely	1	1	.p21.	1.0005705085713	0.0097669373697433	102.44465288279	0	0.981427663087349	1.01971335405526	1.09183936543312	0.939684698913603
EmoDiss	=~	MHWdmental	1	1	.p22.	1.01171247520151	0.00936484017838183	108.033074343008	0	0.99335772573091	1.03006722467211	1.10399766679319	0.951206199924534
EmoDiss	=~	MHWdexhaust	1	1	.p23.	1.01175873263333	0.00985464267306148	102.668231228623	0	0.99244398791362	1.03107347735304	1.1040481436807	0.943736699543593
EmoDiss	=~	MHWdsleep	1	1	.p24.	1.00608507160375	0.0102885261304063	97.7870939774745	0	0.985919930934149	1.02625021227334	1.0978569493519	0.928455411100859
EmoDiss	=~	MHWdfinancial	1	1	.p25.	0.995974373892171	0.0114882595879705	86.6949746622256	0	0.973457798854702	1.01849094892964	1.08682398597858	0.879522851191068
QualEngag	=~	QIadmin	1	1		1	0	NA	NA	1	1	0.883808150457863	0.873394453384956
QualEngag	=~	QIstudent	1	1	.p27.	1.02459025654593	0.0118245776416815	86.6492053749349	0	1.00141451023583	1.04776600285602	0.905541219615001	0.892467118474403
QualEngag	=~	QIadvisor	1	1	.p28.	1.01597249746511	0.0111061688987869	91.4782142000448	0	0.994204806417267	1.03774018851295	0.897924773900693	0.912628767699231
QualEngag	=~	QIfaculty	1	1	.p29.	1.00754146077267	0.0111580753031435	90.2970658827525	0	0.985672035041719	1.02941088650361	0.890473354955103	0.918513527687554
QualEngag	=~	QIstaff	1	1	.p30.	1.00219039516263	0.0111773774249965	89.6623919061175	0	0.980283137968027	1.02409765235724	0.88574403955532	0.903239755387051
sbvalued	~~	sbvalued	1	1		0.136343320800788	0.00694289873794283	19.6378092129838	0	0.122735489326111	0.149951152275464	0.136343320800788	0.239372841845878
sbmyself	~~	sbmyself	1	1		0.17099492407775	0.00765197883098812	22.3464972727413	0	0.155997321158551	0.18599252699695	0.17099492407775	0.283559512423455
sbcommunity	~~	sbcommunity	1	1		0.10957538315136	0.00640558944778597	17.1062138846931	0	0.0970206585339495	0.12213010776877	0.10957538315136	0.193632168137851
pganalyze	~~	pganalyze	1	1		0.233608741914189	0.00824261775670981	28.3415716716965	0	0.217453507972708	0.249763975855671	0.233608741914189	0.499703978046558
pgthink	~~	pgthink	1	1		0.163575021470211	0.00654899033285845	24.9771358875736	0	0.150739236282708	0.176410806657715	0.163575021470211	0.396169560081892
pgwork	~~	pgwork	1	1		0.205074394434927	0.00786658831770055	26.0690385911629	0	0.18965616465103	0.220492624218824	0.205074394434927	0.445577655477066
pgvalues	~~	pgvalues	1	1		0.256983274856438	0.00898105033966517	28.6139443759112	0	0.239380739647353	0.274585810065523	0.256983274856438	0.502149160026579
pgprobsolve	~~	pgprobsolve	1	1		0.18595748742743	0.00706936199190057	26.3047058052033	0	0.172101792529629	0.199813182325232	0.18595748742743	0.429491648175142
SEacademic	~~	SEacademic	1	1		0.153019878394381	0.00718507785853392	21.2968991299983	0	0.138937384565538	0.167102372223224	0.153019878394381	0.309534953998846
SEwellness	~~	SEwellness	1	1		0.172099556887018	0.00722106192732913	23.8329983344531	0	0.157946535579319	0.186252578194716	0.172099556887018	0.346417695069102
SEnonacad	~~	SEnonacad	1	1		0.245315450931197	0.00889456475114019	27.5803772072996	0	0.227882424360803	0.262748477501591	0.245315450931197	0.443818802814523
SEactivities	~~	SEactivities	1	1		0.29345273155589	0.0100606201237465	29.1684536287422	0	0.273734278451208	0.313171184660572	0.29345273155589	0.490435654591475
SEdiverse	~~	SEdiverse	1	1		0.213399241306732	0.00795685903389064	26.8195327324263	0	0.197804084170244	0.22899439844322	0.213399241306732	0.408400008482781
sameinst	~~	sameinst	1	1		0.102079191125617	0.0100474940731424	10.1596667171451	0	0.0823864646073783	0.121771917643856	0.102079191125617	0.253449225492506
evalexp	~~	evalexp	1	1		0.116419544043671	0.00985984492500007	11.8074416919564	0	0.0970946030975204	0.135744484989821	0.116419544043671	0.289220984596141
MHWdacad	~~	MHWdacad	1	1		0.206688353232066	0.0079093531053522	26.1321438654953	0	0.191186306004565	0.222190400459566	0.206688353232066	0.147904728829931
MHWdlonely	~~	MHWdlonely	1	1		0.157947161827945	0.0067005918146655	23.5721211195477	0	0.144814243196097	0.171080080459793	0.157947161827945	0.116992666627652
MHWdmental	~~	MHWdmental	1	1		0.128249232892819	0.00546379605653814	23.4725512383195	0	0.117540389403132	0.138958076382506	0.128249232892819	0.0952067652251275
MHWdexhaust	~~	MHWdexhaust	1	1		0.149670763835299	0.00627794313303159	23.8407326514	0	0.137366221397566	0.161975306273031	0.149670763835299	0.109361041934567
MHWdsleep	~~	MHWdsleep	1	1		0.192910471053426	0.00760917469891484	25.3523514292473	0	0.177996762691479	0.207824179415372	0.192910471053426	0.137970549597534
MHWdfinancial	~~	MHWdfinancial	1	1		0.345761366191337	0.0118797540980006	29.1050945448045	0	0.322477476014064	0.36904525636861	0.345761366191337	0.226439554232734
QIadmin	~~	QIadmin	1	1		0.242871809327386	0.00911447696469408	26.6468180531013	0	0.225007762738666	0.260735855916107	0.242871809327386	0.237182128796393
QIstudent	~~	QIstudent	1	1		0.209508489344105	0.00841398857633647	24.9000206552843	0	0.193017374768154	0.225999603920055	0.209508489344105	0.203502442441995
QIadvisor	~~	QIadvisor	1	1		0.161767302639853	0.00669546227899589	24.1607369139137	0	0.148644437713174	0.174890167566531	0.161767302639853	0.167108732367783
QIfaculty	~~	QIfaculty	1	1		0.146933602486743	0.00615603888919998	23.8682056970953	0	0.134867987976483	0.158999216997003	0.146933602486743	0.156332899454964
QIstaff	~~	QIstaff	1	1		0.177092776303627	0.00717813865330571	24.6711278308996	0	0.163023883067113	0.191161669540141	0.177092776303627	0.18415794428834
Belong	~~	Belong	1	1		0.317695409030964	0.0131392656353307	24.1790841169007	0	0.291942921602411	0.343447896459517	0.733297356486249	0.733297356486249
Gains	~~	Gains	1	1		0.224922164479039	0.0102095138497188	22.0306439454249	0	0.204911885033927	0.24493244392415	0.961676316684618	0.961676316684618
SupportEnv	~~	SupportEnv	1	1		0.270769478181113	0.0114021350785389	23.7472610450613	0	0.248421704080316	0.29311725228191	0.793267855263045	0.793267855263045
Satisf	~~	Satisf	1	1		0.221606068481892	0.0115605115224115	19.1692269024844	0	0.198947882255106	0.244264254708679	0.737014525036156	0.737014525036156
DevAdj	~~	DevAdj	1	1		0.115546857862332	0.0116460981508331	9.92150816229096	0	0.092720924926281	0.138372790798384	1	1
EmoDiss	~~	EmoDiss	1	1		1.19075414145468	0.0375615541248751	31.701407707891	0	1.11713484816657	1.26437343474279	1	1
QualEngag	~~	QualEngag	1	1		0.781116846815748	0.0259107819630836	30.1464019082344	0	0.730332647356835	0.831901046274662	1	1
DevAdj	~~	EmoDiss	1	1		-0.315168873546536	0.0177051828684853	-17.8009386227537	0	-0.349870394308463	-0.28046735278461	-0.849675702376634	-0.849675702376634
DevAdj	~~	QualEngag	1	1		0.151263976866408	0.0110026074508655	13.7480117819262	0	0.129699262526679	0.172828691206136	0.50349880244732	0.50349880244732
EmoDiss	~~	QualEngag	1	1		-0.160570309101673	0.0206578054972957	-7.77286382731665	7.7715611723761e-15	-0.201058863876006	-0.12008175432734	-0.166493081248913	-0.166493081248913
sbvalued	~1		1	1		3.1078353323133	0.016569136578527	187.567729771807	0	3.07536042136447	3.14031024326214	3.1078353323133	4.1179256768199
sbmyself	~1		1	1		3.08466139447189	0.016810537862844	183.495698926437	0	3.05171334569997	3.11760944324381	3.08466139447189	3.97226303879351
sbcommunity	~1		1	1		3.0986209991706	0.0163136105081364	189.940847099737	0	3.06664691011684	3.13059508822436	3.0986209991706	4.11908462974692
pganalyze	~1		1	1		3.07905481443111	0.0144303716924363	213.373215885007	0	3.0507718056304	3.10733782323181	3.07905481443111	4.50328339763924
pgthink	~1		1	1		3.07766957452392	0.0135910711569404	226.447903846952	0	3.051031564545	3.10430758450285	3.07766957452392	4.78965298826114
pgwork	~1		1	1		3.07558772471386	0.014414640453067	213.365552524723	0	3.04733554857576	3.10383990085197	3.07558772471386	4.53350503066077
pgvalues	~1		1	1		3.08642537595503	0.0152346594954592	202.592343916512	0	3.0565659920272	3.11628475988286	3.08642537595503	4.31439318886087
pgprobsolve	~1		1	1		3.0993599790487	0.0140435540159946	220.696269300403	0	3.0718351189624	3.12688483913499	3.0993599790487	4.71023470033571
SEacademic	~1		1	1		3.11465598364042	0.0151771876141884	205.219574457174	0	3.08490924253	3.14440272475084	3.11465598364042	4.4298702749525
SEwellness	~1		1	1		3.09352817727349	0.0150847035765657	205.077160553512	0	3.06396270154596	3.12309365300102	3.09352817727349	4.38898638806348
SEnonacad	~1		1	1		3.08415569473353	0.0158337529906151	194.783618044411	0	3.05312210913182	3.11518928033524	3.08415569473353	4.14836242172879
SEactivities	~1		1	1		3.07334296400112	0.0166237671883651	184.876444019989	0	3.04076097902455	3.1059249489777	3.07334296400112	3.97313175300507
SEdiverse	~1		1	1		3.0876903343025	0.01537513090876	200.823677705618	0	3.05755563146374	3.11782503714126	3.0876903343025	4.27149767166552
sameinst	~1		1	1		3.31018749331884	0.0136567226257624	242.385203538835	0	3.28342080882549	3.33695417781219	3.31018749331884	5.21590253669272
evalexp	~1		1	1		3.30818164269288	0.0136627074390837	242.132217017944	0	3.28140322818097	3.33496005720479	3.30818164269288	5.21424340477681
MHWdacad	~1		1	1		3.01733268413596	0.0254675903351917	118.477352761817	0	2.96741712430596	3.06724824396595	3.01733268413596	2.55244401061283
MHWdlonely	~1		1	1		3.00287525994354	0.0248746384094861	120.720358242409	0	2.95412186453249	3.05162865535459	3.00287525994354	2.58440575037866
MHWdmental	~1		1	1		2.99996231908176	0.0247690217655591	121.117513137041	0	2.95141592848897	3.04850870967454	2.99996231908176	2.58477245313338
MHWdexhaust	~1		1	1		3.00530361541107	0.0248412111028406	120.980559400641	0	2.95661573631714	3.05399149450499	3.00530361541107	2.56892358487107
MHWdsleep	~1		1	1		3.01705491044136	0.0253983479386685	118.789415663054	0	2.96727506321475	3.06683475766797	3.01705491044136	2.55151726173554
MHWdfinancial	~1		1	1		3.03138423794822	0.0266601053580978	113.704885904641	0	2.9791313916223	3.08363708427413	3.03138423794822	2.45317709437122
QIadmin	~1		1	1		5.4488275070089	0.0220703619310435	246.884374802424	0	5.40557039249829	5.49208462151951	5.4488275070089	5.38462529408394
QIstudent	~1		1	1		5.4683910388163	0.0218191724386426	250.623210123752	0	5.42562624666409	5.51115583096851	5.4683910388163	5.38943903092403
QIadvisor	~1		1	1		5.46480587408469	0.0212582662944043	257.067335520356	0	5.4231404377739	5.50647131039549	5.46480587408469	5.55429496495105
QIfaculty	~1		1	1		5.47430366981577	0.0209102404321785	261.80013030321	0	5.43332035166062	5.51528698797091	5.47430366981577	5.64668437007744
QIstaff	~1		1	1		5.46712558455861	0.0211747324229166	258.191011596527	0	5.42562387162742	5.5086272974898	5.46712558455861	5.5751153325809
Belong	~1		1	1		0	0	NA	NA	0	0	0	0
Gains	~1		1	1		0	0	NA	NA	0	0	0	0
SupportEnv	~1		1	1		0	0	NA	NA	0	0	0	0
Satisf	~1		1	1		0	0	NA	NA	0	0	0	0
DevAdj	~1		1	1		0	0	NA	NA	0	0	0	0
EmoDiss	~1		1	1		0	0	NA	NA	0	0	0	0
QualEngag	~1		1	1		0	0	NA	NA	0	0	0	0
Belong	=~	sbvalued	2	2		1	0	NA	NA	1	1	0.653091512491981	0.859497366389775
Belong	=~	sbmyself	2	2	.p2.	0.998605950262383	0.0151755467896389	65.8036223738692	0	0.968862425108988	1.02834947541578	0.652181070440352	0.842244825664032
Belong	=~	sbcommunity	2	2	.p3.	1.026287246758	0.0142996914772652	71.7698873706247	0	0.998260366472529	1.05431412704348	0.670259490236415	0.8866601109808
Gains	=~	pganalyze	2	2		1	0	NA	NA	1	1	0.49619186423565	0.699365962690592
Gains	=~	pgthink	2	2	.p5.	1.032461286001	0.023019282483744	44.8520185948507	0	0.987344321382913	1.0775782506191	0.512298890251975	0.783321665782849
Gains	=~	pgwork	2	2	.p6.	1.04451026573977	0.0243106424624378	42.9651444775118	0	0.996862282072366	1.09215824940718	0.518277495970693	0.740944631388708
Gains	=~	pgvalues	2	2	.p7.	1.04372002194673	0.0248078030141588	42.0722472421698	0	0.995097621503418	1.09234242239005	0.517885383429823	0.699429623027736
Gains	=~	pgprobsolve	2	2	.p8.	1.02768214191042	0.02377207801806	43.2306397921829	0	0.981089725157345	1.07427455866349	0.509927517836217	0.760197851537619
SupportEnv	=~	SEacademic	2	2		1	0	NA	NA	1	1	0.613058929420647	0.83578872704872
SupportEnv	=~	SEwellness	2	2	.p10.	0.975326578083873	0.0163214570214461	59.757322940122	0	0.94333711014662	1.00731604602113	0.597932667795602	0.806947986119235
SupportEnv	=~	SEnonacad	2	2	.p11.	0.949025381957326	0.017828124654739	53.2319242958097	0	0.914082899722147	0.983967864192505	0.581808484655779	0.748079501319279
SupportEnv	=~	SEactivities	2	2	.p12.	0.945121517135085	0.0185026099979694	51.080443096342	0	0.908857067919074	0.981385966351096	0.579415185467253	0.723396755270733
SupportEnv	=~	SEdiverse	2	2	.p13.	0.951651021163859	0.0165171652152806	57.6158807374194	0	0.919277972215211	0.984024070112506	0.58341815621678	0.773055657245948
Satisf	=~	sameinst	2	2		1	0	NA	NA	1	1	0.580030196069743	0.885868390061705
Satisf	=~	evalexp	2	2	.p15.	0.975466916495432	0.0306224560015281	31.8546270895696	0	0.915448005614275	1.03548582737659	0.565800266834394	0.846059046456205
DevAdj	=~	Belong	2	2		1	0	NA	NA	1	1	0.456037446410536	0.456037446410536
DevAdj	=~	Gains	2	2	.p17.	0.278519892011502	0.033145594241068	8.40292347712415	0	0.21355572105283	0.343484062970173	0.167178769338695	0.167178769338695
DevAdj	=~	SupportEnv	2	2	.p18.	0.781474589548395	0.0439605023363784	17.7767438499379	0	0.695313588226805	0.867635590869986	0.379653303782791	0.379653303782791
DevAdj	=~	Satisf	2	2		0.841380921591564	0.071149080880928	11.8256049294532	0	0.701931285531818	0.98083055765131	0.432032682581356	0.432032682581356
EmoDiss	=~	MHWdacad	2	2		1	0	NA	NA	1	1	0.945455596012145	0.896178010824437
EmoDiss	=~	MHWdlonely	2	2	.p21.	1.0005705085713	0.00976693736974329	102.44465288279	0	0.98142766308735	1.01971335405526	0.945994986533458	0.909430013070346
EmoDiss	=~	MHWdmental	2	2	.p22.	1.01171247520151	0.00936484017838183	108.033074343008	0	0.993357725730911	1.03006722467211	0.956529221234569	0.938365176275809
EmoDiss	=~	MHWdexhaust	2	2	.p23.	1.01175873263333	0.00985464267306148	102.668231228623	0	0.99244398791362	1.03107347735304	0.95657295558234	0.923909795166187
EmoDiss	=~	MHWdsleep	2	2	.p24.	1.00608507160374	0.0102885261304063	97.7870939774744	0	0.985919930934149	1.02625021227334	0.95120876101204	0.913909006964555
EmoDiss	=~	MHWdfinancial	2	2	.p25.	0.995974373892171	0.0114882595879705	86.6949746622257	0	0.973457798854702	1.01849094892964	0.941649545281045	0.847306450387654
QualEngag	=~	QIadmin	2	2		1	0	NA	NA	1	1	0.989628348486155	0.890957925030786
QualEngag	=~	QIstudent	2	2	.p27.	1.02459025654593	0.0118245776416815	86.649205374935	0	1.00141451023583	1.04776600285602	1.01396356346055	0.899351885982863
QualEngag	=~	QIadvisor	2	2	.p28.	1.01597249746511	0.0111061688987869	91.4782142000449	0	0.994204806417267	1.03774018851295	1.00543518477375	0.921602349712348
QualEngag	=~	QIfaculty	2	2	.p29.	1.00754146077267	0.0111580753031436	90.2970658827524	0	0.985672035041719	1.02941088650361	0.997091591855781	0.926548021336916
QualEngag	=~	QIstaff	2	2	.p30.	1.00219039516263	0.0111773774249965	89.6623919061176	0	0.980283137968027	1.02409765235724	0.991796025633481	0.917442384784521
sbvalued	~~	sbvalued	2	2		0.150847810644052	0.00757347754851543	19.9179055694991	0	0.136004067411239	0.165691553876865	0.150847810644052	0.261264277169041
sbmyself	~~	sbmyself	2	2		0.174257160776985	0.00808653808803602	21.5490434695161	0	0.158407837364824	0.190106484189147	0.174257160776985	0.290623653642164
sbcommunity	~~	sbcommunity	2	2		0.122193485354907	0.00717742335988878	17.0247008192087	0	0.108125994067728	0.136260976642085	0.122193485354907	0.213833847595515
