lhs	op	rhs	group	label	est.std	se	z	pvalue	ci.lower	ci.upper
Belong	=~	sbvalued	1		0.872139414402377	0.00731535708838234	119.22034753265	0	0.857801577975098	0.886477250829657
Belong	=~	sbmyself	1	.p2.	0.846428075843745	0.00760659651400795	111.275532267947	0	0.831519420631362	0.861336731056129
Belong	=~	sbcommunity	1	.p3.	0.897979861612803	0.00657709437287658	136.531393758922	0	0.885088993519044	0.910870729706562
Gains	=~	pganalyze	1		0.707316069344845	0.0112497561088159	62.8739025542569	0	0.685266952536707	0.729365186152984
Gains	=~	pgthink	1	.p5.	0.777065273910826	0.00986037574582487	78.8068623287359	0	0.757739292574978	0.796391255246675
Gains	=~	pgwork	1	.p6.	0.744595423383017	0.010825769022573	68.7799103999403	0	0.723377305993825	0.765813540772209
Gains	=~	pgvalues	1	.p7.	0.70558545901501	0.0113156663387016	62.3547423452902	0	0.683407160530082	0.727763757499937
Gains	=~	pgprobsolve	1	.p8.	0.755320032717826	0.0104508807968191	72.2733372815543	0	0.734836682749339	0.775803382686313
SupportEnv	=~	SEacademic	1		0.830942263939652	0.00881187440016136	94.2980149517832	0	0.813671307479045	0.848213220400259
SupportEnv	=~	SEwellness	1	.p10.	0.808444373430169	0.0089409146701287	90.4207682611215	0	0.79092050268787	0.825968244172467
SupportEnv	=~	SEnonacad	1	.p11.	0.745775567570752	0.00999873024316804	74.587027495849	0	0.726178416403011	0.765372718738493
SupportEnv	=~	SEactivities	1	.p12.	0.713837758463732	0.0103717137041058	68.8254399252409	0	0.693509573145724	0.73416594378174
SupportEnv	=~	SEdiverse	1	.p13.	0.769155375406828	0.00941852095287086	81.6641359355242	0	0.750695413551566	0.787615337262091
Satisf	=~	sameinst	1		0.864031697628908	0.0144193545349802	59.9216626190055	0	0.835770282060033	0.892293113197784
Satisf	=~	evalexp	1	.p15.	0.84307711118489	0.0147188054139142	57.2789086801772	0	0.814228782678165	0.871925439691615
DevAdj	=~	Belong	1		0.516432612751897	0.0222994217914771	23.1590136094596	0	0.472726549164535	0.56013867633926
DevAdj	=~	Gains	1	.p17.	0.195764356600947	0.0196239194762011	9.97580309266761	0	0.157302181192079	0.234226532009815
DevAdj	=~	SupportEnv	1	.p18.	0.454678067138668	0.021207173075644	21.4398244177512	0	0.413112771696498	0.496243362580837
DevAdj	=~	Satisf	1		0.512821094499675	0.0233397907088993	21.9719662826342	0	0.46707594530353	0.55856624369582
EmoDiss	=~	MHWdacad	1		0.923090066662007	0.00350910073211307	263.056018373731	0	0.916212355608942	0.929967777715072
EmoDiss	=~	MHWdlonely	1	.p21.	0.939684698913603	0.003064966354306	306.588911683625	0	0.933677475245336	0.94569192258187
EmoDiss	=~	MHWdmental	1	.p22.	0.951206199924534	0.00245780042838824	387.015230747726	0	0.946388999603706	0.956023400245362
EmoDiss	=~	MHWdexhaust	1	.p23.	0.943736699543593	0.00276614650587013	341.173794497457	0	0.938315152016126	0.949158247071059
EmoDiss	=~	MHWdsleep	1	.p24.	0.928455411100859	0.00335104887261491	277.064121233291	0	0.921887476000101	0.935023346201618
EmoDiss	=~	MHWdfinancial	1	.p25.	0.879522851191068	0.00509536837356879	172.612220885426	0	0.869536112690909	0.889509589691227
QualEngag	=~	QIadmin	1		0.873394453384956	0.00550789111958952	158.571481247808	0	0.862599185159793	0.88418972161012
QualEngag	=~	QIstudent	1	.p27.	0.892467118474403	0.00493250184240566	180.935992927908	0	0.882799592509611	0.902134644439196
QualEngag	=~	QIadvisor	1	.p28.	0.912628767699231	0.00425040831081603	214.715552239266	0	0.904298120490442	0.92095941490802
QualEngag	=~	QIfaculty	1	.p29.	0.918513527687554	0.00395924586244229	231.992040807732	0	0.910753548391228	0.92627350698388
QualEngag	=~	QIstaff	1	.p30.	0.903239755387051	0.00447805892030041	201.703410219189	0	0.894462921182614	0.912016589591488
sbvalued	~~	sbvalued	1		0.239372841845878	0.0127600223569199	18.7595942350417	0	0.214363657584389	0.264382026107367
sbmyself	~~	sbmyself	1		0.283559512423455	0.0128768736352494	22.0208352163395	0	0.258321303864893	0.308797720982017
sbcommunity	~~	sbcommunity	1		0.193632168137851	0.0118121965866362	16.3925622738888	0	0.170480688249737	0.216783648025965
pganalyze	~~	pganalyze	1		0.499703978046558	0.015914266686645	31.3997489099451	0	0.468512588500368	0.530895367592748
pgthink	~~	pgthink	1		0.396169560081892	0.0153243111139606	25.8523568945934	0	0.366134462210643	0.426204657953142
pgwork	~~	pgwork	1		0.445577655477066	0.016121636061839	27.6384886600795	0	0.413979829423999	0.477175481530132
pgvalues	~~	pgvalues	1		0.502149160026579	0.0159683395309631	31.4465482809214	0	0.470851789652984	0.533446530400173
