lhs	op	rhs	block	group	label	est	se	z	pvalue	ci.lower	ci.upper	std.lv	std.all
Belong	=~	sbvalued	1	1		1	0	NA	NA	1	1	0.657909936243243	0.872042448648563
Belong	=~	sbmyself	1	1	.p2.	0.998601428789293	0.0151762343825525	65.8003430638461	0	0.968856555978552	1.02834630160003	0.656989802347175	0.846314337394266
Belong	=~	sbcommunity	1	1	.p3.	1.02629769297751	0.0142968723703141	71.7847698709616	0	0.998276338040125	1.05431904791489	0.675211449753419	0.897905567018242
Gains	=~	pganalyze	1	1		1	0	NA	NA	1	1	0.483609957059881	0.70731093434514
Gains	=~	pgthink	1	1	.p5.	1.03246087530019	0.0230194007761526	44.8517702671821	0	0.98734367883324	1.07757807176714	0.499308359569933	0.777060919654271
Gains	=~	pgwork	1	1	.p6.	1.04451288430883	0.0243105535930685	42.965409253644	0	0.996865074822188	1.09216069379548	0.505136831129087	0.744591162460923
Gains	=~	pgvalues	1	1	.p7.	1.04372215581932	0.0248078100343739	42.0723213525551	0	0.995099741616638	1.09234457002201	0.504754426958229	0.705581052300473
Gains	=~	pgprobsolve	1	1	.p8.	1.02767713810942	0.0237716366861273	43.2312318953267	0	0.981085586351043	1.0742686898678	0.49699489663252	0.755313196320669
SupportEnv	=~	SEacademic	1	1		1	0	NA	NA	1	1	0.584046920864142	0.830855258057849
SupportEnv	=~	SEwellness	1	1	.p10.	0.975338012147296	0.0163211723501596	59.7590657841289	0	0.943349102155512	1.00732692213908	0.569643162796381	0.80835796910599
SupportEnv	=~	SEnonacad	1	1	.p11.	0.949030793589856	0.017828622526286	53.2307413088494	0	0.914087335544376	0.983974251635336	0.554278512801408	0.745669616405729
SupportEnv	=~	SEactivities	1	1	.p12.	0.945129732809412	0.0185014636389826	51.0840521188834	0	0.908867530415728	0.981391935203095	0.552000110264486	0.713725720005474
SupportEnv	=~	SEdiverse	1	1	.p13.	0.951653076941282	0.0165172439368376	57.6157306013298	0	0.919279873701218	0.984026280181346	0.555810049318442	0.769053631686064
Satisf	=~	sameinst	1	1		1	0	NA	NA	1	1	0.5488427379776	0.864272700629989
Satisf	=~	evalexp	1	1	.p15.	0.975314625458842	0.0306088555203695	31.8638057149766	0	0.915322371030928	1.03530687988676	0.535294349426428	0.843222401647971
DevAdj	=~	Belong	1	1		1	0	NA	NA	1	1	0.515572474951524	0.515572474951524
DevAdj	=~	Gains	1	1	.p17.	0.27905267774684	0.0327188621544258	8.52880141215708	0	0.214924886309035	0.343180469184645	0.195725372945591	0.195725372945591
DevAdj	=~	SupportEnv	1	1	.p18.	0.781817938448643	0.0439761725594352	17.7782169967609	0	0.695626224054231	0.868009652843055	0.45406085354959	0.45406085354959
DevAdj	=~	Satisf	1	1	.p19.	0.832243083890628	0.0438253587018831	18.9899890963099	0	0.746346959225388	0.918139208555868	0.514349641554829	0.514349641554829
EmoDiss	=~	MHWdacad	1	1		1	0	NA	NA	1	1	1.09121650605621	0.923090695477106
EmoDiss	=~	MHWdlonely	1	1	.p21.	1.00057145668538	0.00976662755152616	102.44799972218	0	0.981429218433975	1.01971369493679	1.0918400890238	0.939685418688451
EmoDiss	=~	MHWdmental	1	1	.p22.	1.01171302759198	0.00936485344571322	108.032980276386	0	0.993358252117887	1.03006780306607	1.10399795510047	0.951205905124283
EmoDiss	=~	MHWdexhaust	1	1	.p23.	1.01175795599183	0.00985465791473477	102.667993627566	0	0.99244318139899	1.03107273058467	1.10404698171198	0.943735554594369
EmoDiss	=~	MHWdsleep	1	1	.p24.	1.00608411529643	0.0102886539957566	97.7857857511172	0	0.985918724015353	1.02624950657751	1.09785559309242	0.928454638320401
