lhs	op	rhs	group	label	est.std	se	z	pvalue	ci.lower	ci.upper
Belong	=~	sbvalued	1		0.872042448648563	0.00730211179180342	119.42332211723	0	0.857730572525543	0.886354324771583
Belong	=~	sbmyself	1	.p2.	0.846314337394266	0.00758503718519043	111.57682114554	0	0.831447937689896	0.861180737098636
Belong	=~	sbcommunity	1	.p3.	0.897905567018242	0.00658428835273116	136.370936222104	0	0.885000598983062	0.910810535053421
Gains	=~	pganalyze	1		0.70731093434514	0.0112495038073207	62.8748562123115	0	0.685262312038845	0.729359556651435
Gains	=~	pgthink	1	.p5.	0.777060919654271	0.00986096157639659	78.8017389211069	0	0.7577337901116	0.796388049196942
Gains	=~	pgwork	1	.p6.	0.744591162460923	0.0108252358224648	68.7829045641416	0	0.723374090124739	0.765808234797107
Gains	=~	pgvalues	1	.p7.	0.705581052300473	0.0113155708867848	62.3548788974057	0	0.683402940897865	0.727759163703081
Gains	=~	pgprobsolve	1	.p8.	0.755313196320669	0.0104507811088833	72.2733725308477	0	0.734830041736946	0.775796350904392
SupportEnv	=~	SEacademic	1		0.830855258057849	0.00879758678916668	94.4412687216637	0	0.813612304800217	0.848098211315481
SupportEnv	=~	SEwellness	1	.p10.	0.80835796910599	0.00894174858370267	90.4026725353599	0	0.790832463923121	0.82588347428886
SupportEnv	=~	SEnonacad	1	.p11.	0.745669616405729	0.00998164794296435	74.7040589556477	0	0.72610594593116	0.765233286880297
SupportEnv	=~	SEactivities	1	.p12.	0.713725720005474	0.0103681331247272	68.8384023834817	0	0.693404552494092	0.734046887516856
SupportEnv	=~	SEdiverse	1	.p13.	0.769053631686064	0.00939915812022865	81.8215442115954	0	0.750631620285419	0.787475643086709
Satisf	=~	sameinst	1		0.864272700629989	0.0143387287812267	60.2754061267663	0	0.836169308634697	0.892376092625281
Satisf	=~	evalexp	1	.p15.	0.843222401647971	0.0147049334026225	57.3428235654294	0	0.814401261783771	0.872043541512171
DevAdj	=~	Belong	1		0.515572474951524	0.0218574369218701	23.5879658165983	0	0.472732685790303	0.558412264112746
DevAdj	=~	Gains	1	.p17.	0.195725372945591	0.0196118329443611	9.97996329567281	0	0.157286886703827	0.234163859187355
DevAdj	=~	SupportEnv	1	.p18.	0.45406085354959	0.0209006563011889	21.7247174924244	0	0.413096319946009	0.49502538715317
DevAdj	=~	Satisf	1	.p19.	0.514349641554829	0.0219470184677298	23.435968867986	0	0.471334275790043	0.557365007319615
EmoDiss	=~	MHWdacad	1		0.923090695477106	0.00350908138635032	263.057647812832	0	0.916213022341039	0.929968368613172
EmoDiss	=~	MHWdlonely	1	.p21.	0.939685418688451	0.00306483480397416	306.602306091658	0	0.933678452854097	0.945692384522805
EmoDiss	=~	MHWdmental	1	.p22.	0.951205905124283	0.00245778129573141	387.018123531294	0	0.946388742302773	0.956023067945793
EmoDiss	=~	MHWdexhaust	1	.p23.	0.943735554594369	0.00276617142953795	341.170306553274	0	0.938313958217411	0.949157150971327
EmoDiss	=~	MHWdsleep	1	.p24.	0.928454638320401	0.0033510252596327	277.065842954036	0	0.921886749500237	0.935022527140565
EmoDiss	=~	MHWdfinancial	1	.p25.	0.879523920267791	0.00509533946214532	172.613410117621	0	0.869537238432981	0.889510602102602
QualEngag	=~	QIadmin	1		0.873394704267942	0.00550789968447153	158.571280215998	0	0.862599419255918	0.884189989279966
QualEngag	=~	QIstudent	1	.p27.	0.892466464326168	0.00493249174260336	180.936230793389	0	0.882798958156624	0.902133970495712
QualEngag	=~	QIadvisor	1	.p28.	0.912628999025984	0.00425041188956503	214.715425878262	0	0.904298344802976	0.920959653248992
QualEngag	=~	QIfaculty	1	.p29.	0.918513572508369	0.0039592731696082	231.990452075642	0	0.910753539690981	0.926273605325756
QualEngag	=~	QIstaff	1	.p30.	0.903240956379843	0.00447799101718812	201.706736997212	0	0.89446425526306	0.912017657496626
sbvalued	~~	sbvalued	1		0.239541967755018	0.0127355028077642	18.8089917901774	0	0.214580840926792	0.264503094583245
sbmyself	~~	sbmyself	1		0.283752042320904	0.012838651455998	22.1013899546544	0	0.258588747857085	0.308915336784723
sbcommunity	~~	sbcommunity	1		0.19376559271765	0.0118241382103249	16.3872909188809	0	0.17059070767719	0.216940477758111
pganalyze	~~	pganalyze	1		0.499711242155805	0.0159137942213456	31.4011376046027	0	0.468520778624586	0.530901705687024
pgthink	~~	pgthink	1		0.396176327146059	0.0153251358304679	25.8514072259263	0	0.366139612860158	0.42621304143196
pgwork	~~	pgwork	1		0.445584000785092	0.0161207495737213	27.6404021256832	0	0.413987912216808	0.477180089353375
pgvalues	~~	pgvalues	1		0.502155378634556	0.0159681043937141	31.4474007842929	0	0.470858469121501	0.533452288147612
pgprobsolve	~~	pgprobsolve	1		0.429501975463855	0.0157872254738313	27.2056655031494	0	0.398559582119332	0.460444368808377
SEacademic	~~	SEacademic	1		0.309679540157626	0.0146190425407592	21.1832983790977	0	0.281026743289279	0.338332337025973
SEwellness	~~	SEwellness	1		0.346557393782839	0.0144562678438723	23.9728121757053	0	0.318223629457985	0.374891158107693
SEnonacad	~~	SEnonacad	1		0.443976823169334	0.014886023427518	29.8250788957249	0	0.414800753378379	0.473152892960289
SEactivities	~~	SEactivities	1		0.490595596602668	0.014800006703714	33.1483361071421	0	0.461588116492437	0.519603076712898
SEdiverse	~~	SEdiverse	1		0.408556511590476	0.0144569135275594	28.2602860431889	0	0.38022148174885	0.436891541432102
sameinst	~~	sameinst	1		0.253032698945746	0.0247851434827728	10.2090471706012	0	0.204454710367854	0.301610687523638
evalexp	~~	evalexp	1		0.288975981359029	0.0247990585153161	11.6526996853753	0	0.240370719818508	0.337581242899549
MHWdacad	~~	MHWdacad	1		0.147903567923593	0.00647840061806522	22.8302596031433	0	0.135206136034763	0.160600999812423
MHWdlonely	~~	MHWdlonely	1		0.116991313904311	0.0057599614550457	20.3111279159389	0	0.105701996900082	0.128280630908539
MHWdmental	~~	MHWdmental	1		0.0952073260566928	0.0046757120468522	20.3621020932605	0	0.0860430988427824	0.104371553270603
MHWdexhaust	~~	MHWdexhaust	1		0.109363202994458	0.00522106826629408	20.9465184932516	0	0.0991300972316965	0.119596308757219
MHWdsleep	~~	MHWdsleep	1		0.137971984581333	0.00622255005953867	22.1729007016718	0	0.125776010572639	0.150167958590026
MHWdfinancial	~~	MHWdfinancial	1		0.226437673676776	0.0089629457860822	25.2637558098803	0	0.20887062274067	0.244004724612882
QIadmin	~~	QIadmin	1		0.237181690556714	0.00962114087345483	24.6521377949167	0	0.218324600954556	0.256038780158872
QIstudent	~~	QIstudent	1		0.203503610053149	0.00880416693443312	23.1144651809413	0	0.186247759947781	0.220759460158516
QIadvisor	~~	QIadvisor	1		0.167108310136831	0.00775809841922483	21.5398543698196	0	0.151902716646633	0.182313903627028
QIfaculty	~~	QIfaculty	1		0.156332817117914	0.00727329205391749	21.4940931780281	0	0.142077426643194	0.170588207592633
QIstaff	~~	QIstaff	1		0.184155774718027	0.00808940970029763	22.7650448599792	0	0.168300823049254	0.200010726386799
Belong	~~	Belong	1		0.73418502307236	0.0225381861065758	32.5751602014747	0	0.69001099002661	0.778359056118109
Gains	~~	Gains	1		0.961691578385309	0.00767706675731721	125.268101579122	0	0.946644804034058	0.976738352736561
SupportEnv	~~	SupportEnv	1		0.793828741273818	0.0189803393347962	41.823738094003	0	0.756627959763268	0.831029522784367
Satisf	~~	Satisf	1		0.735444446232419	0.0225768825503504	32.5751106067123	0	0.691194569550541	0.779694322914297
DevAdj	~~	DevAdj	1		1	0	NA	NA	1	1
EmoDiss	~~	EmoDiss	1		1	0	NA	NA	1	1
QualEngag	~~	QualEngag	1		1	0	NA	NA	1	1
DevAdj	~~	EmoDiss	1		-0.849599410558364	0.0238278899726759	-35.6556712127101	0	-0.896301216732392	-0.802897604384337
DevAdj	~~	QualEngag	1		0.503439848385354	0.0282631554306745	17.8125846429363	0	0.448045081651774	0.558834615118933
EmoDiss	~~	QualEngag	1		-0.166493209970737	0.0207040452275139	-8.04157874179494	8.88178419700125e-16	-0.207072392950953	-0.125914026990522
sbvalued	~1		1		4.11935405757903	0.06418262191053	64.1817665741573	0	3.99355843020104	4.24514968495702
sbmyself	~1		1		3.97356751625493	0.0590800982240143	67.2572936691529	0	3.85777265153278	4.08936238097709
sbcommunity	~1		1		4.12058913180869	0.0638677263532928	64.5175484878718	0	3.99541068838178	4.24576757523561
pganalyze	~1		1		4.50331743246964	0.0639165142491859	70.4562425746957	0	4.37804336652389	4.62859149841538
pgthink	~1		1		4.78969949795324	0.0693787035207052	69.0370280056302	0	4.65371973775857	4.9256792581479
pgwork	~1		1		4.53353458468398	0.0688425419839252	65.853677886307	0	4.3986056817913	4.66846348757666
pgvalues	~1		1		4.31442144168046	0.0623847916525932	69.1582247434037	0	4.19214949685834	4.43669338650258
pgprobsolve	~1		1		4.71028471154443	0.0713822689831187	65.986760839143	0	4.57037803520276	4.85019138788609
SEacademic	~1		1		4.43085673699536	0.0643082399082757	68.9002955657812	0	4.30481490286598	4.55689857112474
SEwellness	~1		1		4.38990348283149	0.0629585965117126	69.726832014351	0	4.26650690115134	4.51330006451163
SEnonacad	~1		1		4.14910737971806	0.060513558679933	68.5649211553303	0	4.03050298412904	4.26771177530708
SEactivities	~1		1		3.97377430369117	0.0596567292586139	66.61066325753	0	3.85684926290883	4.09069934447351
SEdiverse	~1		1		4.27232164295651	0.0619890177232396	68.9206217467586	0	4.15082540078195	4.39381788513108
sameinst	~1		1		5.21261334060076	0.07701053964999	67.687012249127	0	5.06167545645679	5.36355122474473
evalexp	~1		1		5.21121278894167	0.0758679213524564	68.6879605509706	0	5.06251439550894	5.3599111823744
MHWdacad	~1		1		2.55244586973875	0.0348601679133795	73.2195517841758	0	2.48412119613351	2.620770543344
MHWdlonely	~1		1		2.58440595363588	0.0354801443626264	72.8409086282695	0	2.51486614851885	2.65394575875291
MHWdmental	~1		1		2.58477103351339	0.0356555036228992	72.4929049060849	0	2.51488753056187	2.65465453646491
MHWdexhaust	~1		1		2.56892326676229	0.034917750021756	73.5706987180357	0	2.50048573429848	2.63736079922611
MHWdsleep	~1		1		2.55151845349077	0.0347252575027236	73.4773083623828	0	2.48345819943155	2.61957870754998
MHWdfinancial	~1		1		2.45317795356632	0.0332067860590722	73.8758020484824	0	2.38809384884822	2.51826205828443
QIadmin	~1		1		5.38461980807789	0.0764605282026929	70.423523544116	0	5.2347599265617	5.53447968959408
QIstudent	~1		1		5.3894309375178	0.0757173123805013	71.178317984061	0	5.24102773224585	5.53783414278975
QIadvisor	~1		1		5.5542857585648	0.0789864119493772	70.3195096661002	0	5.39947523587598	5.70909628125363
QIfaculty	~1		1		5.64668091006718	0.0782146402482346	72.1946798213987	0	5.49338303211688	5.79997878801748
QIstaff	~1		1		5.5751144702435	0.0775105815666995	71.9271402375687	0	5.42319652195201	5.72703241853498
Belong	~1		1		0	0	NA	NA	0	0
Gains	~1		1		0	0	NA	NA	0	0
SupportEnv	~1		1		0	0	NA	NA	0	0
Satisf	~1		1		0	0	NA	NA	0	0
DevAdj	~1		1		0	0	NA	NA	0	0
EmoDiss	~1		1		0	0	NA	NA	0	0
QualEngag	~1		1		0	0	NA	NA	0	0
Belong	=~	sbvalued	2		0.859620622269367	0.00756339116658128	113.655449432205	0	0.84479664798188	0.874444596556855
Belong	=~	sbmyself	2	.p2.	0.842378851234443	0.00799377556639395	105.379347248105	0	0.826711339023815	0.858046363445071
Belong	=~	sbcommunity	2	.p3.	0.886776580333234	0.00729862588005272	121.499114341072	0	0.872471536471699	0.90108162419477
Gains	=~	pganalyze	2		0.699373962088083	0.0121010194002169	57.7946319196504	0	0.675656399887438	0.723091524288729
Gains	=~	pgthink	2	.p5.	0.783327785271141	0.0106571329100065	73.5026758027605	0	0.762440188589072	0.804215381953211
Gains	=~	pgwork	2	.p6.	0.740955201723807	0.0112201100359138	66.0381403882963	0	0.71896419015084	0.762946213296775
Gains	=~	pgvalues	2	.p7.	0.699439409434049	0.0122366587052888	57.1593460502205	0	0.675455999080574	0.723422819787524
Gains	=~	pgprobsolve	2	.p8.	0.760199104925562	0.0106278010796317	71.5292937108589	0	0.739368997574628	0.781029212276496
SupportEnv	=~	SEacademic	2		0.835887028411463	0.00785550164359584	106.407848452672	0	0.82049052810952	0.851283528713406
SupportEnv	=~	SEwellness	2	.p10.	0.807066969428219	0.00868644223922344	92.9111075860179	0	0.790041855485554	0.824092083370885
SupportEnv	=~	SEnonacad	2	.p11.	0.748211837489623	0.0101201082763425	73.9331850073872	0	0.728376789748346	0.7680468852309
SupportEnv	=~	SEactivities	2	.p12.	0.723540514189679	0.0106056046112953	68.2224673376081	0	0.702753911117268	0.74432711726209
SupportEnv	=~	SEdiverse	2	.p13.	0.773176494367674	0.00998838211364671	77.4075806842947	0	0.753599625161102	0.792753363574246
Satisf	=~	sameinst	2		0.885737929546209	0.0156118250352492	56.7350663709298	0	0.85513931474418	0.916336544348238
Satisf	=~	evalexp	2	.p15.	0.845744941450598	0.0152504539948634	55.4570337207967	0	0.81585460087278	0.875635282028415
DevAdj	=~	Belong	2		0.457179944537462	0.02012912494086	22.7123606158077	0	0.417727584613069	0.496632304461854
DevAdj	=~	Gains	2	.p17.	0.16800984939635	0.0211068405343894	7.95997151362429	1.77635683940025e-15	0.126641202121516	0.209378496671183
DevAdj	=~	SupportEnv	2	.p18.	0.380835798176343	0.0225131548128572	16.9161453089128	0	0.336710825564768	0.424960770787918
DevAdj	=~	Satisf	2	.p19.	0.429065394347917	0.0245936357142545	17.4461962164964	0	0.38086275409908	0.477268034596754
EmoDiss	=~	MHWdacad	2		0.896177140705989	0.00467199049212443	191.819127675168	0	0.887020207605312	0.905334073806667
EmoDiss	=~	MHWdlonely	2	.p21.	0.909431572009023	0.00433770340461717	209.657389447374	0	0.900929829560356	0.917933314457689
EmoDiss	=~	MHWdmental	2	.p22.	0.938365590606682	0.00321441963496439	291.92379874729	0	0.932065443890953	0.94466573732241
EmoDiss	=~	MHWdexhaust	2	.p23.	0.923908663259153	0.00370792347727442	249.171448365027	0	0.916641266786265	0.931176059732041
EmoDiss	=~	MHWdsleep	2	.p24.	0.913908736187863	0.00423295400271544	215.903299587378	0	0.905612298794326	0.9222051735814
EmoDiss	=~	MHWdfinancial	2	.p25.	0.847307349164347	0.00635144159087949	133.403942560231	0	0.834858752396314	0.859755945932381
QualEngag	=~	QIadmin	2		0.890958591784289	0.00527991184017279	168.744975059116	0	0.880610154736004	0.901307028832574
QualEngag	=~	QIstudent	2	.p27.	0.899351803972741	0.00506117006275555	177.696420555189	0	0.889432092930108	0.909271515015375
QualEngag	=~	QIadvisor	2	.p28.	0.921602891125517	0.00419830418834503	219.517893363704	0	0.913374366120217	0.929831416130817
QualEngag	=~	QIfaculty	2	.p29.	0.926546898318985	0.00411021122594388	225.425616199618	0	0.918491032347283	0.934602764290687
QualEngag	=~	QIstaff	2	.p30.	0.917442189098705	0.00440745179803778	208.15705562728	0	0.908803742310955	0.926080635886456
sbvalued	~~	sbvalued	2		0.261052385769226	0.0130032938464779	20.0758660729593	0	0.235566398149738	0.286538373388714
sbmyself	~~	sbmyself	2		0.29039787099294	0.0134675749714525	21.5627439690146	0	0.2640019090898	0.31679383289608
sbcommunity	~~	sbcommunity	2		0.213627296572495	0.0129445008390959	16.5033244022266	0	0.188256541130018	0.238998052014971
pganalyze	~~	pganalyze	2		0.510876061153216	0.0169262757508907	30.1824257546042	0	0.477701170289077	0.544050952017356
pgthink	~~	pgthink	2		0.386397580822209	0.0166960566989329	23.1430443601036	0	0.353673911008462	0.419121250635956
pgwork	~~	pgwork	2		0.450985389038432	0.0166271979194302	27.1233548324712	0	0.418396679952529	0.483574098124334
pgvalues	~~	pgvalues	2		0.510784512530549	0.0171176028607962	29.8397221085425	0	0.477234627421729	0.544334397639369
pgprobsolve	~~	pgprobsolve	2		0.422097320870375	0.0161584897500499	26.1223250068325	0	0.390427262915717	0.453767378825032
SEacademic	~~	SEacademic	2		0.301292875733455	0.0131326236418435	22.9423216525804	0	0.275553406372922	0.327032345093987
SEwellness	~~	SEwellness	2		0.34864290685795	0.0140210812038481	24.8656221149526	0	0.321162092674096	0.376123721041803
SEnonacad	~~	SEnonacad	2		0.440179046240401	0.0151439692063713	29.0662930069359	0	0.41049741201293	0.469860680467873
SEactivities	~~	SEactivities	2		0.476489124326135	0.015347169131664	31.047362561676	0	0.446409225563429	0.506569023088841
SEdiverse	~~	SEdiverse	2		0.402198108557314	0.0154455643581622	26.0397159489205	0	0.371925358694421	0.432470858420207
sameinst	~~	sameinst	2		0.215468320163195	0.0276559710818106	7.79102348371015	6.66133814775094e-15	0.161263612885365	0.269673027441025
evalexp	~~	evalexp	2		0.284715494010726	0.0257959884394106	11.037200403445	0	0.234156285723869	0.335274702297582
MHWdacad	~~	MHWdacad	2		0.196866532476038	0.0083738623069639	23.5096452818814	0	0.180454063942891	0.213279001009185
MHWdlonely	~~	MHWdlonely	2		0.172934215833197	0.00788968857742108	21.9190167186199	0	0.157470710372215	0.18839772129418
MHWdmental	~~	MHWdmental	2		0.119470018365373	0.00603260167874129	19.8040621157504	0	0.107646336341964	0.131293700388782
MHWdexhaust	~~	MHWdexhaust	2		0.146392781954685	0.00685156550313991	21.366325971429	0	0.132963960330814	0.159821603578557
MHWdsleep	~~	MHWdsleep	2		0.164770821919504	0.00773706765594014	21.2962881089712	0	0.149606447967911	0.179935195871096
MHWdfinancial	~~	MHWdfinancial	2		0.282070256052087	0.010763246449469	26.2068008361923	0	0.260974680654399	0.303165831449775
QIadmin	~~	QIadmin	2		0.206192787725757	0.0094083657908654	21.9158982876654	0	0.187752729622282	0.224632845829232
QIstudent	~~	QIstudent	2		0.191166332690976	0.00910354481558432	20.9991093100041	0	0.173323712720784	0.209008952661168
QIadvisor	~~	QIadvisor	2		0.150648111069088	0.00773833876317591	19.4677586080841	0	0.135481245793093	0.165814976345083
QIfaculty	~~	QIfaculty	2		0.141510845215468	0.00761660681008708	18.5792504121465	0	0.126582570183295	0.156439120247641
QIstaff	~~	QIstaff	2		0.158299829661776	0.0080871647538061	19.5742061007567	0	0.142449278007274	0.174150381316277
Belong	~~	Belong	2		0.790986498312723	0.0184052649292313	42.9760995755338	0	0.754912841925512	0.827060154699935
Gains	~~	Gains	2		0.971772690505816	0.00709231450000005	137.01770987536	0	0.957872009518785	0.985673371492847
SupportEnv	~~	SupportEnv	2		0.854964094827388	0.0171476308939038	49.8590213492021	0	0.82135535585515	0.888572833799626
Satisf	~~	Satisf	2		0.815902887373066	0.0211045562013144	38.6600352829144	0	0.774538717308789	0.857267057437344
DevAdj	~~	DevAdj	2		1	0	NA	NA	1	1
EmoDiss	~~	EmoDiss	2		1	0	NA	NA	1	1
QualEngag	~~	QualEngag	2		1	0	NA	NA	1	1
DevAdj	~~	EmoDiss	2		-0.713182361593345	0.034895195975081	-20.4378379792632	0	-0.781575688937971	-0.644789034248719
DevAdj	~~	QualEngag	2		0.624224732219237	0.0360446288629498	17.3181068001196	0	0.553578557811742	0.694870906626731
EmoDiss	~~	QualEngag	2		-0.218475601071576	0.0232407443362614	-9.40054233679162	0	-0.264026622944551	-0.1729245791986
sbvalued	~1		2		3.4631463556961	0.0545256538083861	63.5140729878505	0	3.35627803799817	3.57001467339404
sbmyself	~1		2		3.38004374061386	0.0534339600649436	63.2564709129878	0	3.27531510333522	3.4847723778925
sbcommunity	~1		2		3.48303801190608	0.0557878797951921	62.4335971306488	0	3.37369577673366	3.59238024707851
