lhs	op	rhs	group	label	est.std	se	z	pvalue	ci.lower	ci.upper
Belong	=~	sbvalued	1		0.873367040761059	0.00711353089614407	122.775461794153	0	0.859424776401704	0.887309305120415
Belong	=~	sbmyself	1	.p2.	0.846748970137468	0.0074609585983923	113.490640508302	0	0.832125759994475	0.861372180280461
Belong	=~	sbcommunity	1	.p3.	0.896530306451145	0.00650823723292275	137.753169462836	0	0.883774395871774	0.909286217030516
Gains	=~	pganalyze	1		0.708491111106749	0.0111549029331763	63.513875051265	0	0.686627903106683	0.730354319106815
Gains	=~	pgthink	1	.p5.	0.775128922784905	0.0098698878728408	78.5347242817059	0	0.755784298022688	0.794473547547122
Gains	=~	pgwork	1	.p6.	0.74318717487371	0.0107543587195174	69.1056709429775	0	0.722109019106632	0.764265330640788
Gains	=~	pgvalues	1	.p7.	0.70670159763897	0.01119030495125	63.1530240433731	0	0.684769002958499	0.72863419231944
Gains	=~	pgprobsolve	1	.p8.	0.756920454452857	0.0103071310240145	73.4365802364707	0	0.736718848861853	0.777122060043861
SupportEnv	=~	SEacademic	1		0.833376256064483	0.00843278076548959	98.8257941526243	0	0.816848309474602	0.849904202654365
SupportEnv	=~	SEwellness	1	.p10.	0.808260937197436	0.00875667664475764	92.3022477575802	0	0.791098166349448	0.825423708045424
SupportEnv	=~	SEnonacad	1	.p11.	0.745225591036651	0.00971685364814617	76.6941252818837	0	0.726180907843238	0.764270274230064
SupportEnv	=~	SEactivities	1	.p12.	0.70856739728242	0.0102411502982919	69.1882627091801	0	0.688495111537506	0.728639683027334
SupportEnv	=~	SEdiverse	1	.p13.	0.768952553364258	0.00917359129624393	83.8224124590226	0	0.75097264481473	0.786932461913786
Satisf	=~	sameinst	1		0.86076689404549	0.0114409170567841	75.2358302899404	0	0.838343108664083	0.883190679426897
Satisf	=~	evalexp	1	.p15.	0.846705724284458	0.0116864901284939	72.4516698319908	0	0.823800624526927	0.869610824041989
DevAdj	=~	Belong	1		0.515553349189547	0.0218751928570933	23.5679453231596	0	0.472678759034777	0.558427939344318
DevAdj	=~	Gains	1	.p17.	0.195651782525992	0.0195998947409016	9.98228741084515	0	0.157236694733049	0.234066870318935
DevAdj	=~	SupportEnv	1	.p18.	0.453955536692285	0.020906422818391	21.7136877329846	0	0.412979700922672	0.494931372461898
DevAdj	=~	Satisf	1	.p19.	0.514500909859957	0.0219479565561678	23.4418593158447	0	0.471483705475618	0.557518114244296
EmoDiss	=~	MHWdacad	1		0.923359324273146	0.00345742853191449	267.065339384427	0	0.916582888871472	0.930135759674819
EmoDiss	=~	MHWdlonely	1	.p21.	0.939872036738174	0.0030178575168665	311.43684931622	0	0.933957144694642	0.945786928781706
EmoDiss	=~	MHWdmental	1	.p22.	0.951279859379055	0.00244021579422954	389.834317779837	0	0.94649712430786	0.956062594450251
EmoDiss	=~	MHWdexhaust	1	.p23.	0.943803414825853	0.00274308714410217	344.066143452677	0	0.938427062816958	0.949179766834748
EmoDiss	=~	MHWdsleep	1	.p24.	0.927972888517603	0.00332528391950661	279.06576129454	0	0.921455451797	0.934490325238206
EmoDiss	=~	MHWdfinancial	1	.p25.	0.878767927445301	0.00502807992155366	174.772068295558	0	0.868913071887667	0.888622783002935
QualEngag	=~	QIadmin	1		0.87265731938254	0.00547140902161775	159.494074731872	0	0.861933554755482	0.883381084009598
QualEngag	=~	QIstudent	1	.p27.	0.892850383263974	0.00486721032105681	183.441915259193	0	0.883310826329521	0.902389940198427
QualEngag	=~	QIadvisor	1	.p28.	0.912702758919404	0.00420292651731397	217.158866603906	0	0.9044651743158	0.920940343523008
QualEngag	=~	QIfaculty	1	.p29.	0.918271611224796	0.00394660938733172	232.673548634524	0	0.910536398964578	0.926006823485014
QualEngag	=~	QIstaff	1	.p30.	0.903538833578913	0.00442991739746808	203.96290777235	0	0.894856355025388	0.912221312132438
sbvalued	~~	sbvalued	1		0.23723001211227	0.0124254467679132	19.0922722171149	0	0.21287658395534	0.261583440269199
sbmyself	~~	sbmyself	1		0.283016181571137	0.0126351178600228	22.3991722678419	0	0.258251805625073	0.3077805575172
sbcommunity	~~	sbcommunity	1		0.196233409614615	0.0116696638375125	16.8156865824889	0	0.173361288781401	0.219105530447829
pganalyze	~~	pganalyze	1		0.498040345482725	0.0158062991715068	31.5089787988143	0	0.467060568377706	0.529020122587743
pgthink	~~	pgthink	1		0.399175153062313	0.0153008710286892	26.0883940733739	0	0.36918599691399	0.429164309210636
pgwork	~~	pgwork	1		0.447672823103234	0.0159850029757098	28.0058016744507	0	0.416342792978077	0.47900285322839
pgvalues	~~	pgvalues	1		0.500572851894528	0.015816412994768	31.6489492314164	0	0.469573252060171	0.531572451728885
pgprobsolve	~~	pgprobsolve	1		0.42707142563088	0.0156033567609974	27.3704839396097	0	0.396489408341396	0.457653442920365
SEacademic	~~	SEacademic	1		0.305484015827945	0.014055358443703	21.7343454492124	0	0.277936019488486	0.333032012167403
SEwellness	~~	SEwellness	1		0.346714257400722	0.0141553594940252	24.4934971483462	0	0.318970262604216	0.374458252197229
SEnonacad	~~	SEnonacad	1		0.444638818464074	0.0144824961089741	30.7018082462009	0	0.416253647684243	0.473023989243905
SEactivities	~~	SEactivities	1		0.497932243508418	0.014513090447136	34.3091807580293	0	0.469487108927659	0.526377378089176
SEdiverse	~~	SEdiverse	1		0.408711970674588	0.014108113162679	28.9699952050127	0	0.381060576985922	0.436363364363255
