lhs	op	rhs	block	group	est	se	z	pvalue	ci.lower	ci.upper	std.lv	std.all
Belong	=~	sbvalued	1	1	1	0	NA	NA	1	1	0.692268613564252	0.882989895559475
Belong	=~	sbmyself	1	1	0.989045093827706	0.0171148180519978	57.7888173174156	0	0.955500666843834	1.02258952081158	0.684684875856631	0.85464251431374
Belong	=~	sbcommunity	1	1	1.01233948100671	0.0163799527534634	61.8035653852944	0	0.980235363541452	1.04444359847196	0.700810848972868	0.903937497697233
Gains	=~	pganalyze	1	1	1	0	NA	NA	1	1	0.482141083236599	0.704407044459593
Gains	=~	pgthink	1	1	1.04523447505031	0.0289984170667252	36.0445355567248	0	0.988398621990861	1.10207032810977	0.503950482036997	0.780129021287898
Gains	=~	pgwork	1	1	1.07053502682818	0.0326044379073871	32.8340279893502	0	1.00663150279353	1.13443855086283	0.516148917477659	0.750658522830623
Gains	=~	pgvalues	1	1	1.06477419153935	0.0311057234374287	34.2308126567516	0	1.00380809388893	1.12574028918977	0.513371382111157	0.713974961307055
Gains	=~	pgprobsolve	1	1	1.06352537158202	0.0300503568477362	35.3914390092222	0	1.00462775443788	1.12242298872616	0.512769274704162	0.765576979895134
SupportEnv	=~	SEacademic	1	1	1	0	NA	NA	1	1	0.620436731584093	0.847467561359598
SupportEnv	=~	SEwellness	1	1	0.948685407260452	0.0190451927183423	49.8123290895754	0	0.911357515453876	0.986013299067027	0.588599273382199	0.81336929014041
SupportEnv	=~	SEnonacad	1	1	0.925775700590323	0.0213252043206664	43.412278103856	0	0.883979068158858	0.967572333021787	0.574385249854234	0.756482464993363
SupportEnv	=~	SEactivities	1	1	0.929587914609949	0.0219742593516358	42.3034924515328	0	0.8865191576938	0.972656671526097	0.57675048746067	0.730674986503448
SupportEnv	=~	SEdiverse	1	1	0.917748714547607	0.0200891889108278	45.6837117029126	0	0.878374627803763	0.957122801291451	0.56940501286942	0.773419888241102
Satisf	=~	sameinst	1	1	1	0	NA	NA	1	1	0.576925641305097	0.868898149412543
Satisf	=~	evalexp	1	1	0.995929612227274	0.0316521594636313	31.4648235413956	0	0.933892519645638	1.05796670480891	0.574577330228957	0.866462903084318
DevAdj	=~	Belong	1	1	1	0	NA	NA	1	1	0.579740444069587	0.579740444069587
DevAdj	=~	Gains	1	1	0.232725227584176	0.0317944663128959	7.3196771190898	2.4846791291111e-13	0.170409218703228	0.295041236465124	0.193721384852362	0.193721384852362
DevAdj	=~	SupportEnv	1	1	0.749256130704904	0.043085627721921	17.3899318710331	0	0.664809852118638	0.83370240929117	0.484664314929946	0.484664314929946
DevAdj	=~	Satisf	1	1	0.805769630379719	0.0410834339008906	19.6130058729646	0	0.725247579572741	0.886291681186696	0.560530558245937	0.560530558245937
EmoDiss	=~	MHWdacad	1	1	1	0	NA	NA	1	1	1.09219787833544	0.92158466866827
EmoDiss	=~	MHWdlonely	1	1	0.998473604177341	0.0116261199136595	85.8819289317876	0	0.975686827866625	1.02126038048806	1.09053075205644	0.937698532282176
EmoDiss	=~	MHWdmental	1	1	1.00604156154162	0.0109395480081424	91.9637228880761	0	0.984600441438511	1.02748268164472	1.09879645903303	0.951547708536065
EmoDiss	=~	MHWdexhaust	1	1	1.00082972226453	0.0114229835253264	87.6154395255453	0	0.978441085958899	1.02321835857017	1.09310409923237	0.942027986156735
EmoDiss	=~	MHWdsleep	1	1	0.998234244255851	0.0120822997373311	82.619556372333	0	0.974553371920264	1.02191511659144	1.09026932365802	0.928156845333072
EmoDiss	=~	MHWdfinancial	1	1	1.00322148167852	0.0137914428996592	72.7423148525899	0	0.97619075030035	1.03025221305669	1.09571637378982	0.879770894944507
QualEngag	=~	QIadmin	1	1	1	0	NA	NA	1	1	0.929647303554659	0.880912070509533
QualEngag	=~	QIstudent	1	1	1.00714603807753	0.0144608348408604	69.6464657235246	0	0.978803322603066	1.035488753552	0.936290598584538	0.895071160251592
QualEngag	=~	QIadvisor	1	1	1.00238776540582	0.0133952876722419	74.8313727881331	0	0.976133484005669	1.02864204680596	0.931867083225697	0.918782389078742
QualEngag	=~	QIfaculty	1	1	0.991945213721365	0.0138380827760968	71.6822720149354	0	0.964823069865131	1.0190673575776	0.922159193210017	0.922473505853774
QualEngag	=~	QIstaff	1	1	0.987343202225547	0.0141345958581148	69.8529489018749	0	0.959639903407613	1.01504650104348	0.917880945632002	0.909600584378637
sbvalued	~~	sbvalued	1	1	0.135428220675431	0.00674358633730642	20.0825219551537	0	0.122211034327674	0.148645407023188	0.135428220675431	0.220328844339867
sbmyself	~~	sbmyself	1	1	0.173025493476303	0.0074007889656356	23.3793308091502	0	0.158520213646476	0.187530773306131	0.173025493476303	0.269586172727488
sbcommunity	~~	sbcommunity	1	1	0.109933843086145	0.00624386315818516	17.6067028217989	0	0.0976960961717057	0.122171590000585	0.109933843086145	0.182897000256864
pganalyze	~~	pganalyze	1	1	0.236030593261376	0.00799469618091408	29.5233975025665	0	0.220361276679445	0.251699909843308	0.236030593261376	0.503810715715701
pgthink	~~	pgthink	1	1	0.163328604548894	0.00646001466711889	25.2830083157902	0	0.15066720846174	0.175990000636047	0.163328604548894	0.391398710144386
pgwork	~~	pgwork	1	1	0.206376941719092	0.00753715357682018	27.3812838780126	0	0.191604392162577	0.221149491275607	0.206376941719092	0.436511782101748
pgvalues	~~	pgvalues	1	1	0.253457924136544	0.00868952430583107	29.1682162585658	0	0.23642676945433	0.270489078818758	0.253457924136544	0.49023975462659
pgprobsolve	~~	pgprobsolve	1	1	0.185674887970521	0.00680254366593248	27.2949204134316	0	0.172342147382032	0.199007628559009	0.185674887970521	0.413891887854646
SEacademic	~~	SEacademic	1	1	0.151038571922014	0.00690947463511642	21.8596318675781	0	0.137496250485093	0.164580893358935	0.151038571922014	0.281798732443216
SEwellness	~~	SEwellness	1	1	0.177228379199598	0.00721089824315187	24.5778505289422	0	0.163095278346838	0.191361480052359	0.177228379199598	0.338430397856486
SEnonacad	~~	SEnonacad	1	1	0.246594214828359	0.0083493149105439	29.5346645168394	0	0.23022985830811	0.262958571348608	0.246594214828359	0.427734280157566
SEactivities	~~	SEactivities	1	1	0.2904154167282	0.00951555790624961	30.5200619437629	0	0.271765265939146	0.309065567517255	0.2904154167282	0.466114064098187
SEdiverse	~~	SEdiverse	1	1	0.217793674666745	0.00773877184067692	28.1431833307149	0	0.202625960574446	0.232961388759045	0.217793674666745	0.401821676473121
sameinst	~~	sameinst	1	1	0.108018065328512	0.0105081375364445	10.2794681696811	0	0.0874224942124878	0.128613636444537	0.108018065328512	0.245016005947459
evalexp	~~	evalexp	1	1	0.109601959864534	0.0104780234654412	10.4601750727153	0	0.0890654112431035	0.130138508485964	0.109601959864534	0.249242037578696
MHWdacad	~~	MHWdacad	1	1	0.211637528613522	0.00745663949649952	28.3824273270653	0	0.197022783754684	0.22625227347236	0.211637528613522	0.150681698475596
MHWdlonely	~~	MHWdlonely	1	1	0.163280322507951	0.0063651749783313	25.652134161873	0	0.150804808795127	0.175755836220776	0.163280322507951	0.120721462555854
MHWdmental	~~	MHWdmental	1	1	0.126085998100045	0.00503305107106304	25.0516031567734	0	0.11622139926841	0.135950596931679	0.126085998100045	0.0945569583797647
MHWdexhaust	~~	MHWdexhaust	1	1	0.151589565068183	0.00586049935486351	25.866322285725	0	0.14010319740123	0.163075932735136	0.151589565068183	0.112583273297487
MHWdsleep	~~	MHWdsleep	1	1	0.191140445604519	0.00702949784782249	27.1911948395757	0	0.177362882993385	0.204918008215653	0.191140445604519	0.13852487046136
MHWdfinancial	~~	MHWdfinancial	1	1	0.350567505095581	0.0114902544375375	30.5099862671719	0	0.328047020224806	0.373087989966356	0.350567505095581	0.226003172408542
QIadmin	~~	QIadmin	1	1	0.249463806136906	0.00918626122127572	27.1561846683762	0	0.231459064990629	0.267468547283184	0.249463806136906	0.223993924030607
QIstudent	~~	QIstudent	1	1	0.21758381645689	0.00820172594999824	26.5290278879578	0	0.201508728983826	0.233658903929954	0.21758381645689	0.198847618085869
QIadvisor	~~	QIadvisor	1	1	0.16030923884689	0.00632614147907	25.3407609325957	0	0.147910229386808	0.172708248306972	0.16030923884689	0.155838921518759
QIfaculty	~~	QIfaculty	1	1	0.148941082276475	0.00597516690052757	24.9266815063064	0	0.137229970349825	0.160652194203124	0.148941082276475	0.149042630997848
QIstaff	~~	QIstaff	1	1	0.175784026966555	0.00673550685603437	26.0981141766738	0	0.162582676111105	0.188985377822004	0.175784026966555	0.172626776898041
Belong	~~	Belong	1	1	0.318165157372497	0.0129563864436244	24.556627633553	0	0.292771106573211	0.343559208171784	0.663901017509998	0.663901017509998
Gains	~~	Gains	1	1	0.223736270181793	0.0114508434785028	19.538846251966	0	0.201293029371322	0.246179510992264	0.962472025050883	0.962472025050883
SupportEnv	~~	SupportEnv	1	1	0.29451911684299	0.0122093543441512	24.122415366221	0	0.270589222053966	0.318449011632014	0.765100501833487	0.765100501833487
Satisf	~~	Satisf	1	1	0.228265691937628	0.0115770726834423	19.7170474937154	0	0.205575046431679	0.250956337443577	0.685805493272498	0.685805493272498
DevAdj	~~	DevAdj	1	1	0.161070675953674	0.0120605376251467	13.3551820789345	0	0.137432456574197	0.184708895333152	1	1
EmoDiss	~~	EmoDiss	1	1	1.19289620544044	0.0365212121425163	32.663105506614	0	1.12131594496936	1.26447646591152	1	1
QualEngag	~~	QualEngag	1	1	0.864244109006448	0.0290579039083167	29.7421352804148	0	0.807291663879922	0.921196554132975	1	1
DevAdj	~~	EmoDiss	1	1	-0.351749710693017	0.016409361014761	-21.4359176068222	0	-0.383911467291264	-0.31958795409477	-0.802461452805359	-0.802461452805359
DevAdj	~~	QualEngag	1	1	0.212700873149508	0.0121313534538502	17.5331527482617	0	0.188923857296236	0.23647788900278	0.570089205892876	0.570089205892876
EmoDiss	~~	QualEngag	1	1	-0.209842098352308	0.0198693334836364	-10.5611040513828	0	-0.248785276377051	-0.170898920327565	-0.206667924442218	-0.206667924442218
sbvalued	~1		1	1	3.05611454405288	0.0158167078698459	193.220648013565	0	3.02511436627399	3.08711472183177	3.05611454405288	3.89807974707579
sbmyself	~1		1	1	3.03034910026722	0.0160541293878867	188.758233290041	0	2.99888358486381	3.06181461567062	3.03034910026722	3.78256518527665
sbcommunity	~1		1	1	3.04363277911216	0.015564803973071	195.545847180473	0	3.01312632389852	3.07413923432581	3.04363277911216	3.9258150787652
pganalyze	~1		1	1	3.05691665861369	0.0137768384013905	221.888111738696	0	3.02991455152614	3.08391876570124	3.05691665861369	4.46614840245148
pgthink	~1		1	1	3.05367883398028	0.0130117961265865	234.685419620187	0	3.02817618219799	3.07918148576257	3.05367883398028	4.72717769899011
pgwork	~1		1	1	3.0499514131944	0.0138674401976936	219.936150415249	0	3.02277172984915	3.07713109653964	3.0499514131944	4.43568114745251
pgvalues	~1		1	1	3.06003066127713	0.0145287887991018	210.618428252348	0	3.0315547584919	3.08850656406236	3.06003066127713	4.25575976595961
pgprobsolve	~1		1	1	3.06715523253916	0.0135230650392882	226.809175555115	0	3.04065051210157	3.09365995297676	3.06715523253916	4.57933724900274
SEacademic	~1		1	1	3.0507292040791	0.0147455817255201	206.891071567507	0	3.02182839496599	3.07963001319221	3.0507292040791	4.16705508770962
SEwellness	~1		1	1	3.03919678649928	0.0145346279724142	209.10041813712	0	3.01070943914466	3.0676841338539	3.03919678649928	4.199783188021
SEnonacad	~1		1	1	3.02844332699562	0.0152928407108879	198.030136077955	0	2.99846990998098	3.05841674401027	3.02844332699562	3.98854997352343
SEactivities	~1		1	1	3.0269145298629	0.0159132890381435	190.213005156099	0	2.99572505647256	3.05810400325323	3.0269145298629	3.83474445421337
SEdiverse	~1		1	1	3.04567141403288	0.0148524840462735	205.061416295346	0	3.01656108022123	3.07478174784453	3.04567141403288	4.13691975205815
sameinst	~1		1	1	3.24648031406023	0.0134412479511974	241.531167779032	0	3.22013595216861	3.27282467595185	3.24648031406023	4.88947021077092
evalexp	~1		1	1	3.24048560791242	0.0133709984367859	242.351805157443	0	3.21427893253898	3.26669228328586	3.24048560791242	4.8866539271849
MHWdacad	~1		1	1	3.11104177560296	0.0239585730307075	129.850879333071	0	3.06408383534181	3.15799971586412	3.11104177560296	2.62506315096654
MHWdlonely	~1		1	1	3.0932787802367	0.0235112415579468	131.565947830227	0	3.0471975935513	3.13935996692209	3.0932787802367	2.65977182825693
MHWdmental	~1		1	1	3.0929397876556	0.0232570945109401	132.989087961985	0	3.04735672002911	3.13852285528209	3.0929397876556	2.67845763734413
MHWdexhaust	~1		1	1	3.09891956725687	0.0234178596817996	132.331460234402	0	3.05302140568553	3.14481772882821	3.09891956725687	2.67062300951459
MHWdsleep	~1		1	1	3.10218362417869	0.0236428785436348	131.210064732743	0	3.05584443374231	3.14852281461507	3.10218362417869	2.64091899476825
MHWdfinancial	~1		1	1	3.12105300248923	0.0252406164947986	123.652011555756	0	3.07158230321184	3.17052370176662	3.12105300248923	2.50595104613805
QIadmin	~1		1	1	5.35199333641497	0.0213068075054854	251.187013119497	0	5.31023276107869	5.39375391175125	5.35199333641497	5.07142387581544
QIstudent	~1		1	1	5.37892848155401	0.0212164923190105	253.525813818637	0	5.33734492073048	5.42051204237755	5.37892848155401	5.14212549412903
QIadvisor	~1		1	1	5.37486845162674	0.0204548284378731	262.767711200887	0	5.33477772457856	5.41495917867492	5.37486845162674	5.29939791399791
QIfaculty	~1		1	1	5.38525248310404	0.0201133531917092	267.745135869431	0	5.34583103523996	5.42467393096813	5.38525248310404	5.38708801536108
QIstaff	~1		1	1	5.37719866943641	0.0203782660119303	263.869294192567	0	5.33725800198565	5.41713933688717	5.37719866943641	5.32869003906781
Belong	~1		1	1	0	0	NA	NA	0	0	0	0
Gains	~1		1	1	0	0	NA	NA	0	0	0	0
SupportEnv	~1		1	1	0	0	NA	NA	0	0	0	0
Satisf	~1		1	1	0	0	NA	NA	0	0	0	0
DevAdj	~1		1	1	0	0	NA	NA	0	0	0	0
EmoDiss	~1		1	1	0	0	NA	NA	0	0	0	0
QualEngag	~1		1	1	0	0	NA	NA	0	0	0	0
Belong	=~	sbvalued	2	2	1	0	NA	NA	1	1	0.615056997831377	0.841018944600314
Belong	=~	sbmyself	2	2	1.02709137794226	0.0285016833803866	36.0361654515133	0	0.971229105017939	1.08295365086658	0.631719739415659	0.836682628588241
Belong	=~	sbcommunity	2	2	1.06360483791438	0.0265380364285595	40.078505460553	0	1.01159124229399	1.11561843353477	0.654177598486545	0.88176294693432
Gains	=~	pganalyze	2	2	1	0	NA	NA	1	1	0.507920741026411	0.70764277247942
Gains	=~	pgthink	2	2	1.01132274422133	0.0367518293619008	27.5176164501278	0	0.939290482306042	1.08335500613662	0.513671797661761	0.782668214706693
Gains	=~	pgwork	2	2	1.00798241133032	0.0356794552881422	28.2510594175273	0	0.938051963977549	1.07791285868308	0.511975173304483	0.736604690478876
Gains	=~	pgvalues	2	2	1.01575087764897	0.0405658806156722	25.0395372227306	0	0.936243212641102	1.09525854265684	0.515920938473693	0.692014994164721
Gains	=~	pgprobsolve	2	2	0.983489032410984	0.038315318211171	25.6682986942868	0	0.908392388660897	1.05858567616107	0.499534478133535	0.752645482225979
