lhs	op	rhs	group	est.std	se	z	pvalue	ci.lower	ci.upper
Belong	=~	sbvalued	1	0.882989895559475	0.00669178922935836	131.951241334022	0	0.8698742296778	0.896105561441151
Belong	=~	sbmyself	1	0.85464251431374	0.00731483431320121	116.836893047783	0	0.840305702506988	0.868979326120493
Belong	=~	sbcommunity	1	0.903937497697233	0.00623506806915936	144.976363957981	0	0.891716988840525	0.916158006553941
Gains	=~	pganalyze	1	0.704407044459593	0.0124166208006191	56.7309782404301	0	0.680070914880688	0.728743174038497
Gains	=~	pgthink	1	0.780129021287898	0.0105776446413846	73.7526214707265	0	0.759397218749521	0.800860823826275
Gains	=~	pgwork	1	0.750658522830623	0.0115688961738678	64.8859244260686	0	0.727983902988958	0.773333142672287
Gains	=~	pgvalues	1	0.713974961307055	0.0120507626643857	59.2472842749699	0	0.690355900498619	0.737594022115491
Gains	=~	pgprobsolve	1	0.765576979895134	0.0107010817068855	71.5420179814657	0	0.744603245154018	0.78655071463625
SupportEnv	=~	SEacademic	1	0.847467561359598	0.0082336616728522	102.927178093052	0	0.83132988101992	0.863605241699276
SupportEnv	=~	SEwellness	1	0.81336929014041	0.0091580786873398	88.8144028795929	0	0.79541978574564	0.83131879453518
SupportEnv	=~	SEnonacad	1	0.756482464993363	0.0103992409307879	72.744007954824	0	0.736100327302464	0.776864602684262
SupportEnv	=~	SEactivities	1	0.730674986503448	0.0106997889724844	68.2887287200196	0	0.709703785475199	0.751646187531696
SupportEnv	=~	SEdiverse	1	0.773419888241102	0.00990823590275433	78.0582836169761	0	0.754000102721377	0.792839673760828
Satisf	=~	sameinst	1	0.868898149412543	0.0139605665341257	62.2394619364894	0	0.841535941801881	0.896260357023204
Satisf	=~	evalexp	1	0.866462903084318	0.0141404395850446	61.2755280960795	0	0.838748150772066	0.89417765539657
DevAdj	=~	Belong	1	0.579740444069587	0.0176374535451093	32.8698495271356	0	0.545171670342174	0.614309217796999
DevAdj	=~	Gains	1	0.193721384852362	0.0244580946427117	7.92054277662587	2.44249065417534e-15	0.145784400222175	0.241658369482549
DevAdj	=~	SupportEnv	1	0.484664314929946	0.0208215914475039	23.2770062822478	0	0.443854745592031	0.52547388426786
DevAdj	=~	Satisf	1	0.560530558245937	0.0197985093846475	28.31175556482	0	0.521726192904449	0.599334923587424
EmoDiss	=~	MHWdacad	1	0.92158466866827	0.00343510749607208	268.284084187196	0	0.914851981692945	0.928317355643595
EmoDiss	=~	MHWdlonely	1	0.937698532282176	0.00297439334832164	315.257070088356	0	0.93186882844361	0.943528236120742
