lhs	op	rhs	block	group	label	est	se	z	pvalue	ci.lower	ci.upper	std.lv	std.all
Belong	=~	sbvalued	1	1		1	0	NA	NA	1	1	0.678271044623654	0.877576357847415
Belong	=~	sbmyself	1	1	.p2.	1.00048152379248	0.014792432872322	67.6346840596091	0	0.971488888118999	1.02947415946595	0.678597648269388	0.852651639790303
Belong	=~	sbcommunity	1	1	.p3.	1.02769822245645	0.0140252236661236	73.2749970282997	0	1.00020928919573	1.05518715571717	0.697057946903407	0.904237439302995
Gains	=~	pganalyze	1	1		1	0	NA	NA	1	1	0.49389265771949	0.713917955268038
Gains	=~	pgthink	1	1	.p5.	1.033373621989	0.0227430776632165	45.4368418070493	0	0.988798008871501	1.0779492351065	0.510375644581364	0.784555792432024
Gains	=~	pgwork	1	1	.p6.	1.04698064518167	0.0243293750713669	43.0336020596707	0	0.999295946275428	1.09466534408792	0.517096053429643	0.75080273257171
Gains	=~	pgvalues	1	1	.p7.	1.04649505114332	0.0246290779254172	42.4902245350946	0	0.998222945437072	1.09476715684957	0.516856222099468	0.716282459158028
Gains	=~	pgprobsolve	1	1	.p8.	1.03355537777672	0.0236704412897573	43.6643899082676	0	0.987162165350625	1.07994859020281	0.510465412430415	0.762975037668959
SupportEnv	=~	SEacademic	1	1		1	0	NA	NA	1	1	0.616987751315512	0.844622020433465
SupportEnv	=~	SEwellness	1	1	.p10.	0.968111330828023	0.0156136929611347	62.0039943937561	0	0.937509054958532	0.998713606697513	0.597312833030649	0.818110471413927
SupportEnv	=~	SEnonacad	1	1	.p11.	0.944901522818117	0.0172250111260616	54.8563664721511	0	0.911141121377734	0.978661924258499	0.582992665778152	0.761834618327339
SupportEnv	=~	SEactivities	1	1	.p12.	0.93413102579662	0.0178165548821255	52.4305081412676	0	0.899211219899073	0.969050831694167	0.576347401040309	0.730099834645784
SupportEnv	=~	SEdiverse	1	1	.p13.	0.935874821607289	0.0157920021638363	59.2625819005044	0	0.904923066122391	0.966826577092186	0.577423301696287	0.778261529250779
Satisf	=~	sameinst	1	1		1	0	NA	NA	1	1	0.578714572661658	0.871100366934901
Satisf	=~	evalexp	1	1	.p15.	0.989733392429732	0.0271046314667098	36.5152868300509	0	0.93660929094075	1.04285749391871	0.572773137248946	0.864253505979485
DevAdj	=~	Belong	1	1		1	0	NA	NA	1	1	0.560339438493704	0.560339438493704
DevAdj	=~	Gains	1	1	.p17.	0.30111430956361	0.030863923796203	9.75619015754094	0	0.240622130501463	0.361606488625757	0.231714543308321	0.231714543308321
DevAdj	=~	SupportEnv	1	1	.p18.	0.80831790041356	0.0417529687534592	19.3595311793629	0	0.726483585409154	0.890152215417967	0.497920631941606	0.497920631941606
DevAdj	=~	Satisf	1	1		0.853480935140457	0.0440231545455713	19.3870917236738	0	0.767197137745297	0.939764732535618	0.560510656546084	0.560510656546084
EmoDiss	=~	MHWdacad	1	1		1	0	NA	NA	1	1	1.08877379633983	0.921063402505183
EmoDiss	=~	MHWdlonely	1	1	.p21.	0.999014603641973	0.00955085579142745	104.599485685739	0	0.98029527026924	1.01773393701471	1.0877009226062	0.937309442706987
EmoDiss	=~	MHWdmental	1	1	.p22.	1.01101500619838	0.00912816651840746	110.757730389735	0	0.993124128577414	1.02890588381934	1.10076664645515	0.951773442874071
EmoDiss	=~	MHWdexhaust	1	1	.p23.	1.0115856463481	0.00954262121583214	106.007104700937	0	0.992882452446962	1.03028884024924	1.1013879444973	0.943050149111805
EmoDiss	=~	MHWdsleep	1	1	.p24.	1.0013731722033	0.0100133679185292	100.003633178235	0	0.98174733171903	1.02099901268756	1.09026887025264	0.928129607499256
EmoDiss	=~	MHWdfinancial	1	1	.p25.	0.994111859604689	0.0113176738734167	87.837118362254	0	0.971929626424022	1.01629409278535	1.08236294336825	0.876996075933695
QualEngag	=~	QIadmin	1	1		1	0	NA	NA	1	1	0.920714511179875	0.878563335873373
QualEngag	=~	QIstudent	1	1	.p27.	1.02063294554992	0.0113842470830537	89.6530915135537	0	0.998320231276031	1.04294565982381	0.939711563556072	0.895866645249961
QualEngag	=~	QIadvisor	1	1	.p28.	1.01176407683966	0.0107086969520122	94.4805966004619	0	0.99077541649236	1.03275273718695	0.931545867436782	0.918686687095052
QualEngag	=~	QIfaculty	1	1	.p29.	1.00348693991718	0.0108140379004752	92.7948421443094	0	0.982291815104795	1.02468206472956	0.923924987361233	0.922875182672013
