lhs	op	rhs	group	label	est.std	se	z	pvalue	ci.lower	ci.upper
Belong	=~	sbvalued	1		0.877576357847415	0.00662115175856634	132.541344745953	0	0.864599138864451	0.890553576830379
Belong	=~	sbmyself	1	.p2.	0.852651639790303	0.00693469787411605	122.954403388336	0	0.839059881713369	0.866243397867237
Belong	=~	sbcommunity	1	.p3.	0.904237439302995	0.00586730683172182	154.114564865468	0	0.892737729226574	0.915737149379416
Gains	=~	pganalyze	1		0.713917955268038	0.0108530930521543	65.7801376840061	0	0.692646283764954	0.735189626771122
Gains	=~	pgthink	1	.p5.	0.784555792432024	0.00951659836234446	82.4407800518699	0	0.765903602386496	0.803207982477552
Gains	=~	pgwork	1	.p6.	0.75080273257171	0.0104551176578721	71.8119831015388	0	0.730311078508152	0.771294386635268
Gains	=~	pgvalues	1	.p7.	0.716282459158028	0.0110247826964785	64.9702111032826	0	0.69467428213555	0.737890636180506
Gains	=~	pgprobsolve	1	.p8.	0.762975037668959	0.00991819724530554	76.9267860679105	0	0.743535728276596	0.782414347061322
SupportEnv	=~	SEacademic	1		0.844622020433465	0.00780341784574055	108.237446351088	0	0.829327602499496	0.859916438367433
SupportEnv	=~	SEwellness	1	.p10.	0.818110471413927	0.00815850625300093	100.276992631219	0	0.8021200929904	0.834100849837454
SupportEnv	=~	SEnonacad	1	.p11.	0.761834618327339	0.00909225842693004	83.7893714141349	0	0.744014119272425	0.779655117382252
SupportEnv	=~	SEactivities	1	.p12.	0.730099834645784	0.00971593623653006	75.144568353665	0	0.711056949546098	0.749142719745471
SupportEnv	=~	SEdiverse	1	.p13.	0.778261529250779	0.00872300618950843	89.2194172906619	0	0.761164751282423	0.795358307219136
Satisf	=~	sameinst	1		0.871100366934901	0.0125747554203667	69.273742336493	0	0.846454299196582	0.89574643467322
Satisf	=~	evalexp	1	.p15.	0.864253505979485	0.0127997923799748	67.5209003648845	0	0.839166373905144	0.889340638053826
DevAdj	=~	Belong	1		0.560339438493704	0.0183167421890728	30.5916539475008	0	0.524439283489016	0.596239593498392
DevAdj	=~	Gains	1	.p17.	0.231714543308321	0.0207051818931901	11.1911377791147	0	0.191133132504318	0.272295954112325
DevAdj	=~	SupportEnv	1	.p18.	0.497920631941606	0.0190785944094305	26.0983918026731	0	0.460527274023475	0.535313989859737
DevAdj	=~	Satisf	1		0.560510656546084	0.019829930936867	28.2658905031286	0	0.521644706093908	0.59937660699826
EmoDiss	=~	MHWdacad	1		0.921063402505183	0.00336708109426135	273.549515654668	0	0.914464044827405	0.927662760182961
EmoDiss	=~	MHWdlonely	1	.p21.	0.937309442706987	0.00292421817401938	320.533348378258	0	0.931578080402972	0.943040805011003
EmoDiss	=~	MHWdmental	1	.p22.	0.951773442874071	0.00228330318814482	416.840587713358	0	0.947298250859522	0.956248634888621
EmoDiss	=~	MHWdexhaust	1	.p23.	0.943050149111805	0.00258774045702904	364.429959175469	0	0.93797827101469	0.948122027208919
EmoDiss	=~	MHWdsleep	1	.p24.	0.928129607499256	0.00314681353848706	294.942676503638	0	0.921961966297759	0.934297248700754
EmoDiss	=~	MHWdfinancial	1	.p25.	0.876996075933695	0.00494621679245421	177.306436966453	0	0.867301669160757	0.886690482706633
QualEngag	=~	QIadmin	1		0.878563335873373	0.00513439047873969	171.113463128934	0	0.868500115452478	0.888626556294268
QualEngag	=~	QIstudent	1	.p27.	0.895866645249961	0.00455821187623104	196.539052939046	0	0.886932714138646	0.904800576361277
QualEngag	=~	QIadvisor	1	.p28.	0.918686687095052	0.00371649653571725	247.191589785178	0	0.911402487736378	0.925970886453725
QualEngag	=~	QIfaculty	1	.p29.	0.922875182672013	0.00361766375233459	255.102531869208	0	0.915784692009262	0.929965673334765
QualEngag	=~	QIstaff	1	.p30.	0.909972978428958	0.00395165166918125	230.276617123365	0	0.902227883477915	0.917718073380001
sbvalued	~~	sbvalued	1		0.229859736147265	0.0116211324762023	19.7794609619993	0	0.20708273503434	0.252636737260191
sbmyself	~~	sbmyself	1		0.272985181162907	0.0118257630012123	23.0839381048752	0	0.249807111590825	0.29616325073499
sbcommunity	~~	sbcommunity	1		0.182354653362763	0.0106108767969061	17.185634783351	0	0.161557716996435	0.20315158972909
pganalyze	~~	pganalyze	1		0.490321153145904	0.0154964361972366	31.6408977461115	0	0.459948696310597	0.52069360998121
pgthink	~~	pgthink	1		0.384472208561358	0.0149326049279689	25.7471626963919	0	0.355204840707174	0.413739576415543
pgwork	~~	pgwork	1		0.436295256762853	0.0156994618214882	27.7904594261751	0	0.405524877016074	0.467065636509631
pgvalues	~~	pgvalues	1		0.486939438702528	0.0157937167078631	30.8312126720684	0	0.455984322773087	0.517894554631968
pgprobsolve	~~	pgprobsolve	1		0.417869091894051	0.0151346741814288	27.6100487453375	0	0.388205675580702	0.4475325082074
SEacademic	~~	SEacademic	1		0.286613642598892	0.0131818769498908	21.7430069851521	0	0.260777638528467	0.312449646669317
SEwellness	~~	SEwellness	1		0.330695256562882	0.0133491188979372	24.7728152765185	0	0.304531464297582	0.356859048828182
SEnonacad	~~	SEnonacad	1		0.419608014318038	0.0138535944466356	30.2887467894616	0	0.392455468146208	0.446760560489868
SEactivities	~~	SEactivities	1		0.466954231450199	0.0141872069133475	32.9137535176766	0	0.43914781685882	0.494760646041577
SEdiverse	~~	SEdiverse	1		0.394308992088239	0.0135775604199696	29.041225366841	0	0.367697462667182	0.420920521509296
