lhs	op	rhs	block	group	label	est	se	z	pvalue	ci.lower	ci.upper	std.lv	std.all
Belong	=~	sbvalued	1	1		1	0	NA	NA	1	1	0.677649923841311	0.877391230275204
Belong	=~	sbmyself	1	1	.p2.	1.00046066126497	0.0147939200359963	67.6264748512002	0	0.97146511080425	1.02945621172569	0.677962090912433	0.852425670147668
Belong	=~	sbcommunity	1	1	.p3.	1.02772716737989	0.0140241897504005	73.2824630635464	0	1.00024026055675	1.05521407420303	0.69643923670463	0.9040981296134
Gains	=~	pganalyze	1	1		1	0	NA	NA	1	1	0.493856423258364	0.713893286453502
Gains	=~	pgthink	1	1	.p5.	1.03336728800053	0.0227429742538873	45.4367698993415	0	0.988791877561585	1.07794269843947	0.510335072764135	0.784532203282149
Gains	=~	pgwork	1	1	.p6.	1.04697836045894	0.0243287988687295	43.0345273561635	0	0.999294790889111	1.09466193002877	0.517056988325158	0.750776812607924
Gains	=~	pgvalues	1	1	.p7.	1.04649406456964	0.0246288670852092	42.4905482233125	0	0.998222372102603	1.09476575703667	0.516817815689468	0.716256868507833
Gains	=~	pgprobsolve	1	1	.p8.	1.03354127986359	0.0236696015205746	43.6653434560439	0	0.987149713354846	1.07993284637233	0.510420999763302	0.762946315300288
SupportEnv	=~	SEacademic	1	1		1	0	NA	NA	1	1	0.616596810596012	0.844464412727916
SupportEnv	=~	SEwellness	1	1	.p10.	0.968120167294508	0.0156146921134018	62.0005927919377	0	0.937515933122559	0.998724401466457	0.596939807427471	0.817943944275785
SupportEnv	=~	SEnonacad	1	1	.p11.	0.944903228331938	0.0172255863245234	54.8546337134961	0	0.911141699523286	0.978664757140589	0.582624316911348	0.761633043684236
SupportEnv	=~	SEactivities	1	1	.p12.	0.93413789377588	0.0178167114453006	52.4304328912658	0	0.899217781020148	0.969058006531611	0.575986445959084	0.729884922382289
SupportEnv	=~	SEdiverse	1	1	.p13.	0.935869581381406	0.0157922881906897	59.2611767263178	0	0.904917265294177	0.966821897468635	0.5770541990136	0.778067881792466
Satisf	=~	sameinst	1	1		1	0	NA	NA	1	1	0.579717759284505	0.871498110050661
Satisf	=~	evalexp	1	1	.p15.	0.989578410352462	0.0271115734751571	36.5002205150223	0	0.936440702776943	1.04271611792798	0.573676178685852	0.864563923723977
DevAdj	=~	Belong	1	1		1	0	NA	NA	1	1	0.558784263024443	0.558784263024443
DevAdj	=~	Gains	1	1	.p17.	0.301839792062868	0.0307753147625718	9.80785393720678	0	0.241521283515343	0.362158300610392	0.23143303290766	0.23143303290766
DevAdj	=~	SupportEnv	1	1	.p18.	0.809016683859876	0.0418248952141402	19.3429458631701	0	0.727041395582999	0.890991972136752	0.496827657706313	0.496827657706313
