lhs	op	rhs	group	label	est.std	se	z	pvalue	ci.lower	ci.upper
Belong	=~	sbvalued	1		0.877391230275204	0.00661654363968212	132.605674209285	0	0.86442304303929	0.890359417511119
Belong	=~	sbmyself	1	.p2.	0.852425670147668	0.00693469965114757	122.921786527064	0	0.838833908587816	0.866017431707519
Belong	=~	sbcommunity	1	.p3.	0.9040981296134	0.0058780080999632	153.810289852962	0	0.892577445436638	0.915618813790163
Gains	=~	pganalyze	1		0.713893286453502	0.0108520464261553	65.7842086569865	0	0.692623666299681	0.735162906607323
Gains	=~	pgthink	1	.p5.	0.784532203282149	0.00951634874344371	82.440463714894	0	0.765880502480676	0.803183904083622
Gains	=~	pgwork	1	.p6.	0.750776812607924	0.0104526105563939	71.8267277401504	0	0.730290072372969	0.771263552842879
Gains	=~	pgvalues	1	.p7.	0.716256868507833	0.0110229905715406	64.9784524316911	0	0.694652203985688	0.737861533029977
Gains	=~	pgprobsolve	1	.p8.	0.762946315300288	0.00991654598120073	76.936699204203	0	0.7435102423261	0.782382388274477
SupportEnv	=~	SEacademic	1		0.844464412727916	0.00779970188522841	108.268806315177	0	0.82917727794272	0.859751547513113
SupportEnv	=~	SEwellness	1	.p10.	0.817943944275785	0.00816137311508275	100.221363824694	0	0.801947946905829	0.83393994164574
SupportEnv	=~	SEnonacad	1	.p11.	0.761633043684236	0.00908045343604489	83.8761025590343	0	0.743835681986295	0.779430405382177
SupportEnv	=~	SEactivities	1	.p12.	0.729884922382289	0.00971352853719526	75.1410694463291	0	0.710846756286584	0.748923088477994
SupportEnv	=~	SEdiverse	1	.p13.	0.778067881792466	0.00871693018961737	89.2593911924651	0	0.760983012565066	0.795152751019866
Satisf	=~	sameinst	1		0.871498110050661	0.0125205870610909	69.6052114647995	0	0.846958210345625	0.896038009755697
Satisf	=~	evalexp	1	.p15.	0.864563923723977	0.0127559347775799	67.7773866673852	0	0.839562750970778	0.889565096477175
DevAdj	=~	Belong	1		0.558784263024443	0.0181759283354193	30.7430934317421	0	0.52316009810144	0.594408427947446
DevAdj	=~	Gains	1	.p17.	0.23143303290766	0.0206639859887738	11.1998252918576	0	0.190932364592623	0.271933701222697
DevAdj	=~	SupportEnv	1	.p18.	0.496827657706313	0.0189415168866947	26.2295602130633	0	0.459702966795835	0.533952348616792
DevAdj	=~	Satisf	1	.p19.	0.563270214134965	0.0188502633640592	29.8812914841775	0	0.526324376842314	0.600216051427616
EmoDiss	=~	MHWdacad	1		0.921064061996171	0.00336707481185655	273.550221917496	0	0.91446471663168	0.927663407360662
EmoDiss	=~	MHWdlonely	1	.p21.	0.937310818419959	0.00292412238625409	320.544318810366	0	0.931579643856514	0.943041992983404
EmoDiss	=~	MHWdmental	1	.p22.	0.951773652822256	0.00228325796137885	416.848936441454	0	0.947298549450539	0.956248756193972
EmoDiss	=~	MHWdexhaust	1	.p23.	0.94304841628215	0.00258779307739495	364.421879214348	0	0.937976435051014	0.948120397513287
EmoDiss	=~	MHWdsleep	1	.p24.	0.928128811193983	0.00314683528721667	294.940385016115	0	0.921961127365759	0.934296495022208
EmoDiss	=~	MHWdfinancial	1	.p25.	0.876996830889978	0.00494623896784746	177.305794683761	0	0.867302380654068	0.886691281125887
QualEngag	=~	QIadmin	1		0.878561889965561	0.0051344778436014	171.110269968431	0	0.868498498312683	0.888625281618439
QualEngag	=~	QIstudent	1	.p27.	0.895865078004832	0.00455824307063745	196.53736409444	0	0.886931085753603	0.904799070256061
QualEngag	=~	QIadvisor	1	.p28.	0.918686375803165	0.00371652025738448	247.18992826093	0	0.911402129950878	0.925970621655452
QualEngag	=~	QIfaculty	1	.p29.	0.922875874552828	0.00361768480158576	255.101238822215	0	0.915785342634302	0.929966406471354
QualEngag	=~	QIstaff	1	.p30.	0.909975019612941	0.00395160101638343	230.280085423645	0	0.902230023939557	0.917720015286324
sbvalued	~~	sbvalued	1		0.230184629036163	0.0116105947430416	19.8253951783234	0	0.207428281500712	0.252940976571615
sbmyself	~~	sbmyself	1		0.2733704768733	0.0118226319893006	23.1226411446029	0	0.250198543971799	0.2965424097748
sbcommunity	~~	sbcommunity	1		0.182606572029551	0.010628592187303	17.1806923072742	0	0.161774914136074	0.203438229923029
pganalyze	~~	pganalyze	1		0.490356375556618	0.0154944062449416	31.6473163156351	0	0.4599878973547	0.520724853758536
pgthink	~~	pgthink	1		0.384509222013257	0.0149317643781727	25.7510909143018	0	0.355243501606401	0.413774942420114
pgwork	~~	pgwork	1		0.436334177650286	0.0156951551945092	27.8005647120287	0	0.405572238737282	0.467096116563291
pgvalues	~~	pgvalues	1		0.486976098315353	0.0157905853205332	30.8396483366653	0	0.456027119792301	0.517925076838405
pgprobsolve	~~	pgprobsolve	1		0.417912919969713	0.0151315842748115	27.6185832481125	0	0.38825555976205	0.447570280177376
SEacademic	~~	SEacademic	1		0.286879855636095	0.0131731413379942	21.7776343755359	0	0.261060973050371	0.31269873822182
SEwellness	~~	SEwellness	1		0.330967704022572	0.0133510916114085	24.7895613074634	0	0.304800045309916	0.357135362735228
SEnonacad	~~	SEnonacad	1		0.419915106768286	0.0138319468638488	30.3583516407063	0	0.392804989079071	0.447025224457502
SEactivities	~~	SEactivities	1		0.467268000079	0.0141795160584202	32.9537339746884	0	0.439476659286289	0.495059340871711
SEdiverse	~~	SEdiverse	1		0.394610371322985	0.0135647268821204	29.0909190249247	0	0.368023995173907	0.421196747472064
sameinst	~~	sameinst	1		0.240491044178126	0.0218233356613655	11.0199030940936	0	0.197718092259321	0.283263996096931
evalexp	~~	evalexp	1		0.252529221795001	0.0220566419351363	11.4491236942429	0	0.209298997982238	0.295759445607764
MHWdacad	~~	MHWdacad	1		0.151640993699113	0.00620258263434613	24.4480408627558	0	0.139484155124661	0.163797832273565
MHWdlonely	~~	MHWdlonely	1		0.121448429672907	0.00548162238910419	22.1555629067608	0	0.110704647213414	0.132192212132399
MHWdmental	~~	MHWdmental	1		0.09412691379338	0.00434628936535851	21.6568446969052	0	0.0856083431708879	0.102645484415872
MHWdexhaust	~~	MHWdexhaust	1		0.110659684547727	0.00488082792382017	22.6723183596924	0	0.101093437602303	0.120225931493152
MHWdsleep	~~	MHWdsleep	1		0.138576909831643	0.0058413365494484	23.7234935290158	0	0.127128100573147	0.150025719090139
MHWdfinancial	~~	MHWdfinancial	1		0.230876558608936	0.00867567194675911	26.6119512155116	0	0.213872554051604	0.247880563166268
QIadmin	~~	QIadmin	1		0.228129005500142	0.00902191328138582	25.2861004517547	0	0.210446380396982	0.245811630603301
QIstudent	~~	QIstudent	1		0.197425762011396	0.00816714154496803	24.1731774727273	0	0.181418458726618	0.213433065296174
QIadvisor	~~	QIadvisor	1		0.156015342913646	0.00682863329598633	22.8472281569647	0	0.142631467589881	0.16939921823741
QIfaculty	~~	QIfaculty	1		0.148300120168354	0.0066773482727448	22.2094331628134	0	0.135212758041543	0.161387482295164
QIstaff	~~	QIstaff	1		0.171945463680428	0.00719171647247128	23.9088212582639	0	0.157849958407361	0.186040968953495
Belong	~~	Belong	1		0.68776014739623	0.0203128456277291	33.8583849845915	0	0.647947701542359	0.727572593250101
Gains	~~	Gains	1		0.946438751279162	0.00956465814437826	98.9516548310137	0	0.927692365791743	0.965185136766581
SupportEnv	~~	SupportEnv	1		0.753162278538058	0.0188213393473671	40.0164018424872	0	0.716273131276412	0.790051425799705
Satisf	~~	Satisf	1		0.682726665868351	0.0212355837720924	32.1501246773156	0	0.641105686484366	0.724347645252335
DevAdj	~~	DevAdj	1		1	0	NA	NA	1	1
EmoDiss	~~	EmoDiss	1		1	0	NA	NA	1	1
QualEngag	~~	QualEngag	1		1	0	NA	NA	1	1
DevAdj	~~	EmoDiss	1		-0.800801697577908	0.0197227350275704	-40.6029740022602	0	-0.839457547908573	-0.762145847247243
DevAdj	~~	QualEngag	1		0.573802526535308	0.0235158600799969	24.4006608554113	0	0.527712287713031	0.619892765357585
EmoDiss	~~	QualEngag	1		-0.206671888257127	0.0185626905835857	-11.1337247866362	0	-0.243054093257116	-0.170289683257138
sbvalued	~1		1		3.95692301250063	0.0569189870934618	69.518507172366	0	3.84536384776095	4.06848217724032
sbmyself	~1		1		3.81016565546376	0.0519854923130095	73.2928647193028	0	3.70827596281168	3.91205534811585
sbcommunity	~1		1		3.95116031826711	0.0565564538180773	69.8622358993129	0	3.84031170569038	4.06200893084385
pganalyze	~1		1		4.41892052561366	0.0608904927322888	72.5716007101781	0	4.29957735285748	4.53826369836985
pgthink	~1		1		4.69438541850577	0.0674426509983278	69.6055885855104	0	4.56220025152714	4.8265705854844
pgwork	~1		1		4.42858890162124	0.0666327204295758	66.4626758906207	0	4.29799116938734	4.55918663385513
pgvalues	~1		1		4.24089113570316	0.0599097619853806	70.7879817105272	0	4.12347015988945	4.35831211151687
pgprobsolve	~1		1		4.58459760682556	0.0674670162864921	67.953169699361	0	4.45236468475965	4.71683052889146
SEacademic	~1		1		4.17814750397281	0.0583672292502521	71.5837903844778	0	4.06374983676492	4.2925451711807
SEwellness	~1		1		4.1643946123612	0.05615196184297	74.1629406289847	0	4.05433878948771	4.27445043523469
SEnonacad	~1		1		3.95891925230509	0.0556884195620189	71.0905298344144	0	3.84977195560758	4.0680665490026
SEactivities	~1		1		3.83567978572722	0.0542947788014295	70.6454629782235	0	3.72926397472785	3.94209559672659
SEdiverse	~1		1		4.10661531823037	0.0583432555832553	70.3871471891086	0	3.99226463854638	4.22096599791437
sameinst	~1		1		4.88048086561204	0.0675982701116824	72.1983100684197	0	4.74799069077593	5.01297104044814
evalexp	~1		1		4.88360344493088	0.0682288598472292	71.5767998449004	0	4.74987733692408	5.01732955293768
MHWdacad	~1		1		2.63176235789501	0.0343517699660429	76.612132664388	0	2.56443412595637	2.69909058983366
MHWdlonely	~1		1		2.66548039489651	0.0348696222568139	76.4413326667355	0	2.59713719111864	2.73382359867438
MHWdmental	~1		1		2.67438190270914	0.0354310814456597	75.48123832491	0	2.60493825914234	2.74382554627593
MHWdexhaust	~1		1		2.65356697125559	0.034452086392831	77.0219527780981	0	2.58604212273338	2.7210918197778
MHWdsleep	~1		1		2.64084051710635	0.0345282971453178	76.4833697414024	0	2.57316629825403	2.70851473595867
MHWdfinancial	~1		1		2.52867546525979	0.03274182151365	77.230751019933	0	2.46450267430479	2.59284825621478
QIadmin	~1		1		5.10700850039718	0.0696260744822261	73.3490799011063	0	4.97054390202711	5.24347309876724
QIstudent	~1		1		5.12794750920081	0.0703397857752721	72.9025181507381	0	4.99008406240101	5.2658109560006
QIadvisor	~1		1		5.30066855745112	0.0735931120445693	72.0266939416958	0	5.15642870833354	5.44490840656869
QIfaculty	~1		1		5.37914194417678	0.0718346499813004	74.882274022036	0	5.23834861737139	5.51993527098217
QIstaff	~1		1		5.32094247737096	0.0702105474094316	75.78551476521	0	5.18333233311363	5.45855262162828
Belong	~1		1		0	0	NA	NA	0	0
Gains	~1		1		0	0	NA	NA	0	0
SupportEnv	~1		1		0	0	NA	NA	0	0
Satisf	~1		1		0	0	NA	NA	0	0
DevAdj	~1		1		0	0	NA	NA	0	0
EmoDiss	~1		1		0	0	NA	NA	0	0
QualEngag	~1		1		0	0	NA	NA	0	0
Belong	=~	sbvalued	2		0.854801255106574	0.00819598267316129	104.295151563182	0	0.838737424249263	0.870865085963884
Belong	=~	sbmyself	2	.p2.	0.840744477075173	0.0086124463418195	97.6197056802276	0	0.823864392426423	0.857624561723922
Belong	=~	sbcommunity	2	.p3.	0.880998765140902	0.0081827923058667	107.664808320904	0	0.864960786928432	0.897036743353372
Gains	=~	pganalyze	2		0.690749418446059	0.0127957710604046	53.9826334173424	0	0.665670168013246	0.715828668878872
Gains	=~	pgthink	2	.p5.	0.776006292900646	0.0110843742066385	70.0090305897367	0	0.75428131866447	0.797731267136822
Gains	=~	pgwork	2	.p6.	0.735914410677234	0.0117760093368192	62.4926823364776	0	0.712833856495461	0.758994964859007
Gains	=~	pgvalues	2	.p7.	0.68780768109743	0.0126172658162886	54.51321158737	0	0.663078294514136	0.712537067680724
