lhs	op	rhs	block	group	label	est	se	z	pvalue	ci.lower	ci.upper	std.lv	std.all
Belong	=~	sbvalued	1	1		1	0	NA	NA	1	1	0.680769515314592	0.879001040722919
Belong	=~	sbmyself	1	1	.p2.	0.996223988752189	0.0137512201493483	72.4462249845809	0	0.969272092515985	1.02317588498839	0.678198921967597	0.852631667712471
Belong	=~	sbcommunity	1	1	.p3.	1.0191458189603	0.0127700467987103	79.8075242029054	0	0.99411698715394	1.04417465076667	0.693803405208498	0.90267062215903
Gains	=~	pganalyze	1	1		1	0	NA	NA	1	1	0.496225282137139	0.715818010077841
Gains	=~	pgthink	1	1	.p5.	1.02537771123351	0.0220402323651609	46.522999133817	0	0.982179649586896	1.06857577288011	0.50881834405398	0.78329248620076
Gains	=~	pgwork	1	1	.p6.	1.03910523744977	0.0235215378502569	44.1767559614908	0	0.993003870402269	1.08520660449727	0.51563028962369	0.749592897724964
Gains	=~	pgvalues	1	1	.p7.	1.04426546737306	0.0240662156705283	43.3913450153229	0	0.997096551414654	1.09143438333147	0.51819092617327	0.717367497646425
Gains	=~	pgprobsolve	1	1	.p8.	1.02877428702885	0.0231214806116757	44.4943083147255	0	0.983457017760721	1.07409155629697	0.510503810836324	0.763045198809803
SupportEnv	=~	SEacademic	1	1		1	0	NA	NA	1	1	0.616023101391379	0.844126151933694
SupportEnv	=~	SEwellness	1	1	.p10.	0.96859132656239	0.0143100502578062	67.6860883863085	0	0.940544143440131	0.996638509684648	0.596674632969754	0.81780520581465
SupportEnv	=~	SEnonacad	1	1	.p11.	0.942315910545525	0.0156129889915331	60.3546131401579	0	0.9117150144311	0.97291680665995	0.580488369704696	0.760230274948217
SupportEnv	=~	SEactivities	1	1	.p12.	0.928504592948904	0.0162796937184517	57.0345246665496	0	0.896596979581395	0.960412206316412	0.571980279004524	0.72708755937659
