lhs	op	rhs	group	label	est.std	se	z	pvalue	ci.lower	ci.upper
Belong	=~	sbvalued	1		0.879001040722919	0.00644458299121162	136.393780935337	0	0.866369890164765	0.891632191281073
Belong	=~	sbmyself	1	.p2.	0.852631667712471	0.00684741942589768	124.518685753019	0	0.839210972250672	0.86605236317427
Belong	=~	sbcommunity	1	.p3.	0.90267062215903	0.00582913446865978	154.855000688734	0	0.891245728539416	0.914095515778645
Gains	=~	pganalyze	1		0.715818010077841	0.0107258522348285	66.7376348662973	0	0.694795725994079	0.736840294161603
Gains	=~	pgthink	1	.p5.	0.78329248620076	0.00954902510628378	82.0285293506361	0	0.764576740904975	0.802008231496545
Gains	=~	pgwork	1	.p6.	0.749592897724964	0.0103789314422155	72.2225502594666	0	0.729250565900212	0.769935229549717
Gains	=~	pgvalues	1	.p7.	0.717367497646425	0.010897462088808	65.8288592151364	0	0.696008864429471	0.73872613086338
Gains	=~	pgprobsolve	1	.p8.	0.763045198809803	0.00985116293567221	77.4573726769585	0	0.74373727425005	0.782353123369556
SupportEnv	=~	SEacademic	1		0.844126151933694	0.00761702769425102	110.820937748566	0	0.829197051983718	0.85905525188367
SupportEnv	=~	SEwellness	1	.p10.	0.81780520581465	0.0080019840346184	102.200304609037	0	0.802121605301933	0.833488806327366
SupportEnv	=~	SEnonacad	1	.p11.	0.760230274948217	0.00893437284314335	85.0905025226984	0	0.742719225951204	0.777741323945231
SupportEnv	=~	SEactivities	1	.p12.	0.72708755937659	0.00956741780929489	75.9962169385154	0	0.708335765045325	0.745839353707855
SupportEnv	=~	SEdiverse	1	.p13.	0.781692640809803	0.00839034124478437	93.1657745500782	0	0.765247874152025	0.798137407467581
Satisf	=~	sameinst	1		0.874833582531825	0.0106644381829646	82.0327866806228	0	0.85393166777786	0.895735497285789
Satisf	=~	evalexp	1	.p15.	0.861178429660068	0.0108647210792022	79.2637402637585	0	0.839883967642758	0.882472891677377
DevAdj	=~	Belong	1		0.55888755247335	0.0181773699254182	30.7463376036504	0	0.523260562085869	0.594514542860831
DevAdj	=~	Gains	1	.p17.	0.231477279033633	0.0206635356246588	11.2022106593124	0	0.190977493416042	0.271977064651225
DevAdj	=~	SupportEnv	1	.p18.	0.496845603620392	0.0189470777982722	26.2228090743207	0	0.4597100135235	0.533981193717284
DevAdj	=~	Satisf	1	.p19.	0.563203233416226	0.0188446598659589	29.8866223865149	0	0.526268378778039	0.600138088054413
EmoDiss	=~	MHWdacad	1		0.921074183426491	0.00333368698937242	276.29294122778	0	0.914540276991591	0.927608089861391
EmoDiss	=~	MHWdlonely	1	.p21.	0.937566311743176	0.00287445922818409	326.171372531686	0	0.931932475180906	0.943200148305445
EmoDiss	=~	MHWdmental	1	.p22.	0.951762286205251	0.00226902388319975	419.4589106145	0	0.947315081114118	0.956209491296384
EmoDiss	=~	MHWdexhaust	1	.p23.	0.942968325869364	0.00258179229452195	365.237872880075	0	0.937908105956538	0.94802854578219
EmoDiss	=~	MHWdsleep	1	.p24.	0.928221307888673	0.0031063641779426	298.812777484271	0	0.92213294597704	0.934309669800305
EmoDiss	=~	MHWdfinancial	1	.p25.	0.876269083612938	0.00486311425415857	180.186818120429	0	0.866737554822084	0.885800612403792
QualEngag	=~	QIadmin	1		0.876796486635751	0.00517646478578885	169.381329327856	0	0.866650802088365	0.886942171183137
QualEngag	=~	QIstudent	1	.p27.	0.896490583774885	0.00448310695158539	199.970822346287	0	0.887703855610937	0.905277311938834
