lhs	op	rhs	block	group	est	se	z	pvalue	ci.lower	ci.upper	std.lv	std.all
Belong	=~	sbvalued	1	1	1	0	NA	NA	1	1	0.64026478085057	0.877309268521912
Belong	=~	sbmyself	1	1	1.02059648861016	0.0278096080593342	36.6994200864907	0	0.966090658389692	1.07510231883063	0.653451987116847	0.853522928641932
Belong	=~	sbcommunity	1	1	1.02419277580605	0.0263269798568695	38.9027826729168	0	0.972592843464876	1.07579270814723	0.655754563150199	0.897946523098891
Gains	=~	pganalyze	1	1	1	0	NA	NA	1	1	0.496561663826582	0.700128538199857
Gains	=~	pgthink	1	1	1.07544204953199	0.0448135811336463	23.9981278515709	0	0.98760904449178	1.1632750545722	0.534023293464675	0.799168583805786
Gains	=~	pgwork	1	1	1.12231333027075	0.0478789689010597	23.4406328296244	0	1.02847227560776	1.21615438493374	0.557297774613994	0.780271481745624
Gains	=~	pgvalues	1	1	1.08345188063902	0.0450372192406608	24.0568112087359	0	0.995180552963495	1.17172320831455	0.538000668526154	0.734087600296157
Gains	=~	pgprobsolve	1	1	1.0788581875742	0.044105273503663	24.4609794219869	0	0.992413439978734	1.16530293516967	0.535719616654777	0.779907075065533
SupportEnv	=~	SEacademic	1	1	1	0	NA	NA	1	1	0.627299890121681	0.856345443262861
SupportEnv	=~	SEwellness	1	1	0.93523163476891	0.026190517112782	35.7087884420762	0	0.883899164491377	0.986564105046443	0.586670701728857	0.812846640942602
SupportEnv	=~	SEnonacad	1	1	0.917340052672606	0.0292323509751229	31.380987914837	0	0.860045697577931	0.974634407767281	0.575447314245743	0.761476236332331
SupportEnv	=~	SEactivities	1	1	0.900514683144952	0.0313141417241649	28.7574441949348	0	0.839140093158806	0.961889273131098	0.564892761789789	0.728823138836143
SupportEnv	=~	SEdiverse	1	1	0.906506245586482	0.0288009936421818	31.4748253775112	0	0.850057335328839	0.962955155844126	0.568651268251018	0.774831517398074
Satisf	=~	sameinst	1	1	1	0	NA	NA	1	1	0.58893899685471	0.878045821939986
Satisf	=~	evalexp	1	1	0.960518496288061	0.0419703983022909	22.885617843556	0	0.87825802719877	1.04277896537735	0.565686799664285	0.862563039019111
DevAdj	=~	Belong	1	1	1	0	NA	NA	1	1	0.551211744432993	0.551211744432993
DevAdj	=~	Gains	1	1	0.556016971006546	0.0638349774432417	8.71022428888494	0	0.430902714263865	0.681131227749226	0.395178160622103	0.395178160622103
DevAdj	=~	SupportEnv	1	1	0.921120453023947	0.0807170295054788	11.4117238786819	0	0.762917982254151	1.07932292379374	0.518226109163032	0.518226109163032
DevAdj	=~	Satisf	1	1	0.961097159855554	0.0742393395434857	12.9459282068719	0	0.815590728114282	1.10660359159683	0.575937102413929	0.575937102413929
EmoDiss	=~	MHWdacad	1	1	1	0	NA	NA	1	1	0.910973963098143	0.895132160192376
EmoDiss	=~	MHWdlonely	1	1	1.00781636706804	0.0196516684416013	51.2840103151019	0	0.969299804686381	1.0463329294497	0.918094469983148	0.910864915355044
EmoDiss	=~	MHWdmental	1	1	1.02712674682361	0.0188349160185548	54.533120604932	0	0.990210989775407	1.06404250387182	0.935685723158008	0.937941062110327
EmoDiss	=~	MHWdexhaust	1	1	1.00967300164396	0.0199828324443247	50.527021354809	0	0.970507369743986	1.04883863354394	0.919785815740797	0.917571426365549
EmoDiss	=~	MHWdsleep	1	1	0.990783193538235	0.0197076638278671	50.2740051886437	0	0.952156882216193	1.02940950486028	0.902577692388561	0.90466311939501
EmoDiss	=~	MHWdfinancial	1	1	0.998698132308249	0.0237059650884956	42.1285583008352	0	0.952235294516034	1.04516097010046	0.90978799552756	0.84391686852283
QualEngag	=~	QIadmin	1	1	1	0	NA	NA	1	1	0.992047178462586	0.893846153048607
QualEngag	=~	QIstudent	1	1	1.01711477049295	0.018733366821694	54.294285708167	0	0.980398046213252	1.05383149477265	1.00902583824015	0.915477877774211
QualEngag	=~	QIadvisor	1	1	1.00506032032937	0.018533332181879	54.2298767683056	0	0.968735656739372	1.04138498391937	0.997067254967456	0.928270255601358
QualEngag	=~	QIfaculty	1	1	0.999513954439475	0.0190617789498523	52.4355023247829	0	0.962153554216501	1.03687435466245	0.991564998335663	0.934694037463175
QualEngag	=~	QIstaff	1	1	0.982527935799998	0.0195680634715579	50.2107905173191	0	0.944175236148551	1.02088063545145	0.974714066471057	0.920204407491711
sbvalued	~~	sbvalued	1	1	0.122676498391343	0.00949476369767965	12.920437232295	0	0.104067103502173	0.141285893280514	0.122676498391343	0.230328447365547
