lhs	op	rhs	group	est.std	se	z	pvalue	ci.lower	ci.upper
Belong	=~	sbvalued	1	0.877309268521912	0.0106990317802504	81.9989403285409	0	0.856339551563172	0.898278985480652
Belong	=~	sbmyself	1	0.853522928641932	0.0115236986557863	74.0667518421581	0	0.830936894307898	0.876108962975965
Belong	=~	sbcommunity	1	0.897946523098891	0.010249295174998	87.6105632404197	0	0.877858273688975	0.918034772508807
Gains	=~	pganalyze	1	0.700128538199857	0.0186428239503683	37.5548543538129	0	0.663589274687014	0.736667801712699
Gains	=~	pgthink	1	0.799168583805786	0.0143098793342078	55.8473321221776	0	0.771121735687625	0.827215431923947
Gains	=~	pgwork	1	0.780271481745624	0.0159773623688631	48.8360634084528	0	0.748956426934707	0.811586536556541
Gains	=~	pgvalues	1	0.734087600296157	0.0164828228147874	44.5365219625839	0	0.701781861215618	0.766393339376695
Gains	=~	pgprobsolve	1	0.779907075065533	0.0150720703856243	51.7451853070833	0	0.750366359937256	0.809447790193809
SupportEnv	=~	SEacademic	1	0.856345443262861	0.0114583644085563	74.7353996372646	0	0.833887461700355	0.878803424825367
SupportEnv	=~	SEwellness	1	0.812846640942602	0.0134650348105932	60.3672142238443	0	0.786455657663261	0.839237624221943
SupportEnv	=~	SEnonacad	1	0.761476236332331	0.0151591319962764	50.232179290963	0	0.73176488358274	0.791187589081921
SupportEnv	=~	SEactivities	1	0.728823138836143	0.0167622794271772	43.4799540243004	0	0.695969674860079	0.761676602812207
SupportEnv	=~	SEdiverse	1	0.774831517398074	0.015028698296494	51.556795013899	0	0.745375810002427	0.80428722479372
Satisf	=~	sameinst	1	0.878045821939986	0.0196625412012563	44.6557651400565	0	0.839507949340989	0.916583694538984
Satisf	=~	evalexp	1	0.862563039019111	0.0201076079767457	42.8973471144186	0	0.82315285156944	0.901973226468783
DevAdj	=~	Belong	1	0.551211744432993	0.0275918941055585	19.9773071875464	0	0.497132625720855	0.60529086314513
DevAdj	=~	Gains	1	0.395178160622103	0.0346694114548416	11.3984675262469	0	0.327227362805414	0.463128958438793
DevAdj	=~	SupportEnv	1	0.518226109163032	0.032865265349466	15.7682009760938	0	0.453811372735726	0.582640845590337
DevAdj	=~	Satisf	1	0.575937102413929	0.0292030515782242	19.7218123205791	0	0.518700173081944	0.633174031745914
EmoDiss	=~	MHWdacad	1	0.895132160192376	0.00716198069559478	124.983883402947	0	0.881094935971039	0.909169384413713
EmoDiss	=~	MHWdlonely	1	0.910864915355044	0.00631392314430889	144.262908264264	0	0.898489853391045	0.923239977319043
EmoDiss	=~	MHWdmental	1	0.937941062110327	0.00457998246631752	204.791408920931	0	0.92896446142652	0.946917662794135
EmoDiss	=~	MHWdexhaust	1	0.917571426365549	0.0056279136325638	163.039358147994	0	0.906540918337622	0.928601934393476
EmoDiss	=~	MHWdsleep	1	0.90466311939501	0.00667681065854516	135.493301466801	0	0.891576810972668	0.917749427817351
EmoDiss	=~	MHWdfinancial	1	0.84391686852283	0.00988782644191048	85.3490778262257	0	0.824537084811303	0.863296652234358
QualEngag	=~	QIadmin	1	0.893846153048607	0.00701254458627243	127.463881626988	0	0.880101818219531	0.907590487877682
QualEngag	=~	QIstudent	1	0.915477877774211	0.00586173620417592	156.178621126284	0	0.903989085927152	0.92696666962127
QualEngag	=~	QIadvisor	1	0.928270255601358	0.00507455766200217	182.926339088067	0	0.918324305346362	0.938216205856354
QualEngag	=~	QIfaculty	1	0.934694037463175	0.00483731816070968	193.225668936783	0	0.925213068086423	0.944175006839927
QualEngag	=~	QIstaff	1	0.920204407491711	0.005374707468063	171.210138032563	0	0.909670174426869	0.930738640556553
sbvalued	~~	sbvalued	1	0.230328447365547	0.0187727196513574	12.2693169473126	0	0.19353459295702	0.267122301774075
sbmyself	~~	sbmyself	1	0.2714986102825	0.019671482350556	13.8016345410201	0	0.232943213352895	0.310054007212105
sbcommunity	~~	sbcommunity	1	0.193692041654613	0.0184066379897186	10.5229451333157	0	0.157615694118298	0.229768389190928
pganalyze	~~	pganalyze	1	0.509820029998132	0.0261047464035095	19.5297829029893	0	0.458655667221702	0.560984392774562
pgthink	~~	pgthink	1	0.361329574657854	0.0228720115963279	15.7978922464286	0	0.316501255675069	0.406157893640639
pgwork	~~	pgwork	1	0.391176414774488	0.0249333602788516	15.6888766856781	0	0.342307926614378	0.440044902934599
pgvalues	~~	pgvalues	1	0.46111539509143	0.0241996719586625	19.0546134624924	0	0.413684909614768	0.508545880568093
pgprobsolve	~~	pgprobsolve	1	0.391744954262726	0.0235096289209653	16.6631704643103	0	0.345666928287732	0.437822980237719
SEacademic	~~	SEacademic	1	0.266672481802934	0.0196246362607054	13.5886585748799	0	0.228208901522252	0.305136062083615
SEwellness	~~	SEwellness	1	0.339280338308329	0.0218900166646176	15.4993184110605	0	0.296376694024697	0.382183982591961
SEnonacad	~~	SEnonacad	1	0.420153941501148	0.0230866374393937	18.199009821336	0	0.374904963595803	0.465402919406494
SEactivities	~~	SEactivities	1	0.468816832297033	0.0244334742084426	19.1874814157637	0	0.420928102831297	0.516705561762768
SEdiverse	~~	SEdiverse	1	0.399636119646599	0.0232894183391738	17.1595577796975	0	0.353989698480931	0.445282540812266
sameinst	~~	sameinst	1	0.229035534573734	0.0345292239572307	6.63309244532765	3.28725935361263e-11	0.161359499203444	0.296711569944023
evalexp	~~	evalexp	1	0.255985003718115	0.0346881586243819	7.3796077355973	1.58761892521397e-13	0.187997462124314	0.323972545311916
MHWdacad	~~	MHWdacad	1	0.198738415789331	0.0128218383874333	15.4999938217997	0	0.173608074334368	0.223868757244293
MHWdlonely	~~	MHWdlonely	1	0.170325105975248	0.0115022616328011	14.8079665906339	0	0.147781087434201	0.192869124516295
MHWdmental	~~	MHWdmental	1	0.120266564007351	0.00859150731780959	13.9983078124193	0	0.103427519091532	0.13710560892317
MHWdexhaust	~~	MHWdexhaust	1	0.158062677517492	0.0103280255613863	15.3042492563579	0	0.137820119385765	0.178305235649218
MHWdsleep	~~	MHWdsleep	1	0.18158464040649	0.0120805288198924	15.0311830809496	0	0.157907239005303	0.205262041807678
MHWdfinancial	~~	MHWdfinancial	1	0.28780431902262	0.0166890073473507	17.245143047307	0	0.255094465684088	0.320514172361152
QIadmin	~~	QIadmin	1	0.201039054680207	0.0125362728860518	16.0365889054544	0	0.176468411323179	0.225609698037234
QIstudent	~~	QIstudent	1	0.161900255306027	0.0107325793886564	15.0849343334133	0	0.140864786243044	0.182935724369011
QIadvisor	~~	QIadvisor	1	0.13831433256579	0.00942112218749245	14.6813012094692	0	0.119849272384354	0.156779392747226
QIfaculty	~~	QIfaculty	1	0.126347056330789	0.00904282490623892	13.9720781548715	0	0.108623445196059	0.144070667465519
QIstaff	~~	QIstaff	1	0.153223848432829	0.00989165857909014	15.4902079573113	0	0.133836553870445	0.172611142995212
Belong	~~	Belong	1	0.696165612799137	0.0304179524762201	22.8866690926478	0	0.636547521462295	0.75578370413598
Gains	~~	Gains	1	0.843834221367331	0.0274011883426345	30.7955337854592	0	0.790128879082168	0.897539563652493
SupportEnv	~~	SupportEnv	1	0.731441699781745	0.0340632773289188	21.4730277629737	0	0.664678903021665	0.798204496541826
Satisf	~~	Satisf	1	0.668296454063048	0.0336382420088638	19.8671635065516	0	0.602366711222433	0.734226196903663
DevAdj	~~	DevAdj	1	1	0	NA	NA	1	1
EmoDiss	~~	EmoDiss	1	1	0	NA	NA	1	1
QualEngag	~~	QualEngag	1	1	0	NA	NA	1	1
DevAdj	~~	EmoDiss	1	-0.693625797982389	0.0302376150084332	-22.9391702285031	0	-0.752890434377306	-0.634361161587472
DevAdj	~~	QualEngag	1	0.653683290619278	0.0299654823747887	21.8145425607849	0	0.594952024385323	0.712414556853234
EmoDiss	~~	QualEngag	1	-0.170467719924207	0.0295366158061799	-5.77140323193491	7.86140996744678e-09	-0.228358423129516	-0.112577016718898
sbvalued	~1		1	4.41382836070866	0.0994279112833095	44.3922466412063	0	4.21895323553533	4.60870348588199
sbmyself	~1		1	4.16879149113525	0.0937003960119165	44.4906496510973	0	3.98514208961475	4.35244089265574
sbcommunity	~1		1	4.3973460990861	0.0987008183478205	44.5522759861008	0	4.20389604987974	4.59079614829246
pganalyze	~1		1	4.2662795381631	0.094086556280912	45.3441990737271	0	4.08187327642312	4.45068579990309
pgthink	~1		1	4.53910565212463	0.106018684102856	42.8142047841392	0	4.3313128495947	4.74689845465455
pgwork	~1		1	4.24601917554127	0.101161420205494	41.9727121951842	0	4.04774643531358	4.44429191576896
pgvalues	~1		1	4.12588279706536	0.0908279785885569	45.4252407813154	0	3.94786323024321	4.3039023638875
pgprobsolve	~1		1	4.44426414419642	0.105374351925235	42.1759570806158	0	4.23773420952871	4.65079407886413
SEacademic	~1		1	4.27757154251926	0.0997442147337712	42.8854099852968	0	4.08207647397484	4.47306661106368
SEwellness	~1		1	4.32067216254115	0.094156874160753	45.88801615445	0	4.13612808028921	4.5052162447931
SEnonacad	~1		1	4.12098575873884	0.0895342040065847	46.0269436073366	0	3.94550194350147	4.29646957397621
SEactivities	~1		1	4.01201245884128	0.0974031274579265	41.1897704267687	0	3.82110583704218	4.20291908064038
SEdiverse	~1		1	4.24297577234563	0.103295368577887	41.0761472732085	0	4.04052057016318	4.44543097452808
sameinst	~1		1	4.9809320310811	0.113854945193788	43.7480517214538	0	4.7577804390395	5.20408362312271
evalexp	~1		1	5.06388077072366	0.115537075517576	43.8290544229098	0	4.83743226383013	5.2903292776172
MHWdacad	~1		1	2.74715726762917	0.0587932617875747	46.7257162488262	0	2.63192459199189	2.86238994326645
MHWdlonely	~1		1	2.74660971420984	0.0591895697546288	46.4036100548786	0	2.63060028923034	2.86261913918933
MHWdmental	~1		1	2.76316178347548	0.0607149156090486	45.510427804394	0	2.64416273555736	2.88216083139361
MHWdexhaust	~1		1	2.76302508714259	0.0589499316958591	46.8707088822069	0	2.64748534412761	2.87856483015757
MHWdsleep	~1		1	2.78100407567974	0.0593415227227517	46.8643868252726	0	2.66469682835538	2.89731132300409
MHWdfinancial	~1		1	2.58209826020612	0.0546847369814343	47.2178966698286	0	2.47491814521846	2.68927837519377
QIadmin	~1		1	4.90909509859864	0.106928898364043	45.9099006321517	0	4.69951830889857	5.11867188829871
QIstudent	~1		1	4.96192501802023	0.107212154753536	46.281366412483	0	4.75179305599836	5.17205698004209
QIadvisor	~1		1	5.07846533311359	0.114198026966794	44.4706924279024	0	4.85464131315314	5.30228935307404
QIfaculty	~1		1	5.16292384968784	0.106285136299765	48.5761605943318	0	4.95460881044837	5.37123888892731
QIstaff	~1		1	5.1649272898207	0.0999377722052068	51.6814331143516	0	4.96905285560333	5.36080172403807
Belong	~1		1	0	0	NA	NA	0	0
Gains	~1		1	0	0	NA	NA	0	0
SupportEnv	~1		1	0	0	NA	NA	0	0
Satisf	~1		1	0	0	NA	NA	0	0
DevAdj	~1		1	0	0	NA	NA	0	0
EmoDiss	~1		1	0	0	NA	NA	0	0
QualEngag	~1		1	0	0	NA	NA	0	0
Belong	=~	sbvalued	2	0.864676756323745	0.0187205769769211	46.1885740695775	0	0.82798509967917	0.90136841296832
Belong	=~	sbmyself	2	0.844896288079177	0.0194933368926059	43.3428249218664	0	0.806690049831164	0.883102526327191
Belong	=~	sbcommunity	2	0.871825743789218	0.0186176045323267	46.8280300118859	0	0.835335909427448	0.908315578150988
Gains	=~	pganalyze	2	0.70726098608443	0.0270653939480985	26.1315607465643	0	0.654213788718768	0.760308183450091
Gains	=~	pgthink	2	0.821464586448482	0.0212698461344376	38.621087395572	0	0.779776454068276	0.863152718828688
Gains	=~	pgwork	2	0.72011983584969	0.028960785811653	24.8653417256356	0	0.663357738694871	0.776881933004508
Gains	=~	pgvalues	2	0.643976163523303	0.0318320758519623	20.2304168448884	0	0.58158644130031	0.706365885746296
Gains	=~	pgprobsolve	2	0.741482564456698	0.0265839765866943	27.8920861233312	0	0.689378927780922	0.793586201132475
SupportEnv	=~	SEacademic	2	0.871148437433983	0.0169815227124514	51.2997834284454	0	0.83786526451493	0.904431610353037
