lhs	op	rhs	block	group	label	est	se	z	pvalue	ci.lower	ci.upper	std.lv	std.all
Belong	=~	sbvalued	1	1		1	0	NA	NA	1	1	0.650804513258657	0.881013430569233
Belong	=~	sbmyself	1	1	.p2.	1.00169235073621	0.0152915997005013	65.5060536735974	0	0.971721366057222	1.03166333541519	0.651905902755798	0.851459282121158
Belong	=~	sbcommunity	1	1	.p3.	1.02397627257243	0.0141898344640195	72.1626651226183	0	0.996164708076365	1.05178783706849	0.666408379659913	0.901601281843794
Gains	=~	pganalyze	1	1		1	0	NA	NA	1	1	0.505144862866862	0.708960820225031
Gains	=~	pgthink	1	1	.p5.	1.02937647749272	0.0226536409220436	45.4397807855716	0	0.984976157166807	1.07377679781862	0.519984239561431	0.791643394178183
Gains	=~	pgwork	1	1	.p6.	1.0439460704487	0.0241101631067399	43.2990048979333	0	0.996691019098106	1.0912011217993	0.527343994597209	0.75964944928784
Gains	=~	pgvalues	1	1	.p7.	1.04647278546037	0.024618055651249	42.5083442935219	0	0.998222283014523	1.09472328790622	0.528620351705283	0.728507223044275
Gains	=~	pgprobsolve	1	1	.p8.	1.02500146624501	0.0235329718288322	43.5559721781161	0	0.978877689011299	1.07112524347871	0.517774225104666	0.768793935039976
SupportEnv	=~	SEacademic	1	1		1	0	NA	NA	1	1	0.617841164264307	0.849765310448108
SupportEnv	=~	SEwellness	1	1	.p10.	0.970223233360961	0.0155289938710515	62.4781773640603	0	0.939786964657557	1.00065950206437	0.599443852096016	0.81981760221191
SupportEnv	=~	SEnonacad	1	1	.p11.	0.938645339642047	0.0168907036922426	55.5717130999782	0	0.905540168731714	0.97175051055238	0.579933729475708	0.764066550899764
SupportEnv	=~	SEactivities	1	1	.p12.	0.929970345330296	0.0173986486167119	53.4507228588449	0	0.895869620661873	0.964071069998719	0.574573960890149	0.735100745956119
SupportEnv	=~	SEdiverse	1	1	.p13.	0.944273298606286	0.0155705429525285	60.6448536499459	0	0.913755595199596	0.974791002012976	0.583410914194605	0.783849492935087
Satisf	=~	sameinst	1	1		1	0	NA	NA	1	1	0.576604355791329	0.863159750483535
Satisf	=~	evalexp	1	1	.p15.	1.00137229063389	0.0243409417860475	41.1394226006442	0	0.953664921383448	1.04907965988433	0.57739562454824	0.877157791161638
DevAdj	=~	Belong	1	1		1	0	NA	NA	1	1	0.570698844427853	0.570698844427853
DevAdj	=~	Gains	1	1	.p17.	0.391474031820944	0.0334689026598682	11.6966497467618	0	0.325876188005526	0.457071875636363	0.287835639761769	0.287835639761769
DevAdj	=~	SupportEnv	1	1	.p18.	0.888919720768856	0.0443117808772563	20.0605731291	0	0.802070226158603	0.975769215379109	0.534371454013706	0.534371454013706
DevAdj	=~	Satisf	1	1		0.893951555324443	0.0636045663386551	14.0548329590788	0	0.769288896048391	1.0186142146005	0.575829108228123	0.575829108228123
EmoDiss	=~	MHWdacad	1	1		1	0	NA	NA	1	1	0.915323156838774	0.89619064439407
