lhs	op	rhs	group	label	est.std	se	z	pvalue	ci.lower	ci.upper
Belong	=~	sbvalued	1		0.881013430569233	0.00894553303154486	98.4864096373567	0	0.863480508004891	0.898546353133574
Belong	=~	sbmyself	1	.p2.	0.851459282121158	0.00965396952447455	88.197842344805	0	0.832537849545341	0.870380714696976
Belong	=~	sbcommunity	1	.p3.	0.901601281843794	0.00843324268907455	106.910392014668	0	0.885072429900322	0.918130133787266
Gains	=~	pganalyze	1		0.708960820225031	0.0139632459995482	50.7733531478261	0	0.681593360958644	0.736328279491419
Gains	=~	pgthink	1	.p5.	0.791643394178183	0.0123589469381384	64.0542756709518	0	0.76742030329259	0.815866485063776
Gains	=~	pgwork	1	.p6.	0.75964944928784	0.0139026322602248	54.6406921415297	0	0.732400790767495	0.786898107808185
Gains	=~	pgvalues	1	.p7.	0.728507223044275	0.0138495616217493	52.6014644319303	0	0.701362581063978	0.755651865024572
Gains	=~	pgprobsolve	1	.p8.	0.768793935039976	0.0129343123469762	59.4383307296352	0	0.743443148675111	0.794144721404841
SupportEnv	=~	SEacademic	1		0.849765310448108	0.0104126970988027	81.6085690753279	0	0.82935679915253	0.870173821743686
SupportEnv	=~	SEwellness	1	.p10.	0.81981760221191	0.0110821982586224	73.9760815571095	0	0.798096892755478	0.841538311668342
SupportEnv	=~	SEnonacad	1	.p11.	0.764066550899764	0.0124576038271082	61.3333480100827	0	0.739650096064964	0.788483005734564
SupportEnv	=~	SEactivities	1	.p12.	0.735100745956119	0.0129131484535884	56.9265310158998	0	0.709791440060067	0.760410051852171
SupportEnv	=~	SEdiverse	1	.p13.	0.783849492935087	0.0116606288111343	67.2218887704082	0	0.760995080428174	0.806703905442
Satisf	=~	sameinst	1		0.863159750483535	0.0147811881096381	58.3958301647424	0	0.834189154139932	0.892130346827137
Satisf	=~	evalexp	1	.p15.	0.877157791161638	0.0140108541201779	62.6055901829986	0	0.849697021693445	0.904618560629832
DevAdj	=~	Belong	1		0.570698844427853	0.0243069845124637	23.4788006770326	0	0.523058030210651	0.618339658645055
DevAdj	=~	Gains	1	.p17.	0.287835639761769	0.026309209891739	10.9404896971896	0	0.236270535912256	0.339400743611282
DevAdj	=~	SupportEnv	1	.p18.	0.534371454013706	0.0266058468327549	20.0847376658514	0	0.482224952443317	0.586517955584094
DevAdj	=~	Satisf	1		0.575829108228123	0.029455968775409	19.5488090247043	0	0.518096470298585	0.633561746157661
EmoDiss	=~	MHWdacad	1		0.89619064439407	0.00643178946765688	139.337683377338	0	0.883584568681318	0.908796720106821
EmoDiss	=~	MHWdlonely	1	.p21.	0.910007451846757	0.00598575191762644	152.02892875781	0	0.898275593667817	0.921739310025696
EmoDiss	=~	MHWdmental	1	.p22.	0.935813711196574	0.0045173494131468	207.159912950963	0	0.926959869041224	0.944667553351925
EmoDiss	=~	MHWdexhaust	1	.p23.	0.918808955293875	0.00525845805516979	174.729729828416	0	0.908502566891528	0.929115343696222
EmoDiss	=~	MHWdsleep	1	.p24.	0.907250072707623	0.00607558677844804	149.327152387308	0	0.895342141436918	0.919158003978329
EmoDiss	=~	MHWdfinancial	1	.p25.	0.842540204465042	0.00895752108313396	94.0595279258068	0	0.824983785751342	0.860096623178743
QualEngag	=~	QIadmin	1		0.891000156638003	0.0066353306095698	134.281199998227	0	0.87799514761773	0.904005165658276
QualEngag	=~	QIstudent	1	.p27.	0.915206744500225	0.0055827831077516	163.93378120484	0	0.904264690675533	0.926148798324917
QualEngag	=~	QIadvisor	1	.p28.	0.928737195586327	0.00461719333991932	201.147564594416	0	0.919687662930427	0.937786728242227
QualEngag	=~	QIfaculty	1	.p29.	0.934270842394468	0.00451071612414221	207.122509304913	0	0.925430001246665	0.94311168354227
QualEngag	=~	QIstaff	1	.p30.	0.922001188465349	0.00494552161535553	186.43153547294	0	0.912308144214488	0.93169423271621
sbvalued	~~	sbvalued	1		0.223815335156632	0.0157622694010647	14.1994359734464	0	0.192921854815927	0.254708815497336
sbmyself	~~	sbmyself	1		0.275017090889722	0.016439923813585	16.7286110330063	0	0.242795432306513	0.307238749472931
sbcommunity	~~	sbcommunity	1		0.187115128577628	0.0152068448737699	12.3046647829216	0	0.157310260306551	0.216919996848704
pganalyze	~~	pganalyze	1		0.497374555385851	0.0197987887564182	25.1214638180639	0	0.458569642485755	0.536179468285947
pgthink	~~	pgthink	1		0.373300736454046	0.0195677572805003	19.0773388642779	0	0.334948636926044	0.411652835982048
pgwork	~~	pgwork	1		0.422932714196682	0.0211222539283354	20.0230863444606	0	0.381533857224835	0.464331571168529
pgvalues	~~	pgvalues	1		0.469277225972319	0.0201790114151651	23.2557094258663	0	0.429727090354972	0.508827361589665
pgprobsolve	~~	pgprobsolve	1		0.408955885445748	0.0198876416361317	20.5633173067018	0	0.369976824101491	0.447934946790006
SEacademic	~~	SEacademic	1		0.277898917159031	0.0176966973640205	15.7034338917968	0	0.243214027680246	0.312583806637816
SEwellness	~~	SEwellness	1		0.327899099103514	0.0181707622176785	18.0454234762094	0	0.292285059585223	0.363513138621805
SEnonacad	~~	SEnonacad	1		0.416202305796138	0.0190368767711839	21.8629510921741	0	0.378890712946491	0.453513898645786
SEactivities	~~	SEactivities	1		0.459626893294758	0.0189849303469538	24.210091103574	0	0.422417113565727	0.496836673023788
SEdiverse	~~	SEdiverse	1		0.385579972425407	0.0182803557539145	21.0925858126606	0	0.349751133523155	0.421408811327659
sameinst	~~	sameinst	1		0.254955245145202	0.0255170533063529	9.9915629788541	0	0.204942739673162	0.304967750617242
evalexp	~~	evalexp	1		0.230594209404436	0.0245794597749964	9.38158167491579	0	0.182419353485992	0.27876906532288
MHWdacad	~~	MHWdacad	1		0.196842328900542	0.011528219019184	17.0748255713202	0	0.174247434817052	0.219437222984033
MHWdlonely	~~	MHWdlonely	1		0.171886437583373	0.0108941571244192	15.777855562418	0	0.150534281977591	0.193238593189155
MHWdmental	~~	MHWdmental	1		0.124252697936494	0.00845479503482748	14.6961218367406	0	0.107681604171565	0.140823791701424
MHWdexhaust	~~	MHWdexhaust	1		0.155790103671778	0.00966303648758894	16.1222721110359	0	0.136850900174807	0.174729307168749
MHWdsleep	~~	MHWdsleep	1		0.176897305572012	0.0110241524837787	16.0463405991802	0	0.155290363743728	0.198504247400296
MHWdfinancial	~~	MHWdfinancial	1		0.290126003860005	0.0150941435945115	19.2210973774955	0	0.260542026037286	0.319709981682723
QIadmin	~~	QIadmin	1		0.206118720871054	0.0118241611129899	17.4319952934855	0	0.182943790942195	0.229293650799913
QIstudent	~~	QIstudent	1		0.1623966148213	0.0102188016119417	15.8919432031563	0	0.142368131696734	0.182425097945866
QIadvisor	~~	QIadvisor	1		0.137447221534445	0.00857631828117014	16.0263666795365	0	0.120637946583399	0.154256496485491
QIfaculty	~~	QIfaculty	1		0.127137993051532	0.00842846099618058	15.0843663047317	0	0.110618513053917	0.143657473049146
QIstaff	~~	QIstaff	1		0.149913808468484	0.00911955359409696	16.4387222380625	0	0.132039811868971	0.167787805067997
Belong	~~	Belong	1		0.674302828968714	0.0277439361809263	24.3045119687195	0	0.61992571326472	0.728679944672707
Gains	~~	Gains	1		0.917150644482933	0.0151454571165993	60.5561547216519	0	0.887466094005003	0.946835194960864
SupportEnv	~~	SupportEnv	1		0.714447149135278	0.0284348103414261	25.125792665985	0	0.658715944958856	0.7701783533117
Satisf	~~	Satisf	1		0.668420838117205	0.0339232082188332	19.7039393740512	0	0.601932571768239	0.734909104466171
DevAdj	~~	DevAdj	1		1	0	NA	NA	1	1
EmoDiss	~~	EmoDiss	1		1	0	NA	NA	1	1
QualEngag	~~	QualEngag	1		1	0	NA	NA	1	1
DevAdj	~~	EmoDiss	1		-0.693222645307204	0.0298839998526955	-23.197117143764	0	-0.751794208732488	-0.634651081881921
DevAdj	~~	QualEngag	1		0.653182145698457	0.0297969340075653	21.9211193182701	0	0.594781228193913	0.711583063203002
EmoDiss	~~	QualEngag	1		-0.170430577439962	0.0295269764710195	-5.77202943915502	7.83224285427764e-09	-0.228302387895522	-0.112558766984403
sbvalued	~1		1		4.36068155709154	0.0920344270381434	47.3809822848603	0	4.180297394759	4.54106571942408
sbmyself	~1		1		4.16857562047695	0.0872300596739879	47.7882926603112	0	3.99760784514665	4.33954339580724
sbcommunity	~1		1		4.34465828303	0.0909730054870963	47.7576645925614	0	4.16635446870992	4.52296209735007
pganalyze	~1		1		4.24669489950285	0.083310227312217	50.974472600918	0	4.08340985442706	4.40997994457864
pgthink	~1		1		4.61776163622954	0.0960705259278395	48.0663719869509	0	4.42946686543516	4.80605640702393
pgwork	~1		1		4.36860486254296	0.0910973459249967	47.9553473066029	0	4.19005734544278	4.54715237964314
pgvalues	~1		1		4.16717573989419	0.0832625056941828	50.048646808684	0	4.00398422747103	4.33036725231735
pgprobsolve	~1		1		4.5327744008527	0.0942284052408863	48.1041188086021	0	4.34809012025991	4.71745868144548
SEacademic	~1		1		4.30968645144529	0.0942371400443548	45.7323561540263	0	4.1249850509523	4.49438785193828
SEwellness	~1		1		4.26487034069819	0.0892994283412023	47.7592121239862	0	4.08984667730942	4.43989400408696
SEnonacad	~1		1		4.10301554538914	0.0833941448382617	49.2002832254795	0	3.93956602498463	4.26646506579365
SEactivities	~1		1		3.97838728560014	0.08631191098229	46.0931433486214	0	3.80921904863803	4.14755552256226
SEdiverse	~1		1		4.18376639517457	0.0910141312262579	45.9683165548641	0	4.0053819758869	4.36215081446223
sameinst	~1		1		5.00123266578544	0.11432947168964	43.7440372274425	0	4.77715101890225	5.22531431266862
evalexp	~1		1		5.04513682207293	0.114784598916164	43.9530814212957	0	4.82016314221738	5.27011050192849
MHWdacad	~1		1		2.73735094186793	0.0538694515270837	50.8145315066311	0	2.63176875700792	2.84293312672795
MHWdlonely	~1		1		2.75607296564296	0.0554610546557236	49.6938434141107	0	2.64737129597314	2.86477463531279
MHWdmental	~1		1		2.78991364072262	0.0578768671550204	48.2042960834416	0	2.67647706556077	2.90335021588447
MHWdexhaust	~1		1		2.75002007619723	0.0553001010869063	49.7290243986257	0	2.64163386972547	2.85840628266899
MHWdsleep	~1		1		2.75231332231556	0.0546722880399793	50.3420182506889	0	2.6451576068048	2.85946903782632
MHWdfinancial	~1		1		2.59051062426419	0.049311542546745	52.5335548326947	0	2.49386177685045	2.68715947167792
QIadmin	~1		1		4.95593477802366	0.0975364919345102	50.8110829057833	0	4.76476676665364	5.14710278939369
QIstudent	~1		1		4.967465349937	0.0993187491955914	50.0153837031759	0	4.77280417852407	5.16212652134992
QIadvisor	~1		1		5.06626014386964	0.104085962477003	48.6738079113119	0	4.86225540611853	5.27026488162075
QIfaculty	~1		1		5.17454266786329	0.10208415229846	50.6889909095258	0	4.97446140596601	5.37462392976058
QIstaff	~1		1		5.12351533600648	0.0969862301173405	52.8272449584617	0	4.93342581798018	5.31360485403279
Belong	~1		1		0	0	NA	NA	0	0
Gains	~1		1		0	0	NA	NA	0	0
SupportEnv	~1		1		0	0	NA	NA	0	0
Satisf	~1		1		0	0	NA	NA	0	0
DevAdj	~1		1		0	0	NA	NA	0	0
EmoDiss	~1		1		0	0	NA	NA	0	0
QualEngag	~1		1		0	0	NA	NA	0	0
Belong	=~	sbvalued	2		0.856210078586973	0.0151316360801437	56.584104590681	0	0.826552616842724	0.885867540331221
Belong	=~	sbmyself	2	.p2.	0.845487112254972	0.0155164640641172	54.4896768207786	0	0.815075401521892	0.875898822988051
Belong	=~	sbcommunity	2	.p3.	0.87304284070491	0.0141655726793361	61.6313127939016	0	0.845278828433027	0.900806852976794
Gains	=~	pganalyze	2		0.702195939467804	0.0209566220592815	33.5071147192257	0	0.661121714993994	0.743270163941613
Gains	=~	pgthink	2	.p5.	0.779316787500917	0.0209095742830935	37.2708108233	0	0.738334774973989	0.820298800027846
Gains	=~	pgwork	2	.p6.	0.732515336416305	0.0209302985414136	34.9978446302101	0	0.691492705089464	0.773537967743147
Gains	=~	pgvalues	2	.p7.	0.677165715827631	0.0204075531648626	33.1821120521967	0	0.637167646611914	0.717163785043348
Gains	=~	pgprobsolve	2	.p8.	0.756930150232908	0.0187702978736308	40.3259530205044	0	0.720141042421503	0.793719258044313
SupportEnv	=~	SEacademic	2		0.845680203183047	0.0154250949779013	54.8249592235643	0	0.81544757256825	0.875912833797843
SupportEnv	=~	SEwellness	2	.p10.	0.804708100479997	0.0157664491541568	51.039272864292	0	0.773806427973767	0.835609772986226
SupportEnv	=~	SEnonacad	2	.p11.	0.738244580160107	0.019210562711158	38.4290971201649	0	0.700592569123489	0.775896591196725
SupportEnv	=~	SEactivities	2	.p12.	0.700203508745547	0.0190331215752598	36.788684713479	0	0.662899275944665	0.737507741546428
SupportEnv	=~	SEdiverse	2	.p13.	0.764255849911772	0.0176727837666612	43.2447915394914	0	0.729617830222552	0.798893869600992
Satisf	=~	sameinst	2		0.839713218029687	0.0206691660678012	40.6263714402009	0	0.799202396946319	0.880224039113054
Satisf	=~	evalexp	2	.p15.	0.868207871977849	0.0218113335165626	39.8053549233278	0	0.825458443830595	0.910957300125103
DevAdj	=~	Belong	2		0.403148949887229	0.0420063516783352	9.59733311224818	0	0.320818013475768	0.485479886298689
DevAdj	=~	Gains	2	.p17.	0.215061152563275	0.0269954193284927	7.96657943876742	1.55431223447522e-15	0.162151102931872	0.267971202194677
DevAdj	=~	SupportEnv	2	.p18.	0.385348761708413	0.0393892737938661	9.78308875977353	0	0.308147203695248	0.462550319721578
DevAdj	=~	Satisf	2		0.550219586682134	0.0627605834235509	8.76696099156504	0	0.427211103523253	0.673228069841015
EmoDiss	=~	MHWdacad	2		0.882224081372851	0.010002783282588	88.197860180431	0	0.862618986393819	0.901829176351883
EmoDiss	=~	MHWdlonely	2	.p21.	0.927903330696836	0.00718878485150904	129.076519865809	0	0.913813571295272	0.941993090098401
EmoDiss	=~	MHWdmental	2	.p22.	0.928870874007156	0.00732342929540593	126.835507866492	0	0.914517216344835	0.943224531669478
