lhs	op	rhs	block	group	label	est	se	z	pvalue	ci.lower	ci.upper	std.lv	std.all
Belong	=~	sbvalued	1	1		1	0	NA	NA	1	1	0.649043362667569	0.880491650676771
Belong	=~	sbmyself	1	1	.p2.	1.00172556774816	0.0152901411551206	65.5144748230589	0	0.971757441765594	1.03169369373073	0.650163330961348	0.850825860812727
Belong	=~	sbcommunity	1	1	.p3.	1.02399253043866	0.0141829538840663	72.1988197105437	0	0.996194451631495	1.05179060924582	0.664615555302379	0.9011383288803
Gains	=~	pganalyze	1	1		1	0	NA	NA	1	1	0.504858069623045	0.708779102562529
Gains	=~	pgthink	1	1	.p5.	1.02929734416985	0.0226524758850678	45.438624430822	0	0.984899307274452	1.07369538106524	0.519649070245715	0.791467606201263
Gains	=~	pgwork	1	1	.p6.	1.0438319562249	0.0241067862299869	43.3003365221059	0	0.996583523431121	1.09108038901868	0.52698698643055	0.759408999517771
Gains	=~	pgvalues	1	1	.p7.	1.04636160871175	0.0246156627455001	42.5079600549462	0	0.998115796274984	1.09460742114851	0.528264101901877	0.728257259779603
Gains	=~	pgprobsolve	1	1	.p8.	1.02496307883775	0.0235342626161388	43.5519521285052	0	0.978836771707408	1.07108938596809	0.517460881416918	0.768610715955967
SupportEnv	=~	SEacademic	1	1		1	0	NA	NA	1	1	0.616205136076055	0.849137100654104
SupportEnv	=~	SEwellness	1	1	.p10.	0.970106477582562	0.0155255571544425	62.4844872188679	0	0.939676944719937	1.00053601044519	0.597784594027025	0.819057635707616
SupportEnv	=~	SEnonacad	1	1	.p11.	0.938557074050303	0.0168896524457161	55.5699459812366	0	0.9054539635453	0.971660184555305	0.57834368953031	0.763195677013488
SupportEnv	=~	SEactivities	1	1	.p12.	0.929876486803828	0.01739772077254	53.4481785839163	0	0.895777580676565	0.96397539293109	0.572994667084876	0.734169563396401
SupportEnv	=~	SEdiverse	1	1	.p13.	0.944187113262457	0.015569171001537	60.6446620163173	0	0.913672098830299	0.974702127694615	0.58181294860915	0.783035411880368
Satisf	=~	sameinst	1	1		1	0	NA	NA	1	1	0.58025564190888	0.86473280816653
Satisf	=~	evalexp	1	1	.p15.	1.00083591218541	0.024333294894856	41.130307938568	0	0.9531435305663	1.04852829380452	0.580740684670605	0.878126975952655
DevAdj	=~	Belong	1	1		1	0	NA	NA	1	1	0.566277266300762	0.566277266300762
DevAdj	=~	Gains	1	1	.p17.	0.389012965882116	0.032709940739977	11.8928055839208	0	0.324902660095321	0.45312327166891	0.283202846503194	0.283202846503194
DevAdj	=~	SupportEnv	1	1	.p18.	0.887726959525534	0.0442070291065246	20.0811268585003	0	0.801082774613232	0.974371144437836	0.529488991583762	0.529488991583762
DevAdj	=~	Satisf	1	1	.p19.	0.924537918941961	0.04364929810006	21.1810489328508	0	0.838986866715391	1.01008897116853	0.585609611378469	0.585609611378469
EmoDiss	=~	MHWdacad	1	1		1	0	NA	NA	1	1	0.915318231315773	0.896186580563259
EmoDiss	=~	MHWdlonely	1	1	.p21.	0.998647276904434	0.00981440561111925	101.753210176377	0	0.979411395376972	1.0178831584319	0.914080059204479	0.910017375571275
EmoDiss	=~	MHWdmental	1	1	.p22.	1.01007823809309	0.00942266377058399	107.19667629937	0	0.991610156464316	1.02854631972187	0.92454302638192	0.935809228403611
EmoDiss	=~	MHWdexhaust	1	1	.p23.	1.01102161351228	0.0097603228420401	103.584853685122	0	0.991891732264394	1.03015149476016	0.925406515102076	0.918807001027189
EmoDiss	=~	MHWdsleep	1	1	.p24.	0.999227988790658	0.0103669275314131	96.3861265319803	0	0.978909184198751	1.01954679338256	0.914611595381082	0.907252220926171
EmoDiss	=~	MHWdfinancial	1	1	.p25.	0.989102902093525	0.011725073242441	84.357929510691	0	0.966122180822247	1.0120836233648	0.905343918933544	0.842542681413965
QualEngag	=~	QIadmin	1	1		1	0	NA	NA	1	1	0.97954046379928	0.890993005515562
QualEngag	=~	QIstudent	1	1	.p27.	1.02863627633821	0.0113160525293427	90.9006275528455	0	1.00645722093354	1.05081533174289	1.0075908552051	0.915199341161457
QualEngag	=~	QIadvisor	1	1	.p28.	1.02083837461581	0.010782750037652	94.6732856693489	0	0.999704572887713	1.0419721763439	0.999952494935272	0.928731454705607
QualEngag	=~	QIfaculty	1	1	.p29.	1.00953596686236	0.0107088078921692	94.2715545024	0	0.988547089076353	1.03052484464837	0.988881329202414	0.934275362133928
QualEngag	=~	QIstaff	1	1	.p30.	1.00508160485574	0.0107837118468967	93.2036778361221	0	0.983945918016161	1.02621729169531	0.984518101376513	0.922012178964212
sbvalued	~~	sbvalued	1	1		0.122114321081175	0.00892777642460888	13.6780218582282	0	0.104616200826915	0.139612441335434	0.122114321081175	0.224734453088495
sbmyself	~~	sbmyself	1	1		0.161221396775014	0.0100721492954464	16.0066528052658	0	0.141480346909028	0.180962446640999	0.161221396775014	0.276095354572282
