lhs	op	rhs	group	label	est.std	se	z	pvalue	ci.lower	ci.upper
Belong	=~	sbvalued	1		0.880491650676771	0.00892761474960902	98.6256324193796	0	0.862993847299689	0.897989454053853
Belong	=~	sbmyself	1	.p2.	0.850825860812727	0.00971254680904845	87.6006960419564	0	0.831789618868832	0.869862102756621
Belong	=~	sbcommunity	1	.p3.	0.9011383288803	0.0084256073059164	106.952329507159	0	0.884624442012826	0.917652215747774
Gains	=~	pganalyze	1		0.708779102562529	0.01395074657882	50.8058187823868	0	0.681436141710597	0.736122063414461
Gains	=~	pgthink	1	.p5.	0.791467606201263	0.0123468061314892	64.1030237109424	0	0.767268310859446	0.815666901543081
Gains	=~	pgwork	1	.p6.	0.759408999517771	0.0138802827173902	54.7113495437905	0	0.732204145296453	0.78661385373909
Gains	=~	pgvalues	1	.p7.	0.728257259779603	0.0138258245507992	52.6736945853625	0	0.701159141603467	0.755355377955739
Gains	=~	pgprobsolve	1	.p8.	0.768610715955967	0.0129243782686345	59.4698406360691	0	0.743279400026871	0.793942031885062
SupportEnv	=~	SEacademic	1		0.849137100654104	0.0103693887170355	81.888829112857	0	0.828813472227018	0.869460729081189
SupportEnv	=~	SEwellness	1	.p10.	0.819057635707616	0.0110709449684648	73.9826309353606	0	0.7973589822946	0.840756289120632
SupportEnv	=~	SEnonacad	1	.p11.	0.763195677013488	0.0124063762305647	61.5164059859203	0	0.738879626422928	0.787511727604049
SupportEnv	=~	SEactivities	1	.p12.	0.734169563396401	0.0128400942610822	57.1778951515673	0	0.70900344108658	0.759335685706222
SupportEnv	=~	SEdiverse	1	.p13.	0.783035411880368	0.0116432521002761	67.2522938725857	0	0.760215057100907	0.80585576665983
Satisf	=~	sameinst	1		0.86473280816653	0.0143848159803815	60.1142767030097	0	0.836539086920746	0.892926529412314
Satisf	=~	evalexp	1	.p15.	0.878126975952655	0.0138261245130048	63.5121559281988	0	0.851028269861399	0.90522568204391
DevAdj	=~	Belong	1		0.566277266300762	0.0235382887936467	24.0577074767478	0	0.520143068007512	0.612411464594013
DevAdj	=~	Gains	1	.p17.	0.283202846503194	0.0246873661540185	11.4715699008295	0	0.234816497968165	0.331589195038224
DevAdj	=~	SupportEnv	1	.p18.	0.529488991583762	0.0254655479393264	20.7923659386914	0	0.479577434776104	0.57940054839142
DevAdj	=~	Satisf	1	.p19.	0.585609611378469	0.0240955332204909	24.3036585254094	0	0.538383234078018	0.632835988678919
EmoDiss	=~	MHWdacad	1		0.896186580563259	0.00643202765108393	139.331891773232	0	0.883580038019569	0.90879312310695
EmoDiss	=~	MHWdlonely	1	.p21.	0.910017375571275	0.00598489408826711	152.052377560914	0	0.898287198706984	0.921747552435565
EmoDiss	=~	MHWdmental	1	.p22.	0.935809228403611	0.00451744483595089	207.154544745344	0	0.926955199223001	0.944663257584221
EmoDiss	=~	MHWdexhaust	1	.p23.	0.918807001027189	0.00525845556504927	174.729440928266	0	0.908500617505388	0.92911338454899
EmoDiss	=~	MHWdsleep	1	.p24.	0.907252220926171	0.00607552117200965	149.329118480558	0	0.895344418241721	0.91916002361062
EmoDiss	=~	MHWdfinancial	1	.p25.	0.842542681413965	0.00895752147737406	94.0598003077254	0	0.824986261927568	0.860099100900362
QualEngag	=~	QIadmin	1		0.890993005515562	0.00663532832200272	134.280168557904	0	0.877988000978838	0.903998010052286
QualEngag	=~	QIstudent	1	.p27.	0.915199341161457	0.00558309306369768	163.923354083466	0	0.904256679834274	0.92614200248864
QualEngag	=~	QIadvisor	1	.p28.	0.928731454705607	0.00461749364836324	201.133239248702	0	0.919681333455972	0.937781575955241
QualEngag	=~	QIfaculty	1	.p29.	0.934275362133928	0.00451093804257419	207.113321734027	0	0.925434086033991	0.943116638233865
QualEngag	=~	QIstaff	1	.p30.	0.922012178964212	0.00494569237651746	186.427320741176	0	0.912318800027624	0.931705557900801
sbvalued	~~	sbvalued	1		0.224734453088495	0.0157213803938657	14.2948295542918	0	0.193921113729264	0.255547792447726
sbmyself	~~	sbmyself	1		0.276095354572282	0.0165273719921205	16.7053391612358	0	0.24370230070863	0.308488408435935
sbcommunity	~~	sbcommunity	1		0.187949712222821	0.0151852755646686	12.3771025044894	0	0.158187119020754	0.217712305424887
pganalyze	~~	pganalyze	1		0.497632183770656	0.0197759951399943	25.1634458973071	0	0.458871945537828	0.536392422003484
pgthink	~~	pgthink	1		0.373579028334042	0.019544194228354	19.1145781693096	0	0.335273111539612	0.411884945128471
pgwork	~~	pgwork	1		0.423297971451418	0.0210816229442875	20.0790030525671	0	0.381978749744961	0.464617193157874
pgvalues	~~	pgvalues	1		0.469641363578304	0.0201375142853799	23.3217147321539	0	0.430172560840798	0.509110166315809
pgprobsolve	~~	pgprobsolve	1		0.409237567317656	0.0198676312713929	20.5982062847578	0	0.370297725567604	0.448177409067708
SEacademic	~~	SEacademic	1		0.278966184292742	0.0176100649455508	15.8412921903064	0	0.244451091234051	0.313481277351433
SEwellness	~~	SEwellness	1		0.32914458938905	0.0181354839849454	18.1492034986372	0	0.293599693936354	0.364689484841746
SEnonacad	~~	SEnonacad	1		0.417532358587923	0.018936985260244	22.0485126248941	0	0.380416549502079	0.454648167673767
SEactivities	~~	SEactivities	1		0.460995052182338	0.0188536125035178	24.4512849776839	0	0.424042650696969	0.497947453667707
SEdiverse	~~	SEdiverse	1		0.386855543741342	0.0182341572794124	21.2159815127913	0	0.351117252185255	0.422593835297429
sameinst	~~	sameinst	1		0.252237170480427	0.0248780439893028	10.1389470405666	0	0.20347710025559	0.300997240705264
evalexp	~~	evalexp	1		0.228893014104246	0.0242821858217774	9.42637601837987	0	0.181300804427653	0.276485223780839
MHWdacad	~~	MHWdacad	1		0.196849612818333	0.0115285937742627	17.0749023404568	0	0.174253984228386	0.219445241408281
MHWdlonely	~~	MHWdlonely	1		0.17186837615837	0.0108927152103541	15.778286023213	0	0.150519046652224	0.193217705664516
MHWdmental	~~	MHWdmental	1		0.124261088034638	0.00845493298687391	14.6968743841673	0	0.107689723888666	0.140832452180611
MHWdexhaust	~~	MHWdexhaust	1		0.155793694863423	0.00966301186388378	16.1226848376036	0	0.136854539628028	0.174732850098819
MHWdsleep	~~	MHWdsleep	1		0.176893407624531	0.0110240609487602	16.0461202497637	0	0.155286645201587	0.198500170047476
MHWdfinancial	~~	MHWdfinancial	1		0.290121829995766	0.0150941882783907	19.2207639552975	0	0.260537764594253	0.319705895397278
QIadmin	~~	QIadmin	1		0.206131464122346	0.0118240623416175	17.4332186491286	0	0.182956727781819	0.229306200462873
QIstudent	~~	QIstudent	1		0.162410165937636	0.0102192863574947	15.8925154121478	0	0.142380732729244	0.182439599146027
QIadvisor	~~	QIadvisor	1		0.137457885040408	0.00857682274057734	16.026667356676	0	0.120647621367092	0.154268148713723
QIfaculty	~~	QIfaculty	1		0.127129547709517	0.00842891637353816	15.0825494138996	0	0.110609175188682	0.143649920230352
QIstaff	~~	QIstaff	1		0.149893541841666	0.00911997669417456	16.4357373782995	0	0.132018715981239	0.167768367702092
Belong	~~	Belong	1		0.679330057670935	0.0266583960116243	25.4827806359661	0	0.627080561602545	0.731579553739325
Gains	~~	Gains	1		0.919796147732488	0.0139830653725507	65.7792925389655	0	0.89238984320882	0.947202452256157
SupportEnv	~~	SupportEnv	1		0.719641407791611	0.026967454908016	26.6855515378168	0	0.666786167417191	0.77249664816603
Satisf	~~	Satisf	1		0.657061383061159	0.0282211523705275	23.282585148697	0	0.601748940812708	0.71237382530961
DevAdj	~~	DevAdj	1		1	0	NA	NA	1	1
EmoDiss	~~	EmoDiss	1		1	0	NA	NA	1	1
QualEngag	~~	QualEngag	1		1	0	NA	NA	1	1
DevAdj	~~	EmoDiss	1		-0.693596243234758	0.0298876015621835	-23.2068217916943	0	-0.75217486588092	-0.635017620588595
DevAdj	~~	QualEngag	1		0.652818541108112	0.0297951492622838	21.910228922212	0	0.594421121640041	0.711215960576184
EmoDiss	~~	QualEngag	1		-0.170430698162432	0.0295269367125294	-5.77204129983833	7.831691295479e-09	-0.228302430692783	-0.112558965632081
sbvalued	~1		1		4.36992494418306	0.0915744072145063	47.7199370119517	0	4.19044240413702	4.5494074842291
sbmyself	~1		1		4.17663960299976	0.086583212533848	48.2384457768529	0	4.00693962476764	4.34633958123188
