lhs	op	rhs	block	group	label	est	se	z	pvalue	ci.lower	ci.upper	std.lv	std.all
Belong	=~	sbvalued	1	1		1	0	NA	NA	1	1	0.651542244096983	0.8817124802032
Belong	=~	sbmyself	1	1	.p2.	0.997262032114423	0.0137305346369946	72.630968748112	0	0.970350678737434	1.02417338549141	0.649758342356549	0.85065547992671
Belong	=~	sbcommunity	1	1	.p3.	1.01760725156244	0.0127512921572594	79.8042456413418	0	0.992615178177866	1.04259932494702	0.663014112292358	0.900202662413917
Gains	=~	pganalyze	1	1		1	0	NA	NA	1	1	0.5060844451697	0.709774977150539
Gains	=~	pgthink	1	1	.p5.	1.02671812824898	0.0223137351347063	46.0128312024303	0	0.982984011024387	1.07045224547357	0.519606074280557	0.791411142157766
Gains	=~	pgwork	1	1	.p6.	1.03695596398888	0.0237129485474468	43.7295244795918	0	0.990479438868628	1.08343248910912	0.524787283700722	0.757615107671578
Gains	=~	pgvalues	1	1	.p7.	1.0424602914881	0.0243425029156742	42.8246961743961	0	0.994749862479819	1.09017072049638	0.5275729382292	0.727702691360163
Gains	=~	pgprobsolve	1	1	.p8.	1.02566594544427	0.0233529687761607	43.9201523059157	0	0.979894967710908	1.07143692317763	0.51907358092962	0.769841775437268
SupportEnv	=~	SEacademic	1	1		1	0	NA	NA	1	1	0.616157213064834	0.849080388734893
SupportEnv	=~	SEwellness	1	1	.p10.	0.968215252509581	0.0144768486727315	66.8802495900441	0	0.93984115050139	0.996589354517771	0.596572811633168	0.818334638011028
SupportEnv	=~	SEnonacad	1	1	.p11.	0.942323571812921	0.0157319196986325	59.8988292506242	0	0.911489575795925	0.973157567829917	0.58061946581355	0.764658360470659
SupportEnv	=~	SEactivities	1	1	.p12.	0.928029901152966	0.0164436289683719	56.4370494455915	0	0.895800980599817	0.960258821706114	0.571812317535245	0.733392021096977
SupportEnv	=~	SEdiverse	1	1	.p13.	0.945768538336716	0.0146603370245354	64.5120597673767	0	0.917034805767407	0.974502270906024	0.582742106785952	0.783602823101826
Satisf	=~	sameinst	1	1		1	0	NA	NA	1	1	0.585083474696324	0.87042533041666
Satisf	=~	evalexp	1	1	.p15.	0.984099061415477	0.0205048305759821	47.9935231734215	0	0.943910331977457	1.0242877908535	0.575780098298359	0.872209636835658
DevAdj	=~	Belong	1	1		1	0	NA	NA	1	1	0.56688472225047	0.56688472225047
DevAdj	=~	Gains	1	1	.p17.	0.388616061376618	0.0325681269757971	11.9324043923501	0	0.324783705460128	0.452448417293108	0.283618848075898	0.283618848075898
DevAdj	=~	SupportEnv	1	1	.p18.	0.884169723176295	0.0436637944022919	20.2494935513411	0	0.798590258719441	0.969749187633149	0.53000679110063	0.53000679110063
DevAdj	=~	Satisf	1	1	.p19.	0.927921665474688	0.0428617931068409	21.6491564681317	0	0.843914094672473	1.0119292362769	0.585774976259576	0.585774976259576
EmoDiss	=~	MHWdacad	1	1		1	0	NA	NA	1	1	0.914664419545608	0.895946637417468
EmoDiss	=~	MHWdlonely	1	1	.p21.	1.00011686036611	0.00874558510414991	114.356769553536	0	0.982975828538242	1.01725789219397	0.91477130756454	0.910185691320607
EmoDiss	=~	MHWdmental	1	1	.p22.	1.01013288634356	0.00834550278870011	121.039188640772	0	0.993776001444829	1.02648977124229	0.923932610151362	0.935660892964976
EmoDiss	=~	MHWdexhaust	1	1	.p23.	1.01072098762791	0.00857626851552407	117.85090284876	0	0.993911810215738	1.02753016504008	0.924470525471246	0.918625728861563
EmoDiss	=~	MHWdsleep	1	1	.p24.	1.00146138194004	0.00912675288767947	109.728114069128	0	0.983573274984387	1.01934948889568	0.916001093609525	0.907539609465878
EmoDiss	=~	MHWdfinancial	1	1	.p25.	0.990686336946291	0.0105398001048319	93.994793743016	0	0.970028708336569	1.01134396555601	0.906145543334744	0.842779640659391
QualEngag	=~	QIadmin	1	1		1	0	NA	NA	1	1	0.978995522700854	0.890869073466728
QualEngag	=~	QIstudent	1	1	.p27.	1.03091779118617	0.0106870676956444	96.4640461299154	0	1.00997152340236	1.05186405896997	1.00926390184391	0.915514479920095
QualEngag	=~	QIadvisor	1	1	.p28.	1.02049102516723	0.0102776662711373	99.2920959141346	0	1.00034716943068	1.04063488090378	0.999056144595124	0.928523199626098
QualEngag	=~	QIfaculty	1	1	.p29.	1.0090164189163	0.0100819928142165	100.08104920423	0	0.989256076108048	1.02877676172456	0.987822556450711	0.934099200587257
QualEngag	=~	QIstaff	1	1	.p30.	1.00674313747269	0.0103442469071014	97.3239663084182	0	0.986468786087583	1.0270174888578	0.985597024095575	0.922169216640534
sbvalued	~~	sbvalued	1	1		0.121541159077051	0.00893856746932761	13.5973867730053	0	0.104021888763788	0.139060429390315	0.121541159077051	0.222583102253922
sbmyself	~~	sbmyself	1	1		0.161254257300813	0.0100579201283018	16.032564908431	0	0.141541096089961	0.180967418511665	0.161254257300813	0.276385254470659
sbcommunity	~~	sbcommunity	1	1		0.102868838532609	0.00819640980711421	12.5504752633675	0	0.0868041705081347	0.118933506557084	0.102868838532609	0.189635166582895
pganalyze	~~	pganalyze	1	1		0.252277442999893	0.0120673880184332	20.905720659229	0	0.228625797096293	0.275929088903492	0.252277442999893	0.496219481810952
pgthink	~~	pgthink	1	1		0.161075873549559	0.00898768427598297	17.9218437812718	0	0.143460336064216	0.178691411034903	0.161075873549559	0.37366840406854
pgwork	~~	pgwork	1	1		0.204408370978072	0.0107739581147483	18.9724490109407	0	0.183291801102223	0.225524940853922	0.204408370978072	0.426019348627783
