lhs	op	rhs	group	label	est.std	se	z	pvalue	ci.lower	ci.upper
Belong	=~	sbvalued	1		0.8817124802032	0.00881863700988647	99.982852136302	0	0.86442826927109	0.898996691135309
Belong	=~	sbmyself	1	.p2.	0.85065547992671	0.0096354130953956	88.2842771248911	0	0.831770417283569	0.869540542569851
Belong	=~	sbcommunity	1	.p3.	0.900202662413917	0.00837254792784346	107.518364800306	0	0.883792770016509	0.916612554811326
Gains	=~	pganalyze	1		0.709774977150539	0.0139027210433952	51.0529539458559	0	0.682526144618377	0.737023809682701
Gains	=~	pgthink	1	.p5.	0.791411142157766	0.0123677674395721	63.9898143318537	0	0.767170763407038	0.815651520908495
Gains	=~	pgwork	1	.p6.	0.757615107671578	0.0139247629492772	54.4077561988876	0	0.730323073797737	0.784907141545419
Gains	=~	pgvalues	1	.p7.	0.727702691360163	0.0138452738802656	52.5596458151251	0	0.700566453198749	0.754838929521576
Gains	=~	pgprobsolve	1	.p8.	0.769841775437268	0.0128487176787219	59.9158448871642	0	0.74465875153945	0.795024799335086
SupportEnv	=~	SEacademic	1		0.849080388734893	0.0103350072287237	82.1557614759159	0	0.828824146786634	0.869336630683153
SupportEnv	=~	SEwellness	1	.p10.	0.818334638011028	0.0110740037761566	73.8969079794776	0	0.796629989445101	0.840039286576956
SupportEnv	=~	SEnonacad	1	.p11.	0.764658360470659	0.0122933502307511	62.200974194806	0	0.74056383676905	0.788752884172268
SupportEnv	=~	SEactivities	1	.p12.	0.733392021096977	0.012796139946114	57.3135355025321	0	0.708312047661459	0.758471994532494
SupportEnv	=~	SEdiverse	1	.p13.	0.783602823101826	0.0115354407381098	67.9300289336171	0	0.760993774709335	0.806211871494318
Satisf	=~	sameinst	1		0.87042533041666	0.0136647526897243	63.6985791240265	0	0.843642907287153	0.897207753546166
Satisf	=~	evalexp	1	.p15.	0.872209636835658	0.0133934094179093	65.122300798881	0	0.845959036746356	0.89846023692496
DevAdj	=~	Belong	1		0.56688472225047	0.0234999358308279	24.1228200081642	0	0.520825694383045	0.612943750117895
DevAdj	=~	Gains	1	.p17.	0.283618848075898	0.0246725560787336	11.4953167872364	0	0.235261526755036	0.331976169396761
DevAdj	=~	SupportEnv	1	.p18.	0.53000679110063	0.0254391947004207	20.8342597846411	0	0.480146885692103	0.579866696509157
DevAdj	=~	Satisf	1	.p19.	0.585774976259576	0.0240674744799517	24.3388635042504	0	0.538603593080033	0.632946359439118
EmoDiss	=~	MHWdacad	1		0.895946637417468	0.00638190859421766	140.388509830624	0	0.883438326420175	0.908454948414761
EmoDiss	=~	MHWdlonely	1	.p21.	0.910185691320607	0.00594253489793731	153.164551315725	0	0.898538536943777	0.921832845697436
EmoDiss	=~	MHWdmental	1	.p22.	0.935660892964976	0.00453195735114967	206.458450613534	0	0.926778419777251	0.9445433661527
EmoDiss	=~	MHWdexhaust	1	.p23.	0.918625728861563	0.00527180245545427	174.252684280903	0	0.908293185915263	0.928958271807863
EmoDiss	=~	MHWdsleep	1	.p24.	0.907539609465878	0.00606274367304833	149.691238555954	0	0.895656850219205	0.91942236871255
EmoDiss	=~	MHWdfinancial	1	.p25.	0.842779640659391	0.00886832767330647	95.0325328185769	0	0.82539803781661	0.860161243502171
QualEngag	=~	QIadmin	1		0.890869073466728	0.00663117805345991	134.345521457067	0	0.877872203306874	0.903865943626582
QualEngag	=~	QIstudent	1	.p27.	0.915514479920095	0.00555147634752795	164.913695494311	0	0.904633786217914	0.926395173622276
QualEngag	=~	QIadvisor	1	.p28.	0.928523199626098	0.00462110578796884	200.930955106791	0	0.919465998712929	0.937580400539266
QualEngag	=~	QIfaculty	1	.p29.	0.934099200587257	0.00450334162122608	207.423571017679	0	0.925272813199574	0.942925587974941
QualEngag	=~	QIstaff	1	.p30.	0.922169216640534	0.00493987417464341	186.678685334551	0	0.912487241170073	0.931851192110994
