lhs	op	rhs	label	est.std	se	z	pvalue	ci.lower	ci.upper
Belong	=~	sbvalued		0.874173701448763	0.00456636052646887	191.437731730034	0	0.865223799276459	0.883123603621068
Belong	=~	sbmyself		0.849686657406867	0.00497495108946924	170.792967031464	0	0.839935932446659	0.859437382367075
Belong	=~	sbcommunity		0.896181836942948	0.00422837453622225	211.944762524188	0	0.887894375138806	0.90446929874709
Gains	=~	pganalyze		0.715528220225807	0.00824155175635182	86.819599194332	0	0.699375075606635	0.73168136484498
Gains	=~	pgthink		0.785879971872616	0.00697097433993538	112.736029936369	0	0.77221711322919	0.799542830516042
Gains	=~	pgwork		0.749086920195019	0.00762993499646998	98.1773659332075	0	0.734132522397557	0.764041317992482
Gains	=~	pgvalues		0.707259924434237	0.00839027705150223	84.29518120711	0	0.69081528359298	0.723704565275494
Gains	=~	pgprobsolve		0.761593028885087	0.0074079224085443	102.807911163684	0	0.747073767764073	0.776112290006101
SupportEnv	=~	SEacademic		0.84850460296056	0.00502896647119536	168.723455966664	0	0.838648009797557	0.858361196123562
SupportEnv	=~	SEwellness		0.825182239510263	0.00548985303373796	150.31044263646	0	0.814422325283718	0.835942153736807
SupportEnv	=~	SEnonacad		0.770989380299277	0.00658665623249155	117.053228995926	0	0.758079771305047	0.783898989293506
SupportEnv	=~	SEactivities		0.743302609895507	0.00713699425920761	104.147850327406	0	0.729314358189591	0.757290861601423
SupportEnv	=~	SEdiverse		0.795702857941	0.00608794253863798	130.701440247007	0	0.783770709825321	0.80763500605668
Satisf	=~	sameinst		0.895099075247824	0.00791237442372834	113.126481042596	0	0.879591106345121	0.910607044150528
Satisf	=~	evalexp		0.867599302884368	0.00795017459964358	109.129591056184	0	0.852017246998262	0.883181358770475
DevAdj	=~	Belong		0.524773838033983	0.0123204004956533	42.5938944289293	0	0.500626296787394	0.548921379280573
DevAdj	=~	Gains		0.283504510447889	0.0148137704473742	19.1379035779606	0	0.254470053895792	0.312538966999986
DevAdj	=~	SupportEnv		0.544731696412358	0.0124637683834206	43.7052165649168	0	0.520303159269205	0.569160233555512
DevAdj	=~	Satisf		0.586560910543632	0.0124004516665078	47.3015762907948	0	0.562256471885247	0.610865349202017
EmoDiss	=~	MHWdacad		0.92557205853653	0.00227721077592668	406.449885237295	0	0.921108807430507	0.930035309642552
EmoDiss	=~	MHWdlonely		0.939104425433715	0.00193697425674652	484.83061773423	0	0.93530802565151	0.942900825215919
EmoDiss	=~	MHWdmental		0.954054929303824	0.00155597759008061	613.154672269025	0	0.951005269266514	0.957104589341133
EmoDiss	=~	MHWdexhaust		0.94593281529908	0.0017497362659729	540.6145107092	0	0.942503395235329	0.94936223536283
EmoDiss	=~	MHWdsleep		0.933365015331804	0.00208447981544091	447.768795081557	0	0.929279509967039	0.937450520696569
EmoDiss	=~	MHWdfinancial		0.882010274941221	0.0033926563626334	259.976307844099	0	0.875360790658539	0.888659759223903
QualEngag	=~	QIadmin		0.893834578940491	0.00322557342658169	277.108737185913	0	0.887512571194902	0.900156586686081
QualEngag	=~	QIstudent		0.909911435369287	0.00282133154335806	322.511346641053	0	0.904381727155859	0.915441143582716
QualEngag	=~	QIadvisor		0.926384610820003	0.00241891811421814	382.974770983282	0	0.921643618434584	0.931125603205422
QualEngag	=~	QIfaculty		0.932864997279593	0.00227046505531946	410.869568370581	0	0.92841496754301	0.937315027016176
QualEngag	=~	QIstaff		0.919410036073065	0.00259181526433135	354.73594461998	0	0.914330171500394	0.924489900645735
EmoDiss	~	x_FASt	a1	0.0680577132932791	0.0169686832777002	4.01078340490441	6.05176094610194e-05	0.0347997052039196	0.101315721382639
EmoDiss	~	XZ_c	a1z	0.00724592169305137	0.0167616564964449	0.432291503801442	0.665529561421432	-0.0256063213612125	0.0400981647473152
EmoDiss	~	cohort	g1	0.00965169328246563	0.0129156725037386	0.747285383681869	0.454891313390709	-0.0156625596609762	0.0349659462259074
EmoDiss	~	hgrades_c		-0.0583743481530796	0.015798306904004	-3.69497494306083	0.000219908472917085	-0.0893384607016378	-0.0274102356045214
EmoDiss	~	bparented_c		-0.186829007505373	0.0186728061978993	-10.005406017998	0	-0.223427035143552	-0.150230979867194
EmoDiss	~	pell		0.26974620083157	0.01770790273439	15.2330970458576	0	0.235039349230428	0.304453052432713
EmoDiss	~	hapcl		-0.000871062194441564	0.0135074428342272	-0.0644875721579468	0.948582002495462	-0.0273451636727604	0.0256030392838773
EmoDiss	~	hprecalc13		-0.0215883464974319	0.0132752504300587	-1.62621011265822	0.103904965632538	-0.0476073592260969	0.00443066623123312
EmoDiss	~	hchallenge_c		-0.00730855355973282	0.012950657421063	-0.564338420985962	0.572523838353594	-0.0326913756811327	0.018074268561667
EmoDiss	~	cSFcareer_c		-0.0139755434828129	0.0129204602492597	-1.08165988000417	0.27940368647161	-0.0392991802350433	0.0113480932694175
QualEngag	~	x_FASt	a2	-0.000313823602064817	0.0177104042555544	-0.0177197311555661	0.985862439932691	-0.0350255780945963	0.0343979308904667
QualEngag	~	XZ_c	a2z	-0.011884422749664	0.0174601905046243	-0.680658252068692	0.49608775833174	-0.0461057673019358	0.0223369218026079
QualEngag	~	cohort	g2	-0.000711773125997263	0.0134568962181164	-0.0528928152867105	0.957817308955395	-0.0270868050571986	0.0256632588052041
QualEngag	~	hgrades_c		0.0527569359572757	0.0164653743067738	3.20411397726754	0.00135478831729841	0.020485395324028	0.0850284765905235
QualEngag	~	bparented_c		0.172913900668641	0.0194800085089194	8.87647972994816	0	0.134733785572625	0.211094015764657
QualEngag	~	pell		-0.181378019710713	0.0187167863005263	-9.69066039428	0	-0.218062246766077	-0.144693792655348
QualEngag	~	hapcl		0.0340863388179506	0.0140617251934738	2.42405098584706	0.0153484504516255	0.00652586387824249	0.0616468137576587
QualEngag	~	hprecalc13		0.0056381957182331	0.0138343005878522	0.407551916515676	0.683602671558653	-0.0214765351852584	0.0327529266217246
QualEngag	~	hchallenge_c		0.0217498845530646	0.0134914844268755	1.61211945734734	0.106935947441282	-0.00469293902159434	0.0481927081277235
QualEngag	~	cSFcareer_c		-0.0242938666334767	0.0134562395648969	-1.80539789859655	0.0710124397706584	-0.0506676115480176	0.00207987828106425
DevAdj	~	x_FASt	c	-0.0128693337015137	0.0184856597117339	-0.696179303427553	0.486316547279012	-0.0491005609669751	0.0233618935639478
DevAdj	~	XZ_c	cz	0.0173214841947665	0.0181966974542284	0.951902631691087	0.341146364759659	-0.0183433874530928	0.0529863558426258
DevAdj	~	EmoDiss	b1	-0.590969247239724	0.0157657445324311	-37.4843855946076	0	-0.621869538712748	-0.560068955766699
DevAdj	~	QualEngag	b2	0.380216514323477	0.0160261531793617	23.7247522888472	0	0.348805831281206	0.411627197365748
DevAdj	~	cohort	g3	0.000781127461264715	0.014023226311281	0.0557024071298299	0.955578881869622	-0.0267038910559004	0.0282661459784299
DevAdj	~	hgrades_c		0.0611693603393236	0.017208467466277	3.55460824499309	0.00037854265546633	0.0274413838762915	0.0948973368023558
DevAdj	~	bparented_c		0.134517843690585	0.0208188069523862	6.46136178688023	1.03764996595146e-10	0.0937137318628158	0.175321955518354
DevAdj	~	pell		-0.106875766083999	0.0202611068630512	-5.27492238239465	1.32812286945949e-07	-0.146586805822496	-0.067164726345501
DevAdj	~	hapcl		0.0343639957631221	0.0146681844648585	2.34275726798024	0.0191418319248844	0.00561488249340957	0.0631131090328347
DevAdj	~	hprecalc13		0.0387691206392248	0.0144171825386192	2.68909133496606	0.00716468130368741	0.0105119621049914	0.0670262791734581
