covariate	smd_unweighted	smd_weighted
hgrades	0.28533902874439	2.07957180774875e-13
bparented_c	0.112210440271268	1.0143103875521e-13
hapcl	0.260718925784357	1.29115547477279e-13
hprecalc13	0.11849072292464	8.31967670361916e-14
hchallenge_c	0.0350556577616248	2.67163715127968e-14
cSFcareer_c	0.0116342882869422	5.49999415101818e-15
cohort	-0.0149655263877769	-2.29875495254571e-14
hacadpr13_num_c	0.152752834207632	1.02581409801556e-13
tcare_num_c	-0.0199388945722534	-9.92670203925783e-15
StemMaj	0.116999539157199	9.37303144351786e-14
