lhs	op	rhs	label	est	se	z	pvalue	ci.lower	ci.upper	std.lv	std.all	std.nox
Belong	=~	sbvalued		1	0	NA	NA	1	1	0.688914443052273	0.874175840311838	0.874175840311838
Belong	=~	sbmyself		0.992908070547843	0.0126710300105855	78.3604860629608	0	0.968073308080069	1.01774283301562	0.684028710423574	0.843848987306898	0.843848987306898
Belong	=~	sbcommunity		1.00659390248739	0.0122704803821122	82.033781167589	0	0.98254420286544	1.03064360210933	0.693457077711911	0.891123986787695	0.891123986787695
Gains	=~	pganalyze		1	0	NA	NA	1	1	0.513253674511787	0.720997654824003	0.720997654824003
Gains	=~	pgthink		1.00613220253914	0.0210089485160728	47.8906501089005	0	0.964955420094586	1.0473089849837	0.516401049997854	0.775705358178871	0.775705358178871
Gains	=~	pgwork		0.996592143243173	0.0207156873062129	48.1080897057316	0	0.955990142208002	1.03719414427834	0.511504579509136	0.746965294883282	0.746965294883282
Gains	=~	pgvalues		0.986669073506551	0.0218797401266304	45.0951002066817	0	0.94378557086726	1.02955257614584	0.506411527504378	0.695277195410564	0.695277195410564
Gains	=~	pgprobsolve		1.00678851036082	0.0211254936569658	47.6575140306296	0	0.965383303637541	1.04819371708411	0.516737902398941	0.76192400989451	0.76192400989451
SupportEnv	=~	SEacademic		1	0	NA	NA	1	1	0.643494691990846	0.845951847217893	0.845951847217893
SupportEnv	=~	SEwellness		0.992310333041331	0.0136424157515129	72.7371420953276	0	0.965571689506244	1.01904897657642	0.638546432119766	0.831991484941995	0.831991484941995
SupportEnv	=~	SEnonacad		0.978366360294277	0.015015397672202	65.1575390577584	0	0.948936721643214	1.00779599894534	0.629573559671771	0.785759263762159	0.785759263762159
SupportEnv	=~	SEactivities		0.973320358848598	0.0148527674491385	65.5312460914518	0	0.944209469577538	1.00243124811966	0.626326484525699	0.76482613690058	0.76482613690058
SupportEnv	=~	SEdiverse		0.980430721131001	0.0140634415577202	69.7148501742655	0	0.952866882179186	1.00799456008282	0.630901964912557	0.802247791254971	0.802247791254971
