lhs	op	rhs	block	group	est	se	z	pvalue	ci.lower	ci.upper	std.lv	std.all
Belong	=~	sbvalued	1	1	1	0	NA	NA	1	1	0.514218292234124	0.693520165493
Belong	=~	sbmyself	1	1	0.964336362697206	0.044283465525122	21.7764429965432	0	0.877542365157346	1.05113036023707	0.495879397565424	0.707685992284149
Belong	=~	sbcommunity	1	1	1.1229190659778	0.0516010943569447	21.7615358738351	0	1.02178277947534	1.22405535248027	0.577425524424243	0.737450372651904
Gains	=~	pganalyze	1	1	1	0	NA	NA	1	1	0.412849823495384	0.651204508109745
Gains	=~	pgthink	1	1	0.653469345004857	0.0481449491832344	13.5729574148645	0	0.559106978568206	0.747831711441507	0.269784703744899	0.45900664249666
Gains	=~	pgwork	1	1	0.660576274869405	0.0477783773770262	13.8258415445276	0	0.56693237597067	0.75422017376814	0.272718798485072	0.471465786551988
Gains	=~	pgvalues	1	1	0.727648320212466	0.0633186558966464	11.4918472274615	0	0.603546035105555	0.851750605319378	0.300409480566429	0.505581841130661
Gains	=~	pgprobsolve	1	1	0.850516095720147	0.0591939762282239	14.3682879562096	0	0.734498034211108	0.966534157229186	0.351135419998045	0.577519888224472
SupportEnv	=~	SEacademic	1	1	1	0	NA	NA	1	1	0.293812554894773	0.574219246683787
SupportEnv	=~	SEwellness	1	1	1.26199743367989	0.0809499415852425	15.5898498376428	0	1.10333846362219	1.42065640373758	0.370790690260134	0.631666502584162
SupportEnv	=~	SEnonacad	1	1	1.2228428636732	0.0753558248587624	16.2275824856956	0	1.07514816092472	1.37053756642168	0.359286586010664	0.585178516171769
SupportEnv	=~	SEactivities	1	1	1.42799838409827	0.0798847692920916	17.8757277107094	0	1.27142711337248	1.58456965482406	0.419563853617521	0.669200130125247
SupportEnv	=~	SEdiverse	1	1	1.03764330447585	0.0685617240091933	15.1344400898774	0	0.903264794699853	1.17202181425184	0.304872630357504	0.533715990368594
Satisf	=~	sameinst	1	1	1	0	NA	NA	1	1	0.404121645723841	0.631063657492623
Satisf	=~	evalexp	1	1	1.34924338113917	0.148757814465628	9.07006724981787	0	1.05768342236765	1.64080333991069	0.545258455667961	0.789650871422814
DevAdj	=~	Belong	1	1	1	0	NA	NA	1	1	0.547632144469129	0.547632144469129
DevAdj	=~	Gains	1	1	0.819960842158452	0.104270166207195	7.86381063715876	3.77475828372553e-15	0.615595071730345	1.02432661258656	0.559290526767064	0.559290526767064
DevAdj	=~	SupportEnv	1	1	0.409970315529718	0.056910942701217	7.20371682616585	5.85975712397158e-13	0.29842691750911	0.521513713550326	0.392933011058345	0.392933011058345
DevAdj	=~	Satisf	1	1	0.769592967829579	0.0952601334055484	8.07885670864234	6.66133814775094e-16	0.582886537192223	0.956299398466935	0.536272382160944	0.536272382160944
EmoDiss	=~	MHWdacad	1	1	1	0	NA	NA	1	1	0.744861408899083	0.500205431539604
EmoDiss	=~	MHWdlonely	1	1	0.887536126042625	0.0632625287737327	14.029412722609	0	0.76354384807518	1.01152840401007	0.661091409292944	0.474568212881732
EmoDiss	=~	MHWdmental	1	1	1.17518738417317	0.0736442562621156	15.9576244478649	0	1.03084729423118	1.31952747411515	0.875351730695652	0.604094386120774
EmoDiss	=~	MHWdexhaust	1	1	1.1538733287706	0.0763447702593704	15.1139799733561	0	1.00424032865425	1.30350632888695	0.859475713359145	0.566357904959099
EmoDiss	=~	MHWdsleep	1	1	1.11544752251858	0.0728077519638447	15.3204499854974	0	0.972746950874121	1.25814809416304	0.830853813176183	0.583141117747647
EmoDiss	=~	MHWdfinancial	1	1	1.0968072528584	0.0762078676508496	14.3923099631061	0	0.947442576924135	1.24617192879266	0.816969395654837	0.553129276970484
QualEngag	=~	QIadmin	1	1	1	0	NA	NA	1	1	0.988647256027101	0.70253645976013
QualEngag	=~	QIstudent	1	1	0.90912064331548	0.0381464323061331	23.8323897768367	0	0.834355009856763	0.983886276774195	0.898799629411441	0.69117618807935
QualEngag	=~	QIadvisor	1	1	0.98165498938642	0.0405965059848428	24.1807753049716	0	0.902087299757963	1.06122267901488	0.970510511622196	0.71356355814976
