lhs	op	rhs	block	group	label	est	se	z	pvalue	ci.lower	ci.upper	std.lv	std.all
Belong	=~	sbvalued	1	1		1	0	NA	NA	1	1	0.654417791628896	0.859246622104012
Belong	=~	sbmyself	1	1	.p2.	0.997998854411865	0.013168009261932	75.7896531328408	0	0.972190030510388	1.02380767831334	0.65310820635238	0.826718031852441
Belong	=~	sbcommunity	1	1	.p3.	1.01439946949339	0.012820101387353	79.1256979054857	0	0.989272532496024	1.03952640649075	0.663841060655386	0.883072121642528
Gains	=~	pganalyze	1	1		1	0	NA	NA	1	1	0.507611215037017	0.718214816028524
Gains	=~	pgthink	1	1	.p5.	1.0078053672065	0.0214750556579006	46.9291154938514	0	0.965715031551025	1.04989570286198	0.51157330696852	0.766541327541382
Gains	=~	pgwork	1	1	.p6.	0.998415606986992	0.0210733164302305	47.3781908174038	0	0.957112665748924	1.03971854822506	0.506806959374588	0.7392503808867
Gains	=~	pgvalues	1	1	.p7.	0.986874628291079	0.0222173345903069	44.4191279687365	0	0.943329452661602	1.03041980392056	0.500948629156039	0.688597718334449
Gains	=~	pgprobsolve	1	1	.p8.	1.00585025086954	0.0213463412471993	47.1204989755099	0	0.964012190823327	1.04768831091575	0.510580867989175	0.756312833604323
SupportEnv	=~	SEacademic	1	1		1	0	NA	NA	1	1	0.614209975698197	0.833468656336267
SupportEnv	=~	SEwellness	1	1	.p10.	0.984727804393641	0.0142748174856415	68.9835653159236	0	0.956749676235901	1.01270593255138	0.604829640805957	0.815869935660764
SupportEnv	=~	SEnonacad	1	1	.p11.	0.974568859320577	0.015719581271567	61.9971259083945	0	0.943759046176256	1.0053786724649	0.598589915399511	0.768145834701433
SupportEnv	=~	SEactivities	1	1	.p12.	0.97043139565127	0.0154351815161946	62.8713951068923	0	0.94017899578469	1.00068379551785	0.596048643939734	0.74066756669672
SupportEnv	=~	SEdiverse	1	1	.p13.	0.981736569581432	0.0148562852768159	66.0822373351627	0	0.95261878549482	1.01085435366804	0.602992394544643	0.787071891297728
Satisf	=~	sameinst	1	1		1	0	NA	NA	1	1	0.555956856390635	0.854371588918352
Satisf	=~	evalexp	1	1	.p15.	1.02852775979856	0.0239561490235522	42.9337686448423	0	0.981574570504119	1.07548094909299	0.571817060048108	0.856468991988525
DevAdj	=~	Belong	1	1		1	0	NA	NA	1	1	0.490160971519083	0.490160971519083
DevAdj	=~	Gains	1	1	.p17.	0.390663481229037	0.0277395429064373	14.0832703172762	0	0.336294976184817	0.445031986273258	0.246868360678933	0.246868360678933
DevAdj	=~	SupportEnv	1	1	.p18.	0.933719250670173	0.0385448877304709	24.2242047038585	0	0.85817265893031	1.00926584241004	0.4876332075356	0.4876332075356
DevAdj	=~	Satisf	1	1		0.946882379571256	0.0527788970636512	17.9405488225591	0	0.843437642182753	1.05032711695976	0.546322101639754	0.546322101639754
EmoDiss	=~	MHWdacad	1	1		1	0	NA	NA	1	1	0.975540179134955	0.902252844376086
EmoDiss	=~	MHWdlonely	1	1	.p21.	1.01247205380655	0.0090976945930021	111.288859332049	0	0.994640900061922	1.03030320755118	0.987707168739578	0.922462515992214
EmoDiss	=~	MHWdmental	1	1	.p22.	1.0178613132262	0.00867813660304727	117.290307791281	0	1.0008524780313	1.03487014842109	0.992964607839223	0.942085621228824
EmoDiss	=~	MHWdexhaust	1	1	.p23.	1.02422189334639	0.00879311412474461	116.47999546192	0	1.00698770634994	1.04145608034284	0.999169609309082	0.931267038918002
EmoDiss	=~	MHWdsleep	1	1	.p24.	1.00680070534423	0.00921806309198857	109.220418139603	0	0.988733633676719	1.02486777701175	0.982174540444713	0.913876098119255
EmoDiss	=~	MHWdfinancial	1	1	.p25.	1.01121913971705	0.0107898572507068	93.719417803309	0	0.990071408107336	1.03236687132676	0.986484900704266	0.856821726587946
QualEngag	=~	QIadmin	1	1		1	0	NA	NA	1	1	0.979754326330437	0.88520346905726
QualEngag	=~	QIstudent	1	1	.p27.	1.00772476810199	0.0102238106838377	98.5664542571251	0	0.987686467376914	1.02776306882707	0.987322701298263	0.898925194703269
QualEngag	=~	QIadvisor	1	1	.p28.	1.01413649451603	0.0100481054646919	100.928129992227	0	0.994442569692378	1.03383041933969	0.993604617991668	0.918229891286861
QualEngag	=~	QIfaculty	1	1	.p29.	1.00722502036799	0.00934313470536358	107.803756675988	0	0.988912812842772	1.02553722789321	0.986833071293801	0.931100347562446
QualEngag	=~	QIstaff	1	1	.p30.	1.00756442365885	0.00987523202463146	102.029443069866	0	0.988209324551597	1.0269195227661	0.987165603136392	0.92079760396901
sbvalued	~~	sbvalued	1	1		0.151799505290904	0.00650053582814532	23.3518450330909	0	0.139058689187527	0.164540321394281	0.151799505290904	0.261695242402845
sbmyself	~~	sbmyself	1	1		0.197551507793528	0.00759548318640642	26.0090770982265	0	0.182664634302992	0.212438381284064	0.197551507793528	0.316537295810026
