lhs	op	rhs	group	label	est.std	se	z	pvalue	ci.lower	ci.upper
Belong	=~	sbvalued	1		0.689338427767506	0.0160072040015183	43.0642620473958	0	0.657964884431344	0.720711971103667
Belong	=~	sbmyself	1	.p2.	0.703867444584684	0.015216786149427	46.2559858351685	0	0.674043091771359	0.733691797398009
Belong	=~	sbcommunity	1	.p3.	0.735331860062845	0.0150066396333169	49.0004343430959	0	0.705919386852572	0.764744333273117
Gains	=~	pganalyze	1		0.62559897735898	0.0201232068320636	31.0884334976954	0	0.586158216714685	0.665039738003275
Gains	=~	pgthink	1	.p5.	0.451600612826901	0.0209829976511848	21.5222162407	0	0.41047469314289	0.492726532510911
Gains	=~	pgwork	1	.p6.	0.518715722442407	0.0192378498785362	26.9632898539842	0	0.481010229540488	0.556421215344327
Gains	=~	pgvalues	1	.p7.	0.504814118356372	0.0198652913160963	25.4118658681504	0	0.465878862834427	0.543749373878317
Gains	=~	pgprobsolve	1	.p8.	0.586917312145474	0.0188635985634282	31.1137511844298	0	0.549945338342333	0.623889285948615
SupportEnv	=~	SEacademic	1		0.565824897976064	0.0179874706284309	31.4566127536422	0	0.530570103371367	0.60107969258076
SupportEnv	=~	SEwellness	1	.p10.	0.622612468850077	0.0179736824356523	34.6402286275557	0	0.587384698606638	0.657840239093515
SupportEnv	=~	SEnonacad	1	.p11.	0.601058621134868	0.0171505186216546	35.0460901150802	0	0.567444222320242	0.634673019949495
SupportEnv	=~	SEactivities	1	.p12.	0.65989037036712	0.0168439387990585	39.1767257195214	0	0.626876856963169	0.692903883771072
SupportEnv	=~	SEdiverse	1	.p13.	0.555103958566225	0.0178051224940974	31.176643617602	0	0.52020655973747	0.59000135739498
Satisf	=~	sameinst	1		0.69619504127585	0.0254936223894199	27.3085962693468	0	0.646228459557123	0.746161622994577
Satisf	=~	evalexp	1	.p15.	0.716724450718706	0.0281460623395266	25.4644661151121	0	0.661559182226615	0.771889719210798
DevAdj	=~	Belong	1		0.510190202142296	0.0308836887475083	16.5197300851395	0	0.449659284487435	0.570721119797157
DevAdj	=~	Gains	1	.p17.	0.584445880301268	0.0338124771609872	17.2849175621951	0	0.51817464283765	0.650717117764886
DevAdj	=~	SupportEnv	1	.p18.	0.405161598421517	0.0299865476408708	13.5114453078718	0	0.346389045024716	0.463934151818318
DevAdj	=~	Satisf	1		0.540117448502376	0.0402117935830097	13.4318168968864	0	0.461303781325918	0.618931115678834
EmoDiss	=~	MHWdacad	1		0.513634600984666	0.0171658579495653	29.9218718047048	0	0.479990137639787	0.547279064329544
EmoDiss	=~	MHWdlonely	1	.p21.	0.481923479000674	0.0176711682139742	27.2717385271436	0	0.447288625736536	0.516558332264813
EmoDiss	=~	MHWdmental	1	.p22.	0.616264264705914	0.0156597918827108	39.3532857474499	0	0.585571636610409	0.64695689280142
EmoDiss	=~	MHWdexhaust	1	.p23.	0.521756903499456	0.0184472124703039	28.2837802372242	0	0.485601031442502	0.55791277555641
EmoDiss	=~	MHWdsleep	1	.p24.	0.576463988684351	0.0161562921741299	35.6804632196123	0	0.54479823789935	0.608129739469352
EmoDiss	=~	MHWdfinancial	1	.p25.	0.566778952012295	0.016253060676774	34.8721365953082	0	0.534923538447274	0.598634365577316
QualEngag	=~	QIadmin	1		0.72249557041286	0.012687026344909	56.9475896692515	0	0.697629455705927	0.747361685119792
QualEngag	=~	QIstudent	1	.p27.	0.689188246598061	0.0142115880602457	48.4948088613643	0	0.66133404583686	0.717042447359262
QualEngag	=~	QIadvisor	1	.p28.	0.711461961328631	0.0131759574020676	53.9969840231107	0	0.685637559358744	0.737286363298517
QualEngag	=~	QIfaculty	1	.p29.	0.69168313148676	0.0130337243878221	53.068724710262	0	0.666137501102208	0.717228761871313
QualEngag	=~	QIstaff	1	.p30.	0.68568750736785	0.0135623457267842	50.5581793283511	0	0.659105798197472	0.712269216538228
sbvalued	~~	sbvalued	1		0.524812532003024	0.0220687617705586	23.7807874070744	0	0.481558553749335	0.568066510256713
sbmyself	~~	sbmyself	1		0.504570620453827	0.0214212008437381	23.5547308544715	0	0.462585838294502	0.546555402613153
sbcommunity	~~	sbcommunity	1		0.459287055576517	0.0220697204997491	20.8107327676279	0	0.416031198248144	0.502542912904891
pganalyze	~~	pganalyze	1		0.608625919527399	0.0251781148567219	24.1728152798903	0	0.559277721209611	0.657974117845186
pgthink	~~	pgthink	1		0.796056886494368	0.0189518693138817	42.0041354923907	0	0.75891190519945	0.833201867789286
pgwork	~~	pgwork	1		0.730933999291052	0.0199579505313596	36.6237003214607	0	0.691817135044355	0.770050863537748
pgvalues	~~	pgvalues	1		0.745162705908078	0.0200565589304148	37.1530684048736	0	0.70585257275066	0.784472839065496
pgprobsolve	~~	pgprobsolve	1		0.655528068703932	0.0221427451192552	29.6046431990895	0	0.612129085751342	0.698927051656522
SEacademic	~~	SEacademic	1		0.679842184830377	0.0203555178589157	33.3984224593237	0	0.63994610294024	0.719738266720514
SEwellness	~~	SEwellness	1		0.612353713632412	0.0223812776648579	27.3600874267291	0	0.5684872154813	0.656220211783525
SEnonacad	~~	SEnonacad	1		0.638728533959451	0.020616934570491	30.9807712575109	0	0.59832008472967	0.679136983189232
SEactivities	~~	SEactivities	1		0.564544699096745	0.0222303061457932	25.3952732541912	0	0.520974099685691	0.608115298507799
SEdiverse	~~	SEdiverse	1		0.691859595184107	0.0197673883539422	35.0000507298239	0	0.653116225941964	0.73060296442625
sameinst	~~	sameinst	1		0.515312464502918	0.035497066916018	14.5170434988921	0	0.445739491790714	0.584885437215121
evalexp	~~	evalexp	1		0.486306061741969	0.040345941623698	12.0534071624276	0	0.407229469237165	0.565382654246772
MHWdacad	~~	MHWdacad	1		0.736179496671323	0.0176339576069862	41.7478318298591	0	0.701617574856724	0.770741418485922
MHWdlonely	~~	MHWdlonely	1		0.767749760387886	0.0170323017340293	45.0761014205131	0	0.73436706241537	0.801132458360403
MHWdmental	~~	MHWdmental	1		0.620218356046479	0.0193011405543612	32.1337671366957	0	0.582388815699385	0.658047896393572
