lhs	op	rhs	block	group	label	est	se	z	pvalue	ci.lower	ci.upper	std.lv	std.all
Belong	=~	sbvalued	1	1		1	0	NA	NA	1	1	0.506901482445605	0.688246035077915
Belong	=~	sbmyself	1	1	.p2.	0.966320209309118	0.0314352921700014	30.7399786228574	0	0.904708168812421	1.02793224980581	0.489829146615939	0.703166368317955
Belong	=~	sbcommunity	1	1	.p3.	1.12777598631848	0.0363967781994829	30.9855993334736	0	1.0564396118942	1.19911236074276	0.571671319331394	0.734340154583673
Gains	=~	pganalyze	1	1		1	0	NA	NA	1	1	0.391907985331234	0.624312484805242
Gains	=~	pgthink	1	1	.p5.	0.672856524823628	0.0361544826863052	18.610597492479	0	0.601995040878793	0.743718008768463	0.263697845060603	0.449937357805095
Gains	=~	pgwork	1	1	.p6.	0.778046378467216	0.0387357185182054	20.086019008568	0	0.702125765256252	0.85396699167818	0.304922588679349	0.517597626921751
Gains	=~	pgvalues	1	1	.p7.	0.762262651015497	0.0404283875706015	18.8546389510176	0	0.683024467424091	0.841500834606903	0.298736819852729	0.50333480803551
Gains	=~	pgprobsolve	1	1	.p8.	0.911948563021379	0.0425426681612653	21.4360923382728	0	0.82856646561906	0.995330660423698	0.357399924059422	0.585572781853158
SupportEnv	=~	SEacademic	1	1		1	0	NA	NA	1	1	0.287973844562771	0.565460813720617
SupportEnv	=~	SEwellness	1	1	.p10.	1.26111552968357	0.0561021716166767	22.4789075599472	0	1.1511572938604	1.37107376550674	0.363168287520793	0.621923507129855
SupportEnv	=~	SEnonacad	1	1	.p11.	1.29036224819523	0.0562206252133215	22.9517591328649	0	1.18017184758879	1.40055264880166	0.37159057749144	0.600532595496484
SupportEnv	=~	SEactivities	1	1	.p12.	1.42846485115588	0.0602125459645616	23.7237078796935	0	1.31045042964787	1.54647927266388	0.411360515010145	0.659076938009173
SupportEnv	=~	SEdiverse	1	1	.p13.	1.11095147868517	0.0525378343368386	21.1457417822454	0	1.00797921555924	1.21392374181111	0.319924968439665	0.554592232672295
Satisf	=~	sameinst	1	1		1	0	NA	NA	1	1	0.451487532711844	0.696121932332743
Satisf	=~	evalexp	1	1	.p15.	1.10158141871542	0.0757436262888013	14.5435526748511	0	0.953126639130905	1.25003619829993	0.497350276817037	0.722981482020714
DevAdj	=~	Belong	1	1		1	0	NA	NA	1	1	0.501783673232897	0.501783673232897
DevAdj	=~	Gains	1	1	.p17.	0.886243037326293	0.0787337571057626	11.2562015316481	0	0.731927709031473	1.04055836562111	0.575186668262512	0.575186668262512
DevAdj	=~	SupportEnv	1	1	.p18.	0.451039371016387	0.0432938106248628	10.4181028305548	0	0.366185061438159	0.535893680594616	0.398383640692824	0.398383640692824
DevAdj	=~	Satisf	1	1	.p19.	1.00377050230457	0.0907804123262757	11.0571264943906	0	0.82584416364337	1.18169684096576	0.565494980527941	0.565494980527941
EmoDiss	=~	MHWdacad	1	1		1	0	NA	NA	1	1	0.769498116658444	0.513564225338067
EmoDiss	=~	MHWdlonely	1	1	.p21.	0.876016295809775	0.0422046213112932	20.7564069666316	0	0.793296758058489	0.958735833561061	0.674092889787728	0.482100692810626
