lhs	op	rhs	block	group	label	est	se	z	pvalue	ci.lower	ci.upper	std.lv	std.all
Belong	=~	sbvalued	1	1		1	0	NA	NA	1	1	0.505553189185708	0.686753357433139
Belong	=~	sbmyself	1	1	.p2.	0.96830153057076	0.031266951043424	30.9688504397492	0	0.907019432619272	1.02958362852225	0.48952792687345	0.702836757257453
Belong	=~	sbcommunity	1	1	.p3.	1.1336993618401	0.0364334494972435	31.1169921455249	0	1.06229111299295	1.20510761068726	0.573145327956066	0.735545699229903
Gains	=~	pganalyze	1	1		1	0	NA	NA	1	1	0.392630039480997	0.625147829104436
Gains	=~	pgthink	1	1	.p5.	0.670223259950458	0.0359760294550606	18.6297173452025	0	0.599711537911787	0.740734981989129	0.26314978501543	0.449071508398466
Gains	=~	pgwork	1	1	.p6.	0.775407352927137	0.0385458251904552	20.1165067577577	0	0.699858923799468	0.850955782054806	0.304448219593637	0.516895681719807
Gains	=~	pgvalues	1	1	.p7.	0.759974842098927	0.0399300048060167	19.0326759485993	0	0.681713470776623	0.838236213421231	0.298388952257866	0.502806687679216
Gains	=~	pgprobsolve	1	1	.p8.	0.911196277792951	0.042442398831264	21.4690098317851	0	0.828010704666189	0.994381850919714	0.357763030524784	0.586021292499976
SupportEnv	=~	SEacademic	1	1		1	0	NA	NA	1	1	0.287621077699137	0.564874796691359
SupportEnv	=~	SEwellness	1	1	.p10.	1.26142857060673	0.055940585150243	22.549434676431	0	1.15178703843816	1.3710701027753	0.36281344491839	0.621447638022497
SupportEnv	=~	SEnonacad	1	1	.p11.	1.28884879158157	0.0560927960553903	22.9770823032045	0	1.17890893152085	1.39878865164228	0.37070007842592	0.599209863451437
SupportEnv	=~	SEactivities	1	1	.p12.	1.43273201549812	0.0603005112570707	23.7598651426047	0	1.31454518518491	1.55091884581133	0.412083926351626	0.65953423901484
SupportEnv	=~	SEdiverse	1	1	.p13.	1.11418559048403	0.0525725809805755	21.1932830708026	0	1.01114522518779	1.21722595578027	0.320463260291866	0.555202371111918
Satisf	=~	sameinst	1	1		1	0	NA	NA	1	1	0.449363802681049	0.693148477435991
Satisf	=~	evalexp	1	1	.p15.	1.11205654425245	0.0727927315386563	15.2770272628373	0	0.969385412100394	1.25472767640451	0.499717957521629	0.726119599227626
DevAdj	=~	Belong	1	1		1	0	NA	NA	1	1	0.502245119390447	0.502245119390447
DevAdj	=~	Gains	1	1	.p17.	0.889945631128265	0.0789523578427629	11.2719322822585	0	0.735201853261931	1.0446894089946	0.575522797151249	0.575522797151249
DevAdj	=~	SupportEnv	1	1	.p18.	0.451430297439981	0.0433756162632268	10.4074670593833	0	0.366415651756827	0.536444943123136	0.398522249819216	0.398522249819216
DevAdj	=~	Satisf	1	1	.p19.	1.00086017885673	0.0905667228734148	11.0510808727797	0	0.823352663827019	1.17836769388644	0.565532937350936	0.565532937350936
EmoDiss	=~	MHWdacad	1	1		1	0	NA	NA	1	1	0.761354350384193	0.508911748988447
EmoDiss	=~	MHWdlonely	1	1	.p21.	0.89215220802781	0.0424931501595347	20.9952005129849	0	0.808867164125469	0.97543725193015	0.679243964786837	0.485106635905142
EmoDiss	=~	MHWdmental	1	1	.p22.	1.17972981403351	0.0471015692941995	25.0465076155922	0	1.08741243460156	1.27204719346546	0.898192426192349	0.616577939402346
EmoDiss	=~	MHWdexhaust	1	1	.p23.	1.02164338811027	0.0463845506024545	22.0255101071565	0	0.930731339490388	1.11255543673016	0.777832638079004	0.522184208803811
EmoDiss	=~	MHWdsleep	1	1	.p24.	1.07064849458792	0.0453116432195686	23.62855148289	0	0.981839305797239	1.1594576833786	0.815142889086802	0.57458659202842
EmoDiss	=~	MHWdfinancial	1	1	.p25.	1.11274610468991	0.0488181943557624	22.7936759926183	0	1.01706420196234	1.20842800741749	0.847194087678732	0.568936857270072
QualEngag	=~	QIadmin	1	1		1	0	NA	NA	1	1	1.03694353554776	0.723256457345
QualEngag	=~	QIstudent	1	1	.p27.	0.862158008297846	0.0248599827483585	34.6805553738678	0	0.813433337454776	0.910882679140915	0.894009173325184	0.688699582282335
QualEngag	=~	QIadvisor	1	1	.p28.	0.925478706932499	0.0251708934961448	36.767813072438	0	0.876144662221362	0.974812751643637	0.959669162440756	0.7075691632002
QualEngag	=~	QIfaculty	1	1	.p29.	0.892982412174661	0.0248985451740069	35.8648429429885	0	0.844182160366164	0.941782663983158	0.925972339662361	0.692623557551705
QualEngag	=~	QIstaff	1	1	.p30.	0.869694767574683	0.0250718996126427	34.6880284705724	0	0.8205547473099	0.918834787839466	0.90182436713628	0.68512797293793
sbvalued	~~	sbvalued	1	1		0.286332163205572	0.0131758788446624	21.7315419017811	0	0.26050791520537	0.312156411205773	0.286332163205572	0.528369826054311
sbmyself	~~	sbmyself	1	1		0.245478871381511	0.0113255656072112	21.6747560250068	0	0.223281170686831	0.26767657207619	0.245478871381511	0.506020492647829
sbcommunity	~~	sbcommunity	1	1		0.278674275127883	0.0143099923726401	19.4741036802152	0	0.250627205458466	0.306721344797301	0.278674275127883	0.458972524344394
pganalyze	~~	pganalyze	1	1		0.240300400713178	0.0108832601137551	22.0798178304559	0	0.218969602855837	0.261631198570519	0.240300400713178	0.609190191766011
pgthink	~~	pgthink	1	1		0.274132221531379	0.0108350397848988	25.300527452926	0	0.252895933781918	0.295368509280839	0.274132221531379	0.798334780344727
pgwork	~~	pgwork	1	1		0.254224676777157	0.0099947365937936	25.4358556017396	0	0.234635353018357	0.273814000535957	0.254224676777157	0.732818854219416
pgvalues	~~	pgvalues	1	1		0.2631429781135	0.0106655073392552	24.6723357589359	0	0.242238967851712	0.284046988375287	0.2631429781135	0.747185434825056
pgprobsolve	~~	pgprobsolve	1	1		0.24470967892405	0.0109151739146233	22.4192194130968	0	0.223316331166397	0.266103026681703	0.24470967892405	0.656579044736658
SEacademic	~~	SEacademic	1	1		0.17653501451796	0.00668642329583476	26.4020099696547	0	0.163429865672735	0.189640163363186	0.17653501451796	0.680916464062896
SEwellness	~~	SEwellness	1	1		0.209211980302352	0.00826175427964265	25.3229487613617	0	0.193019239465133	0.225404721139571	0.209211980302352	0.61380283319626
SEnonacad	~~	SEnonacad	1	1		0.245306995553813	0.00990252047033648	24.7721775772788	0	0.225898412075783	0.264715579031844	0.245306995553813	0.64094753954251
SEactivities	~~	SEactivities	1	1		0.220575015047481	0.00983215052752453	22.4340559504245	0	0.201304354122957	0.239845675972006	0.220575015047481	0.565014587567116
