lhs	op	rhs	group	label	est.std	se	z	pvalue	ci.lower	ci.upper
Belong	=~	sbvalued	1		0.861400068145948	0.00642147303666598	134.143686849955	0	0.848814212266388	0.873985924025509
Belong	=~	sbmyself	1	.p2.	0.827283958562755	0.00718199608334953	115.188583920381	0	0.813207504902283	0.841360412223228
Belong	=~	sbcommunity	1	.p3.	0.882321508494324	0.00616331313724092	143.157014554887	0	0.870241636719889	0.894401380268759
Gains	=~	pganalyze	1		0.718677869457364	0.00957877420588953	75.0281668624659	0	0.69990381699778	0.737451921916949
Gains	=~	pgthink	1	.p5.	0.76661155799355	0.00884488067619001	86.6729112646179	0	0.749275910420664	0.783947205566437
Gains	=~	pgwork	1	.p6.	0.738606522697393	0.00934615345695608	79.0278616865283	0	0.720288398527775	0.756924646867012
Gains	=~	pgvalues	1	.p7.	0.689078017989488	0.0100186936377264	68.779228401066	0	0.669441739287404	0.708714296691572
Gains	=~	pgprobsolve	1	.p8.	0.756998929141978	0.00922872629954293	82.0263711991838	0	0.738910957971697	0.77508690031226
SupportEnv	=~	SEacademic	1		0.832954126719412	0.00666525348707655	124.96960968318	0	0.819890469936912	0.846017783501912
SupportEnv	=~	SEwellness	1	.p10.	0.818585714769246	0.00686586156924331	119.225490714265	0	0.805128873370692	0.832042556167801
SupportEnv	=~	SEnonacad	1	.p11.	0.769664096989065	0.00807640521837921	95.2978554416222	0	0.753834633636491	0.78549356034164
SupportEnv	=~	SEactivities	1	.p12.	0.74140773943825	0.00848783300530209	87.3494729426363	0	0.724771892441067	0.758043586435432
SupportEnv	=~	SEdiverse	1	.p13.	0.786259462377191	0.00748541085133405	105.038918770513	0	0.771588326699091	0.800930598055291
Satisf	=~	sameinst	1		0.86433092831884	0.010616263751579	81.415736133184	0	0.843523433715367	0.885138422922313
Satisf	=~	evalexp	1	.p15.	0.843262236598791	0.0108199893397727	77.9355884852011	0	0.82205544717973	0.864469026017853
DevAdj	=~	Belong	1		0.497041320708632	0.0168346363989281	29.5249216514281	0	0.464046039673906	0.530036601743358
DevAdj	=~	Gains	1	.p17.	0.252218733671002	0.016708129213994	15.0955699731934	0	0.219471402162532	0.284966065179472
DevAdj	=~	SupportEnv	1	.p18.	0.494791689715413	0.0172343513166384	28.7096207234519	0	0.461012981837891	0.528570397592934
DevAdj	=~	Satisf	1	.p19.	0.530333963056762	0.0179009483357276	29.6260261250124	0	0.495248749029624	0.5654191770839
EmoDiss	=~	MHWdacad	1		0.902751719989814	0.0038439337456857	234.851009334651	0	0.895217748289312	0.910285691690316
EmoDiss	=~	MHWdlonely	1	.p21.	0.922489449662689	0.00321607798725904	286.836778622056	0	0.91618605263619	0.928792846689189
EmoDiss	=~	MHWdmental	1	.p22.	0.942119311479276	0.00262889285633481	358.371133007214	0	0.936966776161645	0.947271846796907
EmoDiss	=~	MHWdexhaust	1	.p23.	0.931206160965248	0.00299743723153297	310.667443230831	0	0.925331291945524	0.937081029984972
EmoDiss	=~	MHWdsleep	1	.p24.	0.913743689387381	0.00365044978740962	250.309891273913	0	0.906588939276686	0.920898439498076
EmoDiss	=~	MHWdfinancial	1	.p25.	0.855984856750523	0.00510343269367966	167.727274587282	0	0.845982312473386	0.865987401027659
QualEngag	=~	QIadmin	1		0.885508105244742	0.00439249273498186	201.595804175735	0	0.876898977681824	0.89411723280766
QualEngag	=~	QIstudent	1	.p27.	0.8992298355901	0.00395627862553736	227.291836774505	0	0.891475671971241	0.906983999208958
QualEngag	=~	QIadvisor	1	.p28.	0.918511487907288	0.00342869757411616	267.889327668119	0	0.911791364148141	0.925231611666436
QualEngag	=~	QIfaculty	1	.p29.	0.931339383040066	0.00303347335288247	307.020789272828	0	0.925393884520354	0.937284881559777
QualEngag	=~	QIstaff	1	.p30.	0.919697101564189	0.00336544964656354	273.276143799475	0	0.913100941465141	0.926293261663236
sbvalued	~~	sbvalued	1		0.257989922598155	0.0110629145531524	23.3202490499795	0	0.236307008509933	0.279672836686378
sbmyself	~~	sbmyself	1		0.315601251904737	0.0118831002837555	26.5588309757994	0	0.292310803323899	0.338891700485576
