lhs	op	rhs	block	group	est	se	z	pvalue	ci.lower	ci.upper	std.lv	std.all
Belong	=~	sbvalued	1	1	1	0	NA	NA	1	1	0.679526834251383	0.872076523337347
Belong	=~	sbmyself	1	1	0.993871820729882	0.0175688157631879	56.5702227245362	0	0.959437574583014	1.02830606687675	0.675362571992235	0.839146489951853
Belong	=~	sbcommunity	1	1	1.00244193614159	0.0171227286109811	58.5445204976677	0	0.96888200474701	1.03600186753616	0.681186195387119	0.884820783367948
Gains	=~	pganalyze	1	1	1	0	NA	NA	1	1	0.492324093145021	0.702224657079939
Gains	=~	pgthink	1	1	1.00974440548022	0.0295222222541439	34.2028590120274	0	0.951881913118512	1.06760689784193	0.497121498736308	0.759794504950599
Gains	=~	pgwork	1	1	1.00018174467391	0.0296433166024825	33.7405479314737	0	0.942081911750727	1.0582815775971	0.492413570426788	0.734722231566902
Gains	=~	pgvalues	1	1	0.994567598441611	0.03102588330202	32.0560607013196	0	0.933757984581109	1.05537721230211	0.489649590974187	0.676448038817478
Gains	=~	pgprobsolve	1	1	1.01858765270645	0.0306000310687654	33.2871443959468	0	0.958612693885865	1.07856261152704	0.501475242407419	0.747634866254517
SupportEnv	=~	SEacademic	1	1	1	0	NA	NA	1	1	0.626107111983144	0.83812237435515
SupportEnv	=~	SEwellness	1	1	0.983789645391754	0.0188531629532884	52.1816762433574	0	0.946838125008644	1.02074116577486	0.615957693675153	0.824167366435449
SupportEnv	=~	SEnonacad	1	1	0.966365393707088	0.0209371426509056	46.1555528287566	0	0.925329348172136	1.00740143924204	0.605048245774399	0.768715051752091
SupportEnv	=~	SEactivities	1	1	0.955341038783954	0.020405770474927	46.8172000639625	0	0.915346463576307	0.995335613991602	0.598145818751999	0.749076052183434
SupportEnv	=~	SEdiverse	1	1	0.940057183538887	0.0192495943029953	48.8351686140527	0	0.902328671988008	0.977785695089765	0.588576488284541	0.781421365027575
Satisf	=~	sameinst	1	1	1	0	NA	NA	1	1	0.592765779065296	0.887679850069716
Satisf	=~	evalexp	1	1	0.968966137992602	0.031611389221159	30.6524376772415	0	0.907008953617852	1.03092332236735	0.574369967675076	0.842593357182214
DevAdj	=~	Belong	1	1	1	0	NA	NA	1	1	0.492334035222564	0.492334035222564
DevAdj	=~	Gains	1	1	0.34526947782105	0.0381568582083957	9.04868728801891	0	0.270483409969393	0.420055545672707	0.234624613181541	0.234624613181541
DevAdj	=~	SupportEnv	1	1	0.938659870455202	0.0562222550888556	16.6955215327402	0	0.828466275351421	1.04885346555898	0.50156368628563	0.50156368628563
DevAdj	=~	Satisf	1	1	0.949254101216165	0.0558986375742258	16.9817037124686	0	0.839694784785825	1.05881341764651	0.535754503018213	0.535754503018213
EmoDiss	=~	MHWdacad	1	1	1	0	NA	NA	1	1	1.06570069933766	0.916584466721613
EmoDiss	=~	MHWdlonely	1	1	1.0209646450228	0.0114543777468092	89.1331391010927	0	0.998514477173742	1.04341481287187	1.08804273619983	0.934979596568688
EmoDiss	=~	MHWdmental	1	1	1.01439175644493	0.0105860630659998	95.8233245088947	0	0.993643454097499	1.03514005879236	1.08103800424572	0.951361996084378
EmoDiss	=~	MHWdexhaust	1	1	1.02093009486306	0.0107054867862654	95.3651258691815	0	0.999947726325007	1.04191246340111	1.08800591607042	0.942276453836752
EmoDiss	=~	MHWdsleep	1	1	1.00190286522144	0.0112681219844925	88.9148046675645	0	0.979817751958433	1.02398797848445	1.0677285841349	0.919319208828038
EmoDiss	=~	MHWdfinancial	1	1	1.00372819244672	0.0134142213196679	74.8256770577546	0	0.977436801779519	1.03001958311392	1.06967383663539	0.875375896451779
QualEngag	=~	QIadmin	1	1	1	0	NA	NA	1	1	0.982624185437826	0.887829491832399
QualEngag	=~	QIstudent	1	1	1.01494599313534	0.0138631009107868	73.2120468333036	0	0.98777481463615	1.04211717163452	0.997310479767996	0.901729292265626
QualEngag	=~	QIadvisor	1	1	1.00268595581034	0.0137219236932459	73.0718212858068	0	0.975791479572972	1.02958043204771	0.985263470578084	0.915905211047816
QualEngag	=~	QIfaculty	1	1	1.01984146817608	0.0127759842549116	79.8248845511852	0	0.994800999169403	1.04488193718276	1.00212089194224	0.935565390559018
QualEngag	=~	QIstaff	1	1	1.01278114810482	0.0132955985300912	76.1741673992824	0	0.986722253832936	1.0388400423767	0.995183250683283	0.920949306755839
sbvalued	~~	sbvalued	1	1	0.145404512144552	0.00676974550900046	21.4785787665482	0	0.132136054762409	0.158672969526695	0.145404512144552	0.239482537443846
sbmyself	~~	sbmyself	1	1	0.191621959877113	0.00798276818237621	24.0044500227581	0	0.175976021742724	0.207267898011503	0.191621959877113	0.295833168401484
sbcommunity	~~	sbcommunity	1	1	0.128666423290834	0.00665916201458024	19.3217139047104	0	0.11561470557504	0.141718141006629	0.128666423290834	0.217092181320131
pganalyze	~~	pganalyze	1	1	0.249146987487534	0.00762778603047704	32.663080282019	0	0.234196801586022	0.264097173389047	0.249146987487534	0.506880530988963
pgthink	~~	pgthink	1	1	0.180957959079201	0.00632836349323634	28.5947479585531	0	0.16855459455138	0.193361323607023	0.180957959079201	0.422712310246874
pgwork	~~	pgwork	1	1	0.206701897699553	0.00673347614218154	30.6976505648663	0	0.193504526970117	0.219899268428988	0.206701897699553	0.460183242441352
