lhs	op	rhs	group	est.std	se	z	pvalue	ci.lower	ci.upper
Belong	=~	sbvalued	1	0.872076523337347	0.00686784407459659	126.979662593544	0	0.8586157962997	0.885537250374993
Belong	=~	sbmyself	1	0.839146489951853	0.00773142256377705	108.537139579382	0	0.82399318017759	0.854299799726117
Belong	=~	sbcommunity	1	0.884820783367948	0.00674240848028482	131.232153310677	0	0.871605905577532	0.898035661158364
Gains	=~	pganalyze	1	0.702224657079939	0.0114404257554507	61.3809898416908	0	0.679801834631451	0.724647479528426
Gains	=~	pgthink	1	0.759794504950599	0.01057973162459	71.8160471277589	0	0.739058612000303	0.780530397900895
Gains	=~	pgwork	1	0.734722231566902	0.0108899606413702	67.4678500467431	0	0.713378300916757	0.756066162217046
Gains	=~	pgvalues	1	0.676448038817478	0.012136581454278	55.7362912584448	0	0.652660776271656	0.700235301363299
Gains	=~	pgprobsolve	1	0.747634866254517	0.010886259699857	68.6769273255845	0	0.726298189316447	0.768971543192586
SupportEnv	=~	SEacademic	1	0.83812237435515	0.0073919008871308	113.383876103413	0	0.823634514839084	0.852610233871216
SupportEnv	=~	SEwellness	1	0.824167366435449	0.00768416421751119	107.255303648676	0	0.809106681317836	0.839228051553063
SupportEnv	=~	SEnonacad	1	0.768715051752091	0.00935235181737977	82.1948389840899	0	0.750384779019279	0.787045324484903
SupportEnv	=~	SEactivities	1	0.749076052183434	0.00962244316717144	77.8467629446783	0	0.730216410132494	0.767935694234374
SupportEnv	=~	SEdiverse	1	0.781421365027575	0.00875452207258972	89.2591689812736	0	0.764262817063438	0.798579912991712
Satisf	=~	sameinst	1	0.887679850069716	0.0139537962123516	63.6156524404421	0	0.860330912045895	0.915028788093536
Satisf	=~	evalexp	1	0.842593357182214	0.0139674362367312	60.3255560219695	0	0.815217685201861	0.869969029162566
DevAdj	=~	Belong	1	0.492334035222564	0.0201881807808801	24.3872412559751	0	0.452765927978656	0.531902142466473
DevAdj	=~	Gains	1	0.234624613181541	0.022110455948644	10.6114778332253	0	0.19128891584044	0.277960310522643
DevAdj	=~	SupportEnv	1	0.50156368628563	0.0205693284874281	24.3840573887565	0	0.461248543264097	0.541878829307163
DevAdj	=~	Satisf	1	0.535754503018213	0.0198440111525767	26.9982968110078	0	0.496860955850352	0.574648050186075
EmoDiss	=~	MHWdacad	1	0.916584466721613	0.00350983068972968	261.14777257025	0	0.909705324977909	0.923463608465316
EmoDiss	=~	MHWdlonely	1	0.934979596568688	0.00297144479143191	314.654877406667	0	0.929155671795432	0.940803521341944
EmoDiss	=~	MHWdmental	1	0.951361996084378	0.00233271940236442	407.833876256222	0	0.946789950069706	0.95593404209905
EmoDiss	=~	MHWdexhaust	1	0.942276453836752	0.00267947003430263	351.665232965366	0	0.937024789071864	0.947528118601639
EmoDiss	=~	MHWdsleep	1	0.919319208828038	0.00346033809804766	265.673232724491	0	0.912537070781533	0.926101346874543
EmoDiss	=~	MHWdfinancial	1	0.875375896451779	0.00491855846652264	177.974075617863	0	0.86573569900154	0.885016093902018
QualEngag	=~	QIadmin	1	0.887829491832399	0.00472574693398387	187.87072271006	0	0.87856719804174	0.897091785623058
QualEngag	=~	QIstudent	1	0.901729292265626	0.00426312818770873	211.518221494126	0	0.893373714556239	0.910084869975013
QualEngag	=~	QIadvisor	1	0.915905211047816	0.00370194408822235	247.411951455925	0	0.90864953396212	0.923160888133513
QualEngag	=~	QIfaculty	1	0.935565390559018	0.00308893670686927	302.876193118	0	0.92951118586303	0.941619595255005
QualEngag	=~	QIstaff	1	0.920949306755839	0.0036283676739218	253.819179730595	0	0.913837836792283	0.928060776719395
sbvalued	~~	sbvalued	1	0.239482537443846	0.011978571106245	19.9925796924972	0	0.216004969489354	0.262960105398339
sbmyself	~~	sbmyself	1	0.295833168401484	0.0129755923942517	22.7992032589234	0	0.270401474630679	0.321264862172289
sbcommunity	~~	sbcommunity	1	0.217092181320131	0.0119316463938237	18.1946542962006	0	0.193706584111969	0.240477778528293
pganalyze	~~	pganalyze	1	0.506880530988963	0.0160674980151097	31.546948411775	0	0.475388813557679	0.538372248420246
pgthink	~~	pgthink	1	0.422712310246874	0.0160768440488776	26.2932394543185	0	0.391202274926007	0.454222345567742
pgwork	~~	pgwork	1	0.460183242441352	0.0160021924888229	28.757511994858	0	0.428819521489582	0.491546963393122
pgvalues	~~	pgvalues	1	0.542418050779988	0.0164195337009518	33.0349241737935	0	0.510236356083181	0.574599745476795
pgprobsolve	~~	pgprobsolve	1	0.441042106760591	0.0162778945852026	27.0945425068375	0	0.409138019629455	0.472946193891728
SEacademic	~~	SEacademic	1	0.297550885605286	0.0123906350879288	24.014175503818	0	0.273265687087368	0.321836084123205
SEwellness	~~	SEwellness	1	0.320748152102856	0.0126660746815756	25.3234060406594	0	0.295923101901473	0.345573202304239
SEnonacad	~~	SEnonacad	1	0.40907716920978	0.014378587188041	28.4504425824269	0	0.380895656172651	0.43725868224691
SEactivities	~~	SEactivities	1	0.438885068045281	0.0144158833904843	30.4445489851133	0	0.410630455794603	0.46713968029596
SEdiverse	~~	SEdiverse	1	0.389380650278441	0.0136819408616993	28.4594601171284	0	0.362564538950903	0.416196761605979
sameinst	~~	sameinst	1	0.212024483780207	0.0247730074628006	8.55868969880164	0	0.163470281364376	0.260578686196038
evalexp	~~	evalexp	1	0.290036434432407	0.0235377378377506	12.3221881572339	0	0.24390331599287	0.336169552871943
MHWdacad	~~	MHWdacad	1	0.159872915364657	0.00643411309665923	24.8477005242055	0	0.147262285422747	0.172483545306566
MHWdlonely	~~	MHWdlonely	1	0.125813154000254	0.00555648028888199	22.6425988142159	0	0.114922652753238	0.136703655247269
MHWdmental	~~	MHWdmental	1	0.0949103524063478	0.00443852104628746	21.3833282340149	0	0.0862110110110014	0.103609693801694
