lhs	op	rhs	block	group	label	est	se	z	pvalue	ci.lower	ci.upper	std.lv	std.all
Belong	=~	sbvalued	1	1		1	0	NA	NA	1	1	0.673785846206894	0.869586552035291
Belong	=~	sbmyself	1	1	.p2.	0.999971725428443	0.0136087689146977	73.479954850909	0	0.973299028481708	1.02664442237518	0.673766795200772	0.838775121107284
Belong	=~	sbcommunity	1	1	.p3.	1.00866345472158	0.0131984142533483	76.4230789669063	0	0.982795038131975	1.03453187131118	0.679623159377548	0.884871709955206
Gains	=~	pganalyze	1	1		1	0	NA	NA	1	1	0.496755610995389	0.705710889493437
Gains	=~	pgthink	1	1	.p5.	1.00374058907573	0.0218117815177128	46.0182763274344	0	0.96099028286236	1.04649089528911	0.498613769607187	0.760400533511757
Gains	=~	pgwork	1	1	.p6.	1.00363650820341	0.0218527537020578	45.9272328735805	0	0.960805897984351	1.04646711842247	0.498562066849862	0.739543813200057
Gains	=~	pgvalues	1	1	.p7.	0.994397702443242	0.022951324954588	43.3263745954004	0	0.949413932134774	1.03938147275171	0.493972638249603	0.679829722959302
Gains	=~	pgprobsolve	1	1	.p8.	1.00783932912867	0.0221529156736557	45.4946583093438	0	0.964420412255753	1.05125824600159	0.500649841726496	0.746309441366157
SupportEnv	=~	SEacademic	1	1		1	0	NA	NA	1	1	0.616696195905521	0.832672743116035
SupportEnv	=~	SEwellness	1	1	.p10.	0.989631000724557	0.0146296863691238	67.6454009850266	0	0.960957342335958	1.01830465911316	0.610301673497008	0.820865107122399
SupportEnv	=~	SEnonacad	1	1	.p11.	0.980532408613459	0.0161565601226322	60.6894290103203	0	0.948866132659044	1.01219868456787	0.604690606353998	0.768720332693468
SupportEnv	=~	SEactivities	1	1	.p12.	0.971131974409832	0.0160763908576017	60.4073378789888	0	0.939622827327544	1.00264112149212	0.598893394340761	0.749505231231892
SupportEnv	=~	SEdiverse	1	1	.p13.	0.98371401777527	0.0151847624510912	64.7829704905642	0	0.953952430257335	1.01347560529321	0.606652692620945	0.792519562091155
Satisf	=~	sameinst	1	1		1	0	NA	NA	1	1	0.582741634261449	0.875009042512233
Satisf	=~	evalexp	1	1	.p15.	1.00329994340944	0.024782170757523	40.4847482178242	0	0.954727781265977	1.05187210555291	0.584664648676839	0.855047538751581
DevAdj	=~	Belong	1	1		1	0	NA	NA	1	1	0.481155951786752	0.481155951786752
DevAdj	=~	Gains	1	1	.p17.	0.401070757121132	0.0306841731304992	13.0709325428254	0	0.340930882889962	0.461210631352302	0.26174956140514	0.26174956140514
DevAdj	=~	SupportEnv	1	1	.p18.	0.952199147320084	0.042287741149377	22.5171437735711	0	0.869316697679752	1.03508159696042	0.500569362343887	0.500569362343887
DevAdj	=~	Satisf	1	1		0.962349937255481	0.0532737672003417	18.0642366370762	0	0.85793527222204	1.06676460228892	0.535383177393062	0.535383177393062
EmoDiss	=~	MHWdacad	1	1		1	0	NA	NA	1	1	1.06449911695892	0.916399826784579
EmoDiss	=~	MHWdlonely	1	1	.p21.	1.01739684647827	0.00925639558864225	109.912852874032	0	0.999254644497878	1.03553904845867	1.08301804467291	0.934261213430846
