lhs	op	rhs	group	label	est.std	se	z	pvalue	ci.lower	ci.upper
Belong	=~	sbvalued	1		0.859407875374665	0.00938995512819349	91.5241727614097	0	0.841003901506959	0.877811849242372
Belong	=~	sbmyself	1	.p2.	0.81766061595053	0.0103175283480561	79.2496602255115	0	0.797438631978869	0.837882599922191
Belong	=~	sbcommunity	1	.p3.	0.893580814400865	0.00814349501601307	109.729399065605	0	0.877619857461198	0.909541771340532
Gains	=~	pganalyze	1		0.71526493862323	0.012826729338158	55.7636260785047	0	0.690125011080997	0.740404866165463
Gains	=~	pgthink	1	.p5.	0.78080517178141	0.0117098390024478	66.6794113581057	0	0.75785430907185	0.80375603449097
Gains	=~	pgwork	1	.p6.	0.719814208854943	0.012652944281878	56.8890680950748	0	0.69501489376407	0.744613523945816
Gains	=~	pgvalues	1	.p7.	0.678230319853354	0.0137708690426025	49.2510906722833	0	0.651239912494036	0.705220727212673
Gains	=~	pgprobsolve	1	.p8.	0.766182881160539	0.0119897947884334	63.9029186637686	0	0.742683315193183	0.789682447127894
SupportEnv	=~	SEacademic	1		0.83024538100799	0.00990298134904283	83.8379223129847	0	0.810835894224294	0.849654867791685
SupportEnv	=~	SEwellness	1	.p10.	0.819529611646903	0.00977641349120685	83.827224818591	0	0.800368193306166	0.83869102998764
SupportEnv	=~	SEnonacad	1	.p11.	0.765459971619937	0.011494674834942	66.5925728749681	0	0.742930822929452	0.787989120310422
SupportEnv	=~	SEactivities	1	.p12.	0.756050074910666	0.0115249456954818	65.601183284279	0	0.733461596423742	0.778638553397591
SupportEnv	=~	SEdiverse	1	.p13.	0.7859774615026	0.0102942980555115	76.3507581832446	0	0.765801008067677	0.806153914937523
Satisf	=~	sameinst	1		0.848747286851512	0.0155014450884704	54.7527847892574	0	0.818365012769785	0.87912956093324
Satisf	=~	evalexp	1	.p15.	0.860372704298726	0.0164339143695645	52.3534859042549	0	0.828162824009365	0.892582584588088
DevAdj	=~	Belong	1		0.506049547245087	0.0256701739844487	19.7135222983552	0	0.455736930758691	0.556362163731484
DevAdj	=~	Gains	1	.p17.	0.330714377610701	0.026963898266126	12.2650803065137	0	0.277866108126292	0.38356264709511
DevAdj	=~	SupportEnv	1	.p18.	0.445404889308183	0.025827134339796	17.2456178625236	0	0.394784636178305	0.496025142438061
DevAdj	=~	Satisf	1		0.549661205272286	0.0298486480392078	18.4149447757324	0	0.491158930128227	0.608163480416345
EmoDiss	=~	MHWdacad	1		0.897441510072542	0.00619427894751095	144.882320876615	0	0.885300946425226	0.909582073719858
EmoDiss	=~	MHWdlonely	1	.p21.	0.922147923357155	0.00488601317581265	188.732181059619	0	0.912571513504574	0.931724333209736
EmoDiss	=~	MHWdmental	1	.p22.	0.944853118928927	0.00388500655015977	243.205025970952	0	0.937238646010911	0.952467591846942
EmoDiss	=~	MHWdexhaust	1	.p23.	0.93570949211039	0.00428741554077875	218.245580166095	0	0.927306312063706	0.944112672157073
EmoDiss	=~	MHWdsleep	1	.p24.	0.915184923081454	0.00511798667928661	178.817371054397	0	0.905153853516696	0.925215992646211
EmoDiss	=~	MHWdfinancial	1	.p25.	0.854753812992309	0.007674856636497	111.370655306786	0	0.839711370398267	0.869796255586352
QualEngag	=~	QIadmin	1		0.881346963577205	0.00658827281483794	133.775116536197	0	0.868434186139798	0.894259741014612
QualEngag	=~	QIstudent	1	.p27.	0.898342233669442	0.00571995828515169	157.053983418276	0	0.887131321437473	0.909553145901411
QualEngag	=~	QIadvisor	1	.p28.	0.907962087634823	0.005218320646477	173.995074114085	0	0.897734367107947	0.9181898081617
QualEngag	=~	QIfaculty	1	.p29.	0.925037395747486	0.00481022862356633	192.306326401105	0	0.915609520887892	0.93446527060708
QualEngag	=~	QIstaff	1	.p30.	0.910477650547948	0.00564576568931624	161.267346300058	0	0.899412153131736	0.92154314796416
sbvalued	~~	sbvalued	1		0.261418103744003	0.0161396026573952	16.1973072877491	0	0.229785063810722	0.293051143677285
sbmyself	~~	sbmyself	1		0.3314311171234	0.0168724729217649	19.6433041356887	0	0.298361677866614	0.364500556380187
sbcommunity	~~	sbcommunity	1		0.201513328134688	0.0145537417692963	13.8461525104022	0	0.172988518426571	0.230038137842805
pganalyze	~~	pganalyze	1		0.488396067576307	0.0183490195602337	26.6170116595639	0	0.452432650086628	0.524359485065986
pgthink	~~	pgthink	1		0.390343283719403	0.0182862056050182	21.3463247734829	0	0.354502979319672	0.426183588119133
pgwork	~~	pgwork	1		0.481867504730532	0.0182155379920294	26.4536520931407	0	0.446165706307133	0.517569303153931
pgvalues	~~	pgvalues	1		0.540003633231617	0.0186796420457785	28.9086713711226	0	0.503392207577791	0.576615058885443
pgprobsolve	~~	pgprobsolve	1		0.412963792616536	0.0183727510361477	22.4769710210542	0	0.376953862288765	0.448973722944306
SEacademic	~~	SEacademic	1		0.310692607314898	0.0164438089944716	18.8941994777094	0	0.278463333917078	0.342921880712718
SEwellness	~~	SEwellness	1		0.328371215633876	0.016024120581349	20.4923080781156	0	0.296964516410505	0.359777914857247
SEnonacad	~~	SEnonacad	1		0.414071031847605	0.0175974267333589	23.5302034849597	0	0.379580709229639	0.448561354465571
SEactivities	~~	SEactivities	1		0.428388284227576	0.0174268718793813	24.5820527741658	0	0.394232242980795	0.462544325474357
SEdiverse	~~	SEdiverse	1		0.382239430009929	0.0161821724350726	23.6210206969169	0	0.35052295484557	0.413955905174288
sameinst	~~	sameinst	1		0.279628043062197	0.0263136187056257	10.6267422276821	0	0.228054298096251	0.331201788028143
evalexp	~~	evalexp	1		0.259758809697696	0.0282785823142129	9.18570835027825	0	0.204333806827988	0.315183812567405
MHWdacad	~~	MHWdacad	1		0.194598735998715	0.0111180057247728	17.5030253460939	0	0.17280784519825	0.21638962679918
MHWdlonely	~~	MHWdlonely	1		0.149643207448086	0.0090112536454647	16.6062585002698	0	0.13198147484742	0.167304940048752
MHWdmental	~~	MHWdmental	1		0.10725258365028	0.00734152105182229	14.6090412181898	0	0.0928634667969655	0.121641700503594
MHWdexhaust	~~	MHWdexhaust	1		0.124447746374517	0.00802355069040617	15.5103084876525	0	0.108721875993189	0.140173616755844
MHWdsleep	~~	MHWdsleep	1		0.162436556564393	0.00936780839712198	17.339867520593	0	0.144075989491963	0.180797123636824
MHWdfinancial	~~	MHWdfinancial	1		0.269395919175108	0.0131202260803725	20.5328717298643	0	0.243680748588555	0.295111089761662
QIadmin	~~	QIadmin	1		0.223227529793241	0.0116131084316925	19.2220309580548	0	0.200466255518565	0.245988804067917
QIstudent	~~	QIstudent	1		0.192981231205798	0.0102769600418827	18.7780462723725	0	0.17283875965315	0.213123702758445
QIadvisor	~~	QIadvisor	1		0.175604847417813	0.0094760744443563	18.5313917117229	0	0.157032082792054	0.194177612043572
QIfaculty	~~	QIfaculty	1		0.144305816468709	0.00889928291695612	16.2154431784339	0	0.126863542463243	0.161748090474176
QIstaff	~~	QIstaff	1		0.171030447852689	0.0102806865097516	16.6360921219085	0	0.150880672557229	0.191180223148149
Belong	~~	Belong	1		0.743913855733042	0.0259807602439239	28.6332597179107	0	0.692992501363981	0.794835210102103
Gains	~~	Gains	1		0.890628000441567	0.0178346975191077	49.9379369617772	0	0.85567263562895	0.925583365254184
SupportEnv	~~	SupportEnv	1		0.801614484580365	0.0230070645143586	34.8421018283354	0	0.756521466742233	0.846707502418498
Satisf	~~	Satisf	1		0.697872559418618	0.0328132884538431	21.2679859990346	0	0.633559695834761	0.762185423002475
DevAdj	~~	DevAdj	1		1	0	NA	NA	1	1
EmoDiss	~~	EmoDiss	1		1	0	NA	NA	1	1
QualEngag	~~	QualEngag	1		1	0	NA	NA	1	1
DevAdj	~~	EmoDiss	1		-0.714598207715823	0.0321502300060939	-22.2268458913163	0	-0.777611500622446	-0.6515849148092
DevAdj	~~	QualEngag	1		0.595753393662042	0.0338285400914141	17.6109696738952	0	0.529450673433301	0.662056113890783
EmoDiss	~~	QualEngag	1		-0.182256048492546	0.0292397260954608	-6.23316538251838	4.57103244144719e-10	-0.239564858557465	-0.124947238427627
sbvalued	~1		1		3.22107993105969	0.0594650993844865	54.167569959532	0	3.104530477929	3.33762938419038
sbmyself	~1		1		3.10297148473318	0.0565721771690819	54.8497802278155	0	2.99209205495476	3.2138509145116
sbcommunity	~1		1		3.27573371874489	0.062911330450868	52.0690580737781	0	3.15242977684169	3.39903766064809
pganalyze	~1		1		3.83376875198128	0.0721342470415731	53.1476921048579	0	3.69238822572788	3.97514927823468
pgthink	~1		1		4.10308255244874	0.0781629406485823	52.4939634870705	0	3.94988600385177	4.2562791010457
pgwork	~1		1		3.99635496520775	0.0722053836275828	55.3470498241509	0	3.85483501380779	4.13787491660771
pgvalues	~1		1		3.70259298654746	0.0682792444033212	54.2272109028693	0	3.56876812662534	3.83641784646957
pgprobsolve	~1		1		3.9709820576372	0.0758655849413489	52.3423375791163	0	3.8222882434861	4.11967587178831
SEacademic	~1		1		3.33780312378531	0.061397056229606	54.3642208398877	0	3.2174671048185	3.45813914275211
SEwellness	~1		1		3.34481078028742	0.0627667330444994	53.28954715416	0	3.22179024409296	3.46783131648188
SEnonacad	~1		1		3.11485104016354	0.0547058722441524	56.9381478145885	0	3.00762950082216	3.22207257950493
SEactivities	~1		1		2.99759956005363	0.0536631068241532	55.8595977284051	0	2.89242180337976	3.10277731672749
SEdiverse	~1		1		3.1622309916463	0.0570045330789975	55.4733250295032	0	3.05050415985594	3.27395782343665
sameinst	~1		1		4.00010581556802	0.0793486222462305	50.4117866489868	0	3.84458537374254	4.15562625739351
