lhs	op	rhs	block	group	label	est	se	z	pvalue	ci.lower	ci.upper	std.lv	std.all
Belong	=~	sbvalued	1	1		1	0	NA	NA	1	1	0.534287452911197	0.711854029170443
Belong	=~	sbmyself	1	1	.p2.	0.964012768449219	0.0312507151756684	30.8477026215322	0	0.90276249221379	1.02526304468465	0.515059926628605	0.71223369709854
Belong	=~	sbcommunity	1	1	.p3.	1.1176076822819	0.0367955946735011	30.3734099747207	0	1.0454896419321	1.18972572263169	0.597123761920381	0.742475653420717
Gains	=~	pganalyze	1	1		1	0	NA	NA	1	1	0.417099160693985	0.669833669514014
Gains	=~	pgthink	1	1	.p5.	0.675990835882878	0.0364842288031312	18.5283027230895	0	0.604483061425022	0.747498610340734	0.281955210283573	0.489933270637558
Gains	=~	pgwork	1	1	.p6.	0.774887340676533	0.0386131300151361	20.0679753330741	0	0.699206996516504	0.850567684836562	0.323204859428576	0.5442019483154
Gains	=~	pgvalues	1	1	.p7.	0.765760146869745	0.0410583490542259	18.6505342886146	0	0.685287261458788	0.846233032280702	0.319397914552273	0.547520795565143
Gains	=~	pgprobsolve	1	1	.p8.	0.907945726755042	0.0425164536261582	21.3551613391487	0	0.824615008897404	0.991276444612679	0.378703400585218	0.605327785553961
SupportEnv	=~	SEacademic	1	1		1	0	NA	NA	1	1	0.295810628851419	0.556555630709678
SupportEnv	=~	SEwellness	1	1	.p10.	1.25897262638759	0.0558061590199844	22.5597433777292	0	1.14959456459291	1.36835068818228	0.372417484318437	0.609635269687849
SupportEnv	=~	SEnonacad	1	1	.p11.	1.28314078875886	0.056378794815289	22.7592802038914	0	1.17264038142912	1.3936411960886	0.379566683627665	0.625252327887343
SupportEnv	=~	SEactivities	1	1	.p12.	1.43917199487778	0.060780066003363	23.6783552488764	0	1.32004525453322	1.55829873522234	0.425722372830148	0.698252940929382
SupportEnv	=~	SEdiverse	1	1	.p13.	1.1112342387595	0.0523212152283724	21.2386932128615	0	1.00868654128452	1.21378193623447	0.328714898968674	0.574267391980387
Satisf	=~	sameinst	1	1		1	0	NA	NA	1	1	0.474767810519798	0.730648070798264
Satisf	=~	evalexp	1	1	.p15.	1.11222925340512	0.0700895474897128	15.8686893158836	0	0.974856264632572	1.24960224217767	0.528050647435218	0.731443944232926
DevAdj	=~	Belong	1	1		1	0	NA	NA	1	1	0.515820081405077	0.515820081405077
DevAdj	=~	Gains	1	1	.p17.	0.879088657492468	0.0771298478642868	11.397515771576	0	0.727916933545413	1.03026038143952	0.580853461385737	0.580853461385737
DevAdj	=~	SupportEnv	1	1	.p18.	0.447597841134273	0.0426489325411303	10.4949365544522	0	0.364007469374579	0.531188212893967	0.417010921765588	0.417010921765588
DevAdj	=~	Satisf	1	1	.p19.	1.00842502380141	0.0901582934624504	11.185050038923	0	0.831718015707412	1.1851320318954	0.585376884909736	0.585376884909736
EmoDiss	=~	MHWdacad	1	1		1	0	NA	NA	1	1	0.818707876100748	0.560836692281563
EmoDiss	=~	MHWdlonely	1	1	.p21.	0.882251602271688	0.041519901807464	21.248884603891	0	0.800874090087419	0.963629114455957	0.722306335482335	0.501812457272468
EmoDiss	=~	MHWdmental	1	1	.p22.	1.16759388161336	0.0467388849427655	24.9812096082983	0	1.07598735044798	1.25920041277875	0.955918306963905	0.618670709486168
EmoDiss	=~	MHWdexhaust	1	1	.p23.	1.03475237679969	0.0451131216757259	22.93683829369	0	0.946332283085092	1.12317247051428	0.847159920699874	0.589948915477023
EmoDiss	=~	MHWdsleep	1	1	.p24.	1.06253202997625	0.0447843366664374	23.7255279204022	0	0.974756343038518	1.15030771691399	0.869903341550873	0.618122759834872
