lhs	op	rhs	group	label	est.std	se	z	pvalue	ci.lower	ci.upper
Belong	=~	sbvalued	1		0.85818887912771	0.0094137103067647	91.1637230339471	0	0.839738345965558	0.876639412289863
Belong	=~	sbmyself	1	.p2.	0.816202137007121	0.0103832971632164	78.6072212108669	0	0.79585124852644	0.836553025487802
Belong	=~	sbcommunity	1	.p3.	0.892618333475127	0.00820669680400062	108.767066067311	0	0.876533503307246	0.908703163643009
Gains	=~	pganalyze	1		0.714326908114774	0.0128379694316669	55.6417361730721	0	0.68916495039408	0.739488865835467
Gains	=~	pgthink	1	.p5.	0.779958269178183	0.0117299041255909	66.4931495455761	0	0.756968079549917	0.802948458806449
Gains	=~	pgwork	1	.p6.	0.718905521198775	0.0126458088751997	56.8493109688424	0	0.694120191248007	0.743690851149544
Gains	=~	pgvalues	1	.p7.	0.677296185975495	0.0137666654838633	49.198274394725	0	0.650314017439913	0.704278354511078
Gains	=~	pgprobsolve	1	.p8.	0.765360945585295	0.0119958846181995	63.8019595840505	0	0.741849443770926	0.788872447399664
SupportEnv	=~	SEacademic	1		0.82905875245859	0.00991272104990859	83.6358400770528	0	0.809630176211977	0.848487328705202
SupportEnv	=~	SEwellness	1	.p10.	0.818342640379925	0.00979218669138654	83.5709802285286	0	0.799150307134915	0.837534973624935
SupportEnv	=~	SEnonacad	1	.p11.	0.76405530955851	0.0115101485585983	66.3810119972555	0	0.741495832926952	0.786614786190069
SupportEnv	=~	SEactivities	1	.p12.	0.754606319703033	0.0115028747111154	65.6015421061522	0	0.73206109955057	0.777151539855496
SupportEnv	=~	SEdiverse	1	.p13.	0.784615124862939	0.0102921433474674	76.2343759092714	0	0.76444289457818	0.804787355147699
Satisf	=~	sameinst	1		0.849973545905301	0.015290483987264	55.5884003811309	0	0.820004747984078	0.879942343826525
Satisf	=~	evalexp	1	.p15.	0.86463820649594	0.015911013979526	54.3421184601144	0	0.833453192138556	0.895823220853325
DevAdj	=~	Belong	1		0.493919418840025	0.0250935863184875	19.6830940213649	0	0.444736893412843	0.543101944267208
DevAdj	=~	Gains	1	.p17.	0.322361825615514	0.0264083747706857	12.2068028954719	0	0.270602362174734	0.374121289056294
DevAdj	=~	SupportEnv	1	.p18.	0.434323434617403	0.0250987000420918	17.3046187208509	0	0.385130886476129	0.483515982758677
DevAdj	=~	Satisf	1	.p19.	0.571662223267155	0.0259395821909179	22.038220163288	0	0.520821576398939	0.62250287013537
EmoDiss	=~	MHWdacad	1		0.897434360325712	0.006193894447208	144.890160459587	0	0.885294550285142	0.909574170366283
EmoDiss	=~	MHWdlonely	1	.p21.	0.922147266465547	0.00488571333718854	188.743629194625	0	0.91257144428587	0.931723088645224
EmoDiss	=~	MHWdmental	1	.p22.	0.944861003783508	0.00388401996795515	243.268832698859	0	0.937248464531081	0.952473543035934
EmoDiss	=~	MHWdexhaust	1	.p23.	0.935702020834365	0.00428727384457904	218.251050610517	0	0.92729911850713	0.944104923161601
EmoDiss	=~	MHWdsleep	1	.p24.	0.915185578515776	0.00511749277761463	178.834757230935	0	0.905155476980508	0.925215680051045
EmoDiss	=~	MHWdfinancial	1	.p25.	0.854763260957975	0.00767511238170062	111.368175272058	0	0.839720317112544	0.869806204803406
QualEngag	=~	QIadmin	1		0.881342548499547	0.00658792271880791	133.781555448942	0	0.86843045723775	0.894254639761344
QualEngag	=~	QIstudent	1	.p27.	0.898352839324084	0.00571958777272622	157.066011576545	0	0.887142653283125	0.909563025365043
QualEngag	=~	QIadvisor	1	.p28.	0.907954875825548	0.00521865970640618	173.98238760634	0	0.897726490753421	0.918183260897674
QualEngag	=~	QIfaculty	1	.p29.	0.925007715370939	0.00481188444394672	192.233983618328	0	0.915576595163035	0.934438835578843
QualEngag	=~	QIstaff	1	.p30.	0.91051444741448	0.0056438393515012	161.328909401415	0	0.899452725551008	0.921576169277952
sbvalued	~~	sbvalued	1		0.263511847741524	0.0161574828251177	16.3089666004089	0	0.231843763323469	0.295179932159579
sbmyself	~~	sbmyself	1		0.33381407154501	0.0169497386249315	19.6943492127955	0	0.300593194292776	0.367034948797243
sbcommunity	~~	sbcommunity	1		0.203232510744086	0.0146508959568419	13.8716779740135	0	0.174517282327433	0.23194773916074
pganalyze	~~	pganalyze	1		0.489737068343188	0.0183410142370544	26.7017440809664	0	0.453789340998625	0.525684795687751
pgthink	~~	pgthink	1		0.391665098340573	0.0182976712914868	21.4051882395986	0	0.355802321608306	0.427527875072839
pgwork	~~	pgwork	1		0.483174851589917	0.0181822837087705	26.5739364388451	0	0.447538230364038	0.518811472815797
pgvalues	~~	pgvalues	1		0.541269876463047	0.0186482198429949	29.0252839692026	0	0.504720037194992	0.577819715731102
pgprobsolve	~~	pgprobsolve	1		0.414222622972783	0.0183623632618425	22.5582413911585	0	0.37823305230853	0.450212193637036
SEacademic	~~	SEacademic	1		0.312661584971808	0.0164364564679508	19.0224447454025	0	0.280446722261164	0.344876447682452
SEwellness	~~	SEwellness	1		0.330315322936012	0.0160267277127064	20.6102785832026	0	0.298903513829078	0.361727132042947
SEnonacad	~~	SEnonacad	1		0.416219483935449	0.0175887801460351	23.6639198670792	0	0.381746108317227	0.450692859553671
SEactivities	~~	SEactivities	1		0.430569302264244	0.0173602837139895	24.8019738247294	0	0.396543771423427	0.464594833105061
SEdiverse	~~	SEdiverse	1		0.384379105836314	0.0161507423203633	23.7994699074407	0	0.352724232564815	0.416033979107813
sameinst	~~	sameinst	1		0.277544971261168	0.0259930138792327	10.6776756458748	0	0.226599600208222	0.328490342314114
evalexp	~~	evalexp	1		0.252400771867483	0.0275145404746694	9.17335952238962	0	0.198473263485962	0.306328280249005
MHWdacad	~~	MHWdacad	1		0.19461156890678	0.0111172270315335	17.5054056514967	0	0.172822204317019	0.21640093349654
MHWdlonely	~~	MHWdlonely	1		0.149644418950119	0.00901069406033911	16.6074242392475	0	0.131983783116146	0.167305054784093
MHWdmental	~~	MHWdmental	1		0.107237683529222	0.00733971832972428	14.6105993052803	0	0.0928520999462942	0.12162326711215
MHWdexhaust	~~	MHWdexhaust	1		0.124461728206485	0.00802322130819229	15.5126879124474	0	0.108736503402434	0.140186953010536
MHWdsleep	~~	MHWdsleep	1		0.162435356876744	0.00936691163020649	17.3413995230745	0	0.14407654743517	0.180794166318318
MHWdfinancial	~~	MHWdfinancial	1		0.269379767716489	0.0131208082964873	20.5307296341345	0	0.243663456007319	0.295096079425658
QIadmin	~~	QIadmin	1		0.223235312204324	0.0116124333735669	19.2238185592066	0	0.200475361019262	0.245995263389386
QIstudent	~~	QIstudent	1		0.192962176078356	0.0102764160751432	18.7771860021411	0	0.172820770680927	0.213103581475785
QIadvisor	~~	QIadvisor	1		0.175617943464614	0.00947661484630581	18.5317168960469	0	0.157044119670497	0.194191767258731
QIfaculty	~~	QIfaculty	1		0.144360726504236	0.00890206056021891	16.2165518340044	0	0.126913008418013	0.16180844459046
QIstaff	~~	QIstaff	1		0.170963441049504	0.0102775940254636	16.6345781537904	0	0.150819726911871	0.191107155187137
Belong	~~	Belong	1		0.756043607692731	0.024788419702351	30.4998711806152	0	0.70745919784246	0.804628017543003
Gains	~~	Gains	1		0.896082853385833	0.017026103909826	52.6299415375171	0	0.862712302925537	0.929453403846128
SupportEnv	~~	SupportEnv	1		0.811363154142143	0.0218019072660944	37.2152373753074	0	0.768632201106315	0.85409410717797
Satisf	~~	Satisf	1		0.673202302489254	0.0296573585815106	22.6993344885728	0	0.615074947792903	0.731329657185604
DevAdj	~~	DevAdj	1		1	0	NA	NA	1	1
EmoDiss	~~	EmoDiss	1		1	0	NA	NA	1	1
QualEngag	~~	QualEngag	1		1	0	NA	NA	1	1
DevAdj	~~	EmoDiss	1		-0.71282829020067	0.0322328073100212	-22.1149924468122	0	-0.776003431648931	-0.64965314875241
DevAdj	~~	QualEngag	1		0.595166702089473	0.0338439949250356	17.5855924635306	0	0.528833690943447	0.661499713235499
EmoDiss	~~	QualEngag	1		-0.182257774015033	0.0292397957019722	-6.23320955702642	4.56974236229257e-10	-0.239566720506208	-0.124948827523859
sbvalued	~1		1		3.23377201949587	0.0592756261169434	54.5548352895682	0	3.1175939271456	3.34995011184614
sbmyself	~1		1		3.11419593070816	0.0563880571095713	55.2279346077977	0	3.00367736961522	3.22471449180111
sbcommunity	~1		1		3.28976441574494	0.0624841217513062	52.649606388621	0	3.16729778750677	3.41223104398312
pganalyze	~1		1		3.83890126876608	0.0719946951475385	53.3220018627627	0	3.69779425919896	3.98000827833319
pgthink	~1		1		4.10959619866902	0.0780233717358115	52.6713484336999	0	3.95667320011445	4.26251919722359
pgwork	~1		1		4.0018123349298	0.0721525750033321	55.4631949690637	0	3.86039588653144	4.14322878332815
pgvalues	~1		1		3.70724028399611	0.0682689010914282	54.3035001988861	0	3.57343569659278	3.84104487139944
pgprobsolve	~1		1		3.97715432729349	0.0758083387246755	52.4632829870857	0	3.82857271366532	4.12573594092167
