lhs	op	rhs	block	group	label	est	se	z	pvalue	ci.lower	ci.upper	std.lv	std.all
Belong	=~	sbvalued	1	1		1	0	NA	NA	1	1	0.676024773088511	0.870646782081989
Belong	=~	sbmyself	1	1	.p2.	0.992028515350058	0.0126190301010371	78.6136895947754	0	0.967295670832199	1.01676135986792	0.670635851986856	0.836911539596827
Belong	=~	sbcommunity	1	1	.p3.	1.00767193706276	0.0122297713567076	82.3949939595628	0	0.983702025664451	1.03164184846106	0.681211192600511	0.88554435014388
Gains	=~	pganalyze	1	1		1	0	NA	NA	1	1	0.498483985629263	0.707126307437928
Gains	=~	pgthink	1	1	.p5.	1.00616724223333	0.0209956206519386	47.9227196429856	0	0.965016581922469	1.0473179025442	0.501558257118076	0.76289879993175
Gains	=~	pgwork	1	1	.p6.	0.994796650983954	0.0206058282358568	48.2774407122776	0	0.954409969770056	1.03518333219785	0.495890199473124	0.737086943564666
Gains	=~	pgvalues	1	1	.p7.	0.984811232595742	0.0217597278466247	45.2584351944688	0	0.942162949702964	1.02745951548852	0.490912628316792	0.677136536513743
Gains	=~	pgprobsolve	1	1	.p8.	1.00561618484245	0.0209788743234906	47.9347065689047	0	0.96449834673222	1.04673402295269	0.50128356383356	0.746838045525111
SupportEnv	=~	SEacademic	1	1		1	0	NA	NA	1	1	0.61706009874402	0.832800172684607
SupportEnv	=~	SEwellness	1	1	.p10.	0.993077233174169	0.013650067951009	72.7525486860865	0	0.966323591603667	1.01983087474467	0.61278833556289	0.822184280377817
SupportEnv	=~	SEnonacad	1	1	.p11.	0.978926028693455	0.0149876998564083	65.3152944128978	0	0.949550676763798	1.00830138062311	0.604056191928674	0.768229607329739
SupportEnv	=~	SEactivities	1	1	.p12.	0.973627310729173	0.0148535522890704	65.5484487334111	0	0.944514883200113	1.00273973825823	0.600786564498418	0.750679646023511
SupportEnv	=~	SEdiverse	1	1	.p13.	0.980701895178798	0.0140974294190403	69.5660085273587	0	0.953071441242884	1.00833234911471	0.605152008277476	0.791486689657105
Satisf	=~	sameinst	1	1		1	0	NA	NA	1	1	0.579179822471108	0.871536592945221
Satisf	=~	evalexp	1	1	.p15.	1.01162468124454	0.0203836945059638	49.6291131594698	0	0.971673374140986	1.0515759883481	0.585912603290605	0.857562298425966
DevAdj	=~	Belong	1	1		1	0	NA	NA	1	1	0.483017273361388	0.483017273361388
DevAdj	=~	Gains	1	1	.p17.	0.401190299484693	0.0305684587292023	13.1243221334359	0	0.341277221312557	0.461103377656828	0.262799470537382	0.262799470537382
DevAdj	=~	SupportEnv	1	1	.p18.	0.949767932441965	0.0418187879952565	22.7115126471311	0	0.867804614094146	1.03173125078978	0.502591698476674	0.502591698476674
DevAdj	=~	Satisf	1	1	.p19.	0.94287815770966	0.0408620637481995	23.0746582825544	0	0.862789984429209	1.02296633099011	0.531578521357526	0.531578521357526
EmoDiss	=~	MHWdacad	1	1		1	0	NA	NA	1	1	1.06701210182229	0.91682077182691
EmoDiss	=~	MHWdlonely	1	1	.p21.	1.00948859329579	0.00864723983131779	116.741135089108	0	0.992540314660723	1.02643687193085	1.07713654569816	0.933289690465885
EmoDiss	=~	MHWdmental	1	1	.p22.	1.01551120169922	0.00825903353896494	122.957631411495	0	0.999323793415744	1.0316986099827	1.08356274174917	0.95170431631073
EmoDiss	=~	MHWdexhaust	1	1	.p23.	1.02120766355122	0.00838730601846317	121.756337649207	0	1.00476884582772	1.03764648127473	1.08964093548282	0.942457415955162
EmoDiss	=~	MHWdsleep	1	1	.p24.	1.00375963979373	0.00872287668900236	115.072088667635	0	0.986663115641698	1.02085616394576	1.07102368298069	0.919823826615676
EmoDiss	=~	MHWdfinancial	1	1	.p25.	1.00522336865421	0.010200558554034	98.545914258458	0	0.985230641266113	1.02521609604231	1.07258549938861	0.875999353954659
QualEngag	=~	QIadmin	1	1		1	0	NA	NA	1	1	0.986765394622549	0.888739694647094
QualEngag	=~	QIstudent	1	1	.p27.	1.00786181423868	0.0097865687156597	102.984186135226	0	0.988680492023763	1.0270431364536	0.994523160852232	0.901162280716896
QualEngag	=~	QIadvisor	1	1	.p28.	1.01560764992519	0.00951657447835617	106.719876173408	0	0.996955506691414	1.03425979315896	1.0021664834601	0.919046913575493
QualEngag	=~	QIfaculty	1	1	.p29.	1.00733029152167	0.00900008238247088	111.924563433287	0	0.989690454194135	1.02497012884921	0.993998672628629	0.934121914787772
QualEngag	=~	QIstaff	1	1	.p30.	1.0012771765757	0.00943932978674279	106.075028545137	0	0.982776430155493	1.01977792299592	0.988025668270277	0.919521852644184
sbvalued	~~	sbvalued	1	1		0.145884869771593	0.00644922575658398	22.6205245835378	0	0.133244619560521	0.158525119982666	0.145884869771593	0.241974180850278
sbmyself	~~	sbmyself	1	1		0.192364929234338	0.00771842959736792	24.9228067455506	0	0.177237085206289	0.207492773262387	0.192364929234338	0.299579074889668
sbcommunity	~~	sbcommunity	1	1		0.127707647367228	0.0063088433022163	20.2426405680997	0	0.115342541710777	0.140072753023678	0.127707647367228	0.215811203928253
pganalyze	~~	pganalyze	1	1		0.248458837976942	0.00744870940894604	33.3559579701872	0	0.233859635804103	0.263058040149781	0.248458837976942	0.499972385329201
pgthink	~~	pgthink	1	1		0.180663342064317	0.0060885636810563	29.6725716487824	0	0.168729976531869	0.192596707596766	0.180663342064317	0.417985421062696
pgwork	~~	pgwork	1	1		0.20671277809453	0.00652674952921635	31.6716272271827	0	0.193920584081153	0.219504972107908	0.20671277809453	0.456702837626499
pgvalues	~~	pgvalues	1	1		0.284605464271087	0.00858443621407778	33.1536582221156	0	0.267780278463913	0.301430650078261	0.284605464271087	0.541486110918173
pgprobsolve	~~	pgprobsolve	1	1		0.199234775516485	0.00665754905319854	29.926144580304	0	0.186186219146907	0.212283331886063	0.199234775516485	0.442232933756231
SEacademic	~~	SEacademic	1	1		0.168238062119521	0.00601821451739288	27.9548131149706	0	0.156442578414195	0.180033545824847	0.168238062119521	0.306443872376489
SEwellness	~~	SEwellness	1	1		0.179988637355925	0.00628374290268892	28.6435393909743	0	0.167672727578546	0.192304547133305	0.179988637355925	0.324013009099611
SEnonacad	~~	SEnonacad	1	1		0.253378181083625	0.00804741269719298	31.4856700678476	0	0.237605542028397	0.269150820138854	0.253378181083625	0.409823270421995
SEactivities	~~	SEactivities	1	1		0.279573214570886	0.00847193486616101	32.9999249271344	0	0.262968527353841	0.29617790178793	0.279573214570886	0.436480069046016
SEdiverse	~~	SEdiverse	1	1		0.218368049635031	0.00694135042043362	31.4590153800922	0	0.204763252806909	0.231972846463153	0.218368049635031	0.373548820095637
sameinst	~~	sameinst	1	1		0.106177709678535	0.00798408588308929	13.2986682800375	0	0.090529188898205	0.121826230458864	0.106177709678535	0.240423967157437
evalexp	~~	evalexp	1	1		0.123510154758719	0.00839907163017978	14.7052150757852	0	0.107048276859995	0.139972032657444	0.123510154758719	0.264586904318374
MHWdacad	~~	MHWdacad	1	1		0.215956457564502	0.00711100506129816	30.3693297505652	0	0.202019143750476	0.229893771378529	0.215956457564502	0.159439672346709
MHWdlonely	~~	MHWdlonely	1	1		0.171790235940537	0.00636116333810875	27.0061035709252	0	0.159322584898067	0.184257886983007	0.171790235940537	0.128970353670092
MHWdmental	~~	MHWdmental	1	1		0.122187390510422	0.00475120118215876	25.7171577935382	0	0.112875207310087	0.131499573710757	0.122187390510422	0.0942588943155258
MHWdexhaust	~~	MHWdexhaust	1	1		0.149411565376943	0.00566866753849891	26.3574401501252	0	0.138301181161154	0.160521949592732	0.149411565376943	0.111774019111119
MHWdsleep	~~	MHWdsleep	1	1		0.208687069363348	0.00712439472321033	29.2919016240738	0	0.194723512294208	0.222650626432487	0.208687069363348	0.153924127990095
MHWdfinancial	~~	MHWdfinancial	1	1		0.348748945554219	0.0107006652885657	32.5913329825274	0	0.327776026978012	0.369721864130425	0.348748945554219	0.23262513187102
QIadmin	~~	QIadmin	1	1		0.259054428338296	0.00880007686565439	29.4377460893953	0	0.241806594620429	0.276302262056162	0.259054428338296	0.210141755158591
QIstudent	~~	QIstudent	1	1		0.22885778843256	0.00804275751134564	28.4551396843332	0	0.213094273373934	0.244621303491187	0.22885778843256	0.187906543813123
QIadvisor	~~	QIadvisor	1	1		0.184724027751495	0.00671794475232904	27.4971043320136	0	0.1715570979868	0.197890957516189	0.184724027751495	0.15535277064736
QIfaculty	~~	QIfaculty	1	1		0.144274407869109	0.00579642519232146	24.8902389114294	0	0.132913623253079	0.15563519248514	0.144274407869109	0.127416248313226
QIstaff	~~	QIstaff	1	1		0.178354214472873	0.00665211011061946	26.8116750184498	0	0.165316318234864	0.191392110710882	0.178354214472873	0.154479562509807
Belong	~~	Belong	1	1		0.350386580195975	0.0123614934522237	28.345003906704	0	0.326158498234489	0.374614662157462	0.76669431363453	0.76669431363453
Gains	~~	Gains	1	1		0.231324936123453	0.00942167094469711	24.5524320984327	0	0.212858800397659	0.249791071849246	0.930936438285272	0.930936438285272
SupportEnv	~~	SupportEnv	1	1		0.284582993232099	0.0109730426341642	25.9347386791389	0	0.263076224868314	0.306089761595883	0.747401584622332	0.747401584622332
Satisf	~~	Satisf	1	1		0.240659447214683	0.0102443135991819	23.492003137614	0	0.220580961513953	0.260737932915413	0.717424275631346	0.717424275631346
DevAdj	~~	DevAdj	1	1		0.106622913633398	0.00869086820028673	12.2683846051054	0	0.0895891249664513	0.123656702300344	1	1
EmoDiss	~~	EmoDiss	1	1		1.13851482543522	0.0324664489822816	35.0674268706304	0	1.07488175472404	1.2021478961464	1	1
QualEngag	~~	QualEngag	1	1		0.973705944024594	0.0286874721504226	33.9418523500075	0	0.91747953180227	1.02993235624692	1	1
DevAdj	~~	EmoDiss	1	1		-0.274872687388404	0.0137420491491163	-20.0023071090588	0	-0.301806608794451	-0.247938765982356	-0.788927274002158	-0.788927274002158
DevAdj	~~	QualEngag	1	1		0.180385563979974	0.0105769975956917	17.0545149838598	0	0.159655029627851	0.201116098332096	0.559838285263016	0.559838285263016
EmoDiss	~~	QualEngag	1	1		-0.267714973468411	0.0222358634310216	-12.0397831322762	0	-0.311296464958365	-0.224133481978458	-0.254266653118921	-0.254266653118921
sbvalued	~1		1	1	.p67.	2.61922751213046	0.0144572033958933	181.171104839992	0	2.59089191415734	2.64756311010359	2.61922751213046	3.37328171356589
sbmyself	~1		1	1	.p68.	2.59865699399198	0.0147280319368488	176.442922254282	0	2.5697905818326	2.62752340615136	2.59865699399198	3.2429611677971
sbcommunity	~1		1	1	.p69.	2.60708284755654	0.0144239534728312	180.74675937268	0	2.57881241823511	2.63535327687797	2.60708284755654	3.38909212163315
pganalyze	~1		1	1	.p70.	2.87798393409869	0.0121704955430704	236.472206403899	0	2.85413020116027	2.90183766703711	2.87798393409869	4.08257478846763
pgthink	~1		1	1	.p71.	2.88001964958826	0.0116912274920035	246.340228308628	0	2.85710526476887	2.90293403440765	2.88001964958826	4.38067463404055
pgwork	~1		1	1	.p72.	2.89043101655518	0.0118164250196701	244.611294172615	0	2.86727124909061	2.91359078401975	2.89043101655518	4.29631189694975
pgvalues	~1		1	1	.p73.	2.89021854802662	0.0124634631901105	231.895301004295	0	2.86579060905137	2.91464648700188	2.89021854802662	3.9866005975214
pgprobsolve	~1		1	1	.p74.	2.89015736550392	0.0119165780538867	242.532491495012	0	2.86680130169935	2.9135134293085	2.89015736550392	4.30590514798852
SEacademic	~1		1	1	.p75.	2.61269840791225	0.0137071399771044	190.608574237685	0	2.58583290722607	2.63956390859842	2.61269840791225	3.52616493873273
SEwellness	~1		1	1	.p76.	2.62022066778037	0.0137417773218812	190.675529547999	0	2.59328727914592	2.64715405641483	2.62022066778037	3.51557645461904
SEnonacad	~1		1	1	.p77.	2.60925746464428	0.0139846762085247	186.579755279121	0	2.58184800294012	2.63666692634844	2.60925746464428	3.31841451883098
SEactivities	~1		1	1	.p78.	2.60527783969184	0.0141410142286666	184.235571619074	0	2.57756196109879	2.6329937182849	2.60527783969184	3.25528093013458
SEdiverse	~1		1	1	.p79.	2.61451928302781	0.0135757352932821	192.587674004045	0	2.58791133078933	2.6411272352663	2.61451928302781	3.41956596700164
sameinst	~1		1	1	.p80.	2.83037804499757	0.0124694857655697	226.984343878295	0	2.80593830199132	2.85481778800382	2.83037804499757	4.25908835628885
evalexp	~1		1	1	.p81.	2.82928114222759	0.0127399327569565	222.079754752449	0	2.80431133285849	2.85425095159669	2.82928114222759	4.14103541312377
MHWdacad	~1		1	1	.p82.	4.0586351129857	0.0217234371660792	186.832087480299	0	4.01605795851977	4.10121226745164	4.0586351129857	3.48734655445463
MHWdlonely	~1		1	1	.p83.	4.05507470601958	0.0217568447799253	186.381561620605	0	4.0124320738337	4.09771733820546	4.05507470601958	3.51353728764633
MHWdmental	~1		1	1	.p84.	4.07167545513169	0.021553697046021	188.908447884274	0	4.0294309851878	4.11391992507558	4.07167545513169	3.57619448875653
MHWdexhaust	~1		1	1	.p85.	4.06599020642897	0.0218452260676404	186.127174598205	0	4.02317435010226	4.10880606275568	4.06599020642897	3.51677557116746
MHWdsleep	~1		1	1	.p86.	4.05542070368201	0.0217081886371881	186.815250754488	0	4.01287343578352	4.0979679715805	4.05542070368201	3.48290392591112
MHWdfinancial	~1		1	1	.p87.	4.0581912921152	0.0226027166047388	179.544404466159	0	4.01389078161714	4.10249180261325	4.0581912921152	3.31439587067299
QIadmin	~1		1	1	.p88.	4.70650646008657	0.020533787200641	229.207910557272	0	4.66626097670711	4.74675194346604	4.70650646008657	4.23896007803549
QIstudent	~1		1	1	.p89.	4.70938079989326	0.0206224870542012	228.361438051376	0	4.66896146799538	4.74980013179114	4.70938079989326	4.26728759012455
QIadvisor	~1		1	1	.p90.	4.7141743576693	0.0203176776372531	232.023287397065	0	4.67435244125079	4.75399627408781	4.7141743576693	4.32318129270702
QIfaculty	~1		1	1	.p91.	4.70945994670767	0.0202370035724087	232.715279703197	0	4.66979614855074	4.7491237448646	4.70945994670767	4.42577023911026
QIstaff	~1		1	1	.p92.	4.72184979879491	0.0202226434700969	233.493203090738	0	4.68221414592132	4.76148545166849	4.72184979879491	4.39446485484195
Belong	~1		1	1		0	0	NA	NA	0	0	0	0
Gains	~1		1	1		0	0	NA	NA	0	0	0	0
SupportEnv	~1		1	1		0	0	NA	NA	0	0	0	0
Satisf	~1		1	1		0	0	NA	NA	0	0	0	0
DevAdj	~1		1	1		0	0	NA	NA	0	0	0	0
EmoDiss	~1		1	1		0	0	NA	NA	0	0	0	0
QualEngag	~1		1	1		0	0	NA	NA	0	0	0	0
Belong	=~	sbvalued	2	2		1	0	NA	NA	1	1	0.701034259421206	0.864314259570931
Belong	=~	sbmyself	2	2	.p2.	0.992028515350058	0.0126190301010371	78.6136895947753	0	0.967295670832199	1.01676135986792	0.695445975583146	0.841206407083056
Belong	=~	sbcommunity	2	2	.p3.	1.00767193706276	0.0122297713567076	82.3949939595628	0	0.983702025664452	1.03164184846106	0.706412550138322	0.896361945257173
Gains	=~	pganalyze	2	2		1	0	NA	NA	1	1	0.527564544592204	0.745873649462417
Gains	=~	pgthink	2	2	.p5.	1.00616724223333	0.0209956206519387	47.9227196429856	0	0.96501658192247	1.0473179025442	0.530818162932423	0.774552015647353
Gains	=~	pgwork	2	2	.p6.	0.994796650983954	0.0206058282358568	48.2774407122777	0	0.954409969770056	1.03518333219785	0.524819442138199	0.738213978235539
Gains	=~	pgvalues	2	2	.p7.	0.984811232595743	0.0217597278466247	45.2584351944689	0	0.942162949702965	1.02745951548852	0.51955148943366	0.699543666284788
Gains	=~	pgprobsolve	2	2	.p8.	1.00561618484245	0.0209788743234906	47.9347065689047	0	0.96449834673222	1.04673402295269	0.530527444590959	0.784278903777621
SupportEnv	=~	SEacademic	2	2		1	0	NA	NA	1	1	0.68427267125365	0.846751701312449
SupportEnv	=~	SEwellness	2	2	.p10.	0.99307723317417	0.013650067951009	72.7525486860864	0	0.966323591603668	1.01983087474467	0.679535611105273	0.840227969037444
SupportEnv	=~	SEnonacad	2	2	.p11.	0.978926028693455	0.0149876998564083	65.3152944128978	0	0.949550676763799	1.00830138062311	0.669852328613798	0.811438025921549
SupportEnv	=~	SEactivities	2	2	.p12.	0.973627310729173	0.0148535522890704	65.5484487334111	0	0.944514883200113	1.00273973825823	0.66622656071816	0.780447671107765
SupportEnv	=~	SEdiverse	2	2	.p13.	0.980701895178797	0.0140974294190403	69.5660085273586	0	0.953071441242883	1.00833234911471	0.671067505517513	0.808334067565859
Satisf	=~	sameinst	2	2		1	0	NA	NA	1	1	0.59945048168191	0.881167092682696
Satisf	=~	evalexp	2	2	.p15.	1.01162468124454	0.0203836945059638	49.6291131594699	0	0.971673374140987	1.0515759883481	0.60641890245335	0.871564879034368
DevAdj	=~	Belong	2	2		1	0	NA	NA	1	1	0.580415127315257	0.580415127315257
DevAdj	=~	Gains	2	2	.p17.	0.401190299484692	0.0305684587292023	13.1243221334359	0	0.341277221312557	0.461103377656828	0.309423139334226	0.309423139334226
DevAdj	=~	SupportEnv	2	2	.p18.	0.949767932441965	0.0418187879952565	22.7115126471312	0	0.867804614094146	1.03173125078978	0.564763046293524	0.564763046293524
DevAdj	=~	Satisf	2	2	.p19.	0.94287815770966	0.0408620637481995	23.0746582825545	0	0.862789984429209	1.02296633099011	0.64000037279278	0.64000037279278
EmoDiss	=~	MHWdacad	2	2		1	0	NA	NA	1	1	0.953359185470509	0.885136691077591
EmoDiss	=~	MHWdlonely	2	2	.p21.	1.00948859329579	0.00864723983131779	116.741135089108	0	0.992540314660723	1.02643687193085	0.96240522304624	0.919034417020643
EmoDiss	=~	MHWdmental	2	2	.p22.	1.01551120169922	0.00825903353896494	122.957631411495	0	0.999323793415743	1.0316986099827	0.968146932088149	0.940515870657921
EmoDiss	=~	MHWdexhaust	2	2	.p23.	1.02120766355122	0.00838730601846317	121.756337649207	0	1.00476884582772	1.03764648127473	0.973577706319436	0.924960718146879
EmoDiss	=~	MHWdsleep	2	2	.p24.	1.00375963979373	0.00872287668900235	115.072088667635	0	0.9866631156417	1.02085616394576	0.95694347260192	0.925783575333753
EmoDiss	=~	MHWdfinancial	2	2	.p25.	1.00522336865421	0.010200558554034	98.545914258458	0	0.985230641266113	1.02521609604231	0.9583389319561	0.849933862426871
QualEngag	=~	QIadmin	2	2		1	0	NA	NA	1	1	1.04072666479326	0.898971081086793
QualEngag	=~	QIstudent	2	2	.p27.	1.00786181423868	0.0097865687156597	102.984186135226	0	0.988680492023763	1.0270431364536	1.04890866450511	0.913486035772
QualEngag	=~	QIadvisor	2	2	.p28.	1.01560764992518	0.00951657447835616	106.719876173408	0	0.996955506691414	1.03425979315896	1.05696996224516	0.932461604118486
QualEngag	=~	QIfaculty	2	2	.p29.	1.00733029152167	0.00900008238247087	111.924563433287	0	0.989690454194136	1.02497012884921	1.04835549464057	0.93355917600316
QualEngag	=~	QIstaff	2	2	.p30.	1.0012771765757	0.00943932978674279	106.075028545137	0	0.982776430155493	1.01977792299592	1.04205585651124	0.926227158984436
sbvalued	~~	sbvalued	2	2		0.166413463243855	0.0118048075034546	14.097092493474	0	0.143276465692655	0.189550460795054	0.166413463243855	0.252960860702353
sbmyself	~~	sbmyself	2	2		0.199828351518164	0.0128100447327158	15.5993484556551	0	0.174721125201694	0.224935577834634	0.199828351518164	0.292371780682415
sbcommunity	~~	sbcommunity	2	2		0.122064809093264	0.0103149309589473	11.833797974904	0	0.10184791591071	0.142281702275818	0.122064809093264	0.196535263094776
pganalyze	~~	pganalyze	2	2		0.221964326987095	0.011705451346836	18.9624748683521	0	0.199022063924511	0.244906590049679	0.221964326987095	0.443672499037615
pgthink	~~	pgthink	2	2		0.187899430175447	0.0114550733328007	16.4031625740371	0	0.165447899002892	0.210350961348001	0.187899430175447	0.400069175056622
pgwork	~~	pgwork	2	2		0.229987902901548	0.0129633611006526	17.7413790386483	0	0.204580182025681	0.255395623777414	0.229987902901548	0.455040122337659
pgvalues	~~	pgvalues	2	2		0.281670407195986	0.0151230448625884	18.6252444369047	0	0.252029783928729	0.311311030463242	0.281670407195986	0.510638658960836
pgprobsolve	~~	pgprobsolve	2	2		0.17612864881512	0.0100698303228886	17.4907265730964	0	0.156392144051829	0.195865153578411	0.17612864881512	0.384906601089373
SEacademic	~~	SEacademic	2	2		0.184820612182711	0.0103105794815604	17.9253370301103	0	0.164612247739115	0.205028976626307	0.184820612182711	0.283011556324474
SEwellness	~~	SEwellness	2	2		0.19231030503882	0.0109593495383706	17.5476021059013	0	0.170830374649628	0.213790235428012	0.19231030503882	0.294016960047212
SEnonacad	~~	SEnonacad	2	2		0.23276893929131	0.0127429950024634	18.2664231796616	0	0.207793128031308	0.257744750551312	0.23276893929131	0.34156833008854
SEactivities	~~	SEactivities	2	2		0.284854818300643	0.015162865295684	18.7863449780646	0	0.25513614841867	0.314573488182616	0.284854818300643	0.390901432662467
SEdiverse	~~	SEdiverse	2	2		0.238876949711322	0.0128389166190574	18.6056936733077	0	0.213713135537457	0.264040763885188	0.238876949711322	0.346596035212433
sameinst	~~	sameinst	2	2		0.103455642590516	0.0116092021356044	8.91152048022547	0	0.0807020245154856	0.126209260665546	0.103455642590516	0.223544554773126
evalexp	~~	evalexp	2	2		0.116368303584565	0.0126731142257074	9.18229738263638	0	0.0915294561302165	0.141207151038914	0.116368303584565	0.240374661633807
MHWdacad	~~	MHWdacad	2	2		0.251198240205564	0.0148561545693876	16.9086986159379	0	0.222080712300804	0.280315768110324	0.251198240205564	0.216533038108213
MHWdlonely	~~	MHWdlonely	2	2		0.170386664915259	0.0106906939160415	15.9378489603553	0	0.149433289870076	0.191340039960442	0.170386664915259	0.155375740331527
MHWdmental	~~	MHWdmental	2	2		0.122311867904461	0.00837442443809442	14.605405876979	0	0.105898297614544	0.138725438194378	0.122311867904461	0.115429897040573
MHWdexhaust	~~	MHWdexhaust	2	2		0.160031399489663	0.010241488879202	15.6257943915409	0	0.13995845013836	0.180104348840966	0.160031399489663	0.14444766988521
MHWdsleep	~~	MHWdsleep	2	2		0.152707769151806	0.0102888041339638	14.8421300632704	0	0.13254208360525	0.172873454698362	0.152707769151806	0.142924771642253
MHWdfinancial	~~	MHWdfinancial	2	2		0.352944895224008	0.0193237629808152	18.2648118575256	0	0.315071015735822	0.390818774712195	0.352944895224008	0.277612429500141
QIadmin	~~	QIadmin	2	2		0.257125990805451	0.0152887526761298	16.8179835368061	0	0.227160586191696	0.287091395419206	0.257125990805451	0.191850995369642
QIstudent	~~	QIstudent	2	2		0.218264462396412	0.0129001686214003	16.9195046051049	0	0.192980596503974	0.243548328288851	0.218264462396412	0.165543262449556
QIadvisor	~~	QIadvisor	2	2		0.167696882842306	0.0111231969274292	15.0763205880834	0	0.145895817471598	0.189497948213014	0.167696882842306	0.130515356844781
QIfaculty	~~	QIfaculty	2	2		0.162004070037811	0.0105559475780915	15.3471840248662	0	0.141314792962059	0.182693347113563	0.162004070037811	0.128467264900301
QIstaff	~~	QIstaff	2	2		0.179866790554596	0.0117304364777893	15.3333416787313	0	0.156875557535194	0.202858023573997	0.179866790554596	0.142103249959621
Belong	~~	Belong	2	2		0.32588883738448	0.0198452267029813	16.4215225284135	0	0.286992907781604	0.364784766987356	0.663118279983614	0.663118279983614
Gains	~~	Gains	2	2		0.251676829891014	0.0159847886655331	15.7447705538759	0	0.220347219806085	0.283006439975943	0.904257320844552	0.904257320844552
SupportEnv	~~	SupportEnv	2	2		0.318884003457104	0.0198548141383852	16.0607901557037	0	0.279969282826132	0.357798724088075	0.681042701541259	0.681042701541259
Satisf	~~	Satisf	2	2		0.212154684076865	0.0152844099582684	13.8804628151246	0	0.182197791033714	0.242111577120017	0.590399522825102	0.590399522825102
DevAdj	~~	DevAdj	2	2		0.165560195497758	0.0154597088167741	10.7091406093058	0	0.135259723005405	0.195860667990112	1	1
EmoDiss	~~	EmoDiss	2	2		0.908893736520992	0.0433389242870019	20.971765023563	0	0.82395100578976	0.993836467252224	1	1
QualEngag	~~	QualEngag	2	2		1.0831119908117	0.0524994687858537	20.6309133379946	0	0.980214922783944	1.18600905883946	1	1
DevAdj	~~	EmoDiss	2	2		-0.268614710341694	0.0202718088714404	-13.25065326164	0	-0.308346725631197	-0.228882695052191	-0.692460925727464	-0.692460925727464
DevAdj	~~	QualEngag	2	2		0.253970913711639	0.0204256534044199	12.4339186944532	0	0.213937368678278	0.294004458745	0.599748726204734	0.599748726204734
