lhs	op	rhs	group	label	est.std	se	z	pvalue	ci.lower	ci.upper
Belong	=~	sbvalued	1		0.711686851625902	0.0177620476195816	40.0678382846644	0	0.676873877999837	0.746499825251967
Belong	=~	sbmyself	1	.p2.	0.711558941232831	0.018058372670179	39.403270395891	0	0.676165181179878	0.746952701285784
Belong	=~	sbcommunity	1	.p3.	0.743020455805461	0.0188750083362774	39.3653047759132	0	0.706026119258464	0.780014792352458
Gains	=~	pganalyze	1		0.668970294657821	0.0198488077830343	33.7032985542649	0	0.630067346267016	0.707873243048627
Gains	=~	pgthink	1	.p5.	0.487135573400889	0.0233267892104435	20.8830957834007	0	0.441415906673462	0.532855240128316
Gains	=~	pgwork	1	.p6.	0.544206062530688	0.0221190736088581	24.6034744562154	0	0.500853474885936	0.58755865017544
Gains	=~	pgvalues	1	.p7.	0.547018474967981	0.0246626533750573	22.1800333747224	0	0.498680562589673	0.595356387346288
Gains	=~	pgprobsolve	1	.p8.	0.607186431789621	0.0209169492065705	29.0284412795194	0	0.56618996467829	0.648182898900953
SupportEnv	=~	SEacademic	1		0.557033433678787	0.0202848795558898	27.4605245815744	0	0.51727580031851	0.596791067039064
SupportEnv	=~	SEwellness	1	.p10.	0.609287188971896	0.0197130092962322	30.9078730606772	0	0.570650400724377	0.647923977219414
SupportEnv	=~	SEnonacad	1	.p11.	0.624367992612712	0.0200536791194537	31.1348351039997	0	0.58506350378106	0.663672481444365
SupportEnv	=~	SEactivities	1	.p12.	0.698710097948693	0.0188175941775521	37.1306816034006	0	0.661828291085	0.735591904812386
SupportEnv	=~	SEdiverse	1	.p13.	0.574391645362756	0.0208155397653942	27.5943670851947	0	0.533593937103822	0.61518935362169
Satisf	=~	sameinst	1		0.729794998165106	0.0292362358199546	24.9620027235859	0	0.672493028914475	0.787096967415737
Satisf	=~	evalexp	1	.p15.	0.732176193347715	0.0277635052031103	26.3718931738378	0	0.677760723065028	0.786591663630402
DevAdj	=~	Belong	1		0.51590288168912	0.0313526458626522	16.45484352259	0	0.454452824978283	0.577352938399957
DevAdj	=~	Gains	1	.p17.	0.580982828133873	0.0353045040028045	16.4563373581943	0	0.511787271796326	0.65017838447142
DevAdj	=~	SupportEnv	1	.p18.	0.416993901529229	0.0310964680030234	13.4096869615124	0	0.356045944196901	0.477941858861557
DevAdj	=~	Satisf	1	.p19.	0.585296776333494	0.0332353792059673	17.6106543784644	0	0.520156630077267	0.650436922589722
EmoDiss	=~	MHWdacad	1		0.561351963373229	0.0209829870835885	26.7527192928732	0	0.520226064401326	0.602477862345131
EmoDiss	=~	MHWdlonely	1	.p21.	0.499556294220136	0.0210587894505928	23.7219853207693	0	0.458281825338962	0.54083076310131
EmoDiss	=~	MHWdmental	1	.p22.	0.61936103054142	0.0185466412742342	33.3947813721865	0	0.583010281609737	0.655711779473103
EmoDiss	=~	MHWdexhaust	1	.p23.	0.586815763170976	0.0202285623104867	29.0092669050813	0	0.547168509583398	0.626463016758555
EmoDiss	=~	MHWdsleep	1	.p24.	0.619216490519838	0.0187564299851233	33.0135580710707	0	0.582454563270449	0.655978417769227
EmoDiss	=~	MHWdfinancial	1	.p25.	0.57797126227015	0.0176182298891788	32.8052968945049	0	0.543440166216013	0.612502358324288
QualEngag	=~	QIadmin	1		0.744561489831387	0.0144524320417198	51.5180758284876	0	0.716235243540604	0.772887736122171
QualEngag	=~	QIstudent	1	.p27.	0.707676846088689	0.016482637986644	42.9346835538172	0	0.675371469264654	0.739982222912723
QualEngag	=~	QIadvisor	1	.p28.	0.734487357199221	0.0145917456163058	50.3358115274744	0	0.705888061319691	0.763086653078751
QualEngag	=~	QIfaculty	1	.p29.	0.718127579876509	0.0149307825851921	48.0971158597356	0	0.688863783748535	0.747391376004483
QualEngag	=~	QIstaff	1	.p30.	0.713240024884191	0.0149840435585777	47.5999700678854	0	0.6838718391666	0.742608210601783
sbvalued	~~	sbvalued	1		0.493501825222812	0.0252820315469538	19.5198643078299	0	0.443949953934777	0.543053696510847
sbmyself	~~	sbmyself	1		0.493683873151613	0.0256991930315878	19.2100924159295	0	0.443314380377958	0.544053365925268
