lhs	op	rhs	block	group	est	se	z	pvalue	ci.lower	ci.upper	std.lv	std.all
Belong	=~	sbvalued	1	1	1	0	NA	NA	1	1	0.502910168656499	0.681996377670541
Belong	=~	sbmyself	1	1	0.98237537014802	0.0441857660611613	22.232846858154	0	0.895772860038831	1.06897788025721	0.494046563085132	0.701099157267489
Belong	=~	sbcommunity	1	1	1.1974050894759	0.0510614194946111	23.4502898925924	0	1.09732654626697	1.29748363268483	0.602187195498475	0.749871412279521
Gains	=~	pganalyze	1	1	1	0	NA	NA	1	1	0.400143305260924	0.628915596405248
Gains	=~	pgthink	1	1	0.646225884897313	0.0488526229981334	13.2280693489478	0	0.550476503270658	0.741975266523967	0.258582961527976	0.441823362232327
Gains	=~	pgwork	1	1	0.76375379635521	0.0530354922495345	14.40080527134	0	0.659806141643769	0.86770145106665	0.305610968479152	0.520948145923384
Gains	=~	pgvalues	1	1	0.807001924349439	0.0512516897126271	15.7458598706574	0	0.706550458365867	0.90745339033301	0.32291641736111	0.554523562196855
Gains	=~	pgprobsolve	1	1	0.932047102919948	0.0605770099900692	15.3861523220236	0	0.813318345048289	1.05077586079161	0.372952408421256	0.595409874124183
SupportEnv	=~	SEacademic	1	1	1	0	NA	NA	1	1	0.294725068628386	0.564137191301519
SupportEnv	=~	SEwellness	1	1	1.22314584634398	0.073758726597737	16.5830662046911	0	1.07858139866688	1.36771029402108	0.360491743506256	0.609781716551182
SupportEnv	=~	SEnonacad	1	1	1.22170616143051	0.0769219880656191	15.8824049163721	0	1.07094183520267	1.37247048765834	0.360067432271328	0.59965155961025
SupportEnv	=~	SEactivities	1	1	1.368448388893	0.0769103158499718	17.7927807702989	0	1.21770693978745	1.51918983799854	0.403316045330893	0.652824865259023
SupportEnv	=~	SEdiverse	1	1	1.08692595515166	0.074768864394644	14.5371467649243	0	0.9403816737732	1.23347023653012	0.320344326726048	0.553498794303067
Satisf	=~	sameinst	1	1	1	0	NA	NA	1	1	0.503658265333907	0.768489020457764
Satisf	=~	evalexp	1	1	0.885336299843327	0.0816583101637443	10.8419620497659	0	0.725288952883987	1.04538364680267	0.445906945016229	0.659026029157043
DevAdj	=~	Belong	1	1	1	0	NA	NA	1	1	0.440843614103739	0.440843614103739
DevAdj	=~	Gains	1	1	1.10809389679822	0.130010101761499	8.52313690847651	0	0.853278779719294	1.36290901387715	0.61395420584961	0.61395420584961
DevAdj	=~	SupportEnv	1	1	0.580203231201897	0.0704679797265809	8.23357265886028	2.22044604925031e-16	0.4420885288745	0.718317933529295	0.436453556476565	0.436453556476565
DevAdj	=~	Satisf	1	1	1.13085468415492	0.128304076512195	8.81386402440173	0	0.879383315121347	1.38232605318849	0.497789586359011	0.497789586359011
EmoDiss	=~	MHWdacad	1	1	1	0	NA	NA	1	1	0.755275666514459	0.517694691473421
EmoDiss	=~	MHWdlonely	1	1	0.900842389425173	0.0606772283363284	14.8464657026172	0	0.781917207204256	1.01976757164609	0.680384336097576	0.480542902559158
EmoDiss	=~	MHWdmental	1	1	1.26121680564938	0.072755061887885	17.335107316559	0	1.11861950465614	1.40381410664262	0.952566363506072	0.638855022142019
EmoDiss	=~	MHWdexhaust	1	1	0.984729722973788	0.0664371896595065	14.8219653483323	0	0.854515224007099	1.11494422194048	0.743742397855627	0.527609222917409
EmoDiss	=~	MHWdsleep	1	1	1.07367283946878	0.0616780284949927	17.4077036128991	0	0.952786124981157	1.1945595539564	0.810918969448254	0.579068343723173
EmoDiss	=~	MHWdfinancial	1	1	1.14859227809283	0.0724544113421607	15.8526203831632	0	1.00658424134114	1.29060031484451	0.867503798389923	0.585859873863863
QualEngag	=~	QIadmin	1	1	1	0	NA	NA	1	1	1.02091883409849	0.714059671968926
QualEngag	=~	QIstudent	1	1	0.884222252828554	0.037783245245887	23.4024961877728	0	0.810168452927571	0.958276052729536	0.902719151441669	0.686650192986226
QualEngag	=~	QIadvisor	1	1	0.942616626291722	0.0376315797601776	25.0485531646273	0	0.868860085280427	1.01637316730302	0.962335067115598	0.707475906526203
QualEngag	=~	QIfaculty	1	1	0.932154802722121	0.0363168545839511	25.6672780008336	0	0.860975075705798	1.00333452973844	0.951654394394377	0.69503964503574
QualEngag	=~	QIstaff	1	1	0.88006760029544	0.0351915251448094	25.0079414482338	0	0.811093478450578	0.949041722140302	0.898477588421478	0.684324862162664
sbvalued	~~	sbvalued	1	1	0.290853183174141	0.0141114854007369	20.6110962038732	0	0.263195180020334	0.318511186327948	0.290853183174141	0.534880940844261
sbmyself	~~	sbmyself	1	1	0.252483873051513	0.0112351937560666	22.4725873476975	0	0.230463297930293	0.274504448172733	0.252483873051513	0.508459971678817
sbcommunity	~~	sbcommunity	1	1	0.282266219353878	0.0161750079936478	17.4507622787407	0	0.25056378623668	0.313968652471075	0.282266219353878	0.437692865045917
pganalyze	~~	pganalyze	1	1	0.244690812934072	0.0113083034687367	21.6381540883256	0	0.222526945409099	0.266854680459046	0.244690812934072	0.604465172598231
pgthink	~~	pgthink	1	1	0.275667883066801	0.0110072487339595	25.0442131117026	0	0.254094071979367	0.297241694154236	0.275667883066801	0.804792116585722
pgwork	~~	pgwork	1	1	0.25075281319533	0.00988654847878002	25.3630287388499	0	0.231375534245512	0.270130092145148	0.25075281319533	0.728613029258988
pgvalues	~~	pgvalues	1	1	0.234834710418971	0.0097023822546126	24.203819665766	0	0.21581839063569	0.253851030202253	0.234834710418971	0.692503618968511
pgprobsolve	~~	pgprobsolve	1	1	0.253257503807922	0.0117270588828968	21.5959948983698	0	0.230272890752864	0.27624211686298	0.253257503807922	0.645487081795424
SEacademic	~~	SEacademic	1	1	0.186075565183708	0.00733857539975083	25.3558156791611	0	0.171692221702365	0.200458908665051	0.186075565183708	0.681749229390433
SEwellness	~~	SEwellness	1	1	0.219541411599318	0.00896002158465858	24.5023306612586	0	0.201980091992686	0.237102731205951	0.219541411599318	0.628166258159894
SEnonacad	~~	SEnonacad	1	1	0.230904971165188	0.0104678242072233	22.0585449845301	0	0.210388412722534	0.251421529607842	0.230904971165188	0.640418007056994
SEactivities	~~	SEactivities	1	1	0.219014604210483	0.0096007394974066	22.8122640208751	0	0.200197500570615	0.237831707850351	0.219014604210483	0.573819695299538
SEdiverse	~~	SEdiverse	1	1	0.232345503563333	0.00882434078751141	26.3300691981613	0	0.215050113432503	0.249640893694163	0.232345503563333	0.693639084705051
sameinst	~~	sameinst	1	1	0.175861412509231	0.0228911876363777	7.68249403669032	1.55431223447522e-14	0.130995509178582	0.22072731583988	0.175861412509231	0.409424625435866
evalexp	~~	evalexp	1	1	0.258974953785663	0.0203826744818004	12.705641451366	0	0.21902564589273	0.298924261678595	0.258974953785663	0.5656846928935
MHWdacad	~~	MHWdacad	1	1	1.55800920555557	0.0562200567846877	27.7126935592124	0	1.44781991904878	1.66819849206235	1.55800920555557	0.73199220642024
MHWdlonely	~~	MHWdlonely	1	1	1.54175356035626	0.0491509758055023	31.3677101031973	0	1.44541941797248	1.63808770274005	1.54175356035626	0.76907851880002
MHWdmental	~~	MHWdmental	1	1	1.31585481367254	0.0581731432574491	22.6196272023524	0	1.20183754802045	1.42987207932463	1.31585481367254	0.591864260683921
MHWdexhaust	~~	MHWdexhaust	1	1	1.43394998442247	0.0546091807098685	26.2584050114368	0	1.32691795700589	1.54098201183905	1.43394998442247	0.721628507892488
MHWdsleep	~~	MHWdsleep	1	1	1.30349025117322	0.0486268569106997	26.8059737763228	0	1.20818336294687	1.39879713939957	1.30349025117322	0.664679853297701
MHWdfinancial	~~	MHWdfinancial	1	1	1.44001622206816	0.0533725368354794	26.980471745366	0	1.33540797210708	1.54462447202924	1.44001622206816	0.656768208196219
QIadmin	~~	QIadmin	1	1	1.00187783275602	0.0445900322671284	22.4686500954745	0	0.914482975442973	1.08927269006907	1.00187783275602	0.49011878486763
QIstudent	~~	QIstudent	1	1	0.913458184683474	0.0387918647820569	23.5476739727654	0	0.837427526817495	0.989488842549453	0.913458184683474	0.528511512471979
QIadvisor	~~	QIadvisor	1	1	0.924156539441979	0.0383727895583639	24.0836423433945	0	0.848947253921251	0.999365824962707	0.924156539441979	0.499477841684927
QIfaculty	~~	QIfaculty	1	1	0.969086636114042	0.040941926097172	23.6697861701475	0	0.888841935505884	1.0493313367222	0.969086636114042	0.516919891828593
QIstaff	~~	QIstaff	1	1	0.91654986536326	0.0393745552185693	23.2777198440837	0	0.83937715522758	0.993722575498939	0.91654986536326	0.531699483026051
Belong	~~	Belong	1	1	0.203765647631365	0.016402147145654	12.4231081346783	0	0.171618029956756	0.235913265305973	0.805656907903953	0.805656907903953
Gains	~~	Gains	1	1	0.0997610803419673	0.0101917673136191	9.78839854483905	0	0.0797855834684614	0.119736577215473	0.623060233119574	0.623060233119574
