lhs	op	rhs	group	est.std	se	z	pvalue	ci.lower	ci.upper
Belong	=~	sbvalued	1	0.864710322790753	0.00705192950076614	122.620386760362	0	0.850888794947736	0.87853185063377
Belong	=~	sbmyself	1	0.834982563692391	0.0079913595721814	104.485670573382	0	0.819319786743406	0.850645340641376
Belong	=~	sbcommunity	1	0.883541606097283	0.00680005294631922	129.931577455663	0	0.870213747229532	0.896869464965034
Gains	=~	pganalyze	1	0.730802778801037	0.0105541580957519	69.2431146256172	0	0.710117009046221	0.751488548555853
Gains	=~	pgthink	1	0.758878504385005	0.0103869646136335	73.0606613782947	0	0.738520427833591	0.779236580936418
Gains	=~	pgwork	1	0.74523861563035	0.0103870749766106	71.7467253590126	0	0.724880322771477	0.765596908489224
Gains	=~	pgvalues	1	0.683773145973806	0.0117635970849468	58.1261956726475	0	0.66071691935867	0.706829372588943
Gains	=~	pgprobsolve	1	0.763845487930044	0.0103079080781473	74.1028618162971	0	0.743642359340926	0.784048616519162
SupportEnv	=~	SEacademic	1	0.844063606083188	0.00709507694918197	118.964686659319	0	0.830157510795251	0.857969701371125
SupportEnv	=~	SEwellness	1	0.824947967357088	0.00755170348380439	109.239983948826	0	0.810146900506906	0.83974903420727
SupportEnv	=~	SEnonacad	1	0.774688755063865	0.00927657581627904	83.5102057490221	0	0.756507000564103	0.792870509563627
SupportEnv	=~	SEactivities	1	0.757436292046368	0.00933404360292848	81.1477130671136	0	0.739141902754502	0.775730681338234
SupportEnv	=~	SEdiverse	1	0.788779223288936	0.00849968507184002	92.8009939923786	0	0.772120146668197	0.805438299909675
Satisf	=~	sameinst	1	0.858293444085774	0.0153732188205114	55.8304317467083	0	0.828162488871119	0.88842439930043
Satisf	=~	evalexp	1	0.868887417421392	0.0152173924247808	57.0983117979167	0	0.839061876330209	0.898712958512575
DevAdj	=~	Belong	1	0.501727657963441	0.0211984038527876	23.6681809370032	0	0.460179549882242	0.54327576604464
DevAdj	=~	Gains	1	0.33616782011476	0.0216394364459472	15.5349618717876	0	0.29375530403496	0.37858033619456
DevAdj	=~	SupportEnv	1	0.517842105257583	0.0213592541515505	24.2443908192362	0	0.475978736383906	0.559705474131259
DevAdj	=~	Satisf	1	0.544846640080036	0.0201176866570002	27.08296681271	0	0.505416698780054	0.584276581380019
EmoDiss	=~	MHWdacad	1	0.902476951280135	0.00409247253160904	220.521199423984	0	0.894455852510461	0.910498050049808
EmoDiss	=~	MHWdlonely	1	0.924707860831454	0.00336708468501972	274.631601915304	0	0.918108496115919	0.931307225546989
EmoDiss	=~	MHWdmental	1	0.94177091436434	0.00281903811524749	334.075268181204	0	0.93624570118741	0.947296127541271
EmoDiss	=~	MHWdexhaust	1	0.931820635518365	0.00314765609635367	296.036354351993	0	0.925651342933794	0.937989928102936
EmoDiss	=~	MHWdsleep	1	0.91057643590491	0.00383037775137497	237.724969966225	0	0.903069033465031	0.918083838344788
EmoDiss	=~	MHWdfinancial	1	0.855685576245019	0.00566012001051581	151.177991748454	0	0.844591944876233	0.866779207613804
QualEngag	=~	QIadmin	1	0.890128843166251	0.00447868027589899	198.748021366088	0	0.881350791127219	0.898906895205283
QualEngag	=~	QIstudent	1	0.907647040366686	0.0039692331693119	228.67062771322	0	0.899867486308593	0.915426594424779
QualEngag	=~	QIadvisor	1	0.921656704030699	0.00354925996503438	259.675738917527	0	0.914700282327462	0.928613125733937
QualEngag	=~	QIfaculty	1	0.933331823414601	0.0031117726750304	299.935734671069	0	0.927232861043466	0.939430785785737
QualEngag	=~	QIstaff	1	0.922056367984031	0.00355994833321026	259.008356773691	0	0.915078997464115	0.929033738503946
sbvalued	~~	sbvalued	1	0.252276057659112	0.012195752456579	20.6855672544436	0	0.228372822079851	0.276179293238372
sbmyself	~~	sbmyself	1	0.302804118329682	0.0133452919050543	22.6899584125994	0	0.276647826832602	0.328960409826762
sbcommunity	~~	sbcommunity	1	0.219354230295033	0.0120162593520937	18.2547849432706	0	0.195802794736037	0.24290566585403
pganalyze	~~	pganalyze	1	0.465927298496682	0.0154260159941207	30.2039942571213	0	0.435692862723267	0.496161734270098
pgthink	~~	pgthink	1	0.424103415582378	0.0157648879475178	26.9017716455863	0	0.393204802984934	0.455002028179823
pgwork	~~	pgwork	1	0.444619405773359	0.0154816988264263	28.7190321138672	0	0.414275833654067	0.47496297789265
pgvalues	~~	pgvalues	1	0.532454284845084	0.016087263658899	33.0978776835392	0	0.500923827463842	0.563984742226326
pgprobsolve	~~	pgprobsolve	1	0.416540070568913	0.0157472979783195	26.4515265502942	0	0.385675933677586	0.44740420746024
SEacademic	~~	SEacademic	1	0.287556628885845	0.0119773923959212	24.0082832206257	0	0.264081371161136	0.311031886610555
SEwellness	~~	SEwellness	1	0.319460851153409	0.0124595249140176	25.6398902332141	0	0.295040631057455	0.343881071249363
SEnonacad	~~	SEnonacad	1	0.399857332777598	0.014372917891501	27.8201918215955	0	0.371686931357505	0.428027734197692
SEactivities	~~	SEactivities	1	0.426290263491049	0.0141398866266265	30.1480679971162	0	0.398576594957382	0.454003932024716
SEdiverse	~~	SEdiverse	1	0.377827336907703	0.0134087500646286	28.1776701845153	0	0.351546669703332	0.404108004112074
sameinst	~~	sameinst	1	0.26333236383938	0.0263894654926351	9.97869259280268	0	0.211609961902553	0.315054765776207
evalexp	~~	evalexp	1	0.245034655846784	0.0264444013809122	9.26603148686331	0	0.193204581547475	0.296864730146093
MHWdacad	~~	MHWdacad	1	0.185535352408114	0.00738672421213964	25.117406184354	0	0.17105763898859	0.200013065827637
MHWdlonely	~~	MHWdlonely	1	0.144915372116516	0.00622713936712551	23.2715800262247	0	0.132710403230238	0.157120341002793
MHWdmental	~~	MHWdmental	1	0.113067544857354	0.00530977619054927	21.2942204717781	0	0.102660574757909	0.123474514956799
MHWdexhaust	~~	MHWdexhaust	1	0.13171030322215	0.00586610194910738	22.452781142372	0	0.120212954672259	0.14320765177204
MHWdsleep	~~	MHWdsleep	1	0.170850554374711	0.00697570343519129	24.4922330718359	0	0.157178426874904	0.184522681874519
MHWdfinancial	~~	MHWdfinancial	1	0.267802194606231	0.00968656619496996	27.6467624559563	0	0.248816873730226	0.286787515482235
QIadmin	~~	QIadmin	1	0.207670642563512	0.00797320490127437	26.0460686931951	0	0.192043448115656	0.223297837011368
QIstudent	~~	QIstudent	1	0.176176850113595	0.00720532585732763	24.4509205554428	0	0.162054670936358	0.190299029290833
QIadvisor	~~	QIadvisor	1	0.150548919915268	0.0065423984008188	23.0112736479677	0	0.137726054677151	0.163371785153385
QIfaculty	~~	QIfaculty	1	0.128891707401576	0.00580863314684	22.1896794208281	0	0.117506995634364	0.140276419168788
