lhs	op	rhs	block	group	label	est	se	z	pvalue	ci.lower	ci.upper	std.lv	std.all
Belong	=~	sbvalued	1	1		1	0	NA	NA	1	1	0.522407954247877	0.698870261166209
Belong	=~	sbmyself	1	1	.p2.	0.970133671103827	0.0314656891027539	30.8314770395072	0	0.908462053713695	1.03180528849396	0.506805546468333	0.712334933485917
Belong	=~	sbcommunity	1	1	.p3.	1.1355310201959	0.0366538453761864	30.9798605996642	0	1.06369080336367	1.20737123702812	0.593210437245545	0.738815052703278
Gains	=~	pganalyze	1	1		1	0	NA	NA	1	1	0.399826622967125	0.629869812890862
Gains	=~	pgthink	1	1	.p5.	0.669407796988184	0.0355132379679325	18.8495286628789	0	0.599803129596636	0.739012464379733	0.267647058857649	0.455587569728004
Gains	=~	pgwork	1	1	.p6.	0.770199388090157	0.0377966570757308	20.3774473109343	0	0.696119301485714	0.8442794746946	0.307946220351434	0.524820424007515
Gains	=~	pgvalues	1	1	.p7.	0.757928263155902	0.040341665192713	18.7877287547567	0	0.678860052301812	0.836996474009993	0.303039897908963	0.526940206037408
Gains	=~	pgprobsolve	1	1	.p8.	0.911231532677189	0.0424224716385398	21.4799255555246	0	0.828085016130479	0.994378049223899	0.364334626451478	0.585362511464504
SupportEnv	=~	SEacademic	1	1		1	0	NA	NA	1	1	0.283429606003679	0.547074922914683
SupportEnv	=~	SEwellness	1	1	.p10.	1.2637434938544	0.0560426639261564	22.5496685082556	0	1.15390189096145	1.37358509674735	0.358182320552865	0.60694739553611
SupportEnv	=~	SEnonacad	1	1	.p11.	1.29230626878052	0.0565280314243444	22.8613350972625	0	1.18151336307186	1.40309917448919	0.366277856596547	0.607712804247684
SupportEnv	=~	SEactivities	1	1	.p12.	1.44067674246281	0.0610081707721306	23.6144884239168	0	1.32110292498677	1.56025055993886	0.408330441494899	0.659093625327822
SupportEnv	=~	SEdiverse	1	1	.p13.	1.113192173621	0.0527984305920802	21.0838117939812	0	1.00970915122028	1.21667519602171	0.315511619175777	0.546860016182155
Satisf	=~	sameinst	1	1		1	0	NA	NA	1	1	0.43894046778088	0.676671762792027
