lhs	op	rhs	group	label	est.std	se	z	pvalue	ci.lower	ci.upper
Belong	=~	sbvalued	1		0.865050159152001	0.00633905872387408	136.463502995178	0	0.852625832357324	0.877474485946679
Belong	=~	sbmyself	1	.p2.	0.837730314155701	0.00706803667671559	118.52376444444	0	0.82387721682793	0.851583411483472
Belong	=~	sbcommunity	1	.p3.	0.886514409135049	0.00602183880838699	147.216562472636	0	0.874711821949904	0.898316996320193
Gains	=~	pganalyze	1		0.719463187052706	0.00969132205325327	74.2378782893909	0	0.700468544865751	0.738457829239661
Gains	=~	pgthink	1	.p5.	0.765896794564665	0.00885272916632794	86.5153310549491	0	0.748545764233775	0.783247824895555
Gains	=~	pgwork	1	.p6.	0.739444971637886	0.00938461866014238	78.7932891485936	0	0.721051457055364	0.757838486220407
Gains	=~	pgvalues	1	.p7.	0.685739686070394	0.0100500270936427	68.2326206368307	0	0.666041994923203	0.705437377217586
Gains	=~	pgprobsolve	1	.p8.	0.752405969279505	0.00939508337348779	80.0850763499063	0	0.733991944235718	0.770819994323292
SupportEnv	=~	SEacademic	1		0.836816084228064	0.006734202393633	124.263577973132	0	0.82361729007194	0.850014878384188
SupportEnv	=~	SEwellness	1	.p10.	0.826016481201507	0.00679038185658353	121.645070726126	0	0.812707577321329	0.839325385081685
SupportEnv	=~	SEnonacad	1	.p11.	0.78022474659217	0.00797443177189083	97.8407952955837	0	0.764595147522092	0.795854345662248
SupportEnv	=~	SEactivities	1	.p12.	0.751770747969414	0.00844766152485605	88.9915801855264	0	0.735213635627111	0.768327860311716
SupportEnv	=~	SEdiverse	1	.p13.	0.796166549102773	0.00734420047083022	108.407518594433	0	0.781772180684704	0.810560917520843
Satisf	=~	sameinst	1		0.865279136746447	0.0115202313921862	75.1095275163777	0	0.842699898124194	0.887858375368699
Satisf	=~	evalexp	1	.p15.	0.861846391299099	0.0116564633870959	73.9372108570419	0	0.839000142873281	0.884692639724917
DevAdj	=~	Belong	1		0.524635536514579	0.0177488441048052	29.5588565326653	0	0.489848441301945	0.559422631727214
DevAdj	=~	Gains	1	.p17.	0.280328436887582	0.0181652690320067	15.4321103856845	0	0.244725163815368	0.315931709959796
DevAdj	=~	SupportEnv	1	.p18.	0.517343144859714	0.0184907137739651	27.9785383724955	0	0.481102011814304	0.553584277905124
DevAdj	=~	Satisf	1		0.546521103003389	0.0201080433865368	27.1792283564153	0	0.507110062166208	0.58593214384057
EmoDiss	=~	MHWdacad	1		0.90261993842838	0.00387531000755386	232.915543961378	0	0.895024470384646	0.910215406472113
EmoDiss	=~	MHWdlonely	1	.p21.	0.924677185358329	0.00320076712574397	288.892365183675	0	0.918403797068971	0.930950573647687
EmoDiss	=~	MHWdmental	1	.p22.	0.94228299952122	0.00264706187670338	355.973167009881	0	0.937094853578032	0.947471145464407
EmoDiss	=~	MHWdexhaust	1	.p23.	0.931413638938892	0.00303982237777744	306.403968122603	0	0.925455696559049	0.937371581318734
EmoDiss	=~	MHWdsleep	1	.p24.	0.910678192368628	0.00363394008057539	250.603524597586	0	0.903555800688723	0.917800584048532
EmoDiss	=~	MHWdfinancial	1	.p25.	0.854299119533611	0.00525406230520899	162.597828100866	0	0.844001346642872	0.86459689242435
QualEngag	=~	QIadmin	1		0.891087220942577	0.00418828771423817	212.756926395793	0	0.882878327865779	0.899296114019375
QualEngag	=~	QIstudent	1	.p27.	0.905088584919361	0.00394312479865177	229.535870949058	0	0.897360202327457	0.912816967511266
QualEngag	=~	QIadvisor	1	.p28.	0.922039458398236	0.00334403212465141	275.726854296997	0	0.915485275870775	0.928593640925698
QualEngag	=~	QIfaculty	1	.p29.	0.934135316417955	0.00295077086752541	316.573315366009	0	0.928351911790976	0.939918721044935
QualEngag	=~	QIstaff	1	.p30.	0.921925493507328	0.003378390842598	272.888939279258	0	0.915303969130136	0.92854701788452
sbvalued	~~	sbvalued	1		0.251688222151097	0.0109672075726555	22.9491618977497	0	0.230192890297717	0.273183554004477
sbmyself	~~	sbmyself	1		0.29820792074459	0.0118422170935153	25.1817643934164	0	0.274997601744196	0.321418239744985
sbcommunity	~~	sbcommunity	1		0.214092202395936	0.0106768936820037	20.0519185422626	0	0.193165875312445	0.235018529479426
pganalyze	~~	pganalyze	1		0.482372722475963	0.01394509892953	34.5908426260423	0	0.455040830813237	0.50970461413869
pgthink	~~	pgthink	1		0.413402100075571	0.0135605537704009	30.4856355481528	0	0.386823903075167	0.439980297075976
pgwork	~~	pgwork	1		0.453221133919446	0.0138788181534678	32.6555999875396	0	0.426019150190669	0.480423117648224
pgvalues	~~	pgvalues	1		0.529761082948077	0.013783404756664	38.4347040735307	0	0.502746106040677	0.556776059855477
