lhs	op	rhs	block	group	label	est	se	z	pvalue	ci.lower	ci.upper	std.lv	std.all
Belong	=~	sbvalued	1	1		1	0	NA	NA	1	1	0.671649260075437	0.86515403195582
Belong	=~	sbmyself	1	1	.p2.	0.996063890099576	0.0130027040274332	76.6043653687779	0	0.970579058504172	1.02154872169498	0.669005574773242	0.837849812598012
Belong	=~	sbcommunity	1	1	.p3.	1.01385212651871	0.0126553599909743	80.1124683329262	0	0.98904807672501	1.03865617631241	0.6809530306022	0.88660522214443
Gains	=~	pganalyze	1	1		1	0	NA	NA	1	1	0.506647231260632	0.719507871435817
Gains	=~	pgthink	1	1	.p5.	1.00784857303499	0.0213713731447973	47.1588122207462	0	0.965961451371026	1.04973569469896	0.510623689058159	0.765932137687876
Gains	=~	pgwork	1	1	.p6.	0.997650758718543	0.0210777593124661	47.3319172085098	0	0.956339109591305	1.03896240784578	0.505456994669818	0.739487300967515
Gains	=~	pgvalues	1	1	.p7.	0.98619535174014	0.022108079872001	44.6079151807804	0	0.942864311423683	1.0295263920566	0.499653144441247	0.685789247530449
Gains	=~	pgprobsolve	1	1	.p8.	1.00374602119345	0.0212555871734074	47.222690815581	0	0.962085835863318	1.04540620652358	0.508545142526536	0.752449466459828
SupportEnv	=~	SEacademic	1	1		1	0	NA	NA	1	1	0.623457912321598	0.836940918482206
SupportEnv	=~	SEwellness	1	1	.p10.	0.993877473987249	0.0142376352133899	69.8063589276784	0	0.965972221743985	1.02178272623051	0.619640775035553	0.826134911349597
SupportEnv	=~	SEnonacad	1	1	.p11.	0.981401527614319	0.0157689175914617	62.2364548436549	0	0.950495017059874	1.01230803816876	0.61186254755565	0.78036265300359
SupportEnv	=~	SEactivities	1	1	.p12.	0.977604988041111	0.0154412884190193	63.3111021251942	0	0.947340618864937	1.00786935721728	0.609495564919292	0.751924091282242
SupportEnv	=~	SEdiverse	1	1	.p13.	0.982535760840222	0.0147298124319748	66.7038881437065	0	0.953665858974521	1.01140566270592	0.612569694234758	0.79630004243519
Satisf	=~	sameinst	1	1		1	0	NA	NA	1	1	0.571939689275313	0.865066079097817
Satisf	=~	evalexp	1	1	.p15.	1.02024693203848	0.023962015800471	42.5776754566045	0	0.97328224407258	1.06721162000439	0.583519713294182	0.86158108662736
DevAdj	=~	Belong	1	1		1	0	NA	NA	1	1	0.525785426989826	0.525785426989826
DevAdj	=~	Gains	1	1	.p17.	0.403485928775598	0.0271046131956822	14.8862455945275	0	0.350361863097171	0.456609994454024	0.281237873459776	0.281237873459776
DevAdj	=~	SupportEnv	1	1	.p18.	0.915528005363017	0.037246290347806	24.5803809403248	0	0.842526617723595	0.988529393002438	0.518579778694238	0.518579778694238
DevAdj	=~	Satisf	1	1	.p19.	0.881050562314173	0.0356503254337866	24.7136751654778	0	0.811177208426819	0.950923916201527	0.544003486400879	0.544003486400879
EmoDiss	=~	MHWdacad	1	1		1	0	NA	NA	1	1	0.981709432878183	0.902619723278961
EmoDiss	=~	MHWdlonely	1	1	.p21.	1.00959980698172	0.00890162868268161	113.417425391594	0	0.992152935359913	1.02704667860352	0.991133653945945	0.924676245931289
EmoDiss	=~	MHWdmental	1	1	.p22.	1.01474149447344	0.00851709812813229	119.141693474414	0	0.998048288889506	1.03143470005737	0.99618129705748	0.942284231108329
EmoDiss	=~	MHWdexhaust	1	1	.p23.	1.01824376743612	0.00861787962827832	118.154791126915	0	1.00135303374159	1.03513450113065	0.999619511461459	0.931414558887041
EmoDiss	=~	MHWdsleep	1	1	.p24.	1.00111623665591	0.00897902036398631	111.495040224128	0	0.983517680126049	1.01871479318578	0.982805252932618	0.910676675775491
EmoDiss	=~	MHWdfinancial	1	1	.p25.	1.0047202513185	0.0106361364060815	94.462896390086	0	0.983873807027926	1.02556669560908	0.986343348123111	0.854299314939567
QualEngag	=~	QIadmin	1	1		1	0	NA	NA	1	1	0.999470190309705	0.891088332675812
QualEngag	=~	QIstudent	1	1	.p27.	1.00581234711127	0.0103159389474111	97.500804554848	0	0.985593478307633	1.02603121591491	1.00527945798316	0.905088035594943
QualEngag	=~	QIadvisor	1	1	.p28.	1.01480867993768	0.0100836388946595	100.639133406011	0	0.995045110871042	1.03457224900432	1.01427102446526	0.922038626427975
