lhs	op	rhs	block	group	label	est	se	z	pvalue	ci.lower	ci.upper	std.lv	std.all
Belong	=~	sbvalued	1	1		1	0	NA	NA	1	1	0.521085752754904	0.698017914413486
Belong	=~	sbmyself	1	1	.p2.	0.967083278357412	0.0312887919025483	30.9082971745754	0	0.905758373108649	1.02840818360618	0.503933318079553	0.710177117227843
Belong	=~	sbcommunity	1	1	.p3.	1.13131137761629	0.0366200952957824	30.8931849706733	0	1.05953730972613	1.20308544550645	0.589510240805371	0.736338894632925
Gains	=~	pganalyze	1	1		1	0	NA	NA	1	1	0.397244019739526	0.627635317186361
Gains	=~	pgthink	1	1	.p5.	0.669707677262983	0.0355494742287226	18.8387505523748	0	0.600031988105351	0.739383366420614	0.266037369766369	0.45351092557252
Gains	=~	pgwork	1	1	.p6.	0.769610656022452	0.0376063865527504	20.4648924443438	0	0.69590349279037	0.843317819254535	0.305723230632733	0.52202965294142
Gains	=~	pgvalues	1	1	.p7.	0.758251433419869	0.0402330183403063	18.8464963529777	0	0.679396166483529	0.837106700356209	0.301210847384967	0.524922801945033
Gains	=~	pgprobsolve	1	1	.p8.	0.90711037679311	0.0420863884418758	21.5535333483388	0	0.82462257120767	0.989598182378549	0.360344172424731	0.580494533244648
SupportEnv	=~	SEacademic	1	1		1	0	NA	NA	1	1	0.282386588891236	0.545454662561964
SupportEnv	=~	SEwellness	1	1	.p10.	1.26428944707032	0.0562221768316702	22.4873798617869	0	1.1540960053478	1.37448288879284	0.357018384329374	0.605682892360545
SupportEnv	=~	SEnonacad	1	1	.p11.	1.29262032067651	0.0567203178747211	22.7893701782762	0	1.1814505404504	1.40379010090263	0.365018643087336	0.606307442612954
SupportEnv	=~	SEactivities	1	1	.p12.	1.4400831480137	0.0614987685074831	23.416455043949	0	1.31954777664547	1.56061851938194	0.406660167887343	0.657139291255146
SupportEnv	=~	SEdiverse	1	1	.p13.	1.11384784329745	0.0527332115561933	21.1223214067005	0	1.01049264785818	1.21720303873672	0.314535693012626	0.545623230484994
Satisf	=~	sameinst	1	1		1	0	NA	NA	1	1	0.454638246274344	0.695101497807839
Satisf	=~	evalexp	1	1	.p15.	1.11740455907033	0.0763139636894386	14.6422031440751	0	0.967831938721533	1.26697717941913	0.508014849114691	0.737611788120742
DevAdj	=~	Belong	1	1		1	0	NA	NA	1	1	0.479231959402289	0.479231959402289
DevAdj	=~	Gains	1	1	.p17.	0.89152853946396	0.0822950420156898	10.8333201809896	0	0.730233221006998	1.05282385792092	0.560444813449208	0.560444813449208
DevAdj	=~	SupportEnv	1	1	.p18.	0.458844148026037	0.044736358282777	10.2566271739353	0	0.371162496992314	0.54652579905976	0.40576641866552	0.40576641866552
DevAdj	=~	Satisf	1	1	.p19.	0.997829044851079	0.0923330803309064	10.8068423719324	0	0.816859532820859	1.1787985568813	0.548081502990848	0.548081502990848
EmoDiss	=~	MHWdacad	1	1		1	0	NA	NA	1	1	0.766019559734891	0.523342529503228
EmoDiss	=~	MHWdlonely	1	1	.p21.	0.894437224807861	0.0427214961838864	20.936467696682	0	0.810704630921779	0.978169818693944	0.685156409157816	0.483320125856853
EmoDiss	=~	MHWdmental	1	1	.p22.	1.1822593176503	0.0476445275456677	24.8141681438041	0	1.08887775960037	1.27564087570024	0.905633761998958	0.614665574936614
EmoDiss	=~	MHWdexhaust	1	1	.p23.	1.032373802409	0.046603697442738	22.1521866087444	0	0.94103223387483	1.12371537094317	0.790818525603176	0.554176849956262
EmoDiss	=~	MHWdsleep	1	1	.p24.	1.07080704644764	0.0453258475450963	23.6246447544583	0	0.981970017690495	1.15964407520478	0.820259142280838	0.584087052612774
EmoDiss	=~	MHWdfinancial	1	1	.p25.	1.11248609674183	0.0490741290809055	22.669502598971	0	1.01630257117058	1.20866962231307	0.852186110037361	0.578193290728822
QualEngag	=~	QIadmin	1	1		1	0	NA	NA	1	1	1.0400085533876	0.721968660332675
QualEngag	=~	QIstudent	1	1	.p27.	0.863155460173653	0.0248682425880997	34.7091458962486	0	0.814414600342173	0.911896320005133	0.89768906148381	0.683953161405074
QualEngag	=~	QIadvisor	1	1	.p28.	0.926254201829004	0.025152133863988	36.826068389974	0	0.876956925321257	0.97555147833675	0.963312292513369	0.707774981510571
QualEngag	=~	QIfaculty	1	1	.p29.	0.892409716654074	0.0248398517543195	35.9265315059254	0	0.843724501834294	0.941094931473854	0.928113738446442	0.684020098556338
QualEngag	=~	QIstaff	1	1	.p30.	0.869855273710754	0.0250116233835276	34.7780414078852	0	0.82083339268416	0.918877154737348	0.904656924868497	0.687180353039106
sbvalued	~~	sbvalued	1	1		0.285764784493457	0.013379032222797	21.3591521221193	0	0.259542363188774	0.31198720579814	0.285764784493457	0.512770991157847
sbmyself	~~	sbmyself	1	1		0.249566656051711	0.010515789916574	23.7325638902664	0	0.228956086546236	0.270177225557185	0.249566656051711	0.49564846216595
sbcommunity	~~	sbcommunity	1	1		0.293432212057816	0.0151622557923501	19.3528071334784	0	0.263714736780426	0.323149687335206	0.293432212057816	0.457805032250762
pganalyze	~~	pganalyze	1	1		0.242787082855358	0.0106849352030768	22.7223729710074	0	0.221844994680183	0.263729171030533	0.242787082855358	0.606073908620376
pgthink	~~	pgthink	1	1		0.273344013575961	0.010787927643743	25.337953924311	0	0.252200063926401	0.294487963225521	0.273344013575961	0.794327840386356
pgwork	~~	pgwork	1	1		0.249511520166001	0.00965146626907617	25.852187969143	0	0.230594993880608	0.268428046451393	0.249511520166001	0.72748504144986
pgvalues	~~	pgvalues	1	1		0.238540642058664	0.00956546792690921	24.9376866747533	0	0.219792669426649	0.257288614690679	0.238540642058664	0.724456051998175
pgprobsolve	~~	pgprobsolve	1	1		0.255487325605855	0.011327210369863	22.5551850158624	0	0.233286401235615	0.277688249976095	0.255487325605855	0.663026096873078
SEacademic	~~	SEacademic	1	1		0.188280045323395	0.00700005005806842	26.8969569876689	0	0.174560199319604	0.201999891327187	0.188280045323395	0.702479211089414
SEwellness	~~	SEwellness	1	1		0.219986457470075	0.00859105413775451	25.6064568960538	0	0.203148300770843	0.236824614169308	0.219986457470075	0.633148233901765
SEnonacad	~~	SEnonacad	1	1		0.229208210353552	0.0100194685945191	22.8762841253811	0	0.209570412764065	0.24884600794304	0.229208210353552	0.63239128503214
SEactivities	~~	SEactivities	1	1		0.217583087157051	0.00934784009231598	23.2762953803528	0	0.199261657242873	0.23590451707123	0.217583087157051	0.568167951888685
SEdiverse	~~	SEdiverse	1	1		0.233385527844856	0.00853684278538524	27.3386231552025	0	0.216653623443821	0.250117432245892	0.233385527844856	0.702295290355119
sameinst	~~	sameinst	1	1		0.221098850893899	0.0160061860089998	13.8133375914525	0	0.18972730278641	0.252470399001388	0.221098850893899	0.516833907745299
evalexp	~~	evalexp	1	1		0.216268959162718	0.0190574226084826	11.348279544709	0	0.178917097211932	0.253620821113503	0.216268959162718	0.455928850025321
MHWdacad	~~	MHWdacad	1	1		1.55564906057373	0.05471202013269	28.433405617283	0	1.44841547159222	1.66288264955523	1.55564906057373	0.726112596813163
MHWdlonely	~~	MHWdlonely	1	1		1.54016100659536	0.0474731249663614	32.4427980607278	0	1.44711539142772	1.633206621763	1.54016100659536	0.766401655941715
MHWdmental	~~	MHWdmental	1	1		1.35066555312097	0.0536031353857346	25.1975102463954	0	1.2456053383065	1.45572576793543	1.35066555312097	0.622186230987842
MHWdexhaust	~~	MHWdexhaust	1	1		1.41097708730625	0.0520364979701307	27.1151430697001	0	1.30898742540321	1.5129667492093	1.41097708730625	0.692888018972555
MHWdsleep	~~	MHWdsleep	1	1		1.29935698323141	0.0466116983991568	27.8761990628283	0	1.20799973311082	1.390714233352	1.29935698323141	0.658842314970122
MHWdfinancial	~~	MHWdfinancial	1	1		1.44609386253948	0.0496334548000538	29.1354665590982	0	1.34881407870308	1.54337364637588	1.44609386253948	0.665692518556176
QIadmin	~~	QIadmin	1	1		0.99347313099047	0.0427140666805207	23.2586875518348	0	0.909755098663407	1.07719116331753	0.99347313099047	0.478761253497442
QIstudent	~~	QIstudent	1	1		0.916812660425302	0.0370660123439817	24.7345911374835	0	0.844164611180581	0.989460709670023	0.916812660425302	0.532208073004005
QIadvisor	~~	QIadvisor	1	1		0.924467891665822	0.0369043891404578	25.0503507359871	0	0.852136618079074	0.99679916525257	0.924467891665822	0.49905457554771
QIfaculty	~~	QIfaculty	1	1		0.979651046955857	0.0395747071019687	24.7544737205932	0	0.902086046337277	1.05721604757444	0.979651046955857	0.532116504770977
QIstaff	~~	QIstaff	1	1		0.914706755274356	0.0383381039968575	23.8589460592348	0	0.839565452204964	0.989848058343747	0.914706755274356	0.52778316239705
Belong	~~	Belong	1	1		0.209169810698508	0.0145117559291432	14.4138181292344	0	0.180727291724952	0.237612329672064	0.770336729087442	0.770336729087442
Gains	~~	Gains	1	1		0.108237202447606	0.00905054031912563	11.9591978634556	0	0.0904984693814918	0.12597593551372	0.685901611077883	0.685901611077883
SupportEnv	~~	SupportEnv	1	1		0.0666129228760147	0.00551265376361212	12.0836398824306	0	0.0558083200400958	0.0774175257119336	0.835353613483358	0.835353613483358
Satisf	~~	Satisf	1	1		0.14460585396029	0.0139487052422258	10.3669732386728	0	0.117266894054562	0.171944813866017	0.699606666079293	0.699606666079293
DevAdj	~~	DevAdj	1	1		0.062360551025637	0.00798173310857769	7.81290857227741	5.55111512312578e-15	0.0467166415986138	0.0780044604526602	1	1
EmoDiss	~~	EmoDiss	1	1		0.586785965896436	0.0420812870636755	13.9441069140432	0	0.504308158828541	0.669263772964331	1	1
QualEngag	~~	QualEngag	1	1		1.08161779111937	0.0542445974093063	19.9396408633647	0	0.975300333841255	1.18793524839749	1	1
DevAdj	~~	EmoDiss	1	1		-0.108109395136647	0.0107470972027381	-10.0594042369974	0	-0.129173318592365	-0.087045471680929	-0.565156343134489	-0.565156343134489
DevAdj	~~	QualEngag	1	1		0.139814454204443	0.0125411650453812	11.148442245877	0	0.115234222391323	0.164394686017563	0.538344386114004	0.538344386114004
EmoDiss	~~	QualEngag	1	1		-0.231706575332045	0.0261517812114111	-8.86006859184575	0	-0.282963124637982	-0.180450026026108	-0.290844990576206	-0.290844990576206
sbvalued	~1		1	1	.p67.	2.75284401258829	0.0163650664537061	168.21465530712	0	2.72076907173442	2.78491895344216	2.75284401258829	3.68755895975597
sbmyself	~1		1	1	.p68.	2.83436229306901	0.0156152109242531	181.512904745127	0	2.80375704204648	2.86496754409155	2.83436229306901	3.9943761808448
sbcommunity	~1		1	1	.p69.	2.47999377885838	0.0181894763262147	136.342230770229	0	2.44434306036136	2.51564449735541	2.47999377885838	3.09768304504147
pganalyze	~1		1	1	.p70.	2.80076118010508	0.0141224018134549	198.32045689542	0	2.7730817811755	2.82844057903465	2.80076118010508	4.42513050993474
pgthink	~1		1	1	.p71.	2.76791715715205	0.0118481928747374	233.61513324566	0	2.74469512583568	2.79113918846842	2.76791715715205	4.71843738701244
pgwork	~1		1	1	.p72.	2.72649140241045	0.0123018658176834	221.63234771194	0	2.70238018846514	2.75060261635575	2.72649140241045	4.65554860715809
pgvalues	~1		1	1	.p73.	2.72811519364119	0.0122687790241834	222.362403647805	0	2.70406882861951	2.75216155866287	2.72811519364119	4.75431042377003
pgprobsolve	~1		1	1	.p74.	2.80177883716182	0.01332789032782	210.219229619074	0	2.77565665212939	2.82790102219424	2.80177883716182	4.51351075664393
SEacademic	~1		1	1	.p75.	2.75667954626826	0.0109229790444409	252.374332593014	0	2.73527090073727	2.77808819179925	2.75667954626826	5.32477026478183
SEwellness	~1		1	1	.p76.	2.59303448405624	0.012520384496349	207.105020202246	0	2.5684949813708	2.61757398674168	2.59303448405624	4.39909174213525
SEnonacad	~1		1	1	.p77.	2.53242863470228	0.0128241628553571	197.47321234652	0	2.50729373737391	2.55756353203066	2.53242863470228	4.20644358359193
SEactivities	~1		1	1	.p78.	2.485718980781	0.0136390374964645	182.250322387144	0	2.45898695850413	2.51245100305786	2.485718980781	4.0167779838777
SEdiverse	~1		1	1	.p79.	2.66268188125021	0.0120914117410982	220.212654921002	0	2.63898314971541	2.68638061278501	2.66268188125021	4.61893871530594
sameinst	~1		1	1	.p80.	3.22372356932921	0.0152770839371758	211.016944240549	0	3.19378103502355	3.25366610363487	3.22372356932921	4.92878700796102
evalexp	~1		1	1	.p81.	3.13641778540814	0.0160584209004461	195.312964135908	0	3.10494385879468	3.1678917120216	3.13641778540814	4.55391950652667
MHWdacad	~1		1	1	.p82.	4.1183771930496	0.0296863271862337	138.72976495925	0	4.06019306093131	4.17656132516789	4.1183771930496	2.8136643643994
MHWdlonely	~1		1	1	.p83.	3.47647962145044	0.0292249396006496	118.955921516196	0	3.41919979238281	3.53375945051807	3.47647962145044	2.45236349791073
MHWdmental	~1		1	1	.p84.	3.88435578608554	0.0321818322525024	120.700268263424	0	3.82128055391413	3.94743101825696	3.88435578608554	2.63636348676164
MHWdexhaust	~1		1	1	.p85.	4.39337422942342	0.0291243968941303	150.848590801509	0	4.33629146043947	4.45045699840736	4.39337422942342	3.078716813423
MHWdsleep	~1		1	1	.p86.	4.22096884911008	0.0295526489928236	142.828781613962	0	4.1630467214364	4.27889097678377	4.22096884911008	3.00565166197555
MHWdfinancial	~1		1	1	.p87.	3.69999879488845	0.0315903759573042	117.124240619648	0	3.63808279575405	3.76191479402284	3.69999879488845	2.51038412115804
QIadmin	~1		1	1	.p88.	4.07043467706495	0.0320706592718397	126.920829489747	0	4.00757733993169	4.13329201419822	4.07043467706495	2.82567509776722
QIstudent	~1		1	1	.p89.	4.80781821600326	0.0290492656729139	165.505671301225	0	4.75088270150701	4.86475373049951	4.80781821600326	3.6630974012995
