lhs	op	rhs	group	label	est.std	se	z	pvalue	ci.lower	ci.upper
Belong	=~	sbvalued	1		0.698017914413486	0.0155813439713355	44.7983123726431	0	0.667479041398938	0.728556787428034
Belong	=~	sbmyself	1	.p2.	0.710177117227843	0.0147938563368063	48.0048677680451	0	0.681181691615243	0.739172542840443
Belong	=~	sbcommunity	1	.p3.	0.736338894632925	0.0154608889559725	47.6259092688508	0	0.706036109110246	0.766641680155604
Gains	=~	pganalyze	1		0.627635317186361	0.0186355402219836	33.6794806971017	0	0.591110329518825	0.664160304853896
Gains	=~	pgthink	1	.p5.	0.45351092557252	0.0197450759215738	22.9683049775973	0	0.414811287894226	0.492210563250814
Gains	=~	pgwork	1	.p6.	0.52202965294142	0.0192030347180206	27.184747650929	0	0.484392396500227	0.559666909382613
Gains	=~	pgvalues	1	.p7.	0.524922801945033	0.0205436723821708	25.551556322549	0	0.484657943965788	0.565187659924278
Gains	=~	pgprobsolve	1	.p8.	0.580494533244648	0.0188970540967686	30.7187845402799	0	0.543456987801076	0.617532078688219
SupportEnv	=~	SEacademic	1		0.545454662561964	0.0183532461209219	29.7197922900499	0	0.509482961165558	0.58142636395837
SupportEnv	=~	SEwellness	1	.p10.	0.605682892360545	0.0166084480629904	36.4683617676611	0	0.57313093231798	0.63823485240311
SupportEnv	=~	SEnonacad	1	.p11.	0.606307442612954	0.0168362616605866	36.0119992689536	0	0.573308976123912	0.639305909101996
SupportEnv	=~	SEactivities	1	.p12.	0.657139291255146	0.0152232430927855	43.16683949996	0	0.627302283065388	0.686976299444903
SupportEnv	=~	SEdiverse	1	.p13.	0.545623230484994	0.0182192778171838	29.9475772837924	0	0.509914102138984	0.581332358831004
Satisf	=~	sameinst	1		0.695101497807839	0.0270462663839156	25.7004603866955	0	0.642091789779088	0.74811120583659
Satisf	=~	evalexp	1	.p15.	0.737611788120742	0.0262142220788502	28.1378476882536	0	0.686232856963461	0.788990719278024
DevAdj	=~	Belong	1		0.479231959402289	0.0278041511228306	17.2359859966659	0	0.424736824580832	0.533727094223746
DevAdj	=~	Gains	1	.p17.	0.560444813449208	0.031422718961592	17.8356562375853	0	0.498857415988164	0.622032210910252
DevAdj	=~	SupportEnv	1	.p18.	0.40576641866552	0.0283227711134061	14.3265084140534	0	0.350254807340873	0.461278029990167
DevAdj	=~	Satisf	1	.p19.	0.548081502990848	0.0307552571043711	17.8207420321956	0	0.487802306731011	0.608360699250685
EmoDiss	=~	MHWdacad	1		0.523342529503228	0.0173389774130303	30.1830100493662	0	0.489358758244935	0.557326300761521
EmoDiss	=~	MHWdlonely	1	.p21.	0.483320125856853	0.0176256681078013	27.4213790308993	0	0.448774451162107	0.5178658005516
EmoDiss	=~	MHWdmental	1	.p22.	0.614665574936614	0.0171593891983723	35.8209472278255	0	0.581033790111099	0.648297359762129
EmoDiss	=~	MHWdexhaust	1	.p23.	0.554176849956262	0.01686935663473	32.8510957445375	0	0.52111351850983	0.587240181402695
EmoDiss	=~	MHWdsleep	1	.p24.	0.584087052612774	0.0163180564191022	35.793910598877	0	0.552104249733641	0.616069855491907
EmoDiss	=~	MHWdfinancial	1	.p25.	0.578193290728822	0.0170659092646094	33.8800166908103	0	0.544744723206759	0.611641858250885
QualEngag	=~	QIadmin	1		0.721968660332675	0.0128740461743562	56.0793903140386	0	0.696735993495632	0.747201327169719
QualEngag	=~	QIstudent	1	.p27.	0.683953161405074	0.0138420643076997	49.4112110882641	0	0.656823213890295	0.711083108919853
QualEngag	=~	QIadvisor	1	.p28.	0.707774981510571	0.0128381584309191	55.1305691792978	0	0.682612653358151	0.732937309662992
QualEngag	=~	QIfaculty	1	.p29.	0.684020098556338	0.0138699568979208	49.3166708152409	0	0.65683548256929	0.711204714543386
QualEngag	=~	QIstaff	1	.p30.	0.687180353039106	0.0133801156256932	51.3583269579184	0	0.660955808303765	0.713404897774446
sbvalued	~~	sbvalued	1		0.512770991157847	0.0217521145738552	23.5733859076932	0	0.470137630005502	0.555404352310192
sbmyself	~~	sbmyself	1		0.49564846216595	0.0210125163640396	23.5882487170453	0	0.454464686867874	0.536832237464027
sbcommunity	~~	sbcommunity	1		0.457805032250762	0.0227689079266667	20.1065871813108	0	0.413178792747187	0.502431271754338
pganalyze	~~	pganalyze	1		0.606073908620376	0.0233926464813967	25.9087362818211	0	0.560225164013761	0.651922653226992
pgthink	~~	pgthink	1		0.794327840386356	0.0179092158115263	44.3530218601269	0	0.759226422404409	0.829429258368303
pgwork	~~	pgwork	1		0.72748504144986	0.0200491070717601	36.2851591767172	0	0.688189513667023	0.766780569232698
pgvalues	~~	pgvalues	1		0.724456051998175	0.0215676840843655	33.5898861075833	0	0.682184167962881	0.76672793603347
pgprobsolve	~~	pgprobsolve	1		0.663026096873078	0.021939273214554	30.2209690534892	0	0.620025911525568	0.706026282220588
SEacademic	~~	SEacademic	1		0.702479211089414	0.0200217278029211	35.0858436396745	0	0.663237345687425	0.741721076491404
SEwellness	~~	SEwellness	1		0.633148233901765	0.0201189061676917	31.4703109912862	0	0.593715902404748	0.672580565398781
SEnonacad	~~	SEnonacad	1		0.63239128503214	0.0204159013466736	30.975428137792	0	0.592376853680736	0.672405716383543
SEactivities	~~	SEactivities	1		0.568167951888685	0.0200075823124962	28.3976316085839	0	0.528953811138472	0.607382092638898
SEdiverse	~~	SEdiverse	1		0.702295290355119	0.0198817227361742	35.3236638330798	0	0.663327829841606	0.741262750868631
sameinst	~~	sameinst	1		0.516833907745299	0.0375997998793367	13.7456558121026	0	0.443139654155886	0.590528161334712
evalexp	~~	evalexp	1		0.455928850025321	0.0386718376611307	11.7896866970865	0	0.380133440993525	0.531724259057117
MHWdacad	~~	MHWdacad	1		0.726112596813163	0.0181484486654177	40.0096234228983	0	0.69054229105367	0.761682902572655
MHWdlonely	~~	MHWdlonely	1		0.766401655941715	0.0170376802366962	44.9827467879706	0	0.733008416297681	0.79979489558575
MHWdmental	~~	MHWdmental	1		0.622186230987842	0.0210945719902218	29.495086758634	0	0.58084162961772	0.663530832357964
MHWdexhaust	~~	MHWdexhaust	1		0.692888018972555	0.018697213904673	37.0583565286902	0	0.656242153108154	0.729533884836955
MHWdsleep	~~	MHWdsleep	1		0.658842314970122	0.0190623313912283	34.5625255089886	0	0.621480831981948	0.696203797958297
MHWdfinancial	~~	MHWdfinancial	1		0.665692518556176	0.0197347885258742	33.7319306808577	0	0.627013043802948	0.704371993309403
QIadmin	~~	QIadmin	1		0.478761253497442	0.0185893153888061	25.7546468755776	0	0.442326864838126	0.515195642156758
QIstudent	~~	QIstudent	1		0.532208073004005	0.0189346470922618	28.1076309693413	0	0.495096846643195	0.569319299364814
QIadvisor	~~	QIadvisor	1		0.49905457554771	0.0181730543654642	27.4612382438093	0	0.463436043502312	0.534673107593108
QIfaculty	~~	QIfaculty	1		0.532116504770977	0.0189746584546178	28.0435353312764	0	0.494926857580978	0.569306151960977
QIstaff	~~	QIstaff	1		0.52778316239705	0.0183891047798834	28.7008622069746	0	0.491741179320545	0.563825145473555
