lhs	op	rhs	block	group	est	se	z	pvalue	ci.lower	ci.upper	std.lv	std.all
Belong	=~	sbvalued	1	1	1	0	NA	NA	1	1	0.739286700788065	0.88936734721156
Belong	=~	sbmyself	1	1	1.0149335472342	0.0249366308926413	40.7005080840211	0	0.96605864878885	1.06380844567954	0.750326873653896	0.869335439249369
Belong	=~	sbcommunity	1	1	1.01838057783438	0.0247306607912	41.1788664456856	0	0.969909373369748	1.06685178229901	0.75287521753382	0.909024519822862
Gains	=~	pganalyze	1	1	1	0	NA	NA	1	1	0.518817837215188	0.716746059125429
Gains	=~	pgthink	1	1	1.0130315861503	0.0479427933221671	21.1300075767989	0	0.9190654379206	1.10699773437999	0.525578856557168	0.789675010405888
Gains	=~	pgwork	1	1	0.969433905987969	0.0463310157678096	20.9240805521368	0	0.878626783715905	1.06024102826003	0.50295960242775	0.757343883918275
Gains	=~	pgvalues	1	1	0.962498702523544	0.0515629363328383	18.6664835437343	0	0.861437204374049	1.06356020067304	0.499361495165689	0.689895083852974
Gains	=~	pgprobsolve	1	1	0.928031962085245	0.0461899522827256	20.0916414982381	0	0.837501319163479	1.01856260500701	0.481479535435634	0.737214689288468
SupportEnv	=~	SEacademic	1	1	1	0	NA	NA	1	1	0.680424980045211	0.858590025437982
SupportEnv	=~	SEwellness	1	1	1.03354695911241	0.028955546160919	35.6942657330145	0	0.976795131484323	1.0902987867405	0.703251169029851	0.868838023659934
SupportEnv	=~	SEnonacad	1	1	0.99613872547044	0.0339210152433854	29.3664183787862	0	0.929654757274371	1.06262269366651	0.677797672400486	0.799482558668612
SupportEnv	=~	SEactivities	1	1	0.912526806792386	0.0320447156488701	28.4766704373787	0	0.849720318225773	0.975333295358998	0.620906034302429	0.759993480090481
SupportEnv	=~	SEdiverse	1	1	0.969309920340499	0.0313267311518687	30.9419427019495	0	0.907910655529467	1.03070918515153	0.659542683205309	0.810394907558869
Satisf	=~	sameinst	1	1	1	0	NA	NA	1	1	0.65093766685457	0.902294350682483
Satisf	=~	evalexp	1	1	0.956939360547857	0.0384979962769506	24.8568614756917	0	0.881484674368077	1.03239404672764	0.622907874676326	0.862385580926859
DevAdj	=~	Belong	1	1	1	0	NA	NA	1	1	0.627807883658159	0.627807883658159
DevAdj	=~	Gains	1	1	0.262669048161212	0.0462953758381773	5.67376424546925	1.39693348000236e-08	0.171931778867638	0.353406317454785	0.234981493655336	0.234981493655336
DevAdj	=~	SupportEnv	1	1	0.91533667135548	0.0682580472771316	13.4099451693829	0	0.78155335703727	1.04911998567369	0.624367474977941	0.624367474977941
DevAdj	=~	Satisf	1	1	0.879702767382814	0.0631470891136081	13.9310105933805	0	0.755936746991601	1.00346878777403	0.627243564113365	0.627243564113365
EmoDiss	=~	MHWdacad	1	1	1	0	NA	NA	1	1	1.24645740943693	0.937948930722399
EmoDiss	=~	MHWdlonely	1	1	1.01105690017656	0.0174351792067606	57.9894756564657	0	0.976884576867306	1.04522922348581	1.26023936458741	0.949906146361093
EmoDiss	=~	MHWdmental	1	1	1.02018906209967	0.0150951326225823	67.5839747557743	0	0.990603145817553	1.04977497838179	1.27162221548065	0.965054904800445
EmoDiss	=~	MHWdexhaust	1	1	1.03048414551423	0.0158279872519106	65.105191779191	0	0.999461860552725	1.06150643047573	1.28445459848349	0.959748496832192
EmoDiss	=~	MHWdsleep	1	1	0.964834901789132	0.0167763128775243	57.5117374617963	0	0.931953932755809	0.997715870822455	1.20262561221842	0.932832742433253
EmoDiss	=~	MHWdfinancial	1	1	0.986998774868061	0.0181801962417209	54.2897756297614	0	0.951366245002417	1.0226313047337	1.23025193603947	0.904777608370383
QualEngag	=~	QIadmin	1	1	1	0	NA	NA	1	1	1.01082799941905	0.899899142984189
QualEngag	=~	QIstudent	1	1	1.02000752429306	0.0218294756384992	46.7261578420206	0	0.977222538240205	1.06279251034591	1.03105216517353	0.903973394300629
QualEngag	=~	QIadvisor	1	1	0.98714148515284	0.021906442858933	45.0616967578698	0	0.944205646119946	1.03007732418573	0.997830252580592	0.922110882034369
QualEngag	=~	QIfaculty	1	1	1.00804428108733	0.0192341929664359	52.4089720242691	0	0.970345955601424	1.04574260657324	1.01895938397732	0.937526416082035
QualEngag	=~	QIstaff	1	1	0.998267913125685	0.0212828219445239	46.9048660806252	0	0.956554348625039	1.03998147762633	1.00907715750906	0.926518263214372
sbvalued	~~	sbvalued	1	1	0.144431911165618	0.0111636794004594	12.9376620363779	0	0.122551501605765	0.16631232072547	0.144431911165618	0.209025721713871
sbmyself	~~	sbmyself	1	1	0.181958055186205	0.0136223911594597	13.3572772251404	0	0.155258659130347	0.208657451242062	0.181958055186205	0.244255894065107
sbcommunity	~~	sbcommunity	1	1	0.119132613830764	0.0110039849730589	10.8263155686268	0	0.0975651995971482	0.140700028064379	0.119132613830764	0.173674422360816
pganalyze	~~	pganalyze	1	1	0.254789302757901	0.0138946757458524	18.337189540674	0	0.227556238719168	0.282022366796634	0.254789302757901	0.486275086728167
pgthink	~~	pgthink	1	1	0.166741625883083	0.0105271755464258	15.8391607651775	0	0.146108740953158	0.187374510813008	0.166741625883083	0.37641337794046
pgwork	~~	pgwork	1	1	0.188073652695743	0.0110130644202629	17.0773224888894	0	0.166488443072608	0.209658862318878	0.188073652695743	0.426430241491583
pgvalues	~~	pgvalues	1	1	0.2745569215492	0.0143274824504055	19.1629564021158	0	0.246475571957275	0.302638271141124	0.2745569215492	0.524044773275499
pgprobsolve	~~	pgprobsolve	1	1	0.194725256028798	0.0110410072563709	17.6365481434166	0	0.173085279453265	0.21636523260433	0.194725256028798	0.456514501897307
SEacademic	~~	SEacademic	1	1	0.165064038728253	0.010471693039535	15.7628798041604	0	0.144539897513606	0.185588179942901	0.165064038728253	0.262823168218406
SEwellness	~~	SEwellness	1	1	0.160591628143151	0.0104903806013375	15.3084653689949	0	0.140030859980412	0.18115239630589	0.160591628143151	0.2451204886427
SEnonacad	~~	SEnonacad	1	1	0.259347433557022	0.0158649892342399	16.3471547145647	0	0.228252626042796	0.290442241071248	0.259347433557022	0.36082763838469
SEactivities	~~	SEactivities	1	1	0.281946122833989	0.0149139355951198	18.9048773233437	0	0.252715346199804	0.311176899468173	0.281946122833989	0.42240991021996
SEdiverse	~~	SEdiverse	1	1	0.227360870689661	0.0125898244138071	18.059097825091	0	0.202685268266916	0.252036473112406	0.227360870689661	0.343260093802653
sameinst	~~	sameinst	1	1	0.09673412838839	0.0156706472052791	6.17295042899071	6.70272282121687e-10	0.0660202242516096	0.12744803252517	0.09673412838839	0.185864904726477
evalexp	~~	evalexp	1	1	0.13371440957995	0.0157293530207922	8.50094783957083	0	0.102885444159081	0.164543375000819	0.13371440957995	0.256291109809444
MHWdacad	~~	MHWdacad	1	1	0.212367522152555	0.0127763761863639	16.6218902022635	0	0.187326284974347	0.237408759330764	0.212367522152555	0.120251803356708
MHWdlonely	~~	MHWdlonely	1	1	0.171926506004695	0.0114541558642532	15.0099673901988	0	0.14947677303745	0.194376238971939	0.171926506004695	0.0976783131054167
MHWdmental	~~	MHWdmental	1	1	0.119226579777233	0.00842876844436161	14.1451957737657	0	0.102706497192257	0.13574666236221	0.119226579777233	0.0686690307206043
MHWdexhaust	~~	MHWdexhaust	1	1	0.141287935118399	0.00994783019416385	14.202889711697	0	0.121790546213518	0.16078532402328	0.141287935118399	0.0788828228283489
MHWdsleep	~~	MHWdsleep	1	1	0.215777036966575	0.0121733417584862	17.7253741205577	0	0.191917725548445	0.239636348384706	0.215777036966575	0.129823074644456
MHWdfinancial	~~	MHWdfinancial	1	1	0.335341875115269	0.01694596298157	19.7888945868687	0	0.302128397988042	0.368555352242495	0.335341875115269	0.18137747939157
QIadmin	~~	QIadmin	1	1	0.239957977290988	0.0155474612726205	15.433900949061	0	0.209485513145621	0.270430441436356	0.239957977290988	0.190181532456322
QIstudent	~~	QIstudent	1	1	0.237849604374913	0.0146434960786878	16.2426788723685	0	0.209148879452932	0.266550329296895	0.237849604374913	0.182832102396599
