lhs	op	rhs	group	est.std	se	z	pvalue	ci.lower	ci.upper
Belong	=~	sbvalued	1	0.652796402187796	0.0332450056355367	19.6359239443172	0	0.587637388476313	0.717955415899279
Belong	=~	sbmyself	1	0.726211551646925	0.0265476291041638	27.3550436009755	0	0.674179154727837	0.778243948566013
Belong	=~	sbcommunity	1	0.729344741092787	0.026382706052163	27.6448041247456	0	0.67763558741584	0.781053894769733
Gains	=~	pganalyze	1	0.600984571090025	0.0352014247615871	17.0727342759671	0	0.531991046352818	0.669978095827232
Gains	=~	pgthink	1	0.447321658870907	0.0403411446109187	11.0884721587656	0	0.368254468338385	0.52638884940343
Gains	=~	pgwork	1	0.608457258286645	0.0394823944554315	15.4108499922284	0	0.531073187130595	0.685841329442694
Gains	=~	pgvalues	1	0.448132441562538	0.0412180057835681	10.8722494706716	0	0.367346634712181	0.528918248412895
Gains	=~	pgprobsolve	1	0.528455550531884	0.0410350742298746	12.8781429167528	0	0.448028282938402	0.608882818125366
SupportEnv	=~	SEacademic	1	0.531073678875724	0.0345390137223987	15.37605222732	0	0.463378455918288	0.59876890183316
SupportEnv	=~	SEwellness	1	0.627298930921194	0.0347984051424009	18.0266574963474	0	0.559095310122655	0.695502551719733
SupportEnv	=~	SEnonacad	1	0.638647107941803	0.0307235079561734	20.7869201932547	0	0.578430138868974	0.698864077014633
SupportEnv	=~	SEactivities	1	0.693905043448284	0.0276544471190586	25.0919875729522	0	0.639703323082562	0.748106763814006
SupportEnv	=~	SEdiverse	1	0.540533178872829	0.0344968308522649	15.6690677235744	0	0.47292063282162	0.608145724924038
Satisf	=~	sameinst	1	0.71029472753194	0.0434036588904813	16.3648583020201	0	0.625225119309335	0.795364335754545
Satisf	=~	evalexp	1	0.762048003503479	0.0498875517491391	15.2753137162444	0	0.664270198798288	0.85982580820867
DevAdj	=~	Belong	1	0.525484941380574	0.045066740901547	11.6601496107418	0	0.437155752312944	0.613814130448204
