lhs	op	rhs	group	label	est.std	se	z	pvalue	ci.lower	ci.upper
Belong	=~	sbvalued	1		0.886298703461611	0.00882305670511514	100.452567979959	0	0.869005830086031	0.903591576837191
Belong	=~	sbmyself	1	.p2.	0.859731519771011	0.0104109793538491	82.5793127188518	0	0.839326375193677	0.880136664348345
Belong	=~	sbcommunity	1	.p3.	0.903115955237698	0.0086426015410883	104.495845486355	0	0.886176767484435	0.920055142990962
Gains	=~	pganalyze	1		0.727989974410399	0.0138882423674381	52.4177181784516	0	0.700769519561657	0.755210429259141
Gains	=~	pgthink	1	.p5.	0.792627354388515	0.0127528702301923	62.1528597156093	0	0.767632188037825	0.817622520739205
Gains	=~	pgwork	1	.p6.	0.777117890453291	0.0127469887018105	60.9648214674353	0	0.752134251686404	0.802101529220179
Gains	=~	pgvalues	1	.p7.	0.710403380326134	0.0140275170888134	50.643558359495	0	0.68290995203954	0.737896808612728
Gains	=~	pgprobsolve	1	.p8.	0.777188847691152	0.0123069340829729	63.1504843083884	0	0.753067700128416	0.801309995253887
SupportEnv	=~	SEacademic	1		0.857063131767212	0.00921160915006697	93.0416301652335	0	0.839008709593421	0.875117553941003
SupportEnv	=~	SEwellness	1	.p10.	0.85303473435199	0.00994432839700822	85.7810301808444	0	0.833544208843415	0.872525259860565
SupportEnv	=~	SEnonacad	1	.p11.	0.791661137465958	0.0118727549127302	66.6788073437887	0	0.768390965439736	0.81493130949218
SupportEnv	=~	SEactivities	1	.p12.	0.780597819203743	0.0112962651464163	69.1022925795422	0	0.758457546356952	0.802738092050534
SupportEnv	=~	SEdiverse	1	.p13.	0.813990950164373	0.010446652600335	77.9188302038748	0	0.793515887308714	0.834466013020031
Satisf	=~	sameinst	1		0.884691017731642	0.0130771337283085	67.6517527550032	0	0.859060306603143	0.91032172886014
Satisf	=~	evalexp	1	.p15.	0.879620190903986	0.0129043932556252	68.1643974636738	0	0.85432804488062	0.904912336927353
DevAdj	=~	Belong	1		0.580861535501614	0.023311795048851	24.9170659867415	0	0.535171256790887	0.626551814212342
DevAdj	=~	Gains	1	.p17.	0.382996318982977	0.0188687035003701	20.2979668939874	0	0.346014339687287	0.419978298278667
DevAdj	=~	SupportEnv	1	.p18.	0.60958179091899	0.0225180287709364	27.0708327589387	0	0.565447265525118	0.653716316312862
DevAdj	=~	Satisf	1		0.623924281718012	0.0271200039415176	23.0060542418601	0	0.570770050732054	0.677078512703971
EmoDiss	=~	MHWdacad	1		0.9380587111421	0.00436282705820158	215.011665286769	0	0.929507727237248	0.946609695046952
EmoDiss	=~	MHWdlonely	1	.p21.	0.949514621803986	0.00385476320800372	246.322425157657	0	0.941959424747368	0.957069818860603
EmoDiss	=~	MHWdmental	1	.p22.	0.964102657476467	0.00291649167938889	330.569315280365	0	0.958386438823654	0.96981887612928
EmoDiss	=~	MHWdexhaust	1	.p23.	0.958064718844006	0.00336334226156486	284.854958055398	0	0.951472689143657	0.964656748544355
EmoDiss	=~	MHWdsleep	1	.p24.	0.937270038149726	0.00415901000763414	225.358928309695	0	0.929118528323421	0.94542154797603
EmoDiss	=~	MHWdfinancial	1	.p25.	0.906896889653895	0.00569387037755487	159.275998489334	0	0.895737108781248	0.918056670526542
QualEngag	=~	QIadmin	1		0.898548887551917	0.00716161052459905	125.467432844266	0	0.8845123888524	0.912585386251434
QualEngag	=~	QIstudent	1	.p27.	0.900221261982778	0.0067247006766399	133.867856023681	0	0.887041090849752	0.913401433115804
QualEngag	=~	QIadvisor	1	.p28.	0.926111354019084	0.00533989112456173	173.432628571635	0	0.915645359733578	0.93657734830459
QualEngag	=~	QIfaculty	1	.p29.	0.936658458183154	0.00496731921119116	188.564176844706	0	0.926922691429506	0.946394224936803
QualEngag	=~	QIstaff	1	.p30.	0.926587883737723	0.00548204689440072	169.022246906375	0	0.915843269263138	0.937332498212309
sbvalued	~~	sbvalued	1		0.214474608242267	0.0156397272266899	13.7134494184948	0	0.183821306149925	0.24512791033461
sbmyself	~~	sbmyself	1		0.260861713912228	0.0179012940103232	14.5722266648319	0	0.225775822375331	0.295947605449124
sbcommunity	~~	sbcommunity	1		0.1843815713951	0.015610542800357	11.8113491473777	0	0.153785469727279	0.214977673062921
pganalyze	~~	pganalyze	1		0.470030597157947	0.0202210025080119	23.2446733030033	0	0.430398160510949	0.509663033804944
pgthink	~~	pgthink	1		0.371741877075064	0.0202165477685323	18.3879998371281	0	0.332118171557008	0.411365582593121
pgwork	~~	pgwork	1		0.396087784337427	0.0198118258809243	19.9924927019875	0	0.357257319142836	0.434918249532017
pgvalues	~~	pgvalues	1		0.495327037221202	0.0199303909508131	24.8528510275407	0	0.456264188759805	0.534389885682599
pgprobsolve	~~	pgprobsolve	1		0.3959774950245	0.0191296237530266	20.6997011617571	0	0.358484121430766	0.433470868618234
SEacademic	~~	SEacademic	1		0.265442788165379	0.015789861248623	16.8109639461542	0	0.234495228797193	0.296390347533565
SEwellness	~~	SEwellness	1		0.272331741989031	0.0169657149693417	16.0518871430502	0	0.239079551677149	0.305583932300912
SEnonacad	~~	SEnonacad	1		0.373272643426105	0.0187983973659801	19.8566205490275	0	0.336428461621712	0.410116825230499
SEactivities	~~	SEactivities	1		0.39066704465436	0.017635679957107	22.1520829139862	0	0.356101747095555	0.425232342213165
SEdiverse	~~	SEdiverse	1		0.337418733050501	0.0170069612445087	19.8400365708747	0	0.304085701524796	0.370751764576207
sameinst	~~	sameinst	1		0.217321803144952	0.0231384455188216	9.39223868639642	0	0.171971283269819	0.262672323020085
evalexp	~~	evalexp	1		0.226268319754034	0.0227019293168986	9.96692028221616	0	0.181773355913339	0.27076328359473
MHWdacad	~~	MHWdacad	1		0.120045854450422	0.00818517578466827	14.6662524554795	0	0.104003204705343	0.136088504195502
MHWdlonely	~~	MHWdlonely	1		0.0984219829804344	0.00732030837654902	13.4450596775041	0	0.0840744422066715	0.112769523754197
MHWdmental	~~	MHWdmental	1		0.0705060658468137	0.0056235950363542	12.5375432247559	0	0.0594840221119213	0.0815281095817062
MHWdexhaust	~~	MHWdexhaust	1		0.0821119945063562	0.00644459932332159	12.741210180315	0	0.0694808119378546	0.0947431770748577
MHWdsleep	~~	MHWdsleep	1		0.121524875586811	0.00779623186986785	15.5876425451763	0	0.106244541906747	0.136805209266876
MHWdfinancial	~~	MHWdfinancial	1		0.17753803153609	0.0103275060094693	17.1907943092267	0	0.157296491707409	0.197779571364771
QIadmin	~~	QIadmin	1		0.192609896679213	0.0128701145956087	14.9656706821346	0	0.167384935594917	0.217834857763509
QIstudent	~~	QIstudent	1		0.189601679474135	0.0121074376014858	15.6599344729117	0	0.165871537830156	0.213331821118113
QIadvisor	~~	QIadvisor	1		0.142317759956939	0.00989066793272523	14.3890949453528	0	0.122932407025753	0.161703112888126
QIfaculty	~~	QIfaculty	1		0.122670932713956	0.00930536316128015	13.1828205506684	0	0.104432756054781	0.140909109373131
QIstaff	~~	QIstaff	1		0.141434893710448	0.010159197135754	13.9218573889747	0	0.121523233212527	0.161346554208368
Belong	~~	Belong	1		0.662599876574707	0.0270818504251627	24.466565842896	0	0.609520425106687	0.715679328042726
Gains	~~	Gains	1		0.85331381964549	0.0144532880081533	59.0394254348299	0	0.824985895691325	0.881641743599655
SupportEnv	~~	SupportEnv	1		0.628410040179996	0.027453160648166	22.8902620078456	0	0.574602834047799	0.682217246312194
Satisf	~~	Satisf	1		0.610718490682662	0.0338416574144579	18.0463528485975	0	0.544390060973182	0.677046920392143
DevAdj	~~	DevAdj	1		1	0	NA	NA	1	1
EmoDiss	~~	EmoDiss	1		1	0	NA	NA	1	1
QualEngag	~~	QualEngag	1		1	0	NA	NA	1	1
DevAdj	~~	EmoDiss	1		-0.882884194429486	0.0197439002337386	-44.7168079243434	0	-0.921581527801965	-0.844186861057006
DevAdj	~~	QualEngag	1		0.63634542784629	0.0319551176050277	19.9137251100641	0	0.573714548218694	0.698976307473887
EmoDiss	~~	QualEngag	1		-0.368561366920478	0.0307321801547149	-11.9926853566857	0	-0.428795333190116	-0.30832740065084
sbvalued	~1		1		3.07123516296987	0.0593072483196094	51.785156957862	0	2.95499509224126	3.18747523369848
sbmyself	~1		1		2.98382189679405	0.0589438053661844	50.6214669761693	0	2.86829416116459	3.09934963242351
sbcommunity	~1		1		3.0953905020231	0.0617787418445461	50.1044600392159	0	2.97430639299759	3.2164746110486
pganalyze	~1		1		4.0153845898603	0.0854255663277363	47.00448311288	0	3.847953556499	4.1828156232216
pgthink	~1		1		4.3637154510768	0.0929536103025414	46.9450883819786	0	4.18152972265085	4.54590117950276
pgwork	~1		1		4.33925300979079	0.0910824855433082	47.6409156371512	0	4.16073461850352	4.51777140107807
pgvalues	~1		1		4.02172133428618	0.0853264310637411	47.1333593137377	0	3.85448460247191	4.18895806610046
pgprobsolve	~1		1		4.30213843111611	0.0918727751624592	46.8271304911451	0	4.12207110063794	4.48220576159428
SEacademic	~1		1		3.35187029179064	0.0684328263942443	48.9804450349658	0	3.21774441669764	3.48599616688364
SEwellness	~1		1		3.34475270038718	0.0668047826126341	50.0675635722317	0	3.21381773247139	3.47568766830297
SEnonacad	~1		1		3.15777322829524	0.0654702574400008	48.2321797984243	0	3.02945388165427	3.28609257493621
SEactivities	~1		1		3.14531993907308	0.0617680526503543	50.92146836614	0	3.02425678048322	3.26638309766295
SEdiverse	~1		1		3.26797289476537	0.0648471991757819	50.3949736658147	0	3.14087471988254	3.3950710696482
sameinst	~1		1		4.02596115518859	0.0879825875683515	45.7586127716569	0	3.85351845228798	4.1984038580892
evalexp	~1		1		3.95286027236077	0.0829983927061557	47.6257448304489	0	3.79018641188199	4.11553413283954
MHWdacad	~1		1		3.09536199335214	0.0798641507309261	38.7578402202117	0	2.93883113426364	3.25189285244063
MHWdlonely	~1		1		3.1055342621226	0.0803301993981631	38.6596110228704	0	2.94808996443128	3.26297855981392
MHWdmental	~1		1		3.1611093896562	0.0825890459306776	38.2751653567899	0	2.99923783411455	3.32298094519786
MHWdexhaust	~1		1		3.13620280109792	0.0814134515933925	38.5219240766406	0	2.97663536811778	3.29577023407807
MHWdsleep	~1		1		3.08910832135191	0.0770305295286494	40.1023897960224	0	2.93813125776571	3.24008538493812
MHWdfinancial	~1		1		3.00832172632252	0.0735663146493718	40.8926523050752	0	2.86413439913441	3.15250905351063
QIadmin	~1		1		4.37382740417378	0.0958568470320663	45.6287426469455	0	4.18595143631937	4.5617033720282
QIstudent	~1		1		4.36845110305232	0.0950624952230301	45.9534655891717	0	4.18213203613467	4.55477016996997
QIadvisor	~1		1		4.45354425080633	0.098856146261792	45.0507572792935	0	4.2597897644828	4.64729873712987
QIfaculty	~1		1		4.52769298419039	0.102136513826222	44.3298171689505	0	4.32750909558452	4.72787687279626
QIstaff	~1		1		4.50545424358761	0.0995806461817382	45.2442760349737	0	4.31027976351417	4.70062872366104
Belong	~1		1		0	0	NA	NA	0	0
Gains	~1		1		0	0	NA	NA	0	0
SupportEnv	~1		1		0	0	NA	NA	0	0
Satisf	~1		1		0	0	NA	NA	0	0
DevAdj	~1		1		0	0	NA	NA	0	0
EmoDiss	~1		1		0	0	NA	NA	0	0
QualEngag	~1		1		0	0	NA	NA	0	0
Belong	=~	sbvalued	2		0.846555306573129	0.018113087954812	46.737216132616	0	0.811054306532891	0.882056306613367
Belong	=~	sbmyself	2	.p2.	0.830911288686522	0.0193040786514227	43.0433020757137	0	0.793075989775005	0.868746587598039
